Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,15.623,16.798,16.693,15.670,15.433,16.047,15.533,16.894,18.110,17.660,16.320,17.021,16.569,17.692,17.588,15.545,17.481,16.775,17.875,17.368,17.073,17.659,18.271,17.135,17.661,18.182,18.098,17.396,17.914,16.389
TMAX,MAMJJASO,19.690,20.768,20.658,18.913,19.957,20.101,19.824,20.176,22.042,21.397,20.634,20.729,20.522,21.228,21.720,19.854,21.592,20.422,22.149,20.938,21.118,21.195,22.784,21.237,22.203,22.539,21.834,20.929,22.422,21.417
TMAX,AMJJAS,21.539,23.114,22.874,20.741,22.097,21.774,22.010,22.194,23.649,22.885,22.176,23.322,22.731,23.205,23.618,21.938,23.515,22.594,24.328,23.073,22.748,23.144,25.368,23.278,23.946,24.891,23.889,23.217,24.820,23.571
TMAX,ONDJFM,8.979,9.533,10.387,10.136,9.418,9.257,9.809,11.116,12.428,12.891,10.985,10.657,10.804,10.403,12.306,9.968,10.558,11.934,10.639,11.232,11.315,12.361,11.511,10.877,10.754,10.495,13.801,11.746,10.341,10.473
TMAX,NDJF,6.429,7.792,8.609,8.456,7.419,6.574,7.691,9.487,10.239,10.779,7.718,8.628,9.423,8.486,11.183,7.293,7.620,10.307,8.675,9.404,9.763,9.592,9.083,9.585,8.389,7.761,11.746,10.451,7.993,8.033
TMIN,year,8.129,8.562,8.499,8.099,7.377,7.729,7.949,9.359,9.101,8.861,7.872,9.005,8.453,9.403,9.117,7.411,8.763,8.984,9.643,9.836,9.247,9.705,8.716,8.830,9.246,9.709,9.750,9.241,8.977,7.962
TMIN,MAMJJASO,11.169,11.246,11.348,10.209,10.768,10.458,10.893,11.483,11.756,11.044,10.895,11.541,11.162,11.615,11.925,10.170,11.381,11.737,12.439,12.206,12.207,11.896,11.572,11.580,12.174,12.617,12.048,11.689,11.875,11.200
TMIN,AMJJAS,12.374,12.694,12.961,11.534,12.363,11.670,12.647,12.794,12.623,11.906,11.869,13.376,12.910,13.162,13.304,11.709,12.696,13.266,14.046,13.557,13.043,13.377,13.549,13.097,13.362,14.238,13.691,13.235,13.546,12.678
TMIN,ONDJFM,2.841,3.337,4.729,3.675,3.179,2.929,3.697,5.501,5.975,5.823,4.467,4.338,4.292,4.459,5.702,3.481,4.247,5.194,4.726,5.235,5.928,5.927,4.736,4.294,4.558,4.265,7.259,5.251,3.894,4.353
TMIN,NDJF,0.753,2.026,3.465,2.722,1.344,1.312,2.458,4.499,4.630,4.270,2.143,2.836,3.937,2.941,5.609,1.713,2.248,4.326,3.359,4.034,4.734,3.914,3.415,3.951,2.961,2.596,6.146,4.379,2.431,2.931
TAVG,year,11.903,12.710,12.635,11.900,11.432,11.895,11.758,13.121,13.622,13.290,12.107,13.013,12.470,13.530,13.343,11.464,13.097,12.860,13.766,13.601,13.163,13.697,13.500,13.309,13.629,14.030,14.013,13.228,13.365,12.141
TAVG,MAMJJASO,15.456,16.045,16.061,14.585,15.383,15.283,15.368,15.842,16.946,16.277,15.770,16.152,15.809,16.409,16.818,14.990,16.459,16.079,17.316,16.577,16.673,16.564,17.198,16.733,17.295,17.630,17.044,16.239,17.033,16.209
TAVG,AMJJAS,16.988,17.962,17.982,16.170,17.270,16.735,17.347,17.507,18.201,17.476,17.040,18.397,17.805,18.194,18.467,16.826,18.094,17.930,19.235,18.321,17.915,18.296,19.532,18.507,18.723,19.593,18.935,18.202,19.100,18.053
TAVG,ONDJFM,5.942,6.446,7.570,6.903,6.324,6.096,6.771,8.281,9.165,9.328,7.723,7.502,7.469,7.386,8.944,6.714,7.374,8.507,7.660,8.213,8.599,9.140,8.090,7.727,7.987,7.643,10.526,8.460,6.992,7.377
TAVG,NDJF,3.608,4.938,6.054,5.581,4.421,3.956,5.113,6.956,7.387,7.483,4.929,5.754,6.614,5.670,8.365,4.506,4.936,7.257,5.986,6.704,7.227,6.751,6.250,6.930,5.986,5.496,8.968,7.367,5.153,5.521
RH,year,81.169,78.887,79.297,81.287,80.543,79.522,80.716,80.430,76.735,74.951,77.743,79.548,78.143,78.822,78.642,77.888,78.407,80.534,79.487,80.511,79.796,79.410,75.584,79.218,78.954,78.059,78.374,77.741,76.680,76.938
RH,MAMJJASO,78.596,75.502,76.325,78.391,78.251,76.820,77.479,77.468,72.659,70.046,74.003,75.824,73.616,74.776,74.746,73.541,74.274,77.802,75.450,77.654,75.947,75.654,70.700,74.853,74.715,73.870,74.808,74.305,72.161,71.351
RH,AMJJAS,76.695,72.866,74.196,76.295,76.316,74.672,76.484,74.885,70.538,67.576,71.825,73.415,72.550,72.898,72.604,70.787,71.930,75.786,73.266,75.560,72.870,74.049,68.339,72.994,72.391,71.313,72.779,71.577,69.584,69.216
RH,ONDJFM,84.931,84.027,86.079,85.271,85.717,83.914,84.945,85.327,85.666,81.271,83.062,85.074,83.801,85.084,84.437,85.093,85.421,84.077,86.545,85.564,86.188,84.704,83.540,84.801,85.741,85.380,84.311,82.820,85.231,83.703
RH,NDJF,85.693,84.902,86.547,87.038,85.070,85.033,86.844,86.294,87.653,82.815,85.682,86.580,87.167,86.803,87.246,86.585,86.522,86.092,87.875,86.942,86.749,86.663,86.189,87.190,87.779,87.847,86.320,83.213,87.242,86.629
RHmin,year,65.585,62.782,63.065,65.748,64.096,62.748,65.148,65.091,59.956,59.017,61.344,63.545,62.189,62.525,62.077,62.063,61.496,64.566,63.272,65.185,64.112,63.634,58.322,64.096,63.445,62.248,62.467,61.547,59.543,61.067
RHmin,MAMJJASO,61.994,58.123,59.180,61.731,60.545,58.542,60.265,60.950,55.193,52.976,56.554,58.896,56.881,57.337,57.144,56.186,55.973,61.276,57.889,61.029,59.583,58.485,52.210,58.445,57.214,56.605,57.453,57.222,53.526,53.607
RHmin,AMJJAS,59.561,54.815,56.856,59.605,58.393,56.426,59.055,57.939,52.691,50.361,54.218,56.146,55.545,55.529,54.978,53.594,53.499,58.822,55.569,58.237,56.038,56.710,49.988,56.287,54.516,53.662,55.624,54.344,50.872,51.360
RHmin,ONDJFM,70.403,69.521,72.483,69.939,70.731,69.213,70.564,71.806,70.501,65.834,68.265,70.167,68.687,70.637,69.120,69.810,70.456,68.463,72.181,71.195,72.900,69.811,68.497,70.195,72.586,72.154,69.448,68.033,69.521,69.378
RHmin,NDJF,71.567,71.061,73.862,72.725,70.510,72.124,73.864,73.708,73.548,67.760,71.815,72.331,73.114,72.665,73.287,72.638,73.098,71.361,74.146,73.389,74.021,72.531,72.575,73.940,75.526,76.363,72.773,69.215,72.917,73.873
PREC,year,1061.796,864.816,846.110,991.961,744.111,933.261,927.210,1007.737,739.870,784.464,741.266,881.591,894.333,903.723,893.366,678.988,772.466,1033.000,989.559,998.536,1061.110,1105.244,715.243,834.200,766.693,849.451,960.104,906.816,829.004,820.559
PREC,MAMJJASO,674.869,588.842,542.248,615.912,492.774,595.912,639.434,604.500,496.800,406.878,385.404,628.008,467.156,574.976,463.600,427.348,490.936,750.855,512.534,651.887,670.486,565.434,423.323,500.478,478.402,556.178,561.036,641.360,451.007,501.164
PREC,AMJJAS,407.307,352.704,412.398,450.371,392.418,355.707,441.756,365.314,331.003,303.540,316.190,439.738,370.625,399.418,339.650,340.768,364.723,486.708,377.599,481.229,483.903,400.475,318.796,410.988,388.524,407.792,448.762,404.899,299.395,380.585
PREC,ONDJFM,284.694,536.432,602.448,472.570,419.467,452.550,535.111,656.303,433.257,431.627,417.171,453.027,413.521,623.574,652.414,264.777,372.747,453.042,652.252,548.186,608.245,602.934,541.475,440.371,378.208,387.036,536.851,511.627,417.964,507.720
PREC,NDJF,169.963,307.715,352.000,379.577,229.189,304.770,326.473,397.356,258.075,329.058,312.548,313.107,319.163,429.790,490.208,205.992,275.791,272.650,410.560,411.146,375.698,475.783,406.228,338.756,290.362,247.644,406.975,313.354,260.254,376.121
SRAD,year,3586.085,4073.658,3894.122,3673.357,3618.225,3723.585,3461.659,3491.732,3925.082,3917.458,3756.365,3715.057,3663.336,3733.907,3852.597,3717.423,3898.405,3469.861,4056.317,3800.854,3849.617,3853.568,4467.167,4025.761,4156.480,4136.666,4049.776,4028.127,4266.662,4181.527
SRAD,MAMJJASO,3207.374,3681.382,3475.025,3296.991,3231.766,3331.590,3132.898,3142.116,3526.045,3571.706,3362.802,3345.524,3323.282,3381.321,3486.687,3375.484,3549.612,3076.168,3674.757,3420.038,3456.792,3478.593,4005.109,3657.135,3745.507,3755.748,3677.229,3606.237,3889.581,3856.268
SRAD,AMJJAS,2820.714,3205.204,2997.107,2830.795,2778.640,2877.624,2663.848,2758.227,3044.242,3060.819,2897.297,2928.163,2819.703,2904.164,2971.476,2892.789,3061.817,2702.218,3178.277,2999.310,3048.171,2973.277,3413.759,3136.669,3227.576,3248.711,3124.749,3137.144,3374.347,3312.399
SRAD,ONDJFM,447.157,862.020,814.797,908.000,809.286,844.780,841.694,730.634,823.731,888.201,868.837,791.002,866.024,768.490,884.997,854.225,815.087,844.116,798.930,833.120,758.903,917.905,1011.157,907.396,875.532,926.319,910.594,913.134,903.374,864.515
SRAD,NDJF,227.155,396.262,376.538,402.194,404.522,373.918,351.840,341.213,362.508,392.454,379.777,365.892,348.474,345.906,357.572,362.550,343.019,381.959,382.100,385.464,371.784,401.003,438.355,380.266,400.148,382.966,371.351,431.772,383.636,345.868
WIND,year,3.984,3.872,4.028,3.819,3.806,4.110,3.618,3.896,3.484,3.864,3.470,3.643,3.723,3.804,3.597,3.028,2.552,3.610,3.768,3.747,3.498,3.646,3.328,3.508,3.372,3.648,3.706,3.725,3.532,3.386
WIND,MAMJJASO,3.768,3.585,3.711,3.406,3.654,3.666,3.549,3.580,3.318,3.384,3.235,3.485,3.383,3.554,3.208,2.816,2.330,3.643,3.382,3.385,3.426,3.240,3.040,3.370,3.112,3.425,3.326,3.505,3.241,3.290
WIND,AMJJAS,3.427,3.405,3.541,3.290,3.750,3.542,3.378,3.441,3.036,3.163,3.232,3.313,3.353,3.316,3.042,2.809,2.272,3.434,3.288,3.156,3.352,3.102,2.927,3.248,3.023,3.222,3.386,3.278,3.149,3.129
WIND,ONDJFM,4.697,4.386,4.627,4.405,3.866,4.382,4.191,4.525,3.926,4.478,3.738,3.815,3.997,4.488,4.519,3.453,2.747,3.185,4.184,4.204,4.158,4.070,3.707,3.953,3.661,3.652,4.471,4.118,3.603,3.975
WIND,NDJF,4.486,4.299,4.992,4.698,3.840,4.764,4.282,4.720,3.878,4.725,3.783,3.881,4.265,4.561,4.770,3.689,2.889,3.130,4.270,4.395,4.284,4.300,3.826,4.138,3.690,3.606,4.775,4.346,3.595,4.155
VPD,year,0.328,0.398,0.405,0.335,0.348,0.371,0.337,0.356,0.482,0.505,0.414,0.403,0.408,0.440,0.456,0.403,0.427,0.380,0.433,0.377,0.415,0.399,0.527,0.410,0.439,0.494,0.426,0.430,0.482,0.470
VPD,MAMJJASO,0.430,0.526,0.538,0.433,0.457,0.487,0.450,0.459,0.639,0.670,0.555,0.536,0.549,0.586,0.612,0.546,0.569,0.495,0.583,0.488,0.559,0.524,0.717,0.553,0.594,0.667,0.556,0.560,0.649,0.652
