Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,19.460,19.312,20.124,18.207,18.880,18.876,18.867,19.779,19.888,20.486,18.848,20.623,19.876,20.978,19.575,18.410,19.623,20.152,19.979,21.856,20.466,20.740,20.992,19.572,19.045,20.292,21.164,21.053,20.931,19.330
TMAX,MAMJJASO,24.729,24.227,25.458,22.865,24.249,24.101,23.886,24.498,24.296,25.027,23.830,25.414,25.080,25.694,24.204,23.267,24.185,24.966,25.242,26.689,25.796,25.217,26.715,24.394,24.202,25.216,25.998,25.539,26.267,24.147
TMAX,AMJJAS,26.589,26.975,27.932,25.176,27.147,27.037,27.170,27.220,25.903,26.697,26.133,28.278,27.880,28.133,26.450,26.113,26.736,27.667,27.634,29.374,27.487,27.361,30.144,26.791,26.740,27.782,29.152,27.880,29.322,27.087
TMAX,ONDJFM,10.086,11.532,12.868,10.897,10.465,10.799,10.562,12.714,12.932,14.693,12.419,12.056,12.283,13.042,12.996,10.847,12.524,13.199,11.785,12.452,15.084,13.439,12.307,11.982,11.967,11.031,15.632,12.359,12.745,12.204
TMAX,NDJF,6.558,8.654,10.417,8.345,7.453,8.592,8.576,10.815,9.816,11.918,8.982,10.009,10.334,9.662,11.721,7.915,10.031,11.970,8.521,9.520,12.661,9.657,9.393,10.364,9.038,8.411,13.626,10.441,9.766,9.795
TMIN,year,9.033,9.661,9.219,8.867,8.305,8.839,8.963,9.437,9.749,9.613,8.909,10.122,9.590,11.024,9.827,9.039,9.437,9.783,10.148,10.707,10.053,10.705,9.649,9.545,8.959,9.791,10.241,10.428,10.293,9.659
TMIN,MAMJJASO,13.528,13.514,13.404,12.233,12.585,12.836,12.792,13.049,13.353,12.947,13.041,13.721,13.716,14.618,13.337,12.799,12.533,13.711,14.518,14.227,14.217,14.014,13.926,13.209,13.047,13.424,13.627,13.739,14.060,13.407
TMIN,AMJJAS,14.879,15.479,15.717,13.861,14.703,15.255,15.373,15.169,15.240,14.478,14.894,15.874,15.783,16.727,15.370,14.984,14.672,16.047,16.538,16.041,15.435,15.996,16.574,14.993,15.356,15.535,15.645,15.785,16.330,15.776
TMIN,ONDJFM,0.424,2.962,4.373,2.598,2.253,2.841,1.773,4.891,3.707,4.148,3.921,3.212,3.539,5.143,4.546,2.919,4.281,4.333,3.254,3.523,6.795,3.956,3.527,3.345,3.246,3.111,6.388,3.808,4.398,4.115
TMIN,NDJF,-2.641,0.395,2.371,0.887,-0.606,1.393,0.720,3.578,1.213,2.476,1.351,1.712,1.888,2.542,3.673,1.175,2.570,3.757,0.431,1.314,4.877,1.063,1.717,2.171,1.172,1.181,5.056,2.265,2.622,2.537
TAVG,year,14.008,14.223,14.399,13.295,13.365,13.572,13.667,14.308,14.413,14.761,13.611,15.197,14.517,15.691,14.330,13.440,14.253,14.655,14.772,16.062,14.962,15.375,14.968,14.156,13.635,14.703,15.384,15.379,15.288,14.183
TAVG,MAMJJASO,18.865,18.616,19.158,17.294,18.182,18.189,18.097,18.472,18.438,18.718,18.161,19.447,19.164,19.856,18.371,17.761,18.090,19.078,19.596,20.291,19.719,19.236,20.001,18.376,18.253,18.977,19.521,19.269,19.809,18.465
TAVG,AMJJAS,20.503,21.012,21.646,19.328,20.787,20.917,21.079,20.967,20.254,20.393,20.335,22.029,21.676,22.221,20.570,20.347,20.522,21.674,21.894,22.649,21.246,21.300,23.103,20.496,20.721,21.347,22.184,21.553,22.554,21.183
TAVG,ONDJFM,5.100,6.917,8.340,6.422,6.102,6.486,5.782,8.481,7.868,8.955,7.833,7.285,7.613,8.822,8.318,6.489,8.026,8.350,7.139,7.563,10.614,8.269,7.581,7.213,7.198,6.727,10.586,7.661,8.138,7.808
TAVG,NDJF,1.885,4.210,6.194,4.364,3.280,4.719,4.309,6.906,5.113,6.801,4.926,5.591,5.850,5.938,7.313,4.248,5.960,7.502,4.141,5.075,8.477,5.012,5.271,5.824,4.728,4.475,8.994,6.010,5.850,5.928
RH,year,72.428,73.994,69.945,74.496,72.381,73.944,72.845,71.917,73.310,70.049,71.910,69.222,70.379,70.969,72.677,72.784,69.992,71.091,73.307,67.583,70.084,73.640,68.117,74.370,73.279,72.418,70.360,71.990,71.582,75.143
RH,MAMJJASO,69.844,70.815,66.088,69.880,68.382,70.468,68.336,68.331,71.039,65.917,69.021,64.425,65.617,66.638,69.487,68.317,64.589,67.622,69.556,62.286,66.204,70.505,61.937,71.733,69.922,68.942,65.769,68.957,66.692,71.256
RH,AMJJAS,68.263,68.646,64.546,68.070,65.368,67.949,66.085,66.051,71.315,64.713,67.140,61.052,62.838,64.628,67.910,66.316,63.275,66.740,68.585,58.629,63.315,70.322,58.984,69.168,68.402,67.303,62.398,66.909,64.887,69.608
RH,ONDJFM,74.109,77.360,78.512,78.026,80.347,80.959,77.987,79.493,77.125,72.204,77.653,76.133,77.087,79.226,76.921,79.503,77.032,74.878,78.055,77.349,77.762,75.297,77.700,79.142,77.863,79.448,77.238,77.335,78.198,79.643
RH,NDJF,75.234,79.046,79.901,81.100,80.534,82.964,80.466,82.023,79.006,74.664,79.423,77.917,78.038,82.310,78.103,82.405,80.472,78.232,80.559,80.092,78.996,77.799,81.493,80.256,78.614,81.304,79.058,77.770,81.006,83.053
RHmin,year,53.005,55.606,50.533,56.490,53.076,54.896,54.302,52.834,53.778,51.060,53.343,51.272,52.225,52.748,54.121,55.122,51.864,52.168,54.567,49.095,51.492,54.696,48.845,55.004,53.984,52.959,51.328,52.529,52.476,56.238
RHmin,MAMJJASO,50.482,51.993,46.612,51.293,49.057,50.967,49.559,49.061,51.453,46.670,50.427,46.578,47.545,48.280,50.241,50.538,45.827,48.822,50.943,44.019,47.462,50.814,43.106,51.675,50.406,48.852,46.501,48.795,46.863,52.143
RHmin,AMJJAS,48.858,49.496,45.733,49.344,46.053,48.671,47.375,47.139,52.385,45.888,48.904,43.554,44.897,46.885,49.227,48.607,44.764,48.193,50.214,40.752,45.169,50.652,40.443,49.199,49.411,47.435,42.835,47.524,45.035,50.557
RHmin,ONDJFM,54.442,58.553,60.120,59.535,61.723,62.612,58.479,61.660,56.996,51.829,59.084,57.254,58.308,61.698,58.175,61.276,59.320,56.416,59.047,57.686,59.759,55.482,58.896,59.355,58.576,61.269,57.522,58.790,59.590,61.323
RHmin,NDJF,55.721,60.042,61.743,63.114,62.032,65.148,61.777,64.571,59.038,54.970,61.751,59.515,59.291,65.306,59.840,65.613,63.083,60.212,61.447,60.862,61.344,58.546,63.207,60.684,60.311,63.679,59.937,59.713,63.776,65.462
PREC,year,1262.867,1103.162,845.609,1334.149,1092.309,1092.879,1181.962,1008.739,1030.201,1048.467,1134.544,1156.341,1171.955,1107.473,1363.856,1258.603,1054.502,1192.040,1339.183,993.208,1177.998,1182.473,838.813,1309.793,1299.426,1040.957,1123.302,1139.294,1169.866,1544.962
PREC,MAMJJASO,816.273,741.363,565.121,866.700,632.850,730.740,685.874,648.319,854.627,685.042,740.308,798.851,756.617,784.897,822.538,800.916,563.747,912.179,777.194,579.971,760.187,821.956,526.560,861.797,838.748,740.554,752.231,730.002,590.326,910.391
PREC,AMJJAS,616.070,460.879,371.870,652.420,451.074,533.797,519.935,444.481,728.008,458.844,545.248,336.607,490.759,610.345,668.504,656.026,459.983,693.928,621.600,361.314,581.494,674.814,306.874,578.064,696.328,603.600,501.753,479.016,384.554,754.292
PREC,ONDJFM,229.777,568.284,787.185,580.527,582.664,667.301,543.902,711.953,338.055,303.707,619.329,619.729,708.689,774.159,689.086,493.631,617.090,519.814,664.051,579.273,859.720,369.982,550.383,683.013,611.072,643.825,496.258,533.401,769.961,804.533
PREC,NDJF,135.353,359.156,501.279,413.080,299.384,551.279,356.255,508.789,173.539,176.383,422.919,345.345,301.516,529.872,430.858,441.246,459.810,422.129,412.653,413.103,568.418,325.141,402.703,381.917,349.223,479.706,337.173,249.594,575.135,623.583
SRAD,year,4998.210,4882.940,5082.541,4668.231,4980.199,4923.868,4912.268,4990.337,4822.494,5156.770,4937.168,5152.521,5153.298,5227.715,4919.323,4829.107,5191.467,5148.764,4949.550,5387.310,5035.931,4874.741,5413.189,4852.941,4957.213,5059.087,5282.652,5090.578,5089.062,4762.114
SRAD,MAMJJASO,4277.981,4241.655,4383.864,4090.645,4362.145,4299.517,4313.534,4301.969,4096.179,4442.432,4223.998,4459.814,4470.985,4546.736,4286.042,4198.488,4540.403,4412.221,4268.049,4658.415,4372.004,4262.766,4678.074,4215.511,4293.279,4383.055,4618.698,4398.226,4496.542,4188.427
SRAD,AMJJAS,3610.674,3625.070,3676.539,3468.535,3752.612,3663.656,3686.674,3654.697,3339.566,3721.160,3590.954,3857.977,3816.875,3791.038,3585.307,3586.716,3819.671,3685.376,3571.217,3988.871,3689.965,3536.525,3945.451,3581.608,3590.189,3693.152,3995.538,3734.924,3839.728,3556.610
SRAD,ONDJFM,802.261,1331.422,1279.954,1291.489,1195.127,1197.023,1349.483,1232.037,1413.262,1575.509,1310.199,1372.183,1324.722,1351.353,1351.106,1308.702,1352.226,1436.440,1368.702,1426.969,1244.358,1465.970,1415.082,1313.593,1349.557,1259.923,1405.958,1305.226,1278.824,1234.953
SRAD,NDJF,420.468,677.921,655.707,608.442,636.213,571.776,646.235,610.828,717.279,803.251,673.271,713.165,712.923,628.304,700.138,593.433,669.311,701.417,700.347,718.496,635.489,683.962,663.305,667.668,679.554,627.025,693.455,700.456,610.076,559.338
WIND,year,2.131,2.027,2.217,2.232,2.134,2.105,2.140,2.173,1.869,1.883,1.865,1.951,2.118,2.068,1.975,2.137,2.214,2.277,2.264,2.212,2.319,2.240,2.108,2.005,1.901,1.928,1.942,1.932,1.947,1.915
WIND,MAMJJASO,2.066,1.914,2.203,2.191,2.118,2.022,2.171,2.092,1.816,1.837,1.842,1.964,2.102,2.071,1.888,2.161,2.280,2.321,2.237,2.223,2.271,2.173,2.106,1.979,1.869,1.929,1.912,1.928,1.925,1.911
WIND,AMJJAS,2.024,1.786,2.192,2.164,2.158,2.057,2.123,2.029,1.819,1.804,1.846,1.920,2.051,2.050,1.874,2.169,2.280,2.266,2.179,2.155,2.249,2.094,2.036,1.974,1.898,1.832,1.888,1.879,1.837,1.850
WIND,ONDJFM,2.273,2.144,2.432,2.324,2.137,2.213,2.103,2.308,1.961,1.963,1.965,1.886,2.141,2.201,2.136,1.860,2.158,2.378,2.244,2.281,2.417,2.295,2.250,2.183,1.937,1.974,2.057,1.915,2.001,2.029
WIND,NDJF,2.291,2.099,2.472,2.371,2.120,2.362,2.074,2.273,1.976,2.031,1.986,1.858,2.108,2.196,2.082,1.930,2.133,2.282,2.132,2.228,2.386,2.342,2.256,2.130,1.975,1.912,2.060,1.846,1.948,1.963
VPD,year,0.605,0.578,0.692,0.542,0.632,0.588,0.616,0.656,0.567,0.690,0.610,0.756,0.727,0.729,0.607,0.600,0.665,0.674,0.624,0.857,0.729,0.615,0.852,0.584,0.581,0.658,0.751,0.681,0.711,0.582
VPD,MAMJJASO,0.799,0.765,0.929,0.729,0.855,0.789,0.836,0.873,0.723,0.906,0.812,1.014,0.988,0.973,0.796,0.803,0.888,0.883,0.839,1.151,0.975,0.795,1.179,0.770,0.777,0.871,1.004,0.890,0.961,0.778
VPD,AMJJAS,0.908,0.911,1.081,0.849,1.014,0.938,1.003,1.043,0.789,1.025,0.947,1.228,1.175,1.145,0.925,0.954,1.029,1.035,0.965,1.382,1.130,0.898,1.425,0.913,0.909,1.015,1.213,1.044,1.138,0.924
VPD,ONDJFM,0.282,0.277,0.267,0.261,0.227,0.239,0.247,0.263,0.298,0.396,0.288,0.279,0.274,0.295,0.290,0.240,0.304,0.323,0.273,0.291,0.339,0.339,0.296,0.253,0.263,0.240,0.344,0.285,0.284,0.269
VPD,NDJF,0.192,0.202,0.208,0.176,0.173,0.169,0.184,0.199,0.209,0.302,0.195,0.223,0.226,0.186,0.252,0.162,0.225,0.262,0.185,0.201,0.265,0.227,0.200,0.202,0.205,0.173,0.273,0.245,0.196,0.185
FWI_FD,year,2.979,2.812,4.540,2.541,4.160,3.292,3.309,4.131,2.602,4.109,3.086,5.311,4.597,3.682,2.848,3.167,3.751,3.548,2.903,6.245,4.516,2.897,6.309,2.666,2.445,3.708,4.317,3.498,4.406,2.503
FWI_FD,MAMJJASO,4.189,3.847,6.147,3.537,6.037,4.590,4.796,5.904,3.066,5.661,4.358,7.644,6.379,5.182,4.010,4.476,5.329,4.776,4.140,8.967,6.262,3.973,9.195,3.784,3.339,5.031,6.179,4.762,6.399,3.612
