Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,8.220,9.219,9.424,9.304,7.919,8.653,8.039,9.332,10.329,10.548,9.750,9.919,9.124,9.329,9.274,8.936,10.020,9.121,9.859,10.358,9.350,10.265,10.446,10.306,10.491,10.869,10.418,10.410,10.031,8.493
TMAX,MAMJJASO,12.861,13.460,13.515,13.450,12.997,13.166,12.398,13.507,14.027,14.481,13.802,13.560,13.081,13.707,13.606,13.615,14.299,13.017,14.140,14.132,13.667,15.244,14.762,14.617,14.441,14.820,14.979,14.314,14.632,14.087
TMAX,AMJJAS,15.749,15.925,16.043,16.164,15.195,15.393,14.796,16.560,16.385,16.700,16.186,16.502,15.592,16.530,15.859,16.055,17.129,15.514,16.784,16.309,16.275,18.608,17.463,17.207,16.767,18.088,16.975,17.093,17.677,16.701
TMAX,ONDJFM,-0.770,1.090,3.018,1.855,1.605,1.163,1.300,2.435,3.806,4.131,3.233,4.271,2.937,1.081,3.195,1.846,2.766,2.887,2.192,3.680,3.061,3.590,1.814,3.193,3.722,3.243,4.566,3.893,2.992,1.251
TMAX,NDJF,-1.314,-1.410,1.549,0.215,-0.518,-2.079,-0.547,0.836,2.312,2.391,1.157,3.034,2.052,-0.985,1.986,-0.691,0.525,1.588,0.389,2.137,1.391,1.449,-0.318,1.567,2.367,1.878,2.421,2.456,1.086,-0.932
TMIN,year,0.644,1.915,2.217,2.322,0.610,1.307,0.914,2.144,3.056,3.367,2.533,2.572,1.756,1.812,1.948,1.297,2.517,2.253,2.575,3.347,1.960,2.702,2.642,2.766,2.896,3.270,2.821,2.725,2.537,0.699
TMIN,MAMJJASO,4.700,5.441,5.788,5.549,5.143,5.243,4.714,5.438,5.784,6.192,5.774,5.330,4.715,5.319,5.529,5.061,5.706,5.359,6.056,6.202,5.422,6.627,6.120,6.301,5.773,6.096,6.382,5.560,6.067,5.426
TMIN,AMJJAS,7.034,6.998,7.745,7.821,6.861,6.763,6.648,7.869,7.386,7.816,7.443,7.460,6.668,7.502,7.105,6.922,7.865,7.502,7.964,7.841,7.718,9.260,8.302,8.263,7.901,8.872,8.056,7.643,8.400,7.569
TMIN,ONDJFM,-8.092,-4.830,-2.840,-4.177,-4.066,-5.181,-4.991,-2.827,-1.928,-1.376,-2.499,-1.302,-3.027,-4.885,-2.373,-4.442,-3.334,-2.712,-3.313,-2.377,-2.649,-2.490,-4.190,-3.052,-2.493,-3.010,-1.438,-2.048,-2.956,-4.844
TMIN,NDJF,-8.399,-7.491,-4.416,-5.551,-6.072,-8.455,-6.646,-4.084,-3.265,-2.686,-4.333,-2.468,-3.455,-6.756,-3.414,-6.547,-5.356,-3.455,-4.941,-3.634,-3.639,-4.221,-6.174,-4.225,-3.322,-3.457,-3.082,-2.897,-4.622,-6.457
TAVG,year,4.283,5.458,5.671,5.658,4.094,4.786,4.297,5.594,6.537,6.786,5.925,6.104,5.262,5.401,5.392,4.923,6.123,5.491,6.036,6.646,5.493,6.350,6.332,6.369,6.508,6.865,6.417,6.398,6.065,4.390
TAVG,MAMJJASO,8.539,9.267,9.430,9.259,8.796,8.920,8.291,9.244,9.674,10.088,9.468,9.234,8.627,9.259,9.247,9.013,9.768,8.881,9.836,9.859,9.285,10.690,10.132,10.202,9.786,10.179,10.384,9.673,10.040,9.429
TAVG,AMJJAS,11.124,11.244,11.635,11.725,10.744,10.738,10.402,11.936,11.614,11.977,11.477,11.751,10.820,11.706,11.086,11.113,12.236,11.158,12.081,11.709,11.681,13.656,12.566,12.461,11.983,13.187,12.229,12.070,12.712,11.764
TAVG,ONDJFM,-4.500,-1.870,0.060,-1.193,-1.270,-2.051,-1.915,-0.207,0.919,1.336,0.263,1.399,-0.077,-1.922,0.355,-1.302,-0.317,0.042,-0.599,0.591,0.154,0.594,-1.251,-0.027,0.624,0.003,1.449,0.850,-0.065,-1.869
TAVG,NDJF,-4.875,-4.393,-1.415,-2.649,-3.280,-5.219,-3.637,-1.616,-0.445,-0.148,-1.614,0.248,-0.678,-3.842,-0.722,-3.570,-2.374,-0.929,-2.239,-0.737,-1.151,-1.267,-3.235,-1.327,-0.382,-0.820,-0.360,-0.210,-1.789,-3.682
RH,year,77.891,77.573,77.945,78.391,78.281,77.423,77.836,77.763,77.292,77.309,78.195,77.719,78.010,77.975,78.462,78.614,77.908,80.307,80.258,81.005,80.034,79.431,78.612,77.898,77.759,77.874,77.689,77.374,77.636,77.701
RH,MAMJJASO,76.515,74.544,76.075,75.924,76.188,75.591,75.718,74.919,74.773,73.850,75.930,74.728,75.413,74.346,75.884,75.556,74.408,78.403,78.029,78.747,78.334,76.763,75.955,75.069,75.235,74.965,74.656,74.436,74.749,75.835
RH,AMJJAS,74.947,72.241,74.957,75.066,75.051,73.675,74.766,73.312,72.513,72.341,73.435,72.855,74.299,72.620,74.228,74.227,73.059,77.659,76.191,78.034,76.957,75.939,74.502,73.468,73.849,73.353,73.294,72.569,72.956,74.159
RH,ONDJFM,79.500,81.929,82.057,80.826,82.191,81.259,80.177,82.956,81.887,81.888,82.484,82.639,81.672,83.143,83.108,82.227,82.741,83.568,84.295,82.944,84.038,83.562,82.820,82.241,81.507,81.898,82.884,82.144,82.341,82.039
RH,NDJF,80.289,81.831,82.879,82.682,83.103,81.488,80.949,84.635,82.440,83.399,82.797,83.092,83.736,84.584,84.788,83.978,84.580,85.384,84.778,84.418,85.141,84.571,84.121,83.939,82.360,83.980,83.939,83.499,83.353,82.757
RHmin,year,61.189,62.042,62.220,63.113,61.969,61.275,62.017,62.298,61.866,61.987,62.272,62.092,61.969,61.746,62.158,61.830,61.960,64.570,63.914,64.978,63.466,62.993,61.557,61.618,61.400,61.585,61.334,61.097,61.363,60.518
RHmin,MAMJJASO,59.305,58.597,60.064,59.559,59.573,58.975,59.493,58.550,58.252,57.292,59.095,58.324,58.150,57.459,58.914,57.735,57.244,61.494,60.855,61.449,60.608,58.964,58.071,58.140,57.272,57.415,57.308,56.942,57.247,57.698
RHmin,AMJJAS,57.269,55.275,58.328,58.339,57.975,56.195,57.905,56.325,55.239,55.222,55.989,55.688,56.447,55.054,56.337,55.748,55.215,60.434,58.243,59.920,58.980,57.201,56.237,55.977,55.973,55.587,55.866,54.494,54.846,55.686
RHmin,ONDJFM,61.798,67.328,67.613,66.204,68.063,65.754,64.969,69.886,67.887,68.431,68.094,68.593,67.210,68.221,69.156,66.934,67.801,69.608,70.151,67.923,69.728,68.952,67.889,66.853,66.872,66.709,68.067,67.564,67.472,66.849
RHmin,NDJF,62.788,66.789,68.086,68.157,68.930,65.842,65.734,71.839,68.711,70.438,68.840,69.114,69.869,69.716,70.837,69.057,69.674,72.374,71.028,69.721,71.857,70.591,69.213,69.293,68.694,70.262,69.757,69.974,68.760,68.617
PREC,year,1028.537,1165.067,1289.418,1061.761,1142.599,1111.112,1127.858,1258.539,1236.426,1300.258,1072.163,1197.703,1062.656,1111.387,1150.646,927.863,1147.058,1174.937,1259.957,1418.743,1161.707,1027.154,1114.587,1205.249,1181.518,1231.130,1250.142,1224.439,1152.957,920.813
PREC,MAMJJASO,670.608,771.876,857.722,710.443,826.793,727.186,780.862,820.124,727.548,777.104,665.748,694.102,632.751,716.964,759.739,623.209,759.242,777.514,795.407,858.311,770.563,665.672,725.323,753.305,714.319,691.015,783.352,723.591,745.259,735.955
PREC,AMJJAS,481.179,568.896,562.498,473.170,610.199,503.514,530.244,633.430,517.109,507.288,496.262,523.157,430.429,489.541,500.495,450.997,519.421,549.621,568.349,568.102,559.755,483.224,553.257,579.145,555.784,491.299,606.131,459.019,589.663,517.461
PREC,ONDJFM,239.386,535.870,657.115,633.258,593.373,508.848,629.581,695.374,722.291,782.965,562.268,661.396,677.727,576.603,718.358,425.533,682.278,613.932,618.816,718.563,736.186,702.740,468.418,536.653,662.758,590.076,826.656,724.890,625.459,469.149
PREC,NDJF,167.309,310.865,478.643,376.340,322.529,294.952,417.861,434.633,516.170,524.639,354.202,474.383,528.386,338.978,501.452,244.567,417.592,405.221,371.995,491.518,498.563,458.278,281.358,396.677,498.825,433.872,587.919,528.312,387.440,305.781
SRAD,year,2839.396,3050.129,2679.716,2784.084,2890.049,2815.891,2780.137,2953.424,3037.359,2963.279,2989.936,3014.203,3038.848,3067.367,3008.357,3000.539,3171.633,2788.573,2964.708,2851.322,2954.647,3072.960,3114.690,3049.434,3044.166,3115.316,3058.615,3215.678,3074.877,2952.906
SRAD,MAMJJASO,2690.144,2915.281,2541.251,2664.109,2757.258,2674.899,2637.794,2831.824,2895.673,2837.950,2842.074,2874.754,2900.774,2931.462,2862.421,2867.979,3042.251,2658.202,2822.042,2722.740,2803.360,2937.278,2963.732,2897.994,2894.725,2968.422,2916.707,3072.197,2940.139,2819.926
SRAD,AMJJAS,2402.113,2645.921,2268.239,2350.265,2462.475,2402.133,2358.385,2548.379,2599.342,2533.420,2562.534,2579.379,2565.033,2610.563,2564.257,2526.046,2697.462,2342.086,2543.850,2425.281,2471.509,2608.283,2616.975,2570.224,2537.598,2642.073,2559.177,2734.933,2607.478,2509.878
SRAD,ONDJFM,290.473,423.695,408.619,438.192,400.348,421.393,450.285,377.943,432.154,437.411,428.863,425.045,483.731,444.825,450.915,490.996,463.554,437.664,428.504,457.033,447.545,463.531,485.552,485.092,501.530,494.787,461.516,501.198,461.204,450.862
SRAD,NDJF,99.985,142.510,137.176,125.796,132.047,136.530,143.964,111.516,147.732,128.570,148.004,138.953,143.177,131.216,138.189,143.081,135.898,117.857,147.821,137.589,130.977,145.074,152.466,140.280,155.561,142.861,136.677,150.116,143.863,125.055
WIND,year,2.142,2.402,2.439,2.282,2.167,2.368,2.326,2.281,2.417,2.527,2.350,2.367,2.403,2.286,2.312,2.093,2.355,2.226,2.243,2.320,2.156,2.178,2.197,2.264,2.388,2.317,2.428,2.353,2.298,2.248
WIND,MAMJJASO,2.088,2.501,2.385,2.242,2.258,2.416,2.406,2.239,2.280,2.534,2.375,2.310,2.283,2.376,2.345,2.169,2.391,2.212,2.207,2.294,2.108,2.208,2.233,2.323,2.381,2.218,2.495,2.266,2.328,2.362
WIND,AMJJAS,2.114,2.514,2.303,2.228,2.208,2.381,2.332,2.292,2.320,2.401,2.477,2.348,2.275,2.346,2.241,2.192,2.343,2.212,2.235,2.233,2.185,2.203,2.278,2.368,2.488,2.298,2.537,2.178,2.349,2.364
WIND,ONDJFM,2.218,2.209,2.405,2.509,2.174,2.164,2.383,2.376,2.533,2.647,2.174,2.451,2.558,2.218,2.471,2.034,2.322,2.210,2.133,2.466,2.062,2.302,2.071,2.052,2.334,2.227,2.421,2.460,2.347,2.105
WIND,NDJF,2.311,2.145,2.477,2.440,2.094,1.999,2.422,2.256,2.734,2.573,2.148,2.554,2.716,2.112,2.422,1.934,2.219,2.200,2.117,2.591,2.028,2.365,2.001,2.043,2.514,2.265,2.534,2.473,2.261,2.121
VPD,year,0.240,0.281,0.269,0.259,0.240,0.263,0.241,0.273,0.289,0.293,0.264,0.287,0.253,0.278,0.259,0.251,0.285,0.225,0.248,0.234,0.234,0.271,0.274,0.280,0.278,0.300,0.287,0.295,0.287,0.254
VPD,MAMJJASO,0.310,0.373,0.349,0.337,0.319,0.343,0.315,0.359,0.371,0.386,0.343,0.374,0.327,0.373,0.341,0.336,0.379,0.289,0.324,0.301,0.300,0.363,0.361,0.369,0.360,0.393,0.381,0.386,0.381,0.340
VPD,AMJJAS,0.368,0.445,0.409,0.396,0.368,0.404,0.363,0.429,0.441,0.447,0.409,0.450,0.383,0.445,0.399,0.394,0.450,0.336,0.386,0.346,0.358,0.432,0.426,0.435,0.419,0.478,0.440,0.462,0.457,0.403
VPD,ONDJFM,0.105,0.111,0.123,0.124,0.114,0.117,0.121,0.117,0.132,0.140,0.125,0.128,0.126,0.102,0.119,0.115,0.118,0.112,0.103,0.123,0.109,0.118,0.111,0.123,0.130,0.126,0.132,0.128,0.122,0.108
VPD,NDJF,0.097,0.091,0.105,0.099,0.091,0.086,0.101,0.090,0.115,0.112,0.102,0.116,0.105,0.079,0.097,0.084,0.087,0.092,0.087,0.102,0.091,0.097,0.085,0.098,0.113,0.101,0.106,0.108,0.099,0.088
FWI_FD,year,1.100,1.494,1.320,1.108,0.798,1.229,0.914,1.157,1.435,1.557,1.545,1.820,1.148,1.674,1.177,1.210,1.668,0.736,0.956,0.827,0.801,1.249,1.080,1.193,1.112,1.422,1.269,1.335,1.213,0.973
FWI_FD,MAMJJASO,1.582,2.185,1.890,1.561,1.138,1.769,1.299,1.676,2.035,2.273,2.243,2.655,1.627,2.457,1.702,1.763,2.420,1.041,1.387,1.121,1.118,1.810,1.554,1.737,1.601,2.055,1.846,1.928,1.724,1.391
FWI_FD,AMJJAS,2.071,2.799,2.423,2.013,1.387,2.214,1.560,2.174,2.596,2.851,2.912,3.412,2.059,3.130,2.188,2.254,3.096,1.315,1.800,1.337,1.442,2.326,1.918,2.224,2.020,2.696,2.269,2.530,2.207,1.733
FWI_FD,ONDJFM,0.122,0.136,0.180,0.223,0.172,0.246,0.226,0.249,0.147,0.310,0.230,0.163,0.273,0.154,0.229,0.205,0.186,0.168,0.125,0.149,0.304,0.139,0.238,0.191,0.161,0.196,0.178,0.220,0.156,0.190
FWI_FD,NDJF,0.134,0.103,0.087,0.162,0.173,0.132,0.130,0.114,0.135,0.164,0.129,0.139,0.113,0.130,0.087,0.122,0.074,0.130,0.098,0.097,0.236,0.125,0.131,0.102,0.100,0.118,0.098,0.133,0.131,0.154
FWI_3+,year,12.159,24.791,21.772,12.256,8.810,17.565,10.567,18.786,22.962,26.386,23.793,32.909,13.360,27.415,16.972,15.060,27.819,7.829,8.528,7.155,7.288,14.496,9.675,16.793,12.843,23.327,16.064,19.493,16.075,8.879
FWI_3+,MAMJJASO,12.154,24.789,21.721,12.058,8.777,17.531,10.546,18.770,22.939,26.378,23.789,32.907,13.341,27.413,16.942,15.059,27.806,7.824,8.526,6.863,7.282,14.492,9.670,16.792,12.830,23.309,16.062,19.473,16.048,8.873
FWI_3+,AMJJAS,12.152,24.558,21.681,12.033,8.772,16.975,9.953,18.766,22.457,26.172,23.752,32.716,13.274,27.376,16.892,15.053,27.806,7.822,8.523,6.290,7.264,14.491,9.658,16.781,12.746,23.309,16.039,19.471,15.999,8.704
FWI_3+,ONDJFM,0.004,0.015,0.225,0.089,0.252,0.052,0.555,0.608,0.017,0.520,0.236,0.008,0.215,0.064,0.075,0.043,0.008,0.012,0.008,0.004,0.884,0.005,0.013,0.009,0.011,0.108,0.026,0.023,0.008,0.076
FWI_3+,NDJF,0.004,0.001,0.005,0.049,0.227,0.010,0.036,0.014,0.013,0.026,0.007,0.004,0.006,0.014,0.031,0.000,0.004,0.012,0.004,0.003,0.293,0.003,0.004,0.005,0.000,0.024,0.008,0.017,0.005,0.029
FWI_4+,year,0.343,2.598,1.991,1.104,0.896,2.060,0.664,1.249,2.030,1.916,3.300,11.347,0.967,3.528,0.962,0.314,1.903,0.509,0.306,0.151,0.330,1.958,0.760,0.889,1.152,1.842,1.493,3.035,0.747,0.218
FWI_4+,MAMJJASO,0.342,2.598,1.990,1.093,0.878,2.058,0.657,1.239,2.027,1.915,3.298,11.347,0.965,3.528,0.960,0.313,1.897,0.507,0.306,0.134,0.330,1.957,0.760,0.889,1.152,1.840,1.492,3.031,0.743,0.216
FWI_4+,AMJJAS,0.342,2.581,1.990,1.093,0.878,2.038,0.585,1.239,1.958,1.913,3.297,11.344,0.955,3.528,0.959,0.312,1.897,0.507,0.304,0.094,0.318,1.957,0.760,0.887,1.150,1.840,1.492,3.030,0.743,0.215
FWI_4+,ONDJFM,0.001,0.001,0.016,0.000,0.029,0.001,0.024,0.076,0.010,0.073,0.003,0.003,0.013,0.001,0.002,0.002,0.001,0.005,0.004,0.001,0.069,0.000,0.001,0.000,0.001,0.003,0.002,0.004,0.001,0.006
FWI_4+,NDJF,0.001,0.000,0.000,0.000,0.029,0.000,0.005,0.004,0.010,0.003,0.000,0.002,0.001,0.001,0.002,0.000,0.001,0.005,0.002,0.000,0.017,0.000,0.001,0.000,0.000,0.001,0.002,0.003,0.001,0.005
FWI_5+,year,0.008,0.063,0.064,0.084,0.044,0.109,0.051,0.061,0.162,0.083,0.273,0.817,0.033,0.079,0.009,0.006,0.053,0.017,0.012,0.006,0.014,0.093,0.035,0.026,0.007,0.034,0.078,0.358,0.010,0.008
FWI_5+,MAMJJASO,0.008,0.063,0.064,0.083,0.030,0.109,0.045,0.055,0.162,0.083,0.272,0.817,0.032,0.079,0.008,0.006,0.049,0.016,0.012,0.003,0.014,0.093,0.035,0.026,0.007,0.033,0.078,0.357,0.009,0.007
FWI_5+,AMJJAS,0.008,0.061,0.064,0.083,0.030,0.109,0.027,0.055,0.159,0.083,0.272,0.816,0.026,0.079,0.008,0.005,0.049,0.016,0.011,0.002,0.004,0.093,0.035,0.025,0.007,0.033,0.078,0.357,0.009,0.007
FWI_5+,ONDJFM,0.000,0.000,0.001,0.000,0.015,0.000,0.003,0.021,0.007,0.003,0.000,0.002,0.007,0.001,0.001,0.001,0.000,0.003,0.003,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.000,0.001
FWI_5+,NDJF,0.000,0.000,0.000,0.000,0.015,0.000,0.003,0.003,0.007,0.000,0.000,0.001,0.001,0.000,0.001,0.000,0.000,0.003,0.002,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.001
FWI_6,year,0.000,0.003,0.004,0.011,0.014,0.008,0.013,0.019,0.037,0.002,0.033,0.052,0.007,0.010,0.003,0.005,0.008,0.002,0.004,0.003,0.009,0.010,0.005,0.003,0.000,0.000,0.006,0.060,0.001,0.001
FWI_6,MAMJJASO,0.000,0.003,0.004,0.010,0.003,0.008,0.008,0.015,0.037,0.002,0.033,0.052,0.006,0.010,0.003,0.005,0.006,0.001,0.004,0.001,0.009,0.010,0.005,0.003,0.000,0.000,0.005,0.060,0.000,0.000
FWI_6,AMJJAS,0.000,0.002,0.004,0.010,0.003,0.008,0.004,0.015,0.037,0.002,0.033,0.052,0.002,0.010,0.003,0.004,0.006,0.001,0.003,0.001,0.000,0.010,0.005,0.003,0.000,0.000,0.005,0.059,0.000,0.000
FWI_6,ONDJFM,0.000,0.000,0.001,0.000,0.011,0.000,0.003,0.006,0.004,0.000,0.000,0.000,0.005,0.000,0.000,0.001,0.000,0.002,0.002,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001
FWI_6,NDJF,0.000,0.000,0.000,0.000,0.011,0.000,0.003,0.002,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001
