Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,15.825,16.889,17.267,15.632,14.822,15.823,14.635,16.320,17.564,17.418,16.069,17.184,15.941,17.116,16.470,14.831,16.050,16.372,17.282,18.002,16.448,17.669,17.028,16.562,16.964,17.431,17.738,17.691,17.029,15.984
TMAX,MAMJJASO,21.016,21.958,22.405,20.295,20.348,20.919,19.531,21.018,22.148,21.686,20.960,22.127,20.765,21.870,21.722,20.029,20.738,21.082,22.524,22.611,21.502,22.805,22.215,21.534,22.084,22.652,22.823,22.026,22.116,21.584
TMAX,AMJJAS,23.380,24.430,25.265,22.636,23.043,23.474,22.398,23.994,24.330,23.453,23.348,25.443,23.599,24.862,24.127,22.994,23.519,24.056,25.312,24.995,23.819,25.927,25.703,23.930,24.984,25.818,25.413,24.596,25.612,24.530
TMAX,ONDJFM,6.592,8.026,10.074,8.368,6.878,7.472,7.138,9.064,10.247,11.252,9.361,9.199,8.271,8.656,9.530,6.215,8.826,9.326,8.311,9.154,10.627,10.200,7.592,8.527,9.057,7.712,12.135,9.650,9.200,7.960
TMAX,NDJF,3.996,5.014,7.797,6.221,3.455,4.669,5.102,7.402,7.642,8.703,6.357,6.995,6.830,6.063,8.053,3.063,6.074,8.044,5.474,7.065,8.287,7.109,4.976,6.830,6.939,5.046,9.484,7.749,6.886,5.541
TMIN,year,7.265,7.224,7.858,7.293,6.456,6.693,6.050,7.531,8.136,8.031,7.062,7.604,6.973,7.764,7.280,6.172,7.190,7.668,7.995,8.415,7.708,8.133,7.080,7.465,7.117,7.600,8.298,8.314,7.596,6.924
TMIN,MAMJJASO,10.979,10.538,11.399,10.529,10.797,10.327,9.615,10.545,11.100,10.583,10.427,10.629,10.269,10.828,10.946,9.935,10.314,11.033,11.424,11.294,11.405,11.730,10.544,10.767,10.207,11.116,11.474,11.041,10.919,11.048
TMIN,AMJJAS,12.615,12.229,13.181,12.323,12.658,12.393,12.048,12.811,12.504,11.978,12.167,12.843,12.289,12.888,12.701,12.150,12.357,13.241,13.355,12.759,13.155,13.918,13.082,12.366,12.466,13.477,13.405,12.763,12.930,13.609
TMIN,ONDJFM,-0.057,1.436,3.297,1.707,0.382,0.863,-0.138,3.066,3.044,3.997,2.453,2.451,1.705,2.254,2.667,-0.550,1.924,2.739,1.844,2.872,3.493,2.977,0.412,1.915,2.331,0.487,4.505,3.082,2.747,1.292
TMIN,NDJF,-1.760,-0.765,1.862,0.345,-2.643,-1.161,-1.304,2.403,1.801,2.206,0.728,1.277,0.936,0.496,1.954,-2.763,0.180,2.197,-0.151,1.439,2.102,0.850,-1.443,0.817,1.329,-0.947,3.258,2.031,1.152,-0.388
TAVG,year,11.410,11.903,12.468,11.268,10.452,11.091,10.162,11.813,12.778,12.615,11.437,12.349,11.400,12.426,11.815,10.277,11.397,11.797,12.445,12.997,11.876,12.680,11.832,11.814,11.800,12.316,12.813,12.809,12.102,11.269
TAVG,MAMJJASO,15.788,16.104,16.789,15.197,15.326,15.426,14.328,15.656,16.564,16.029,15.538,16.351,15.448,16.380,16.269,14.752,15.288,15.833,16.772,16.739,16.238,17.046,16.175,15.919,15.892,16.717,16.939,16.371,16.296,16.097
TAVG,AMJJAS,17.831,18.293,19.148,17.312,17.641,17.818,17.017,18.345,18.439,17.720,17.685,19.247,17.949,19.039,18.473,17.409,17.791,18.480,19.232,18.759,18.358,19.786,19.296,18.000,18.592,19.591,19.292,18.648,19.102,18.931
TAVG,ONDJFM,3.161,4.546,6.511,4.876,3.427,3.994,3.314,5.883,6.431,7.457,5.701,5.636,4.833,5.311,5.910,2.628,5.044,5.739,4.800,5.771,6.712,6.300,3.696,4.941,5.397,3.753,7.967,6.051,5.674,4.375
TAVG,NDJF,1.129,2.047,4.735,3.201,0.277,1.680,1.798,4.809,4.614,5.338,3.474,4.075,3.813,3.218,4.934,0.028,2.914,4.895,2.471,4.105,4.940,3.812,1.546,3.628,3.932,1.831,6.126,4.665,3.823,2.406
RH,year,78.417,75.631,75.727,78.241,79.106,77.011,78.426,77.595,77.049,77.195,79.301,76.234,77.958,77.380,78.511,80.189,79.601,79.586,79.013,77.941,80.622,77.283,76.767,77.805,76.681,76.547,77.690,77.552,79.137,79.900
RH,MAMJJASO,75.663,71.876,72.127,75.833,77.329,73.994,75.464,74.233,73.565,73.847,76.840,71.629,75.249,73.951,75.525,77.774,76.370,76.798,75.413,73.946,78.245,73.916,72.626,73.954,72.425,72.322,73.813,74.032,75.451,76.952
RH,AMJJAS,74.065,69.925,69.840,74.933,75.110,72.644,74.687,72.419,71.843,73.046,75.291,68.303,73.120,71.520,73.319,75.901,74.633,75.257,73.188,71.551,76.359,71.585,69.653,71.431,69.907,68.948,71.414,71.222,71.983,75.846
RH,ONDJFM,81.102,82.118,82.175,81.031,82.180,82.619,81.333,83.913,81.122,81.209,83.136,83.765,83.511,83.230,83.144,84.375,84.253,84.543,84.679,84.768,84.635,83.328,83.456,84.318,83.719,84.340,82.938,84.408,85.917,84.950
RH,NDJF,82.572,84.081,83.355,82.802,82.312,83.456,82.923,85.889,83.849,82.927,84.671,85.507,84.337,84.171,84.255,85.173,85.349,85.994,86.245,85.525,86.474,84.516,84.427,85.315,85.166,85.731,84.947,85.215,86.687,85.777
RHmin,year,60.959,57.079,57.852,60.924,61.452,58.759,60.526,60.151,58.807,59.029,60.729,58.255,60.263,59.435,60.289,61.782,61.015,61.207,60.218,58.966,62.072,58.407,57.327,59.469,57.492,57.415,59.082,58.963,60.128,61.005
RHmin,MAMJJASO,56.331,51.713,52.844,56.805,58.314,54.337,55.987,54.935,53.859,53.803,56.440,51.952,55.908,54.478,55.735,57.879,56.058,57.113,54.776,53.464,58.285,53.795,51.914,53.960,51.137,51.984,53.315,54.102,54.761,56.535
RHmin,AMJJAS,54.310,49.691,49.861,55.699,55.484,53.065,55.128,52.998,51.826,53.155,54.743,48.568,53.561,51.987,53.803,55.825,54.213,55.225,52.377,50.877,56.589,51.169,49.033,51.351,49.105,49.033,51.096,51.493,50.249,55.821
RHmin,ONDJFM,65.522,66.286,66.212,65.279,66.163,66.670,64.215,69.073,64.421,64.799,66.569,67.367,67.432,67.740,66.446,67.362,66.770,67.784,68.181,68.634,66.709,65.818,65.585,67.375,66.935,66.245,64.690,67.655,69.095,67.992
RHmin,NDJF,68.566,69.517,68.833,68.284,66.948,68.843,67.159,72.809,69.179,67.387,70.459,70.954,69.626,70.209,69.180,69.764,69.735,70.624,70.994,70.774,70.033,68.638,67.787,69.496,70.394,69.951,68.790,70.117,71.333,70.130
PREC,year,738.352,447.307,589.204,560.031,606.285,598.714,662.615,598.579,514.095,588.722,563.595,578.237,640.677,701.345,660.798,627.325,697.250,763.669,682.540,675.746,740.349,664.536,510.463,652.476,606.221,586.753,726.646,653.453,703.985,853.006
PREC,MAMJJASO,536.540,304.579,411.098,449.790,453.614,431.074,465.236,403.405,389.345,440.662,413.823,407.221,443.289,503.909,501.889,528.863,559.941,575.948,488.038,476.751,595.907,491.112,376.083,456.391,398.020,442.217,495.324,487.952,538.075,634.929
PREC,AMJJAS,389.493,264.820,313.117,399.365,399.418,370.732,404.195,341.053,316.924,379.083,357.212,279.750,374.864,350.350,430.699,461.227,461.268,438.044,403.079,373.485,515.344,349.207,297.647,362.255,349.124,368.773,421.290,365.296,382.200,581.991
PREC,ONDJFM,136.704,290.528,274.273,188.026,167.022,215.089,238.087,284.420,192.278,217.741,191.997,275.471,297.759,303.865,323.140,150.963,177.990,307.833,304.734,338.773,226.356,271.365,226.640,284.362,274.771,218.257,324.177,263.238,273.062,286.925
PREC,NDJF,69.886,191.306,189.480,133.347,103.135,168.708,172.105,204.227,153.163,140.351,139.386,171.040,198.487,189.031,207.878,109.731,101.061,182.124,190.322,196.892,159.376,202.539,108.480,181.469,189.368,165.381,245.508,166.884,145.887,163.177
SRAD,year,3866.672,4341.800,4073.970,3757.297,3800.775,4093.042,3824.343,4040.526,4092.155,4153.276,4051.911,4257.884,4061.468,4193.282,4153.123,3938.640,4155.930,4015.069,4204.108,4213.840,3941.446,4180.300,4439.708,4132.096,4341.765,4376.337,4266.619,4224.190,4316.803,4093.891
SRAD,MAMJJASO,3531.122,3962.154,3716.871,3385.603,3438.375,3696.016,3478.623,3695.685,3714.376,3785.447,3680.739,3902.106,3697.374,3822.214,3769.234,3544.455,3782.576,3645.183,3842.501,3838.765,3567.497,3799.167,4040.793,3788.688,3983.339,3992.253,3923.451,3840.369,3975.882,3749.354
SRAD,AMJJAS,3083.556,3406.647,3290.010,2887.012,3030.622,3172.959,2947.090,3203.100,3216.628,3233.973,3186.221,3429.837,3210.882,3337.176,3268.456,3048.469,3263.082,3142.628,3333.659,3356.821,3092.620,3317.816,3509.442,3302.591,3407.942,3491.997,3390.882,3347.380,3575.964,3186.473
SRAD,ONDJFM,461.880,872.566,802.980,868.100,795.535,856.165,920.793,802.702,917.000,889.182,870.300,869.691,838.959,816.288,883.680,919.928,914.954,875.932,854.403,817.119,875.821,890.022,912.412,819.854,885.550,905.238,922.084,854.820,787.833,826.509
SRAD,NDJF,204.144,355.120,346.033,375.460,379.388,373.829,391.428,317.744,370.088,390.535,364.129,351.202,368.190,341.612,390.891,397.117,395.228,357.837,361.104,365.337,384.045,373.934,395.318,361.777,353.434,368.170,363.301,368.682,349.400,353.494
WIND,year,3.120,2.816,3.220,2.956,2.865,2.976,2.917,3.060,2.893,3.041,2.815,2.951,2.995,2.830,2.763,2.598,2.749,2.940,2.695,2.613,2.536,2.592,2.463,2.648,2.557,2.484,2.810,2.803,2.587,2.633
WIND,MAMJJASO,2.834,2.699,2.905,2.748,2.718,2.741,2.821,2.750,2.695,2.841,2.639,2.803,2.691,2.653,2.578,2.549,2.699,2.842,2.460,2.479,2.401,2.443,2.416,2.556,2.390,2.395,2.582,2.608,2.553,2.582
