Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,15.658,15.972,16.664,15.325,14.960,16.128,15.263,15.623,16.497,17.241,15.158,16.427,15.830,17.544,15.923,15.107,15.237,16.003,16.722,17.859,16.674,17.148,16.363,16.302,15.718,16.428,17.893,17.525,17.555,16.690
TMAX,MAMJJASO,21.394,21.443,22.413,20.623,21.031,22.231,20.704,21.183,21.587,22.481,20.581,22.058,21.443,23.097,21.560,20.409,20.049,21.546,22.254,23.281,22.604,22.466,22.279,21.705,21.034,22.003,23.553,22.761,23.115,21.847
TMAX,AMJJAS,23.320,24.053,24.810,22.912,24.040,25.259,24.214,23.993,23.603,24.132,22.966,24.651,24.117,25.809,23.880,23.678,22.632,24.386,24.982,25.991,24.536,24.874,25.876,23.930,23.732,24.481,26.396,24.954,26.202,24.947
TMAX,ONDJFM,5.962,7.273,9.726,6.888,6.017,7.583,5.955,8.125,8.094,9.851,8.678,7.451,7.540,9.255,8.727,5.283,8.321,8.618,7.296,7.917,11.066,9.129,6.698,7.641,8.330,7.439,11.226,8.216,9.286,8.514
TMAX,NDJF,2.477,3.680,6.605,4.016,1.918,4.684,3.445,5.851,4.537,6.188,5.350,4.323,4.857,5.614,6.102,2.017,5.690,6.983,3.498,4.859,8.114,5.097,3.623,4.978,5.440,4.228,8.452,4.799,6.333,5.593
TMIN,year,5.498,5.394,5.392,5.326,4.356,5.226,4.952,5.488,6.034,5.811,5.374,5.477,5.002,6.741,5.632,5.514,5.252,5.636,6.444,6.198,6.102,6.538,5.654,6.030,5.727,5.967,6.893,6.747,6.663,6.636
TMIN,MAMJJASO,9.761,9.739,9.727,9.090,9.050,9.568,8.823,9.603,10.071,9.274,9.677,9.612,9.479,10.799,9.867,9.413,8.727,10.127,10.712,9.964,10.705,10.748,9.926,9.987,9.821,10.197,10.864,10.619,10.484,10.697
TMIN,AMJJAS,11.377,11.835,12.018,10.855,11.517,11.932,11.561,11.995,11.975,10.985,11.668,11.620,11.465,13.087,12.003,11.985,11.181,12.495,12.984,12.252,12.412,12.969,12.631,11.788,12.362,12.454,12.975,12.556,12.578,13.429
TMIN,ONDJFM,-2.274,-1.260,0.289,-1.583,-2.645,-0.665,-2.850,0.442,-0.967,0.016,-0.043,-1.203,-1.396,0.378,-0.104,-2.361,-0.036,-0.322,-1.022,-0.862,1.358,-0.447,-1.596,-0.472,-0.159,-1.096,1.532,-0.011,0.595,0.499
TMIN,NDJF,-4.707,-3.990,-1.693,-3.498,-5.922,-2.288,-4.400,-0.990,-3.183,-2.323,-2.027,-3.429,-3.584,-2.119,-1.950,-4.364,-1.650,-1.157,-3.776,-3.091,-0.305,-3.283,-3.845,-2.401,-1.842,-3.404,0.022,-2.406,-1.275,-1.431
TAVG,year,10.253,10.238,10.627,9.974,9.298,10.333,9.773,10.198,10.880,11.118,9.852,10.650,10.035,11.710,10.362,9.958,9.819,10.404,11.122,11.623,10.923,11.405,10.642,10.730,10.272,10.667,11.994,11.663,11.694,11.152
TAVG,MAMJJASO,15.202,15.147,15.629,14.476,14.654,15.528,14.406,15.040,15.441,15.494,14.680,15.545,15.097,16.510,15.263,14.583,13.956,15.437,16.020,16.247,16.186,16.171,15.752,15.380,14.968,15.538,16.823,16.210,16.365,15.712
TAVG,AMJJAS,17.075,17.579,18.049,16.584,17.476,18.299,17.615,17.743,17.468,17.293,16.961,17.935,17.512,19.112,17.601,17.596,16.568,18.124,18.591,18.908,18.113,18.551,19.002,17.494,17.659,18.001,19.387,18.398,19.039,18.702
TAVG,ONDJFM,1.477,2.580,4.514,2.257,1.259,3.039,1.146,3.851,3.106,4.443,3.770,2.724,2.636,4.291,3.812,1.002,3.649,3.578,2.667,3.018,5.525,3.807,2.105,3.108,3.571,2.607,5.781,3.596,4.377,4.045
TAVG,NDJF,-1.351,-0.462,2.071,-0.036,-2.313,0.896,-0.782,2.056,0.335,1.517,1.219,0.172,0.256,1.316,1.692,-1.510,1.625,2.390,-0.506,0.483,3.309,0.484,-0.463,0.884,1.377,-0.048,3.740,0.792,2.096,1.749
RH,year,75.450,76.948,72.927,76.865,75.138,74.072,75.105,76.068,73.783,72.862,78.477,70.125,70.965,72.271,75.244,75.040,74.589,73.303,74.085,68.292,71.498,72.073,71.807,73.815,76.083,74.656,71.043,73.761,74.654,77.068
