Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,13.573,14.141,14.872,13.037,13.303,13.724,13.327,14.104,14.735,14.709,13.467,14.951,14.167,15.419,13.842,12.774,14.327,14.442,14.229,15.410,14.332,15.091,15.288,13.926,13.589,14.626,15.193,14.957,14.511,13.321
TMAX,MAMJJASO,18.464,18.563,19.576,17.055,18.255,18.663,17.676,18.402,18.524,18.942,18.002,19.258,18.562,19.632,18.321,17.099,18.335,18.682,19.064,19.814,19.204,19.167,20.309,18.343,18.625,19.223,19.611,18.879,19.335,18.093
TMAX,AMJJAS,20.271,20.872,21.779,18.841,20.572,20.887,20.321,20.770,19.747,20.321,19.903,22.162,20.979,21.781,20.076,19.434,20.521,21.022,21.142,22.069,20.530,21.163,23.336,20.333,20.673,21.333,22.149,20.965,22.187,20.543
TMAX,ONDJFM,5.516,6.682,8.105,6.829,6.557,6.151,6.349,7.724,9.012,9.971,7.554,7.334,7.335,8.163,8.103,6.283,7.955,8.528,6.944,7.315,8.990,8.861,7.593,6.992,7.118,6.172,10.475,7.681,7.113,6.783
TMAX,NDJF,2.340,4.081,5.820,4.412,3.831,3.273,4.325,6.079,6.135,7.318,4.131,5.338,5.936,5.297,6.803,3.133,5.604,7.185,4.084,4.650,6.427,5.332,4.837,5.546,4.279,3.147,8.254,5.914,4.497,4.436
TMIN,year,4.198,4.747,4.689,3.929,3.790,4.052,4.219,4.764,4.935,4.587,4.116,5.295,4.712,5.841,4.710,4.024,4.843,5.022,5.203,5.783,4.970,5.787,5.085,4.844,4.504,5.188,5.549,5.602,5.433,4.635
TMIN,MAMJJASO,8.178,8.261,8.430,6.967,7.649,7.928,7.641,8.129,8.280,7.891,7.911,8.585,8.201,8.935,8.266,7.566,7.850,8.603,9.092,9.155,8.878,8.962,8.880,8.294,8.361,8.844,8.801,8.701,9.178,8.455
TMIN,AMJJAS,9.713,10.128,10.327,8.620,9.494,9.818,9.862,9.840,9.794,9.233,9.528,10.716,10.128,10.843,9.981,9.501,9.661,10.571,10.921,10.755,10.006,10.895,11.387,9.946,10.347,10.856,10.755,10.586,11.339,10.676
TMIN,ONDJFM,-3.017,-1.514,0.089,-1.755,-1.466,-1.713,-2.134,0.182,0.357,-0.103,-0.867,-0.810,-0.696,0.213,0.015,-1.525,-0.125,0.040,-0.751,-0.655,1.223,-0.019,-0.475,-1.001,-0.694,-1.622,1.676,-0.297,-0.259,-0.722
TMIN,NDJF,-5.546,-3.551,-1.585,-3.450,-3.655,-3.716,-3.362,-1.219,-1.818,-2.113,-3.482,-2.306,-1.890,-1.949,-0.659,-3.639,-2.073,-0.802,-3.039,-2.753,-0.800,-2.638,-2.255,-1.901,-2.644,-3.710,0.276,-1.692,-2.089,-2.332
