Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,21.980,21.340,21.789,20.421,21.674,21.090,21.640,21.382,22.342,21.999,21.179,21.228,20.568,22.311,22.664,21.122,22.271,22.003,21.719,22.048,22.031,21.891,22.318,21.857,22.112,22.649,21.792,21.603,22.735,21.335
TMAX,MAMJJASO,25.453,25.320,25.621,24.124,25.939,25.211,25.794,25.126,26.154,26.087,25.376,24.902,24.117,26.243,26.474,25.021,26.266,25.747,25.987,25.913,26.412,25.397,26.820,25.775,26.852,27.242,25.452,25.320,27.116,25.772
TMAX,AMJJAS,27.015,27.604,27.040,26.262,27.906,27.152,28.194,26.618,27.652,28.267,27.995,27.259,26.418,27.979,28.042,26.937,27.272,27.316,28.226,27.812,28.141,27.139,29.315,27.945,29.070,29.297,27.455,27.283,28.780,28.209
TMAX,ONDJFM,14.836,16.777,15.094,15.370,14.881,15.344,15.517,15.392,16.577,17.188,14.298,14.869,15.280,15.282,16.761,16.179,16.953,16.993,15.743,15.816,15.946,16.148,15.913,15.374,15.348,15.172,16.517,16.703,15.200,15.691
TMAX,NDJF,13.012,15.131,12.847,13.519,13.012,12.515,13.165,13.554,14.124,15.059,12.090,13.123,14.014,13.327,15.063,13.808,14.138,14.308,13.723,13.555,13.758,13.634,13.438,14.152,12.760,12.410,14.480,15.035,12.562,13.254
TMIN,year,9.787,10.031,9.811,8.953,9.564,9.313,10.126,9.662,10.683,10.246,9.509,9.398,9.028,10.110,10.616,9.989,10.952,10.100,10.052,10.006,10.397,10.587,10.944,10.164,9.847,11.060,9.859,10.041,10.671,10.260
TMIN,MAMJJASO,12.674,12.560,12.529,11.316,12.337,12.189,12.922,12.260,13.122,13.270,12.490,12.256,11.759,12.840,13.001,12.330,13.475,12.923,13.470,12.767,13.676,12.942,14.072,13.082,13.517,14.411,12.739,12.780,13.601,13.176
TMIN,AMJJAS,13.822,14.283,13.938,12.988,13.995,13.539,14.511,13.712,14.475,14.776,14.037,13.916,13.351,14.028,14.358,13.845,14.672,14.527,14.968,14.371,14.498,14.119,15.723,14.571,15.091,15.718,14.409,14.379,15.042,15.021
TMIN,ONDJFM,3.313,6.403,4.830,5.522,5.118,5.294,5.204,6.004,5.369,7.433,5.131,4.266,5.089,5.351,6.215,7.048,6.456,7.278,4.672,5.136,6.936,5.753,6.692,6.084,4.619,5.481,6.766,5.476,5.165,6.430
TMIN,NDJF,1.337,5.559,3.256,4.718,4.369,3.907,3.394,5.159,3.516,6.625,3.043,2.863,3.931,3.996,5.032,5.914,5.472,5.869,3.087,3.201,5.452,3.456,5.230,5.018,2.444,3.250,5.417,4.190,3.533,5.027
TAVG,year,15.808,15.613,15.744,14.631,15.599,15.164,15.847,15.471,16.483,16.091,15.311,15.275,14.744,16.175,16.598,15.509,16.572,15.983,15.808,15.955,16.134,16.153,16.570,15.927,15.891,16.779,15.752,15.683,16.590,15.677
TAVG,MAMJJASO,18.978,18.849,19.004,17.637,19.096,18.642,19.299,18.625,19.597,19.642,18.888,18.527,17.881,19.507,19.690,18.618,19.830,19.264,19.651,19.277,19.965,19.080,20.387,19.346,20.102,20.754,19.031,18.911,20.244,19.342
TAVG,AMJJAS,20.326,20.850,20.417,19.544,20.907,20.278,21.289,20.093,21.014,21.485,20.973,20.534,19.825,20.965,21.145,20.336,20.913,20.847,21.517,21.029,21.233,20.536,22.467,21.178,22.004,22.437,20.871,20.699,21.803,21.488
TAVG,ONDJFM,9.011,11.528,9.898,10.421,9.995,10.322,10.346,10.677,10.947,12.304,9.684,9.547,10.150,10.281,11.438,11.599,11.680,12.088,10.137,10.383,11.371,10.872,11.241,10.634,9.894,10.240,11.575,10.959,10.053,10.945
