Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,21.454,20.817,21.267,19.893,21.147,20.555,21.130,20.872,21.842,21.500,20.649,20.719,20.079,21.789,22.121,20.593,21.792,21.488,21.180,21.520,21.495,21.346,21.807,21.355,21.593,22.182,21.306,21.107,22.244,20.849
TMAX,MAMJJASO,24.868,24.727,25.017,23.552,25.333,24.619,25.203,24.546,25.586,25.528,24.783,24.310,23.530,25.652,25.883,24.451,25.732,25.151,25.380,25.321,25.808,24.776,26.254,25.209,26.265,26.691,24.896,24.743,26.572,25.242
TMAX,AMJJAS,26.431,26.997,26.418,25.664,27.282,26.538,27.583,26.018,27.046,27.670,27.365,26.656,25.805,27.350,27.425,26.345,26.711,26.697,27.580,27.198,27.498,26.465,28.714,27.356,28.438,28.726,26.871,26.683,28.197,27.660
TMAX,ONDJFM,14.383,16.306,14.677,14.903,14.435,14.891,15.099,14.967,16.222,16.796,13.859,14.453,14.910,14.852,16.322,15.725,16.537,16.587,15.296,15.396,15.493,15.752,15.480,14.958,14.940,14.772,16.149,16.320,14.820,15.261
TMAX,NDJF,12.618,14.723,12.487,13.097,12.612,12.096,12.806,13.188,13.824,14.679,11.676,12.755,13.738,12.930,14.666,13.371,13.737,13.961,13.319,13.170,13.349,13.266,13.001,13.779,12.400,12.053,14.176,14.715,12.198,12.838
TMIN,year,9.518,9.742,9.566,8.681,9.261,9.028,9.842,9.375,10.395,9.960,9.222,9.121,8.739,9.810,10.297,9.667,10.665,9.824,9.759,9.717,10.070,10.279,10.629,9.846,9.555,10.762,9.548,9.696,10.346,9.917
TMIN,MAMJJASO,12.349,12.224,12.223,11.011,11.983,11.849,12.601,11.926,12.793,12.930,12.158,11.912,11.401,12.475,12.637,11.980,13.154,12.584,13.120,12.413,13.291,12.578,13.716,12.717,13.180,14.067,12.361,12.360,13.238,12.798
TMIN,AMJJAS,13.478,13.917,13.606,12.657,13.611,13.170,14.180,13.355,14.107,14.410,13.691,13.554,12.963,13.616,13.957,13.458,14.303,14.138,14.598,13.986,14.078,13.719,15.350,14.185,14.725,15.345,13.996,13.934,14.642,14.612
TMIN,ONDJFM,3.135,6.188,4.680,5.310,4.890,5.072,5.005,5.767,5.199,7.214,4.895,4.075,4.902,5.147,5.998,6.786,6.262,7.058,4.516,4.931,6.698,5.550,6.447,5.819,4.393,5.246,6.567,5.253,4.915,6.141
TMIN,NDJF,1.212,5.366,3.139,4.534,4.142,3.699,3.230,4.946,3.380,6.415,2.838,2.706,3.801,3.805,4.857,5.648,5.245,5.665,2.957,3.036,5.251,3.281,4.981,4.801,2.243,3.023,5.245,4.015,3.305,4.743
TAVG,year,15.402,15.198,15.349,14.223,15.178,14.746,15.441,15.065,16.081,15.690,14.895,14.871,14.343,15.756,16.155,15.072,16.173,15.571,15.376,15.530,15.685,15.710,16.142,15.501,15.464,16.372,15.330,15.228,16.147,15.233
TAVG,MAMJJASO,18.508,18.371,18.535,17.186,18.605,18.166,18.829,18.154,19.138,19.180,18.414,18.042,17.394,19.017,19.195,18.144,19.385,18.779,19.155,18.786,19.449,18.569,19.908,18.864,19.618,20.280,18.542,18.378,19.752,18.855
TAVG,AMJJAS,19.849,20.347,19.925,19.067,20.390,19.774,20.803,19.600,20.517,20.990,20.472,20.031,19.310,20.435,20.619,19.832,20.432,20.326,20.990,20.513,20.681,19.980,21.963,20.675,21.482,21.938,20.352,20.145,21.276,20.976
TAVG,ONDJFM,8.693,11.180,9.608,10.080,9.656,9.984,10.037,10.343,10.682,11.995,9.345,9.243,9.864,9.957,11.102,11.234,11.362,11.758,9.822,10.059,11.012,10.555,10.890,10.278,9.560,9.899,11.268,10.620,9.704,10.555
TAVG,NDJF,6.854,10.004,7.744,8.825,8.405,7.918,8.007,9.077,8.576,10.553,7.234,7.728,8.738,8.328,9.704,9.498,9.451,9.739,8.059,7.986,9.225,8.171,8.924,9.194,7.217,7.426,9.610,9.197,7.608,8.666
RH,year,65.733,68.316,66.822,68.681,66.597,67.819,68.644,69.666,67.189,67.733,67.324,66.543,68.650,66.474,64.764,68.017,67.460,66.396,66.361,66.107,66.261,67.333,66.694,66.998,62.903,66.125,66.574,66.984,62.991,66.116
RH,MAMJJASO,62.902,62.702,61.798,64.092,61.229,62.764,62.771,65.550,62.206,62.432,62.340,61.983,64.124,60.910,58.765,62.394,61.334,62.063,62.194,61.113,61.219,62.322,60.710,61.920,57.597,60.357,62.441,62.131,56.563,60.412
RH,AMJJAS,61.415,60.733,60.898,62.209,60.416,59.393,59.474,65.213,60.927,60.574,58.105,59.329,61.715,57.386,57.121,60.285,61.472,61.194,59.400,59.565,57.335,59.374,57.035,59.331,54.647,57.025,60.925,60.222,54.689,58.372
RH,ONDJFM,68.693,72.418,74.309,74.139,75.367,73.552,76.309,76.988,72.669,74.177,77.484,72.815,74.077,76.283,74.618,75.539,72.565,74.317,71.020,73.009,76.125,73.360,75.905,77.182,71.198,74.448,74.702,71.352,73.399,73.151
RH,NDJF,69.784,75.594,77.346,77.868,79.283,78.013,78.338,80.561,75.394,79.126,78.868,74.810,75.981,78.871,77.236,79.473,79.129,79.038,72.894,75.591,78.498,75.004,78.847,78.979,74.150,76.919,78.246,73.753,77.323,76.990
RHmin,year,47.107,50.205,48.356,50.430,48.104,49.413,50.453,50.654,49.259,49.316,49.262,48.363,50.025,47.984,46.996,50.532,49.890,48.023,48.284,47.863,48.265,49.693,49.247,48.640,45.112,48.275,47.843,48.545,45.470,48.815
RHmin,MAMJJASO,44.608,44.364,43.558,45.504,42.605,44.462,44.680,46.467,43.962,44.457,44.461,44.445,46.130,42.899,40.979,44.361,43.635,44.120,44.658,43.251,43.655,44.778,43.523,44.092,40.559,42.953,44.251,44.113,39.387,42.926
RHmin,AMJJAS,43.210,42.470,43.128,43.843,41.904,41.602,41.575,46.424,43.054,42.432,40.353,41.814,43.625,39.930,39.738,42.551,43.939,43.688,41.920,41.986,39.914,42.211,40.076,41.600,37.938,39.807,43.021,42.592,37.957,40.949
RHmin,ONDJFM,49.052,53.995,55.238,56.173,56.988,55.403,56.571,58.907,52.607,56.639,59.203,53.710,55.152,57.348,55.209,58.406,54.678,56.570,51.623,53.609,58.695,54.077,58.177,58.611,52.051,56.004,56.284,51.219,54.863,55.754
RHmin,NDJF,49.471,57.448,58.184,60.400,61.424,60.569,58.608,62.938,55.053,62.225,60.152,55.433,56.381,59.793,57.529,63.182,61.753,61.603,53.283,55.522,61.326,55.273,61.731,60.084,54.361,58.189,59.573,53.316,58.850,59.908
PREC,year,464.132,513.790,460.128,583.675,467.921,473.470,586.875,531.474,597.433,439.959,451.417,507.308,500.905,468.173,485.004,709.367,674.347,442.683,510.216,596.385,530.018,611.279,579.453,465.421,391.289,538.833,459.779,602.315,548.929,685.703
PREC,MAMJJASO,271.477,269.858,241.845,329.469,194.941,263.688,317.227,349.765,285.834,288.237,274.546,384.560,389.757,254.270,188.185,288.879,311.153,299.297,366.245,341.055,328.758,361.390,320.558,319.505,246.638,330.251,322.148,415.992,243.810,353.766
PREC,AMJJAS,195.381,172.099,198.526,211.405,149.349,178.420,181.812,276.230,216.730,169.485,154.461,253.696,251.872,176.423,149.562,219.358,266.140,244.954,215.741,243.307,157.278,249.301,174.145,181.487,131.459,177.642,236.887,302.179,159.099,216.876
PREC,ONDJFM,96.290,304.908,270.800,350.029,387.952,308.825,285.579,397.213,212.607,365.397,348.416,212.673,236.865,305.262,281.970,453.591,375.533,389.531,214.441,241.449,549.785,235.848,416.657,367.754,220.590,331.587,349.789,202.434,338.742,473.763
PREC,NDJF,52.027,239.543,185.177,258.940,305.672,273.351,201.052,267.507,120.379,309.055,189.234,124.321,109.127,188.760,190.493,398.180,341.671,323.016,137.403,108.726,374.476,121.846,314.913,206.847,111.322,181.411,206.019,132.836,223.589,367.078
SRAD,year,5860.322,5773.363,5738.159,5633.765,5870.159,5887.484,5750.323,5783.200,5860.367,5963.785,5852.322,5700.160,5651.231,5903.088,5984.813,5826.408,5733.279,5848.236,5827.610,5821.711,5836.910,5652.703,5765.863,5808.492,6024.364,5869.375,5893.226,5800.188,5998.067,5763.762
SRAD,MAMJJASO,4804.939,4820.216,4775.053,4692.498,4958.890,4912.855,4813.539,4778.749,4936.315,4929.732,4896.884,4695.995,4649.475,4894.119,5019.907,4910.270,4818.040,4815.824,4784.841,4822.133,4846.886,4692.660,4831.706,4812.966,4971.655,4875.706,4870.483,4806.315,5028.051,4864.322
SRAD,AMJJAS,3985.013,3962.576,3882.624,3864.788,4038.170,4032.818,4026.417,3862.520,4033.550,4091.199,4124.466,3922.842,3846.975,4010.823,4058.801,4014.458,3817.274,3889.177,3966.991,3934.960,4058.333,3866.794,4024.268,4012.007,4113.085,4058.837,3967.114,3932.252,4076.013,4023.160
SRAD,ONDJFM,1013.490,1892.918,1820.051,1783.624,1780.422,1840.216,1869.774,1781.103,1925.709,1837.789,1730.671,1819.742,1808.274,1846.345,1908.443,1814.231,1946.437,1870.310,1950.522,1903.955,1705.076,1863.327,1754.937,1711.122,1919.152,1842.848,1791.286,1982.185,1893.658,1756.296
SRAD,NDJF,583.461,999.477,975.044,945.912,901.314,904.517,1006.928,940.889,1048.119,938.263,970.423,1003.323,1017.908,981.656,1017.104,914.241,933.544,940.805,1061.455,1065.383,911.156,1031.765,913.325,943.686,1067.196,1008.055,947.995,1066.696,986.540,901.029
WIND,year,2.426,2.413,2.426,2.524,2.431,2.470,2.489,2.463,2.325,2.286,2.325,2.278,2.249,2.328,2.380,2.262,2.136,2.215,2.190,2.166,2.302,2.405,2.384,2.331,2.320,2.327,2.305,2.153,2.278,2.366
WIND,MAMJJASO,2.350,2.423,2.533,2.540,2.416,2.439,2.557,2.403,2.311,2.334,2.371,2.380,2.395,2.342,2.333,2.220,2.168,2.325,2.196,2.203,2.320,2.422,2.375,2.373,2.368,2.448,2.340,2.226,2.246,2.332
WIND,AMJJAS,2.334,2.355,2.567,2.545,2.434,2.521,2.544,2.341,2.293,2.275,2.375,2.316,2.385,2.425,2.333,2.241,2.211,2.371,2.175,2.239,2.263,2.422,2.381,2.361,2.386,2.386,2.338,2.175,2.254,2.280
WIND,ONDJFM,2.532,2.496,2.417,2.465,2.491,2.451,2.319,2.661,2.196,2.393,2.346,2.226,2.081,2.344,2.386,2.287,2.030,2.181,2.132,1.995,2.448,2.215,2.430,2.374,2.264,2.258,2.351,2.134,2.136,2.465
WIND,NDJF,2.472,2.475,2.317,2.504,2.441,2.595,2.316,2.604,2.141,2.421,2.232,2.113,1.962,2.330,2.329,2.407,2.064,2.148,2.078,1.944,2.423,2.186,2.498,2.327,2.197,2.104,2.253,1.976,2.146,2.525
VPD,year,0.813,0.749,0.783,0.709,0.814,0.761,0.771,0.708,0.814,0.801,0.809,0.783,0.710,0.846,0.869,0.754,0.775,0.817,0.812,0.839,0.842,0.791,0.887,0.825,0.931,0.890,0.789,0.790,0.968,0.844
VPD,MAMJJASO,1.021,0.994,1.028,0.929,1.076,1.010,1.033,0.924,1.064,1.062,1.076,1.021,0.931,1.123,1.141,0.996,1.024,1.062,1.065,1.100,1.118,1.031,1.197,1.090,1.242,1.196,1.017,1.032,1.286,1.130
VPD,AMJJAS,1.151,1.155,1.139,1.079,1.207,1.195,1.230,1.028,1.198,1.230,1.303,1.199,1.096,1.320,1.283,1.146,1.099,1.197,1.250,1.258,1.308,1.198,1.434,1.263,1.450,1.398,1.168,1.192,1.457,1.322
VPD,ONDJFM,0.416,0.439,0.363,0.381,0.344,0.410,0.336,0.330,0.412,0.425,0.308,0.369,0.360,0.334,0.381,0.393,0.455,0.421,0.412,0.398,0.368,0.401,0.362,0.322,0.423,0.376,0.396,0.428,0.393,0.423
VPD,NDJF,0.349,0.348,0.268,0.269,0.249,0.266,0.260,0.244,0.301,0.295,0.238,0.298,0.299,0.252,0.300,0.271,0.285,0.277,0.328,0.304,0.273,0.306,0.267,0.269,0.296,0.267,0.287,0.347,0.269,0.298
FWI_FD,year,10.393,8.986,10.444,8.435,10.759,9.466,8.965,7.978,9.071,9.136,9.660,9.017,8.358,10.839,11.589,8.104,8.051,9.432,9.060,9.994,9.765,8.718,9.949,9.458,12.242,9.974,9.287,8.513,12.066,8.488
FWI_FD,MAMJJASO,12.448,12.781,14.469,11.796,15.283,13.334,12.966,11.001,12.378,12.894,13.590,12.209,11.401,15.259,15.890,11.487,11.516,12.667,12.407,13.869,13.587,12.008,14.373,12.904,16.788,14.216,12.033,11.805,16.657,12.195
FWI_FD,AMJJAS,14.161,14.948,15.578,14.029,16.567,16.816,16.213,12.027,13.857,15.360,17.310,14.343,14.013,18.576,17.709,13.638,12.192,14.515,15.325,15.780,17.152,14.888,18.125,15.003,20.322,17.439,14.137,13.908,19.343,14.934
FWI_FD,ONDJFM,3.826,6.223,3.983,3.922,2.688,4.839,2.287,2.299,4.049,4.217,1.660,3.741,3.168,2.649,3.786,3.532,4.501,3.149,4.070,3.856,2.334,3.065,2.087,1.908,5.072,2.616,3.259,4.565,2.954,3.500
FWI_FD,NDJF,3.304,5.215,2.280,1.686,0.933,1.550,1.505,1.028,2.668,1.848,1.016,2.609,2.595,1.554,2.447,1.603,1.625,0.972,3.494,2.563,0.998,2.693,1.316,1.559,3.356,1.408,1.836,3.765,1.307,2.278
FWI_3+,year,86.302,76.834,94.611,74.237,101.734,84.590,81.517,66.529,75.743,80.383,87.212,74.165,68.629,97.127,107.673,67.205,62.684,73.857,74.794,89.012,86.269,71.848,88.477,82.994,109.926,87.418,70.755,69.521,104.912,70.420
FWI_3+,MAMJJASO,76.903,76.674,94.457,74.072,100.969,84.550,81.513,66.472,75.150,80.278,87.196,74.115,68.604,97.029,104.971,66.786,62.666,73.598,74.702,88.841,86.169,71.553,88.454,82.807,109.643,87.265,68.872,69.456,104.115,70.375
FWI_3+,AMJJAS,71.432,73.627,79.517,69.562,81.677,84.314,81.196,58.493,66.673,77.320,86.616,69.489,67.633,94.797,92.455,64.927,54.918,71.369,73.992,79.913,85.591,71.051,88.187,73.730,103.384,84.137,67.581,66.854,94.891,68.856
FWI_3+,ONDJFM,0.614,15.023,4.382,13.339,4.641,20.074,0.404,2.121,6.729,9.273,2.074,3.542,2.072,2.398,5.047,10.801,7.728,3.758,1.189,5.009,5.118,0.779,0.452,0.160,10.677,5.272,4.005,3.326,4.601,7.040
FWI_3+,NDJF,0.103,9.404,0.122,0.226,0.039,0.766,0.028,0.005,0.130,0.605,0.017,0.035,0.055,0.084,0.215,2.504,0.427,0.024,0.315,0.182,0.024,0.197,0.205,0.023,0.412,0.043,0.220,1.867,0.016,0.786
FWI_4+,year,26.496,25.037,31.571,30.557,43.693,41.378,30.561,24.358,25.265,29.466,41.108,27.712,28.482,47.619,36.016,25.210,12.594,33.534,30.509,42.331,41.456,34.158,48.048,34.420,56.563,42.991,28.507,31.332,53.957,32.613
FWI_4+,MAMJJASO,26.108,25.025,31.568,30.546,43.641,41.378,30.560,24.356,25.239,29.463,41.107,27.710,28.481,47.618,35.894,25.196,12.594,33.529,30.506,42.331,41.450,34.147,48.047,34.411,56.554,42.977,28.445,31.332,53.941,32.611
FWI_4+,AMJJAS,26.007,24.804,30.324,30.302,39.927,41.375,30.547,23.499,24.715,29.376,41.105,27.482,28.445,47.490,35.258,25.138,12.335,33.483,30.495,41.456,41.423,34.138,48.042,31.762,55.084,42.858,28.383,31.140,52.894,32.546
FWI_4+,ONDJFM,0.024,0.508,0.280,1.170,0.250,3.761,0.014,0.136,0.744,0.563,0.058,0.152,0.084,0.160,0.462,0.302,0.224,0.146,0.016,0.188,0.720,0.022,0.012,0.001,2.684,1.454,0.182,0.175,0.200,0.954
FWI_4+,NDJF,0.009,0.390,0.002,0.013,0.003,0.049,0.000,0.000,0.005,0.024,0.002,0.001,0.003,0.001,0.007,0.115,0.014,0.000,0.006,0.002,0.001,0.012,0.005,0.000,0.017,0.000,0.019,0.058,0.001,0.015
FWI_5+,year,2.216,1.302,2.752,3.079,4.407,5.186,2.704,1.135,2.104,1.328,4.250,1.355,3.941,8.443,4.090,2.345,0.247,4.004,3.297,5.385,4.632,4.927,9.616,3.553,8.949,6.578,3.247,2.776,11.314,4.320
FWI_5+,MAMJJASO,2.197,1.302,2.752,3.078,4.406,5.186,2.704,1.135,2.103,1.328,4.250,1.355,3.941,8.443,4.080,2.344,0.247,4.004,3.296,5.385,4.632,4.927,9.616,3.552,8.949,6.577,3.246,2.776,11.313,4.320
FWI_5+,AMJJAS,2.195,1.290,2.724,3.057,4.291,5.186,2.703,1.123,2.089,1.327,4.250,1.346,3.940,8.438,4.055,2.341,0.241,4.004,3.296,5.360,4.631,4.927,9.616,3.432,8.888,6.575,3.242,2.771,11.233,4.319
FWI_5+,ONDJFM,0.001,0.024,0.023,0.014,0.022,0.116,0.001,0.006,0.005,0.015,0.000,0.004,0.006,0.005,0.027,0.009,0.005,0.004,0.000,0.008,0.018,0.002,0.000,0.000,0.121,0.061,0.006,0.005,0.003,0.080
FWI_5+,NDJF,0.000,0.019,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.002,0.008,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.001,0.002,0.000,0.000
FWI_6,year,0.113,0.051,0.141,0.151,0.150,0.333,0.160,0.021,0.037,0.018,0.105,0.008,0.112,0.392,0.136,0.063,0.001,0.131,0.083,0.081,0.193,0.154,0.423,0.052,0.445,0.273,0.133,0.066,0.612,0.119
FWI_6,MAMJJASO,0.111,0.051,0.141,0.151,0.150,0.333,0.160,0.021,0.037,0.018,0.104,0.008,0.112,0.392,0.133,0.063,0.001,0.131,0.083,0.081,0.193,0.154,0.423,0.052,0.445,0.273,0.133,0.066,0.612,0.119
FWI_6,AMJJAS,0.111,0.051,0.139,0.144,0.145,0.333,0.160,0.020,0.035,0.018,0.104,0.008,0.112,0.391,0.132,0.062,0.001,0.131,0.083,0.081,0.193,0.154,0.423,0.049,0.442,0.273,0.133,0.066,0.604,0.119
FWI_6,ONDJFM,0.000,0.002,0.001,0.000,0.007,0.005,0.000,0.001,0.000,0.002,0.000,0.000,0.000,0.000,0.003,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.000,0.000,0.000,0.008
FWI_6,NDJF,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DFM10H,year,14.271,14.937,14.430,15.750,14.591,14.864,15.685,15.492,15.273,14.662,14.565,14.548,15.176,14.226,14.248,16.041,15.721,14.419,14.781,15.005,14.753,15.446,15.182,14.690,13.546,14.648,14.373,15.179,14.130,15.752
