Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,17.878,17.926,18.701,17.140,16.820,17.691,17.102,17.871,18.290,18.727,17.222,18.906,18.037,19.212,17.999,16.829,17.737,18.131,18.144,19.932,18.347,19.185,19.035,17.790,17.687,18.497,19.722,19.579,19.241,17.676
TMAX,MAMJJASO,23.519,23.526,24.373,22.311,22.556,23.634,22.457,23.024,23.402,23.780,22.563,24.338,23.703,24.427,23.314,22.125,22.724,23.221,23.934,25.198,24.024,24.410,25.073,23.048,23.164,23.991,25.161,24.323,24.981,22.841
TMAX,AMJJAS,25.577,26.114,26.968,24.479,25.233,26.504,25.534,25.801,25.280,25.637,25.019,27.439,26.509,27.211,25.566,24.901,25.314,25.864,26.431,27.714,25.920,26.964,28.604,25.456,25.703,26.497,28.078,26.639,28.170,25.523
TMAX,ONDJFM,8.870,9.210,11.115,9.411,8.254,9.255,8.250,10.611,10.190,12.369,10.057,9.932,9.424,11.046,10.565,8.331,10.229,11.454,9.244,9.905,12.819,11.061,9.384,9.733,9.880,9.321,13.440,10.482,10.975,10.305
TMAX,NDJF,5.386,5.538,8.290,6.376,4.525,6.454,5.504,8.303,6.643,9.087,6.622,7.372,7.012,7.699,8.605,4.797,7.181,9.804,5.517,6.836,9.825,7.018,6.144,7.593,6.860,6.044,10.725,7.859,7.897,7.399
TMIN,year,8.208,8.392,8.366,7.922,7.290,7.611,7.749,8.172,8.767,8.350,7.890,8.906,8.228,9.532,8.417,7.912,7.988,8.472,8.934,9.349,8.681,8.846,7.675,8.011,7.575,8.239,8.756,8.826,8.658,8.265
TMIN,MAMJJASO,12.528,12.545,12.605,11.538,11.670,11.791,11.710,11.982,12.644,11.764,12.184,12.724,12.501,13.332,12.287,12.027,11.346,12.702,13.280,13.040,13.232,12.625,12.033,11.834,11.718,12.166,12.341,12.298,12.508,12.263
TMIN,AMJJAS,14.114,14.480,14.843,13.280,13.891,14.227,14.223,14.220,14.540,13.513,14.121,15.025,14.492,15.661,14.387,14.288,13.776,14.964,15.424,14.940,14.722,14.939,14.730,13.645,14.133,14.429,14.381,14.266,14.582,14.856
TMIN,ONDJFM,0.364,1.632,3.578,1.378,0.725,1.715,0.167,3.588,2.130,2.849,2.283,2.072,1.909,3.487,2.892,0.771,2.494,2.725,1.824,2.270,4.466,2.220,0.880,1.640,1.728,1.125,4.185,2.238,2.852,2.600
TMIN,NDJF,-2.283,-1.016,1.645,-0.599,-2.319,0.149,-1.248,2.210,-0.183,0.775,-0.018,0.343,0.044,1.057,1.658,-1.359,0.612,2.150,-1.079,0.077,2.501,-0.688,-1.258,0.198,-0.221,-1.001,2.834,0.367,1.015,0.717
TAVG,year,12.826,12.950,13.327,12.318,11.846,12.512,12.244,12.768,13.237,13.299,12.318,13.720,12.853,14.112,13.002,12.244,12.744,13.117,13.332,14.469,13.261,13.708,13.071,12.569,12.295,13.040,13.967,13.862,13.683,12.642
TAVG,MAMJJASO,17.809,17.849,18.295,16.713,16.878,17.608,16.879,17.259,17.740,17.578,17.126,18.371,17.805,18.629,17.568,16.941,16.911,17.811,18.368,18.991,18.367,18.209,18.314,17.092,17.102,17.725,18.482,17.960,18.444,17.163
TAVG,AMJJAS,19.704,20.188,20.796,18.719,19.366,20.332,19.713,19.861,19.669,19.463,19.412,21.164,20.271,21.251,19.834,19.517,19.510,20.318,20.732,21.305,20.146,20.669,21.502,19.223,19.631,20.169,21.018,20.174,21.129,19.847
TAVG,ONDJFM,4.389,5.096,7.078,5.075,4.273,5.256,3.971,6.801,5.834,7.229,5.859,5.684,5.315,6.943,6.408,4.391,6.151,6.854,5.302,5.809,8.312,6.267,4.842,5.292,5.431,4.847,8.437,6.013,6.547,6.186
