Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,12.877,13.312,14.089,12.876,11.531,12.547,11.307,13.092,14.436,14.240,13.611,14.036,12.677,13.492,13.537,12.358,13.174,12.805,14.321,14.562,13.641,14.510,13.450,13.218,13.642,14.305,14.366,14.493,13.478,13.047
TMAX,MAMJJASO,18.176,18.260,19.295,18.032,17.671,17.935,16.419,18.362,19.061,18.486,18.427,18.852,17.649,18.775,19.134,18.081,18.248,18.015,19.918,19.167,19.087,20.293,18.623,18.346,18.735,19.707,19.788,19.120,18.681,19.472
TMAX,AMJJAS,20.833,20.868,22.306,20.660,20.392,20.588,19.150,21.511,21.640,20.531,21.115,22.162,20.474,22.021,21.773,21.038,21.326,20.864,22.978,21.512,21.900,23.905,21.861,20.901,21.920,23.009,22.241,21.699,22.109,22.805
TMAX,ONDJFM,3.304,4.794,6.481,5.038,2.825,4.171,3.372,5.321,6.708,7.613,5.999,6.829,5.194,4.162,5.945,2.896,5.679,5.441,4.311,5.896,7.014,6.668,3.320,4.991,5.335,4.365,8.132,6.534,5.876,3.778
TMAX,NDJF,1.388,1.611,4.622,2.674,-0.863,0.769,0.930,3.296,4.390,5.163,3.522,4.671,3.889,1.455,4.026,-0.687,2.969,3.732,0.914,3.703,4.631,3.689,0.492,3.033,3.564,1.541,5.238,4.430,3.478,1.044
TMIN,year,5.147,5.211,5.771,5.358,3.925,4.722,3.436,5.157,6.284,6.244,5.612,5.784,4.716,5.294,5.361,4.105,5.190,5.221,5.787,6.376,5.652,5.630,5.472,5.426,5.242,5.801,6.155,6.431,5.545,4.822
TMIN,MAMJJASO,8.901,8.489,9.379,8.892,8.805,8.556,7.338,8.957,9.493,8.831,8.834,8.758,8.138,8.915,9.372,7.932,8.419,8.927,9.249,8.879,9.554,9.402,8.740,8.917,8.364,9.134,9.775,9.226,8.789,9.323
TMIN,AMJJAS,10.831,10.248,11.370,10.768,10.555,10.456,9.725,11.430,11.049,10.274,10.689,10.974,10.126,11.062,11.030,10.100,10.450,11.078,11.092,10.316,11.571,11.681,11.064,10.547,10.799,11.313,11.502,10.799,10.901,12.135
TMIN,ONDJFM,-2.441,-0.703,0.945,-0.496,-2.232,-1.400,-2.526,-0.040,0.455,1.504,0.770,1.044,-0.065,-1.131,0.478,-3.074,0.118,0.537,-1.173,1.040,1.849,0.457,-2.044,0.142,0.090,-1.232,2.080,1.594,0.910,-1.272
TMIN,NDJF,-3.394,-3.073,-0.181,-2.036,-5.450,-4.162,-4.112,-1.147,-1.141,-0.282,-0.807,-0.171,-0.660,-3.154,-0.910,-5.508,-1.572,-0.280,-3.605,-0.453,0.912,-1.729,-4.008,-1.027,-0.892,-2.627,0.278,0.386,-0.766,-2.951
