Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,15.583,16.702,17.136,15.437,14.529,15.596,14.444,16.146,17.386,17.176,15.887,17.014,15.702,16.946,16.256,14.584,15.849,16.086,17.105,17.820,16.208,17.392,16.903,16.371,16.779,17.272,17.505,17.584,16.776,15.669
TMAX,MAMJJASO,21.033,22.010,22.397,20.312,20.328,20.957,19.595,21.057,22.105,21.608,20.947,22.159,20.724,21.905,21.782,20.085,20.780,21.093,22.502,22.508,21.502,22.792,22.216,21.525,22.090,22.730,22.718,22.046,22.007,21.601
TMAX,AMJJAS,23.364,24.459,25.181,22.525,22.949,23.421,22.321,23.913,24.232,23.347,23.326,25.403,23.463,24.781,24.114,22.892,23.507,23.918,25.235,24.760,23.724,25.858,25.662,23.834,24.900,25.774,25.277,24.530,25.370,24.441
TMAX,ONDJFM,6.600,7.586,9.858,8.119,6.388,7.100,6.749,8.870,9.888,11.036,8.923,8.862,8.031,8.370,9.265,5.663,8.414,9.097,7.810,8.855,10.505,9.850,7.055,8.229,8.876,7.348,11.937,9.361,8.988,7.548
TMAX,NDJF,3.739,4.236,7.427,5.634,2.553,3.968,4.281,6.910,7.097,8.272,5.697,6.401,6.319,5.483,7.472,1.983,5.318,7.500,4.634,6.464,7.929,6.490,4.109,6.298,6.479,4.214,9.270,7.183,6.396,4.838
TMIN,year,6.896,6.965,7.489,7.021,6.060,6.404,5.774,7.235,7.839,7.737,6.761,7.354,6.605,7.518,6.881,5.903,6.902,7.205,7.720,8.188,7.345,7.690,6.900,7.201,6.870,7.409,8.031,8.107,7.320,6.487
TMIN,MAMJJASO,10.847,10.445,11.201,10.435,10.643,10.264,9.567,10.455,10.973,10.421,10.275,10.520,10.126,10.757,10.863,9.945,10.225,10.893,11.291,11.114,11.311,11.594,10.445,10.647,10.128,11.100,11.342,10.929,10.803,10.955
TMIN,AMJJAS,12.459,12.134,12.939,12.116,12.457,12.194,11.854,12.661,12.328,11.832,12.002,12.678,12.065,12.747,12.555,12.027,12.223,12.969,13.167,12.510,12.983,13.756,12.910,12.175,12.293,13.340,13.234,12.578,12.769,13.460
TMIN,ONDJFM,-0.141,0.889,2.958,1.253,-0.214,0.463,-0.584,2.810,2.542,3.546,2.023,2.031,1.383,1.784,2.293,-1.236,1.452,2.421,1.149,2.467,3.319,2.381,-0.197,1.556,2.145,0.057,4.317,2.717,2.449,0.846
TMIN,NDJF,-2.043,-1.593,1.422,-0.450,-3.581,-1.915,-2.177,1.942,1.118,1.544,0.142,0.650,0.385,-0.238,1.303,-3.983,-0.621,1.618,-1.219,0.812,1.779,-0.053,-2.441,0.292,0.893,-1.798,3.041,1.440,0.654,-1.110
TAVG,year,11.096,11.674,12.208,11.021,10.103,10.829,9.912,11.573,12.526,12.314,11.185,12.131,11.067,12.205,11.487,9.994,11.137,11.394,12.209,12.772,11.552,12.305,11.676,11.573,11.584,12.137,12.542,12.632,11.820,10.883
TAVG,MAMJJASO,15.704,16.059,16.658,15.131,15.223,15.388,14.311,15.609,16.442,15.858,15.432,16.290,15.304,16.338,16.229,14.756,15.248,15.739,16.673,16.556,16.158,16.958,16.111,15.828,15.848,16.730,16.789,16.293,16.154,16.043
TAVG,AMJJAS,17.721,18.232,18.961,17.116,17.467,17.656,16.847,18.201,18.263,17.537,17.568,19.119,17.706,18.892,18.361,17.249,17.697,18.235,19.074,18.467,18.185,19.653,19.162,17.824,18.447,19.479,19.101,18.484,18.863,18.794
TAVG,ONDJFM,3.136,4.061,6.248,4.543,2.886,3.634,2.908,5.669,6.011,7.122,5.273,5.264,4.558,4.933,5.606,2.012,4.585,5.452,4.196,5.419,6.575,5.814,3.126,4.623,5.228,3.364,7.783,5.719,5.420,3.943
TAVG,NDJF,0.892,1.271,4.362,2.540,-0.637,0.990,0.956,4.355,4.023,4.813,2.867,3.483,3.298,2.565,4.339,-1.126,2.109,4.315,1.508,3.500,4.623,3.042,0.612,3.115,3.500,0.992,5.939,4.077,3.337,1.697
RH,year,77.794,74.939,74.816,77.534,78.534,76.386,77.800,76.808,76.199,76.317,78.565,75.371,77.373,76.750,77.864,79.730,79.143,79.113,78.399,77.097,79.945,76.332,76.039,76.901,75.707,75.700,76.915,76.722,78.620,79.281
RH,MAMJJASO,74.886,70.909,70.984,74.959,76.608,73.168,74.696,73.211,72.450,72.604,75.872,70.470,74.482,73.012,74.676,77.182,75.697,76.162,74.596,72.772,77.421,72.733,71.633,72.762,71.170,71.153,72.849,72.954,74.833,76.198
RH,AMJJAS,73.355,69.055,68.632,74.122,74.366,71.840,73.999,71.445,70.782,71.953,74.285,67.083,72.359,70.657,72.411,75.311,73.908,74.540,72.370,70.392,75.537,70.371,68.569,70.176,68.624,67.814,70.425,70.114,71.359,75.272
RH,ONDJFM,80.736,81.546,81.695,80.362,81.737,82.179,80.779,83.460,80.365,80.526,82.717,83.230,83.013,82.811,82.768,84.082,83.944,84.348,84.397,84.293,84.091,82.721,82.925,83.877,83.156,83.665,82.304,83.874,85.446,84.461
RH,NDJF,82.281,83.887,83.006,82.355,82.125,83.082,82.636,85.689,83.466,82.642,84.607,85.214,84.086,84.050,84.121,85.027,85.197,85.932,86.104,85.287,86.270,84.127,84.018,85.060,84.823,85.319,84.670,84.915,86.392,85.395
RHmin,year,60.196,56.462,56.714,60.209,60.777,58.173,59.838,59.316,57.899,58.187,59.921,57.483,59.436,58.807,59.358,61.249,60.464,60.356,59.528,58.195,61.201,57.302,56.690,58.628,56.699,56.754,58.339,58.119,59.569,60.218
RHmin,MAMJJASO,55.374,50.689,51.608,55.845,57.429,53.453,55.129,53.858,52.751,52.553,55.380,50.808,54.931,53.534,54.766,57.190,55.258,56.253,53.879,52.290,57.340,52.652,50.959,52.806,50.084,50.940,52.397,52.988,54.105,55.713
RHmin,AMJJAS,53.466,48.792,48.693,54.796,54.633,52.098,54.288,52.057,50.792,52.078,53.678,47.448,52.592,51.157,52.809,55.116,53.401,54.304,51.510,49.815,55.656,50.095,47.972,50.193,48.008,48.025,50.157,50.386,49.740,55.214
RHmin,ONDJFM,65.078,65.625,65.683,64.410,65.589,66.344,63.691,68.660,63.605,63.815,66.322,66.791,66.900,67.044,66.021,66.784,66.303,67.426,67.422,68.026,66.288,64.780,64.900,66.928,66.549,65.642,64.260,67.063,68.554,67.491
RHmin,NDJF,68.412,69.313,68.602,67.612,66.736,68.608,66.805,72.824,68.705,66.798,70.648,70.727,69.427,69.796,69.045,69.208,69.377,70.467,70.248,70.538,70.094,67.697,67.073,69.368,70.245,69.591,68.730,69.793,71.118,69.767
PREC,year,693.650,417.404,547.283,517.951,570.072,552.258,609.924,563.534,477.250,548.248,521.235,551.005,590.098,661.440,619.233,586.584,656.011,703.731,645.796,635.617,697.434,624.745,476.538,604.912,560.832,559.448,671.339,608.133,663.670,807.589
PREC,MAMJJASO,498.263,281.109,376.137,413.892,424.367,394.410,423.971,374.922,355.313,400.339,376.633,387.821,401.679,474.089,473.599,489.672,521.300,540.720,460.288,443.088,560.029,459.358,350.207,416.259,360.192,417.510,456.765,452.119,499.107,590.196
PREC,AMJJAS,357.882,245.170,283.064,364.378,370.814,333.458,364.585,315.029,285.796,345.422,323.419,265.530,335.154,323.668,403.977,424.967,427.949,396.881,378.339,347.950,482.255,319.397,272.948,324.535,312.358,346.140,384.400,334.358,349.372,540.525
PREC,ONDJFM,129.891,278.998,261.473,180.433,161.121,204.903,225.732,275.196,185.964,208.016,187.489,261.415,285.140,293.165,307.787,146.625,169.150,295.164,288.884,317.534,221.678,258.629,218.796,275.922,264.608,215.872,304.773,251.622,262.585,281.795
PREC,NDJF,66.941,186.408,178.873,127.720,98.997,158.701,161.177,196.503,148.648,138.295,136.423,163.764,189.260,182.083,193.248,105.320,96.560,174.642,168.304,184.826,157.854,192.960,100.941,173.870,181.102,165.880,227.129,159.436,139.429,163.720
SRAD,year,3762.149,4225.132,3981.346,3663.308,3706.711,3992.041,3727.969,3945.121,3985.927,4050.399,3957.355,4152.426,3953.553,4094.208,4049.426,3845.030,4051.931,3926.239,4100.804,4117.926,3845.825,4091.207,4323.687,4034.416,4241.757,4279.168,4157.081,4124.214,4209.649,4000.182
SRAD,MAMJJASO,3442.256,3862.917,3640.745,3307.008,3359.463,3604.621,3399.699,3613.909,3625.049,3696.170,3603.352,3811.980,3604.819,3736.633,3683.889,3466.246,3693.593,3564.255,3758.236,3759.053,3487.159,3719.049,3946.639,3706.872,3899.103,3907.929,3830.332,3756.631,3882.926,3668.836
SRAD,AMJJAS,3010.253,3318.622,3227.951,2826.822,2968.263,3103.362,2886.337,3136.391,3145.027,3150.441,3125.531,3356.807,3136.361,3265.454,3200.975,2987.766,3194.661,3081.685,3266.195,3290.198,3028.287,3249.622,3436.140,3237.781,3343.984,3423.027,3318.591,3281.061,3497.866,3115.916
SRAD,ONDJFM,438.140,853.452,762.321,834.869,763.961,832.772,876.909,772.842,884.697,872.866,831.692,838.535,804.243,796.421,841.634,884.943,880.021,851.499,815.129,785.974,845.610,874.443,866.862,786.260,850.517,881.828,879.304,820.517,757.373,810.310
SRAD,NDJF,192.838,340.304,327.618,359.590,362.859,368.896,370.269,303.885,354.942,377.125,344.953,336.440,351.763,333.012,369.416,380.321,379.894,349.919,343.310,349.141,367.808,366.334,373.627,346.057,337.279,357.633,344.688,352.146,334.220,346.333
WIND,year,3.027,2.723,3.124,2.870,2.782,2.902,2.840,2.978,2.821,2.952,2.743,2.875,2.929,2.805,2.714,2.545,2.695,2.864,2.611,2.515,2.449,2.521,2.404,2.581,2.497,2.429,2.707,2.699,2.509,2.549
WIND,MAMJJASO,2.749,2.615,2.821,2.674,2.646,2.682,2.753,2.680,2.632,2.762,2.577,2.736,2.643,2.641,2.551,2.509,2.660,2.782,2.396,2.392,2.325,2.385,2.363,2.494,2.343,2.348,2.506,2.519,2.479,2.492
WIND,AMJJAS,2.583,2.496,2.572,2.594,2.640,2.558,2.708,2.562,2.470,2.500,2.515,2.589,2.581,2.408,2.460,2.444,2.534,2.552,2.274,2.188,2.266,2.187,2.339,2.407,2.244,2.306,2.507,2.366,2.376,2.375
WIND,ONDJFM,3.492,3.248,3.438,3.299,2.983,3.149,2.999,3.188,3.432,3.433,2.967,3.163,3.246,3.172,3.338,2.543,2.808,2.942,3.027,3.097,2.503,2.940,2.443,2.699,2.834,2.423,3.039,2.936,2.678,2.666
WIND,NDJF,3.557,3.248,3.591,3.446,2.921,3.307,3.146,3.238,3.619,3.357,2.998,3.206,3.409,3.135,3.412,2.569,2.816,2.875,2.953,3.081,2.435,3.067,2.329,2.694,2.902,2.443,3.216,3.000,2.635,2.625
VPD,year,0.399,0.485,0.509,0.387,0.375,0.430,0.368,0.428,0.467,0.442,0.386,0.531,0.412,0.482,0.435,0.360,0.388,0.395,0.440,0.465,0.380,0.494,0.495,0.437,0.484,0.527,0.469,0.478,0.423,0.408
VPD,MAMJJASO,0.535,0.655,0.689,0.511,0.501,0.578,0.495,0.574,0.623,0.581,0.515,0.730,0.549,0.655,0.588,0.484,0.522,0.530,0.599,0.627,0.510,0.668,0.679,0.594,0.661,0.726,0.635,0.639,0.575,0.558
VPD,AMJJAS,0.620,0.769,0.821,0.584,0.595,0.672,0.570,0.674,0.722,0.649,0.600,0.899,0.652,0.792,0.703,0.579,0.620,0.630,0.714,0.734,0.601,0.806,0.835,0.701,0.791,0.886,0.757,0.769,0.708,0.657
VPD,ONDJFM,0.169,0.180,0.202,0.190,0.168,0.167,0.174,0.175,0.216,0.235,0.180,0.174,0.162,0.171,0.174,0.133,0.166,0.161,0.156,0.160,0.188,0.191,0.152,0.154,0.172,0.155,0.218,0.166,0.152,0.150
