Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,17.439,17.516,18.173,16.289,16.906,17.001,16.857,17.749,18.164,18.167,16.997,18.530,17.817,18.878,17.531,16.297,17.788,18.187,17.992,19.563,18.491,18.804,19.303,17.625,17.413,18.535,19.278,18.775,18.770,17.356
TMAX,MAMJJASO,22.466,22.310,23.360,20.906,22.222,22.280,21.730,22.399,22.473,22.664,21.981,23.199,22.796,23.466,22.196,21.132,22.416,22.879,23.185,24.279,23.684,23.295,24.861,22.354,22.557,23.505,23.952,23.190,24.040,22.385
TMAX,AMJJAS,24.316,24.949,25.658,22.961,24.852,24.908,24.762,24.833,23.887,24.240,24.310,26.085,25.337,25.767,24.243,23.729,24.767,25.297,25.390,26.674,25.413,25.273,28.070,24.649,24.884,25.927,26.706,25.404,26.793,25.165
TMAX,ONDJFM,8.846,9.953,11.103,9.330,8.920,9.003,9.096,10.858,11.498,12.946,10.275,10.329,10.611,11.157,10.996,9.117,10.758,11.660,10.067,10.820,12.621,11.991,10.932,10.238,10.597,9.306,13.812,11.073,10.813,10.250
TMAX,NDJF,5.711,7.170,8.696,6.517,5.922,6.249,6.805,8.895,8.493,9.976,6.815,8.259,8.669,7.880,9.574,5.961,7.994,10.132,6.839,7.758,10.162,8.164,7.860,8.567,7.697,6.382,11.617,9.149,7.671,7.579
TMIN,year,7.155,7.961,7.477,7.159,6.821,7.105,7.382,7.830,7.988,7.882,7.388,8.567,8.109,9.334,8.156,7.586,8.002,8.168,8.576,9.181,8.418,9.324,8.342,8.022,7.736,8.337,8.736,9.058,8.743,8.145
TMIN,MAMJJASO,11.700,11.844,11.695,10.544,11.097,11.275,11.291,11.586,11.645,11.404,11.582,12.166,12.065,12.794,11.816,11.315,11.289,12.182,13.066,12.788,12.595,12.795,12.527,11.787,11.913,12.176,12.280,12.482,12.677,12.051
TMIN,AMJJAS,13.151,13.822,13.888,12.130,13.103,13.521,13.659,13.513,13.559,12.973,13.441,14.357,14.002,14.899,13.687,13.415,13.366,14.447,15.032,14.473,13.787,14.736,15.120,13.463,14.057,14.189,14.309,14.545,14.990,14.363
TMIN,ONDJFM,-1.337,1.151,2.653,0.775,1.045,1.112,0.104,3.203,2.164,2.449,1.996,1.775,2.218,3.456,2.900,1.616,2.762,2.822,1.606,1.760,5.144,2.526,2.420,1.944,2.068,1.453,4.647,2.481,2.704,2.405
TMIN,NDJF,-4.219,-1.505,0.689,-1.131,-1.742,-0.718,-1.332,1.676,-0.428,0.678,-0.739,0.131,0.691,0.949,1.956,-0.363,0.905,1.969,-1.159,-0.775,3.163,-0.489,0.410,0.728,-0.206,-0.827,3.079,0.915,0.792,0.692
