Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,16.191,17.414,17.294,16.309,16.016,16.733,16.124,17.472,18.694,18.163,16.855,17.603,17.097,18.323,18.135,16.146,18.015,17.292,18.438,17.955,17.657,18.214,18.847,17.701,18.263,18.845,18.588,17.955,18.500,16.949
TMAX,MAMJJASO,20.291,21.434,21.282,19.552,20.580,20.771,20.450,20.807,22.690,21.985,21.196,21.356,21.110,21.849,22.347,20.507,22.176,21.060,22.770,21.581,21.780,21.798,23.369,21.859,22.845,23.205,22.377,21.571,23.009,22.024
TMAX,AMJJAS,22.151,23.756,23.472,21.314,22.685,22.422,22.555,22.768,24.289,23.463,22.742,23.951,23.325,23.807,24.202,22.526,24.113,23.221,24.924,23.681,23.366,23.741,25.996,23.864,24.534,25.492,24.420,23.835,25.365,24.166
TMAX,ONDJFM,9.485,10.054,11.028,10.742,10.167,9.846,10.507,11.666,12.917,13.390,11.531,11.140,11.357,10.855,12.934,10.606,11.013,12.396,11.101,11.759,11.902,12.838,12.056,11.442,11.326,11.147,14.375,12.235,10.894,11.127
TMAX,NDJF,7.046,8.232,9.194,8.988,8.116,7.124,8.321,9.910,10.669,11.171,8.237,9.014,9.962,8.882,11.746,7.833,7.978,10.698,9.048,9.799,10.254,9.968,9.626,10.130,8.889,8.285,12.258,10.831,8.498,8.660
TMIN,year,8.591,9.090,8.989,8.631,7.849,8.266,8.458,9.830,9.563,9.301,8.369,9.499,8.879,9.943,9.580,7.910,9.230,9.418,10.119,10.317,9.709,10.190,9.232,9.316,9.730,10.256,10.177,9.712,9.459,8.449
TMIN,MAMJJASO,11.630,11.793,11.854,10.739,11.231,10.946,11.418,11.973,12.252,11.519,11.393,12.045,11.605,12.130,12.456,10.684,11.880,12.209,12.934,12.684,12.705,12.410,12.089,12.103,12.658,13.170,12.497,12.178,12.348,11.715
TMIN,AMJJAS,12.840,13.225,13.458,12.023,12.792,12.116,13.113,13.262,13.115,12.365,12.376,13.874,13.304,13.666,13.820,12.163,13.220,13.713,14.527,14.010,13.528,13.880,14.071,13.590,13.816,14.763,14.122,13.713,13.984,13.190
TMIN,ONDJFM,3.311,3.810,5.289,4.164,3.783,3.477,4.264,5.980,6.422,6.236,4.984,4.780,4.813,4.899,6.234,4.004,4.646,5.645,5.167,5.688,6.439,6.324,5.289,4.792,5.046,4.794,7.744,5.707,4.381,4.884
TMIN,NDJF,1.319,2.442,4.010,3.150,1.941,1.852,2.976,4.929,5.060,4.613,2.675,3.239,4.414,3.362,6.090,2.167,2.591,4.772,3.752,4.439,5.222,4.238,3.967,4.414,3.418,3.058,6.605,4.798,2.885,3.457
TAVG,year,12.357,13.223,13.131,12.428,11.902,12.457,12.247,13.578,14.083,13.700,12.579,13.489,12.889,14.058,13.786,11.959,13.535,13.276,14.227,14.064,13.617,14.149,13.998,13.773,14.109,14.564,14.396,13.679,13.835,12.607
TAVG,MAMJJASO,15.917,16.589,16.572,15.110,15.861,15.801,15.874,16.325,17.452,16.744,16.246,16.653,16.255,16.915,17.337,15.512,16.936,16.564,17.806,17.059,17.178,17.051,17.700,17.236,17.784,18.167,17.453,16.731,17.495,16.705
TAVG,AMJJAS,17.455,18.485,18.481,16.642,17.713,17.227,17.780,17.950,18.712,17.940,17.531,18.890,18.222,18.691,18.969,17.284,18.598,18.394,19.713,18.771,18.400,18.774,20.062,18.982,19.189,20.094,19.325,18.675,19.526,18.544
TAVG,ONDJFM,6.371,6.894,8.127,7.399,6.943,6.627,7.341,8.745,9.570,9.710,8.205,7.913,7.961,7.787,9.456,7.239,7.731,8.905,8.068,8.642,9.088,9.496,8.589,8.191,8.461,8.166,10.977,8.884,7.457,7.905
TAVG,NDJF,4.159,5.315,6.584,6.015,5.013,4.483,5.629,7.342,7.768,7.786,5.429,6.106,7.076,6.042,8.817,4.963,5.223,7.630,6.337,7.051,7.662,7.034,6.757,7.367,6.430,5.941,9.390,7.726,5.582,6.042
RH,year,80.985,78.720,79.132,81.114,80.353,79.357,80.522,80.258,76.561,74.783,77.535,79.396,77.959,78.675,78.498,77.728,78.189,80.395,79.355,80.322,79.697,79.217,75.362,79.060,78.798,77.922,78.163,77.570,76.516,76.787
RH,MAMJJASO,78.571,75.501,76.345,78.368,78.240,76.843,77.409,77.453,72.685,70.057,73.939,75.820,73.557,74.791,74.776,73.518,74.184,77.831,75.469,77.606,76.013,75.587,70.638,74.818,74.694,73.900,74.735,74.306,72.155,71.327
RH,AMJJAS,76.855,73.079,74.462,76.469,76.520,74.927,76.641,75.061,70.853,67.892,71.994,73.631,72.756,73.175,72.889,71.009,72.084,76.035,73.543,75.716,73.153,74.208,68.541,73.197,72.623,71.595,72.933,71.802,69.835,69.472
RH,ONDJFM,84.480,83.447,85.561,84.707,85.158,83.306,84.393,84.790,85.127,80.553,82.436,84.525,83.235,84.536,83.864,84.526,84.880,83.468,86.053,85.016,85.673,84.155,82.945,84.228,85.226,84.832,83.740,82.201,84.710,83.107
RH,NDJF,85.250,84.354,86.060,86.556,84.499,84.486,86.374,85.807,87.189,82.164,85.182,86.113,86.729,86.330,86.785,86.092,86.059,85.600,87.444,86.481,86.281,86.189,85.694,86.717,87.368,87.421,85.834,82.635,86.812,86.154
RHmin,year,65.046,62.328,62.603,65.221,63.615,62.229,64.654,64.536,59.448,58.591,61.021,63.093,61.721,62.077,61.609,61.600,61.027,64.131,62.827,64.612,63.573,63.138,57.918,63.623,62.941,61.694,61.954,61.088,59.044,60.656
RHmin,MAMJJASO,61.516,57.758,58.857,61.338,60.118,58.111,59.848,60.440,54.792,52.620,56.280,58.517,56.416,57.000,56.826,55.782,55.608,60.783,57.495,60.463,59.101,58.077,51.950,58.040,56.747,56.227,56.993,56.788,53.165,53.285
