Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,18.940,19.950,19.772,18.820,18.887,18.992,18.717,19.666,21.083,20.739,19.369,19.680,19.248,20.563,20.300,19.104,20.952,19.911,20.259,20.410,20.026,20.519,21.551,20.041,20.257,20.954,20.271,19.909,20.761,19.201
TMAX,MAMJJASO,22.973,23.802,23.898,22.394,23.533,23.198,23.205,23.357,25.141,24.961,23.884,23.476,23.117,24.302,24.348,23.315,25.185,23.849,24.792,24.211,24.472,24.068,26.571,24.327,25.221,25.508,24.194,23.582,25.308,24.062
TMAX,AMJJAS,24.770,26.356,26.131,24.449,25.708,25.016,25.594,25.390,26.790,26.700,25.995,26.147,25.427,26.067,26.104,25.400,26.973,26.003,26.919,26.448,25.831,25.781,29.360,26.476,27.128,27.732,26.444,25.867,27.600,26.389
TMAX,ONDJFM,11.694,13.318,13.173,12.957,12.507,12.193,12.436,13.590,14.804,15.844,13.221,12.798,13.500,13.326,14.801,13.803,13.925,14.956,13.184,13.696,14.498,14.649,14.511,13.518,13.211,12.972,15.663,14.028,12.915,13.287
TMAX,NDJF,9.211,11.831,11.386,11.164,10.708,9.228,10.108,11.991,12.229,13.623,10.002,10.782,12.302,11.305,13.410,11.059,11.131,13.026,10.941,11.363,12.660,11.508,11.697,12.229,10.441,9.923,13.672,12.615,10.425,10.826
TMIN,year,9.998,10.612,10.210,9.441,8.960,9.567,9.885,10.538,10.387,10.570,9.777,10.369,9.978,11.410,10.616,9.597,10.665,10.265,10.929,11.060,10.653,10.995,10.928,10.472,10.366,11.229,10.681,10.405,10.567,9.669
TMIN,MAMJJASO,13.143,13.121,13.284,11.703,12.230,12.496,13.044,13.235,13.264,13.239,12.992,13.163,12.748,13.826,13.380,12.153,13.372,13.312,14.140,13.627,13.911,13.188,14.215,13.390,13.805,14.524,13.382,13.018,13.585,12.867
TMIN,AMJJAS,14.280,14.848,15.104,13.162,13.936,13.792,14.673,14.618,14.540,14.472,14.355,14.909,14.482,15.228,14.709,13.652,14.846,14.800,15.838,15.232,14.693,14.519,16.368,14.858,15.143,15.953,15.213,14.616,15.412,14.558
TMIN,ONDJFM,4.028,5.896,6.018,4.978,4.884,4.386,5.110,6.672,6.232,6.662,5.849,5.024,5.896,6.330,7.137,6.083,5.895,6.475,5.807,5.867,7.507,6.457,6.459,5.728,5.752,5.564,7.655,5.806,5.128,5.667
TMIN,NDJF,1.929,4.805,4.783,4.025,3.433,2.784,3.477,5.342,4.367,5.458,3.484,3.415,5.220,4.818,6.619,4.456,4.302,5.331,4.107,4.420,6.079,4.214,5.144,5.032,3.943,3.249,6.261,4.613,3.701,4.370
TAVG,year,14.239,15.056,14.758,13.924,13.714,14.087,14.089,14.853,15.497,15.448,14.316,14.720,14.249,15.653,15.122,14.029,15.407,14.690,15.225,15.339,14.966,15.354,15.929,14.893,14.954,15.708,14.995,14.714,15.292,14.100
TAVG,MAMJJASO,17.839,18.247,18.383,16.846,17.669,17.648,17.892,18.058,19.050,18.937,18.194,18.033,17.571,18.726,18.534,17.411,18.893,18.243,19.072,18.526,18.815,18.231,20.111,18.513,19.176,19.668,18.283,17.865,19.072,18.103
TAVG,AMJJAS,19.320,20.428,20.451,18.650,19.655,19.234,19.909,19.782,20.573,20.487,19.978,20.273,19.620,20.358,20.136,19.266,20.589,20.092,21.028,20.484,19.944,19.778,22.680,20.375,20.870,21.547,20.359,19.848,21.190,20.181
TAVG,ONDJFM,7.610,9.329,9.337,8.677,8.452,8.056,8.569,9.894,10.165,10.878,9.261,8.553,9.320,9.476,10.582,9.523,9.485,10.201,9.097,9.346,10.604,10.086,10.073,9.165,9.055,8.811,11.197,9.369,8.573,9.077
TAVG,NDJF,5.327,8.041,7.862,7.337,6.862,5.835,6.618,8.423,7.943,9.152,6.501,6.756,8.401,7.735,9.689,7.400,7.348,8.658,7.161,7.521,8.998,7.439,8.073,8.210,6.811,6.169,9.530,8.087,6.664,7.302
RH,year,77.566,75.354,75.475,74.902,74.395,76.465,78.203,78.561,73.109,73.180,75.609,78.150,76.131,77.974,75.676,75.071,74.603,74.881,76.509,75.907,76.005,75.559,70.161,74.607,73.526,74.244,76.273,76.093,73.654,74.271
RH,MAMJJASO,75.356,71.023,72.459,70.894,70.802,73.111,74.625,75.795,68.702,67.878,71.613,75.170,72.649,74.029,71.824,70.052,69.756,71.223,72.843,72.093,72.612,71.358,64.031,69.905,68.881,69.729,72.816,72.505,68.921,68.827
RH,AMJJAS,73.527,68.152,70.623,68.616,69.449,70.649,72.994,74.163,66.932,65.627,68.598,72.876,71.648,72.315,69.711,67.835,68.201,69.326,70.889,70.225,69.708,69.890,61.234,67.467,66.427,66.826,71.073,70.337,67.402,67.338
RH,ONDJFM,80.822,81.196,82.690,79.478,81.537,80.207,82.444,83.771,81.932,78.216,82.668,82.232,81.833,83.071,82.739,81.677,81.801,79.911,82.405,81.591,82.853,80.364,79.616,81.153,81.725,81.791,81.745,80.403,81.345,80.532
RH,NDJF,81.501,82.803,83.194,81.859,82.463,82.661,84.350,84.739,84.376,81.312,84.643,83.067,84.107,84.885,85.355,83.969,84.599,83.350,83.764,83.799,83.403,82.364,83.526,83.459,83.980,84.123,83.503,81.545,84.319,84.417
RHmin,year,59.702,57.734,57.177,57.311,56.033,58.341,60.634,60.148,53.950,55.131,57.424,59.547,57.854,59.631,56.993,56.957,55.329,56.347,58.052,57.531,57.555,57.050,52.115,56.415,55.164,55.834,56.999,57.149,54.695,56.369
RHmin,MAMJJASO,56.995,52.659,53.708,52.605,51.537,54.158,55.919,56.790,49.652,49.257,52.813,56.107,53.846,54.755,52.424,50.812,49.690,52.837,53.447,53.046,53.561,52.019,45.581,51.102,49.831,50.986,52.713,53.024,49.197,49.869
RHmin,AMJJAS,54.781,49.647,52.095,50.519,50.266,51.914,53.819,54.800,48.183,47.231,49.877,53.256,52.434,53.247,50.651,48.777,48.471,50.714,51.724,51.021,50.905,50.643,43.273,48.637,47.561,48.078,51.184,50.719,47.845,48.335
RHmin,ONDJFM,63.412,64.144,66.048,61.722,64.122,63.012,65.556,67.295,62.786,58.939,65.671,64.085,64.351,66.246,64.818,63.830,63.567,61.046,64.874,63.419,65.850,61.747,62.007,63.039,64.310,64.199,63.198,61.257,63.323,63.081
RHmin,NDJF,64.331,65.963,67.430,64.891,65.467,67.180,68.246,68.427,65.565,62.469,68.504,65.311,66.822,68.385,68.384,67.517,67.720,64.724,66.709,66.655,66.912,64.578,67.290,65.821,67.517,67.127,65.504,62.497,67.292,68.155
PREC,year,970.185,903.677,790.421,907.674,659.194,863.663,841.163,898.455,629.936,763.335,677.472,887.145,882.908,990.416,913.812,844.187,788.857,817.396,992.537,977.357,918.722,928.236,722.602,763.188,645.642,801.329,817.456,920.173,775.542,821.932
PREC,MAMJJASO,618.678,529.748,552.588,521.121,424.843,516.215,597.590,561.678,397.477,430.052,434.786,628.037,632.298,603.648,488.124,407.993,435.160,578.473,602.586,609.538,652.318,524.949,404.952,493.796,426.599,548.037,517.531,611.429,416.889,476.995
PREC,AMJJAS,400.448,321.034,444.535,374.838,330.134,366.890,395.704,372.024,304.886,293.758,299.041,438.684,495.834,477.700,365.367,320.508,371.942,425.679,447.716,435.050,420.000,379.745,274.523,328.048,323.054,359.552,425.541,422.198,320.819,333.592
PREC,ONDJFM,226.242,535.558,566.293,428.313,458.105,410.016,395.471,630.077,324.075,365.119,447.937,339.145,400.636,559.213,595.748,414.274,455.832,434.470,471.991,468.965,707.474,367.129,524.958,497.238,343.685,421.687,452.011,394.186,438.248,482.909
PREC,NDJF,135.607,336.142,372.809,317.676,294.720,316.999,262.387,379.668,188.809,311.830,263.125,202.556,257.769,401.624,426.056,340.895,389.763,346.221,291.609,329.674,425.827,239.610,406.054,342.300,190.107,244.983,309.922,268.002,303.656,370.521
SRAD,year,4497.343,4729.905,4688.126,4658.712,4790.900,4645.273,4502.176,4538.698,4991.247,4912.702,4774.314,4533.453,4588.413,4629.202,4761.408,4697.079,4917.777,4684.851,4695.687,4712.689,4712.263,4644.620,5127.928,4778.779,4925.281,4870.722,4853.324,4744.776,5007.862,4869.052
SRAD,MAMJJASO,3874.449,4179.407,4066.132,4095.101,4188.031,4056.736,3956.770,3928.112,4356.172,4328.882,4160.196,3934.045,4001.159,4069.489,4165.607,4154.277,4332.496,4020.890,4104.222,4118.060,4087.362,4082.103,4496.034,4184.311,4284.142,4245.781,4220.455,4102.806,4407.476,4318.639
SRAD,AMJJAS,3323.388,3582.487,3417.972,3467.955,3527.801,3428.194,3385.305,3351.833,3656.817,3633.976,3562.705,3399.063,3366.583,3411.675,3480.258,3502.532,3601.928,3412.954,3462.083,3484.396,3500.465,3418.863,3765.147,3563.167,3610.335,3616.881,3534.617,3488.763,3691.623,3636.807
SRAD,ONDJFM,668.827,1183.141,1151.337,1262.702,1197.019,1238.239,1199.859,1120.455,1283.494,1346.114,1215.510,1208.024,1199.804,1155.419,1257.299,1242.191,1264.601,1325.358,1212.873,1256.951,1120.980,1307.887,1333.446,1242.090,1253.056,1250.698,1284.521,1342.246,1296.429,1245.708
SRAD,NDJF,354.085,582.710,570.039,594.644,603.703,565.452,573.468,584.356,624.097,622.694,597.655,629.089,575.269,562.851,579.690,567.756,569.104,640.754,610.490,604.249,575.960,623.290,598.079,603.826,613.535,615.753,631.691,692.875,602.664,557.115
WIND,year,3.233,3.151,3.173,3.118,2.962,3.108,3.001,3.162,2.926,3.062,3.002,2.993,3.014,3.024,3.042,2.934,2.835,3.038,3.060,3.013,3.021,3.086,2.920,2.995,2.920,2.975,3.024,2.934,2.896,2.918
WIND,MAMJJASO,3.105,3.064,3.086,2.955,2.968,2.939,3.020,3.006,2.916,2.897,2.970,3.004,2.935,2.955,2.853,2.781,2.725,3.057,2.845,2.857,2.930,2.897,2.776,2.977,2.813,2.981,2.861,2.884,2.749,2.846
WIND,AMJJAS,2.939,2.940,3.035,2.887,2.972,2.895,2.900,2.846,2.808,2.826,2.953,2.889,2.879,2.904,2.778,2.783,2.715,2.986,2.811,2.786,2.850,2.817,2.725,2.918,2.804,2.834,2.875,2.706,2.680,2.685
WIND,ONDJFM,3.656,3.439,3.438,3.416,3.029,3.158,3.135,3.549,2.955,3.301,3.074,3.037,3.053,3.368,3.426,2.929,2.911,3.112,3.217,3.139,3.436,3.210,3.201,3.180,2.991,3.040,3.280,3.174,2.932,3.240
WIND,NDJF,3.558,3.322,3.553,3.546,2.929,3.280,3.125,3.522,2.828,3.426,3.008,2.980,3.075,3.369,3.465,3.144,3.019,3.119,3.223,3.267,3.496,3.333,3.318,3.214,3.037,2.863,3.354,3.100,2.932,3.305
VPD,year,0.470,0.562,0.573,0.536,0.563,0.527,0.474,0.471,0.658,0.666,0.575,0.498,0.520,0.541,0.582,0.555,0.593,0.596,0.566,0.569,0.573,0.560,0.835,0.612,0.658,0.671,0.539,0.541,0.653,0.603
VPD,MAMJJASO,0.606,0.742,0.754,0.702,0.747,0.699,0.634,0.610,0.870,0.896,0.774,0.652,0.684,0.719,0.770,0.748,0.789,0.784,0.757,0.748,0.762,0.733,1.148,0.823,0.892,0.902,0.704,0.707,0.876,0.823
VPD,AMJJAS,0.697,0.890,0.886,0.829,0.850,0.824,0.746,0.707,0.995,1.040,0.927,0.783,0.790,0.836,0.898,0.877,0.897,0.923,0.887,0.877,0.886,0.837,1.379,0.964,1.037,1.072,0.823,0.831,1.019,0.956
VPD,ONDJFM,0.228,0.247,0.224,0.263,0.232,0.267,0.223,0.218,0.266,0.340,0.242,0.223,0.234,0.230,0.246,0.258,0.262,0.298,0.233,0.250,0.249,0.291,0.297,0.254,0.255,0.258,0.286,0.263,0.249,0.273
VPD,NDJF,0.177,0.201,0.194,0.201,0.196,0.174,0.168,0.182,0.185,0.247,0.162,0.181,0.187,0.174,0.190,0.185,0.182,0.213,0.179,0.185,0.210,0.204,0.193,0.201,0.170,0.170,0.224,0.224,0.171,0.183
FWI_FD,year,3.103,4.118,4.323,4.079,5.121,4.275,3.105,3.361,6.206,6.240,4.910,3.376,3.813,3.543,4.532,4.800,5.109,4.681,3.752,3.710,4.001,3.963,7.359,4.893,5.719,5.419,4.111,3.665,5.593,4.850
FWI_FD,MAMJJASO,4.189,5.864,5.797,5.841,7.214,6.133,4.445,4.462,8.501,8.949,7.030,4.707,5.118,5.059,6.325,6.977,7.308,6.517,5.350,5.247,5.473,5.587,10.687,6.925,8.110,7.562,5.501,5.076,8.037,7.066
FWI_FD,AMJJAS,5.344,7.570,6.818,7.331,7.459,7.547,5.630,5.383,9.722,10.627,8.976,5.805,6.013,6.046,7.588,8.594,7.970,7.997,6.548,6.351,6.857,6.475,13.060,8.471,9.610,9.515,6.344,6.048,9.202,8.512
FWI_FD,ONDJFM,0.576,0.923,0.710,1.846,0.649,2.718,1.025,0.652,1.861,2.910,1.101,1.158,1.492,0.787,0.974,1.519,1.582,2.155,0.904,1.146,0.624,1.673,1.694,1.127,1.463,1.439,1.451,2.035,1.380,1.681
FWI_FD,NDJF,0.563,0.882,0.663,1.189,0.498,0.738,0.489,0.501,1.542,1.371,0.409,0.854,1.015,0.466,0.508,0.865,0.503,0.884,0.623,0.602,0.497,1.199,0.510,0.666,0.806,0.614,1.158,1.550,0.473,0.433
FWI_3+,year,15.298,27.031,29.877,32.356,41.701,36.020,14.578,15.886,54.045,53.104,42.547,20.835,24.175,23.238,34.462,39.496,38.025,36.937,26.105,24.050,26.448,21.353,64.987,37.817,47.373,43.324,20.522,20.774,46.031,34.981
FWI_3+,MAMJJASO,14.946,26.921,29.769,32.324,41.533,35.985,14.565,15.823,53.910,53.020,42.516,20.815,24.003,23.223,33.892,39.479,37.943,36.761,25.992,23.964,26.209,21.234,64.918,37.749,47.131,42.995,19.487,20.706,45.946,34.962
FWI_3+,AMJJAS,14.915,26.852,28.926,32.260,31.013,35.923,14.511,15.577,49.717,51.432,42.475,20.664,23.702,23.010,33.404,39.323,33.339,36.213,25.723,23.387,26.025,20.317,64.055,36.447,45.057,42.744,18.080,19.742,42.083,34.451
FWI_3+,ONDJFM,0.016,0.431,0.182,0.935,0.058,10.684,0.106,0.200,0.620,4.612,0.948,0.197,0.474,0.174,0.418,0.721,1.676,3.766,0.421,0.645,0.161,0.985,1.009,0.439,1.740,1.887,0.847,2.489,1.401,3.324
