Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,9.514,10.596,10.692,10.542,8.539,9.889,8.944,10.501,11.779,11.708,10.786,11.099,10.324,10.686,10.426,10.133,11.221,10.022,10.994,11.749,10.635,11.528,11.588,11.242,11.690,12.135,11.609,11.552,11.018,9.485
TMAX,MAMJJASO,14.839,15.325,15.395,15.280,14.654,15.088,13.990,15.380,16.037,16.137,15.199,15.115,14.750,15.717,15.374,15.257,15.960,14.458,15.965,15.964,15.379,17.050,16.521,16.040,16.210,16.632,16.652,15.759,16.080,15.719
TMAX,AMJJAS,18.084,17.990,18.237,18.246,17.091,17.505,16.464,18.671,18.689,18.497,17.833,18.285,17.429,18.785,17.754,17.847,19.020,17.065,18.852,18.364,18.267,20.760,19.416,18.862,18.927,20.258,18.898,18.627,19.459,18.699
TMAX,ONDJFM,-0.297,1.323,3.782,2.263,1.071,1.263,1.320,2.858,4.371,4.542,3.568,5.050,3.360,1.444,3.939,2.187,3.490,3.123,2.239,4.243,3.840,4.127,1.985,3.453,3.859,3.516,5.010,4.650,3.234,1.476
TMAX,NDJF,-1.065,-1.656,2.164,0.190,-1.762,-2.583,-1.202,0.894,2.502,2.409,1.264,3.548,2.293,-1.001,2.364,-0.865,1.040,1.542,-0.150,2.337,2.081,1.768,-0.540,1.542,2.311,1.787,2.669,3.090,1.089,-0.829
TMIN,year,0.892,2.196,2.420,2.656,0.291,1.622,0.999,2.388,3.443,3.677,2.900,3.081,2.293,2.047,2.332,1.753,2.802,2.536,2.811,3.858,2.592,2.900,2.807,2.831,3.118,3.500,3.234,3.271,2.854,1.148
TMIN,MAMJJASO,5.371,6.103,6.550,6.272,5.826,6.029,5.416,6.236,6.599,6.885,6.407,6.033,5.547,5.920,6.405,5.886,6.292,6.052,6.718,6.882,6.339,7.029,6.850,6.711,6.289,6.635,7.104,6.224,6.568,6.336
TMIN,AMJJAS,7.940,7.754,8.709,8.612,7.677,7.699,7.408,8.771,8.391,8.687,8.271,8.392,7.604,8.197,8.007,7.784,8.508,8.290,8.725,8.632,8.763,9.814,9.099,8.797,8.718,9.510,8.915,8.276,9.044,8.762
TMIN,ONDJFM,-8.299,-5.323,-2.922,-4.650,-5.098,-5.823,-5.686,-2.760,-2.421,-1.830,-2.698,-1.137,-3.109,-4.966,-2.153,-4.719,-3.246,-3.027,-3.710,-2.482,-1.994,-2.537,-4.668,-3.441,-3.030,-3.320,-1.576,-1.502,-3.059,-4.770
TMIN,NDJF,-8.467,-8.531,-4.608,-6.362,-8.065,-9.500,-7.891,-4.433,-4.115,-3.387,-4.668,-2.495,-3.653,-6.935,-3.525,-7.289,-5.547,-3.943,-5.830,-3.922,-3.028,-4.402,-7.061,-4.852,-3.966,-4.074,-3.404,-2.362,-4.927,-6.352
