Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,12.664,13.328,13.655,12.269,12.726,12.828,12.663,13.419,14.292,14.123,13.268,13.720,13.249,14.352,13.317,12.505,14.125,13.620,13.396,14.137,13.511,14.026,14.823,13.458,13.329,14.178,14.192,13.658,13.930,12.592
TMAX,MAMJJASO,16.807,16.911,17.606,15.618,17.142,16.974,16.459,17.056,17.693,17.892,17.368,17.326,16.837,18.010,17.051,16.212,17.824,17.387,17.662,17.875,17.572,17.438,19.444,17.335,17.913,18.203,17.938,17.057,18.276,16.870
TMAX,AMJJAS,18.598,19.264,19.588,17.410,19.231,18.703,18.699,19.251,18.969,19.317,19.271,19.815,19.124,19.616,18.588,18.215,19.484,19.486,19.594,19.986,18.698,19.033,22.127,19.234,19.625,20.203,20.063,19.083,20.812,19.036
TMAX,ONDJFM,5.471,6.951,7.534,6.709,6.696,6.459,6.668,7.857,9.022,9.946,7.471,7.308,7.679,7.795,8.281,7.569,8.223,8.659,6.814,7.459,8.477,8.887,7.951,7.384,7.237,6.695,10.105,7.950,6.653,6.936
TMAX,NDJF,2.779,5.423,5.706,4.897,4.832,3.664,4.832,6.540,6.632,7.954,4.476,5.422,6.736,5.596,7.088,4.939,6.001,7.070,4.539,5.174,6.649,5.840,5.253,6.294,4.606,4.035,8.357,6.555,4.380,4.895
TMIN,year,4.314,5.083,4.955,3.922,3.878,4.347,4.556,5.204,5.337,5.250,4.649,5.432,5.050,6.196,5.029,4.487,5.373,5.001,5.246,5.683,5.265,5.811,5.507,5.188,4.811,5.618,5.601,5.419,5.465,4.631
TMIN,MAMJJASO,7.838,7.808,8.077,6.332,7.272,7.603,7.455,8.035,7.987,8.153,7.896,8.360,7.899,8.877,7.962,7.270,8.080,8.112,8.697,8.529,8.544,8.336,9.044,8.224,8.503,8.832,8.413,8.210,8.809,8.068
TMIN,AMJJAS,9.183,9.560,9.670,7.821,8.826,9.042,9.173,9.537,9.230,9.292,9.191,10.110,9.689,10.238,9.359,8.911,9.425,9.709,10.353,10.024,9.410,9.758,11.227,9.632,10.095,10.545,10.132,9.855,10.760,9.867
TMIN,ONDJFM,-2.146,-0.121,0.582,-0.600,-0.420,-0.771,-0.547,1.289,1.517,1.455,0.434,0.064,0.732,1.160,1.155,0.476,1.016,1.070,-0.125,0.344,1.755,1.126,0.685,0.135,0.161,-0.553,2.350,0.615,-0.059,0.014
TMIN,NDJF,-4.618,-1.401,-0.868,-1.808,-1.990,-2.770,-1.836,0.088,-0.276,0.034,-2.073,-1.547,-0.109,-0.635,0.536,-1.262,-0.614,-0.087,-2.085,-1.444,0.101,-1.131,-1.007,-0.688,-1.916,-2.509,1.121,-0.588,-1.841,-1.448
TAVG,year,8.177,8.859,8.949,7.808,7.988,8.248,8.269,8.963,9.358,9.240,8.619,9.260,8.799,9.932,8.857,8.206,9.407,9.001,9.019,9.610,9.045,9.583,9.818,9.004,8.752,9.569,9.575,9.246,9.436,8.372
TAVG,MAMJJASO,12.003,12.007,12.475,10.667,11.827,11.916,11.584,12.188,12.422,12.574,12.283,12.533,12.016,13.079,12.153,11.436,12.594,12.469,12.844,12.892,12.683,12.558,13.880,12.462,12.866,13.197,12.853,12.360,13.262,12.179
TAVG,AMJJAS,13.580,14.081,14.301,12.326,13.661,13.533,13.550,14.018,13.747,13.881,13.898,14.652,14.057,14.602,13.644,13.279,14.134,14.322,14.663,14.722,13.719,14.106,16.361,14.138,14.571,15.055,14.811,14.205,15.514,14.192
TAVG,ONDJFM,1.388,3.077,3.724,2.724,2.893,2.550,2.721,4.229,4.820,5.118,3.600,3.329,3.876,4.148,4.417,3.675,4.296,4.478,3.071,3.588,4.815,4.575,3.986,3.395,3.351,2.750,5.843,3.927,3.044,3.230
