Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,14.877,15.887,15.853,14.947,14.137,14.797,14.286,15.673,16.494,16.353,15.181,16.025,15.113,16.146,16.065,14.253,15.877,15.652,16.546,16.247,15.900,16.319,16.680,16.105,16.387,16.813,16.705,16.217,16.260,14.737
TMAX,MAMJJASO,18.737,19.582,19.292,17.934,18.177,18.391,17.932,18.471,19.841,19.564,18.955,19.444,18.652,19.320,19.890,18.340,19.633,18.891,20.138,19.425,19.388,19.694,20.548,19.652,20.045,20.544,20.005,19.472,20.238,19.339
TMAX,AMJJAS,20.466,21.493,21.138,19.466,19.956,19.968,19.799,20.287,21.265,20.812,20.258,21.724,20.477,21.159,21.564,20.183,21.373,20.699,22.031,21.212,20.970,21.556,22.770,21.418,21.553,22.682,21.743,21.509,22.361,21.144
TMAX,ONDJFM,8.716,9.159,10.581,10.043,9.102,8.666,9.272,10.756,11.601,12.203,10.485,10.314,10.240,9.737,11.433,8.597,9.733,11.285,10.179,11.074,10.552,11.941,10.389,10.609,10.621,10.258,13.035,11.099,9.713,9.568
TMAX,NDJF,6.500,7.270,8.854,8.414,7.029,6.273,7.528,9.375,9.953,10.291,7.643,8.474,8.918,7.858,10.483,5.843,7.038,9.728,8.431,9.568,9.142,9.655,8.226,9.410,8.710,8.014,11.351,9.872,7.625,7.228
TMIN,year,7.554,7.933,8.082,7.644,6.794,6.902,7.110,8.584,8.256,8.320,7.334,8.491,7.648,8.476,8.071,6.461,7.951,8.423,8.616,8.925,8.347,8.586,7.631,8.188,8.306,8.882,8.875,8.347,8.054,6.763
TMIN,MAMJJASO,10.333,10.386,10.475,9.500,9.855,9.245,9.572,10.369,10.438,10.078,9.862,10.658,9.929,10.538,10.617,9.114,10.334,10.780,10.950,10.875,10.890,10.708,9.925,10.478,10.518,11.198,10.868,10.432,10.476,9.848
TMIN,AMJJAS,11.401,11.567,11.798,10.567,11.121,10.295,11.078,11.580,11.167,10.826,10.745,12.235,11.349,11.903,11.829,10.399,11.548,12.019,12.201,11.951,11.713,12.217,11.677,11.743,11.488,12.562,12.249,11.813,11.901,10.993
TMIN,ONDJFM,3.317,2.980,5.019,3.854,3.226,2.891,3.218,5.418,5.723,5.797,4.237,4.580,4.327,4.222,5.258,2.502,3.746,5.197,4.526,5.260,5.172,5.740,3.658,4.282,4.588,4.334,6.949,4.981,3.824,3.686
TMIN,NDJF,1.605,1.588,3.851,2.934,1.381,1.337,2.251,4.744,4.717,4.495,2.325,3.406,3.986,2.831,5.093,0.652,1.947,4.432,3.238,4.232,4.206,4.130,2.548,4.101,3.369,2.982,6.129,4.344,2.563,2.318
TAVG,year,11.276,11.942,12.046,11.329,10.532,10.953,10.790,12.174,12.464,12.466,11.353,12.313,11.443,12.390,12.135,10.445,11.977,12.076,12.655,12.650,12.188,12.497,12.244,12.216,12.421,12.931,12.861,12.371,12.279,10.941
TAVG,MAMJJASO,14.559,15.022,14.937,13.785,14.061,13.921,13.828,14.437,15.282,14.982,14.529,15.121,14.357,14.977,15.308,13.832,15.040,14.870,15.590,15.190,15.175,15.225,15.356,15.111,15.349,15.966,15.500,15.036,15.476,14.751
TAVG,AMJJAS,15.974,16.603,16.520,15.101,15.628,15.284,15.551,15.949,16.400,16.036,15.680,17.061,16.032,16.594,16.763,15.462,16.541,16.361,17.195,16.618,16.414,16.905,17.403,16.653,16.631,17.727,17.070,16.742,17.242,16.271
TAVG,ONDJFM,6.048,6.100,7.871,6.982,6.190,5.833,6.318,8.135,8.737,8.977,7.399,7.490,7.298,7.012,8.416,5.578,6.777,8.304,7.442,8.249,7.906,8.902,7.072,7.476,7.681,7.297,10.067,8.131,6.860,6.793
TAVG,NDJF,4.139,4.494,6.463,5.733,4.228,3.941,4.970,7.157,7.418,7.364,5.058,6.011,6.480,5.407,7.921,3.310,4.567,7.147,5.927,7.026,6.739,7.029,5.460,6.808,6.144,5.573,8.821,7.189,5.184,4.994
RH,year,84.223,82.570,82.432,83.673,84.298,82.234,83.804,83.580,81.766,82.142,83.349,83.477,85.255,84.018,83.851,82.681,83.608,85.937,83.920,84.638,84.402,83.809,81.039,83.295,83.335,82.157,83.962,82.987,82.706,82.972
RH,MAMJJASO,81.887,80.097,80.365,81.676,82.846,80.315,81.609,81.323,78.489,79.222,80.878,80.397,82.884,81.589,81.614,80.481,81.112,84.504,81.289,82.879,81.589,81.627,78.016,80.261,80.873,79.122,81.622,80.397,79.437,79.504
RH,AMJJAS,80.264,78.185,78.873,80.673,81.390,78.448,81.079,79.164,76.646,77.792,79.546,78.468,82.271,80.454,80.360,78.810,79.648,83.686,79.641,81.186,79.718,81.016,76.469,79.202,79.352,77.232,80.678,78.544,77.492,77.999
RH,ONDJFM,88.003,86.730,87.318,85.819,87.227,86.303,85.936,87.925,88.001,85.727,87.129,88.191,87.381,88.266,87.432,87.048,87.655,87.265,89.244,87.846,88.709,86.836,86.072,86.908,87.399,87.661,86.721,86.758,89.127,87.380
RH,NDJF,88.810,87.670,87.385,87.372,86.901,86.598,87.214,88.608,89.305,86.807,88.624,89.655,89.314,89.068,89.391,87.686,87.830,88.549,90.071,88.423,89.290,88.309,87.686,88.569,88.746,89.275,88.346,87.334,90.307,89.463
RHmin,year,68.242,65.720,66.089,67.766,68.135,65.596,68.209,68.187,64.842,65.738,66.704,67.440,68.876,67.599,66.797,66.230,66.705,69.686,67.050,68.731,67.980,67.140,62.934,66.441,66.301,65.855,67.259,66.429,65.783,66.737
RHmin,MAMJJASO,64.367,61.648,62.619,64.316,65.252,61.914,64.168,64.438,60.558,60.940,62.746,62.820,64.725,63.576,62.814,62.050,62.265,67.048,62.705,64.997,64.069,63.065,58.027,61.739,61.790,61.084,63.084,62.279,60.449,61.179
RHmin,AMJJAS,62.085,59.135,60.743,62.924,63.452,59.867,63.412,61.753,58.184,59.267,61.388,60.311,63.890,62.108,61.315,60.254,60.475,65.334,60.557,62.485,61.439,62.151,56.535,60.349,59.956,58.540,61.952,59.884,57.881,59.241
RHmin,ONDJFM,74.441,71.671,73.858,71.036,72.622,72.384,71.474,74.784,73.903,70.517,72.081,74.034,72.983,74.486,72.636,72.072,72.978,72.676,75.256,73.721,75.210,72.139,70.493,71.642,72.848,73.074,72.432,72.242,74.572,73.584
RHmin,NDJF,76.266,73.510,75.219,73.780,72.678,74.589,74.107,77.026,76.242,72.430,75.111,76.684,76.594,76.257,76.088,74.466,75.021,75.287,76.754,75.297,76.670,74.847,73.857,75.195,75.357,76.449,75.425,73.913,77.161,77.489
PREC,year,877.448,676.426,870.529,862.622,786.307,824.458,855.160,922.863,659.179,781.501,631.847,840.678,916.164,983.426,783.867,621.880,688.785,1130.160,888.963,959.203,1013.877,974.105,673.404,913.283,826.070,807.877,994.991,866.481,792.739,862.662
PREC,MAMJJASO,591.658,449.954,572.847,573.357,556.073,502.761,612.051,591.767,476.287,445.280,393.732,599.718,585.309,672.927,490.163,383.225,490.837,869.901,504.897,631.066,684.479,555.786,443.114,581.237,556.378,565.664,622.666,607.192,479.114,603.210
PREC,AMJJAS,314.152,282.948,420.278,416.994,456.676,301.831,450.674,391.687,298.299,350.753,328.763,405.841,492.886,438.097,366.259,303.886,377.212,560.546,389.706,439.663,544.581,424.435,330.390,482.602,453.397,398.531,519.790,403.775,336.386,474.191
PREC,ONDJFM,279.106,433.476,486.802,449.255,338.753,398.112,479.604,590.799,367.056,375.683,331.542,373.824,399.569,546.767,613.905,171.713,365.210,394.901,601.985,495.538,513.435,500.680,415.796,460.228,368.488,352.727,537.476,441.743,379.766,463.984
