Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,14.873,15.732,16.074,14.382,14.225,14.981,14.077,15.333,16.093,16.176,15.023,16.337,15.458,16.636,15.360,13.736,15.397,15.579,15.902,16.695,15.231,16.167,16.522,15.489,15.486,16.175,16.607,16.391,15.940,14.663
TMAX,MAMJJASO,19.868,20.688,20.999,18.620,19.326,19.950,18.705,19.772,20.517,20.490,19.738,21.088,20.085,21.095,20.192,18.507,19.896,20.048,20.908,21.219,20.021,20.669,21.677,20.222,20.516,21.088,21.259,20.443,20.912,19.685
TMAX,AMJJAS,21.861,22.952,23.541,20.476,21.679,22.200,21.358,22.414,22.159,22.067,21.760,24.095,22.682,23.671,22.318,20.918,22.251,22.540,23.323,23.544,21.766,23.242,24.907,22.467,22.822,23.659,23.765,22.790,23.964,22.150
TMAX,ONDJFM,6.837,7.460,9.141,7.928,7.016,7.322,6.978,8.633,9.345,10.633,8.738,8.604,8.028,9.012,9.082,6.382,8.331,9.296,7.936,8.444,9.682,9.587,7.862,7.997,8.323,7.310,11.450,8.803,8.296,7.831
TMAX,NDJF,3.700,4.447,6.814,5.514,3.901,4.484,4.778,6.913,6.444,7.840,5.611,6.338,6.206,6.465,7.620,3.228,5.424,7.717,5.093,6.118,7.273,6.371,5.244,6.412,5.739,4.394,9.076,6.853,5.831,5.489
TMIN,year,6.525,6.762,6.914,6.369,5.828,6.225,5.985,7.061,7.288,7.096,6.348,7.362,6.545,7.623,7.009,5.807,6.561,7.136,7.323,7.820,7.081,7.586,6.829,6.793,6.666,7.182,7.655,7.688,7.413,6.450
TMIN,MAMJJASO,9.979,10.011,10.152,9.024,9.514,9.589,9.155,9.766,10.161,9.654,9.594,10.202,9.578,10.325,10.151,9.235,9.345,10.267,10.525,10.696,10.525,10.642,10.109,9.768,9.778,10.468,10.284,10.162,10.650,9.940
TMIN,AMJJAS,11.193,11.522,11.781,10.425,11.075,11.177,11.220,11.364,11.519,10.841,11.023,12.088,11.266,12.065,11.616,10.888,11.056,11.940,12.178,11.928,11.652,12.485,12.227,11.267,11.663,12.381,11.963,11.814,12.361,11.942
TMIN,ONDJFM,0.439,1.291,2.975,1.406,0.982,1.156,0.341,3.226,3.071,3.143,2.256,2.297,1.612,3.013,2.746,0.660,1.963,2.627,2.207,2.477,3.611,2.786,1.461,1.786,1.965,1.000,4.510,2.798,2.665,1.883
TMIN,NDJF,-1.926,-0.820,1.502,-0.065,-1.424,-0.765,-0.803,2.369,1.421,1.452,0.245,1.136,0.464,1.344,2.192,-1.425,-0.091,1.913,0.213,0.922,1.819,0.566,-0.258,0.820,0.719,-0.815,3.603,1.758,1.085,0.403
