Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,14.592,15.255,15.264,15.248,14.240,14.186,14.414,15.078,15.901,15.892,14.938,15.126,14.694,15.211,15.859,14.671,15.930,15.399,15.760,15.431,15.309,15.654,16.196,15.738,15.676,16.080,15.955,15.372,15.533,14.717
TMAX,MAMJJASO,17.279,17.934,17.728,17.909,16.989,16.754,17.002,17.340,18.500,18.482,17.740,17.628,17.039,17.496,18.771,17.535,18.543,17.596,18.387,17.907,17.946,18.006,18.973,18.146,18.363,18.872,18.356,17.726,18.458,18.200
TMAX,AMJJAS,18.788,19.504,19.201,19.570,18.303,17.885,18.655,18.690,19.823,19.676,19.037,19.388,18.514,18.780,20.233,19.019,19.852,18.881,19.779,19.247,19.206,19.373,20.568,19.679,19.584,20.575,19.559,19.258,19.745,19.702
TMAX,ONDJFM,10.062,10.240,11.011,10.828,10.610,9.971,10.696,10.964,12.186,12.175,10.910,11.284,11.003,10.400,11.925,10.663,11.269,12.359,11.561,11.827,10.789,12.464,11.639,11.625,11.758,11.138,12.667,12.104,10.979,10.688
TMAX,NDJF,8.948,9.110,9.857,9.918,9.260,8.184,9.645,9.955,11.226,10.659,9.003,10.192,10.255,9.238,11.202,9.114,9.312,11.337,10.468,10.510,9.666,10.940,10.247,10.728,10.752,9.784,11.388,11.112,9.502,8.851
TMIN,year,7.473,7.879,8.142,7.732,7.271,7.133,7.454,8.103,8.228,8.422,7.849,8.011,7.755,8.260,8.219,7.561,8.506,8.522,8.584,8.378,8.069,8.685,8.334,8.708,8.620,8.870,8.702,8.291,8.407,7.199
TMIN,MAMJJASO,9.600,9.799,9.884,9.423,9.473,8.980,9.279,9.748,9.941,10.084,9.995,9.890,9.414,9.787,10.203,9.512,10.198,10.249,10.487,10.071,10.198,10.203,10.253,10.491,10.649,10.811,10.382,10.123,10.534,9.874
TMIN,AMJJAS,10.699,10.871,10.859,10.375,10.510,9.840,10.551,10.689,10.711,10.653,10.828,11.170,10.590,10.715,11.145,10.371,11.152,11.192,11.509,10.987,10.958,11.304,11.670,11.663,11.310,11.917,11.378,11.381,11.539,11.010
TMIN,ONDJFM,4.017,3.911,5.187,4.970,4.499,4.082,4.517,5.280,5.880,6.087,5.084,5.343,4.959,4.645,5.726,5.082,5.174,6.354,5.446,5.706,4.932,6.115,5.462,5.267,5.955,5.353,6.564,5.606,4.932,4.578
TMIN,NDJF,3.004,3.148,4.163,4.251,3.570,2.753,3.707,4.722,5.221,4.945,3.460,4.287,4.615,3.753,5.539,3.827,3.662,5.791,4.611,4.746,4.195,4.659,4.896,4.871,5.149,4.102,5.737,4.824,4.045,3.263
TAVG,year,10.846,11.402,11.529,11.315,10.602,10.508,10.785,11.445,11.893,11.971,11.250,11.414,11.049,11.570,11.856,10.950,12.044,11.803,12.002,11.761,11.511,12.028,12.110,12.049,12.067,12.385,12.250,11.740,11.901,10.802
TAVG,MAMJJASO,13.275,13.738,13.660,13.512,13.097,12.733,13.014,13.404,14.055,14.119,13.741,13.629,13.094,13.501,14.328,13.362,14.216,13.802,14.305,13.855,13.936,13.988,14.500,14.200,14.441,14.760,14.301,13.843,14.447,13.921
TAVG,AMJJAS,14.600,15.046,14.876,14.817,14.247,13.722,14.480,14.551,15.099,15.006,14.806,15.132,14.423,14.617,15.539,14.542,15.344,14.917,15.519,14.961,14.965,15.238,15.999,15.546,15.383,16.167,15.406,15.237,15.607,15.238
TAVG,ONDJFM,6.797,6.889,7.895,7.699,7.369,6.892,7.420,7.975,8.843,8.942,7.832,8.136,7.781,7.326,8.591,7.700,8.030,9.169,8.287,8.597,7.700,9.031,8.388,8.257,8.698,8.130,9.525,8.746,7.868,7.487
TAVG,NDJF,5.746,5.919,6.758,6.846,6.209,5.300,6.451,7.187,8.032,7.589,6.063,7.024,7.200,6.253,8.139,6.270,6.287,8.358,7.281,7.434,6.766,7.487,7.383,7.574,7.731,6.822,8.459,7.848,6.674,5.894
RH,year,84.262,83.308,83.160,82.237,83.959,83.067,83.850,83.255,81.514,81.359,83.570,83.086,83.342,82.975,81.485,81.908,83.119,83.584,83.003,83.683,83.022,83.474,80.900,83.027,82.461,82.090,83.702,83.457,83.575,82.346
RH,MAMJJASO,83.389,81.434,82.371,79.895,83.280,82.266,82.619,82.240,79.561,79.165,82.299,81.470,82.042,81.028,79.224,80.058,81.145,82.606,82.046,82.487,81.604,81.835,78.657,81.656,81.132,80.375,82.513,82.034,81.596,80.045
RH,AMJJAS,82.610,80.379,81.719,78.485,82.731,81.494,81.940,81.677,78.081,78.150,81.030,80.640,82.111,80.352,77.814,78.843,80.569,82.418,81.668,82.092,80.448,81.314,78.267,80.995,79.945,79.140,81.934,81.894,80.882,79.231
RH,ONDJFM,85.881,85.517,85.518,85.099,85.729,84.952,85.007,85.501,84.987,84.874,85.739,85.724,84.577,85.045,85.633,85.264,85.124,85.184,84.902,84.214,85.849,85.228,84.655,84.266,85.137,84.867,85.393,85.175,85.888,86.026
RH,NDJF,85.706,86.775,85.006,86.142,86.245,85.008,85.737,85.860,85.375,85.938,86.066,86.148,85.977,86.272,87.010,86.032,85.797,86.389,85.774,84.993,86.596,85.606,86.114,85.939,85.378,85.665,85.950,86.006,87.248,87.559
RHmin,year,67.383,66.397,66.721,65.363,67.597,66.642,67.535,67.100,64.502,64.766,67.114,66.677,67.125,66.935,64.575,65.837,66.207,67.481,66.481,67.351,66.355,67.412,63.731,66.805,66.592,66.120,67.156,67.164,67.383,65.400
RHmin,MAMJJASO,65.962,63.883,65.072,62.057,66.322,64.914,65.391,65.343,61.635,61.696,65.183,64.577,65.177,64.236,61.446,62.909,63.197,66.168,64.773,65.146,64.759,64.742,60.817,64.928,64.646,63.445,65.084,65.274,64.586,62.560
RHmin,AMJJAS,64.810,62.241,63.744,59.858,65.449,63.905,64.352,64.288,59.661,59.915,63.425,63.179,64.844,63.210,59.649,60.993,62.264,65.525,63.980,64.113,63.095,64.054,60.439,63.898,62.754,61.581,64.450,64.838,63.699,61.441
RHmin,ONDJFM,70.045,69.442,70.448,70.138,70.076,70.169,69.334,70.983,69.184,69.604,70.789,70.498,69.251,70.236,69.831,71.048,69.634,70.094,69.339,69.009,70.867,69.084,69.477,68.507,70.467,70.334,70.339,69.164,70.742,70.549
RHmin,NDJF,70.003,71.047,69.960,71.134,71.182,70.886,70.159,72.126,69.997,70.936,71.380,70.630,71.027,71.426,71.950,72.058,70.849,71.873,70.275,70.118,72.138,69.097,72.123,70.712,70.743,70.994,71.587,70.135,72.893,72.598
PREC,year,1122.702,1184.609,1061.764,1043.802,1084.758,1203.066,1037.134,1136.293,1012.268,1192.808,981.534,1179.439,1126.651,1193.433,1018.323,889.768,1028.813,1292.067,1247.704,1340.107,993.506,1243.149,821.174,1120.142,974.984,1125.705,1167.916,1290.535,1179.643,893.944
PREC,MAMJJASO,787.167,714.686,674.184,536.017,756.016,706.552,748.419,763.056,619.408,608.692,620.903,772.526,674.657,676.314,538.675,523.113,589.492,857.116,702.686,793.588,672.096,680.538,459.973,758.007,626.609,680.698,705.355,844.214,696.691,616.889
PREC,AMJJAS,477.027,462.457,439.451,327.679,624.903,476.357,479.512,520.889,367.630,384.039,416.207,552.752,525.994,429.749,334.146,343.562,455.427,553.680,541.865,532.598,432.868,454.254,348.325,532.099,421.041,447.158,560.616,559.025,521.126,446.756
PREC,ONDJFM,309.920,627.374,714.987,642.881,593.015,548.027,671.425,715.292,592.836,747.308,607.689,589.463,600.119,731.944,798.146,482.338,590.041,625.561,764.437,662.191,779.486,667.290,610.026,546.650,568.707,523.106,806.031,663.477,580.116,626.171
PREC,NDJF,150.851,356.231,480.818,435.772,381.227,380.816,449.623,423.706,347.173,543.465,370.414,353.724,452.514,488.487,609.822,323.823,392.198,449.386,485.554,518.866,495.160,443.594,406.982,417.965,340.419,282.099,587.276,479.045,341.809,453.795
SRAD,year,3265.518,3493.528,3337.427,3521.955,3337.033,3411.773,3263.093,3358.243,3696.476,3617.474,3394.403,3428.516,3279.009,3322.940,3731.048,3527.974,3521.649,3314.431,3501.750,3428.302,3529.247,3411.029,3723.621,3535.237,3501.224,3619.256,3529.970,3456.767,3592.498,3625.289
