Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,16.090,16.918,17.273,15.795,15.349,16.521,15.666,16.431,17.034,17.166,16.214,17.607,16.980,17.998,16.815,15.743,16.487,16.925,17.247,18.433,16.976,17.849,17.816,16.638,16.844,17.680,18.363,18.253,17.920,16.735
TMAX,MAMJJASO,21.500,22.214,22.569,20.393,20.887,22.147,20.729,21.380,21.919,21.811,21.359,22.861,22.109,23.020,21.989,20.728,21.150,21.767,22.829,23.437,22.437,22.862,23.209,21.747,22.174,23.055,23.637,22.636,23.299,21.772
TMAX,AMJJAS,23.581,24.649,25.295,22.492,23.180,24.622,23.678,24.081,23.892,23.388,23.644,26.018,24.753,25.917,24.197,23.309,23.705,24.543,25.548,25.801,24.371,25.652,26.674,24.008,24.731,25.727,26.317,25.023,26.708,24.451
TMAX,ONDJFM,7.160,8.126,10.006,8.519,7.735,8.486,7.387,9.470,9.375,11.044,9.480,9.006,8.583,10.284,9.418,7.925,9.374,10.221,8.403,8.610,11.783,10.099,8.508,8.758,9.063,8.563,12.390,9.653,10.047,9.256
TMAX,NDJF,4.019,4.732,7.365,6.041,4.173,5.399,4.985,7.440,5.928,7.958,6.094,6.560,6.493,7.355,7.594,4.537,6.545,8.815,5.118,5.996,8.918,6.207,5.916,6.862,6.341,5.460,9.584,7.284,7.590,6.783
TMIN,year,6.892,7.047,7.253,6.726,6.045,6.293,6.215,7.064,7.455,7.195,6.817,7.321,6.798,8.060,7.370,6.649,6.912,7.572,7.925,8.097,7.645,8.058,7.117,7.360,7.001,7.458,8.276,8.545,8.025,7.737
TMIN,MAMJJASO,10.817,10.681,10.828,9.802,10.093,10.011,9.763,10.143,10.735,9.887,10.548,10.569,10.175,11.155,10.754,10.262,9.795,11.222,11.556,11.126,11.660,11.505,10.702,10.755,10.636,11.018,11.347,11.425,11.423,11.382
TMIN,AMJJAS,12.167,12.373,12.674,11.310,11.828,11.999,11.993,12.188,12.359,11.313,12.155,12.572,11.765,13.096,12.402,12.287,11.955,13.234,13.459,12.533,13.020,13.580,13.058,12.366,12.873,13.107,13.144,13.143,13.319,13.877
TMIN,ONDJFM,-0.512,0.922,3.289,1.045,0.499,1.076,-0.513,3.226,1.937,2.681,2.016,1.721,1.194,3.451,2.649,0.631,1.753,2.605,1.901,1.972,4.212,2.292,0.965,1.761,1.770,0.730,4.622,2.641,3.118,2.410
TMIN,NDJF,-2.972,-1.577,1.687,-0.559,-2.450,-0.755,-1.713,2.309,0.146,0.939,-0.066,0.282,-0.274,1.549,1.588,-1.278,0.008,2.315,-0.556,0.152,2.452,-0.271,-0.888,0.566,0.288,-1.301,3.577,1.279,1.454,0.925
