Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,17.718,17.857,18.572,16.539,17.287,17.354,17.223,18.129,18.502,18.525,17.350,18.893,18.195,19.263,17.860,16.563,18.182,18.561,18.348,19.973,18.868,19.140,19.773,17.961,17.734,18.915,19.710,19.093,19.179,17.660
TMAX,MAMJJASO,22.728,22.622,23.749,21.101,22.604,22.625,22.089,22.765,22.745,22.992,22.337,23.568,23.125,23.879,22.503,21.372,22.815,23.249,23.512,24.739,24.080,23.637,25.390,22.697,22.881,23.919,24.420,23.526,24.514,22.739
TMAX,AMJJAS,24.616,25.354,26.121,23.215,25.272,25.304,25.209,25.249,24.205,24.573,24.699,26.537,25.723,26.249,24.590,24.037,25.180,25.745,25.807,27.246,25.879,25.675,28.713,25.088,25.290,26.470,27.257,25.827,27.381,25.631
TMAX,ONDJFM,8.769,10.242,11.378,9.613,9.208,9.314,9.403,11.157,11.957,13.271,10.595,10.653,10.916,11.494,11.235,9.463,11.055,11.969,10.391,11.092,12.852,12.325,11.197,10.485,10.844,9.522,14.054,11.376,11.024,10.425
TMAX,NDJF,5.708,7.564,9.057,6.901,6.322,6.572,7.193,9.279,9.043,10.383,7.154,8.635,9.063,8.268,9.905,6.377,8.355,10.461,7.275,8.128,10.448,8.532,8.188,8.885,8.021,6.708,11.925,9.526,7.924,7.812
TMIN,year,8.030,8.797,8.392,7.958,7.711,7.976,8.236,8.726,8.844,8.770,8.308,9.461,9.034,10.163,9.036,8.426,8.909,9.085,9.425,9.998,9.321,10.167,9.240,8.815,8.548,9.159,9.572,9.841,9.592,8.969
TMIN,MAMJJASO,12.360,12.506,12.382,11.130,11.754,11.936,11.930,12.253,12.264,12.067,12.297,12.903,12.767,13.477,12.485,11.947,12.022,12.867,13.702,13.459,13.255,13.462,13.251,12.396,12.532,12.812,12.914,13.095,13.343,12.706
TMIN,AMJJAS,13.722,14.429,14.493,12.628,13.667,14.086,14.230,14.111,14.124,13.549,14.069,15.037,14.638,15.533,14.281,13.978,13.984,15.071,15.640,15.082,14.395,15.339,15.773,14.030,14.608,14.767,14.867,15.097,15.597,14.947
TMIN,ONDJFM,-0.402,2.346,3.699,2.006,2.239,2.249,1.313,4.279,3.370,3.653,3.156,2.994,3.364,4.604,3.959,2.798,3.911,3.970,2.784,2.893,6.141,3.778,3.508,3.016,3.102,2.547,5.696,3.596,3.737,3.452
TMIN,NDJF,-3.150,-0.159,1.838,0.270,-0.381,0.511,0.028,2.888,0.957,2.083,0.541,1.473,1.967,2.238,3.136,0.959,2.184,3.182,0.198,0.558,4.246,0.968,1.608,1.899,0.973,0.416,4.242,2.182,1.941,1.862
TAVG,year,12.557,12.987,13.127,11.970,12.146,12.308,12.429,13.060,13.173,13.258,12.458,13.807,13.231,14.306,13.011,12.167,13.157,13.441,13.508,14.650,13.757,14.253,14.060,13.002,12.738,13.715,14.248,14.064,14.039,13.036
TAVG,MAMJJASO,17.250,17.241,17.726,15.829,16.825,16.929,16.736,17.166,17.058,17.188,16.975,17.894,17.568,18.265,17.020,16.317,17.007,17.749,18.218,18.787,18.335,18.123,18.864,17.159,17.323,18.041,18.303,17.907,18.545,17.430
TAVG,AMJJAS,18.909,19.581,20.054,17.686,19.181,19.390,19.471,19.379,18.812,18.810,19.114,20.466,19.848,20.557,19.012,18.691,19.224,20.146,20.372,20.902,19.853,20.104,21.835,19.176,19.598,20.324,20.770,20.112,21.146,20.052
TAVG,ONDJFM,3.824,5.881,7.198,5.423,5.386,5.383,4.902,7.367,7.089,7.799,6.435,6.341,6.699,7.671,7.127,5.727,7.071,7.501,6.167,6.536,9.210,7.515,6.964,6.329,6.526,5.673,9.442,7.003,6.975,6.607
TAVG,NDJF,0.935,3.256,5.161,3.263,2.679,3.226,3.189,5.723,4.412,5.618,3.460,4.618,5.066,4.955,6.100,3.373,4.907,6.366,3.327,3.919,7.094,4.280,4.587,4.986,4.040,3.191,7.712,5.414,4.592,4.602
RH,year,76.038,77.946,74.325,77.986,75.881,76.211,76.808,75.276,75.854,74.833,76.508,73.841,73.499,74.905,75.590,76.008,72.974,72.779,74.634,72.086,71.192,73.378,67.726,74.462,73.404,71.983,72.243,75.707,74.168,77.020
RH,MAMJJASO,74.875,75.154,71.767,74.031,72.047,72.948,73.164,72.353,73.802,71.661,73.975,69.688,69.530,70.673,72.173,71.451,67.608,69.884,71.791,67.419,67.275,69.359,61.791,71.873,70.405,67.630,67.919,72.375,69.248,72.093
RH,AMJJAS,73.267,73.419,70.197,72.900,69.617,70.720,70.870,70.411,74.133,70.636,71.746,66.260,67.507,69.030,70.919,69.460,66.214,69.233,70.636,64.370,63.348,68.793,59.037,69.061,68.670,65.159,65.081,70.279,67.836,69.617
RH,ONDJFM,76.761,79.753,82.283,79.953,83.404,83.082,79.987,82.741,79.133,75.379,82.647,79.585,79.034,82.303,80.900,82.140,80.164,76.543,78.703,78.265,82.642,75.566,78.075,79.198,77.156,81.126,78.374,79.768,80.665,83.234
RH,NDJF,75.802,80.701,82.981,82.489,83.575,85.780,82.293,84.663,79.192,78.534,83.255,80.690,80.291,84.882,82.824,85.238,83.308,79.926,80.000,80.612,83.349,78.037,82.060,80.601,76.861,83.086,80.465,80.150,83.706,86.955
RHmin,year,56.575,59.270,54.610,60.354,56.920,57.463,58.608,56.592,56.029,55.874,57.947,55.883,55.945,56.912,57.741,59.736,55.335,54.630,56.798,53.830,53.715,56.214,49.727,56.508,55.508,54.013,53.489,57.367,56.064,59.781
RHmin,MAMJJASO,55.268,55.792,51.450,55.206,52.440,53.345,54.341,53.198,53.838,52.145,54.940,51.318,51.487,51.938,53.306,54.305,48.843,51.589,53.609,48.844,49.251,51.395,43.531,53.100,51.966,49.054,48.731,53.078,50.013,54.089
RHmin,AMJJAS,53.536,53.396,50.472,53.796,49.733,51.214,51.656,51.262,55.104,51.614,52.778,47.780,49.195,50.764,52.346,52.160,47.585,51.078,52.559,45.623,45.775,50.953,40.928,49.969,50.536,46.821,45.808,51.487,48.502,51.710
RHmin,ONDJFM,56.563,61.358,64.258,62.093,66.322,65.876,61.052,66.012,59.137,54.892,64.474,61.626,61.682,65.721,63.434,66.052,63.899,59.152,61.194,59.622,66.726,57.102,61.232,61.839,59.654,64.429,59.842,61.791,63.906,66.502
RHmin,NDJF,55.987,61.955,65.568,65.704,66.790,69.711,64.345,68.202,59.540,59.002,66.244,63.344,63.064,69.231,65.874,71.023,68.015,63.095,62.888,62.256,68.160,60.413,66.023,63.619,60.248,66.924,62.547,62.905,68.552,71.502
PREC,year,1508.173,1731.526,1289.599,1725.436,1716.267,1543.276,1780.639,1454.225,1551.127,1761.496,1650.246,1727.268,1529.145,1565.695,1753.874,1777.495,1449.690,1694.265,1663.620,1699.325,1500.763,1580.480,1248.276,1793.246,1599.683,1341.050,1416.906,1835.592,1783.499,2034.409
PREC,MAMJJASO,1099.440,1200.552,939.919,1196.240,1056.432,1127.480,1188.274,1090.302,1211.909,1311.591,1133.178,1267.812,1155.514,1174.556,1137.021,1220.274,802.803,1403.016,1171.878,1035.795,1117.034,1126.244,832.348,1349.589,1189.116,1004.537,1080.552,1226.477,1074.169,1285.089
PREC,AMJJAS,852.051,827.003,630.550,921.425,833.267,876.364,852.279,842.071,1077.313,832.783,878.289,600.079,706.659,879.951,949.174,985.576,720.279,1071.661,946.366,668.873,825.879,909.327,555.941,892.751,1044.326,764.751,793.671,887.763,774.905,1059.898
PREC,ONDJFM,183.173,642.952,1002.501,797.732,790.192,821.747,704.690,960.644,412.045,473.184,924.659,820.725,941.810,1008.861,869.040,577.264,754.773,647.219,803.436,613.330,1347.236,343.702,676.463,876.393,693.120,714.490,640.484,573.731,1086.124,894.240
PREC,NDJF,97.958,376.357,589.033,541.157,427.211,662.677,449.502,626.744,170.183,358.573,461.185,465.048,401.321,531.740,482.645,538.701,506.911,570.602,402.131,365.318,866.531,269.298,466.942,497.765,291.668,475.046,414.478,261.178,717.623,706.232
