Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,20.045,20.452,21.045,19.740,19.392,20.608,19.725,20.081,20.797,21.598,19.526,20.844,20.282,22.017,20.296,19.466,19.595,20.405,21.087,22.244,21.072,21.553,20.804,20.676,20.133,20.861,22.295,21.894,22.004,21.020
TMAX,MAMJJASO,25.764,25.891,26.838,25.050,25.457,26.664,25.252,25.636,25.884,26.802,24.997,26.525,25.891,27.589,25.963,24.806,24.439,25.920,26.707,27.757,27.002,26.885,26.809,26.117,25.472,26.438,28.012,27.203,27.628,26.246
TMAX,AMJJAS,27.859,28.684,29.448,27.466,28.586,29.909,28.893,28.600,28.119,28.661,27.532,29.332,28.702,30.541,28.451,28.157,27.168,28.878,29.643,30.656,29.119,29.532,30.591,28.547,28.317,29.071,31.081,29.616,30.910,29.568
TMAX,ONDJFM,9.811,11.512,13.924,11.186,10.336,11.780,10.323,12.348,12.317,13.839,12.952,11.672,11.767,13.402,12.934,9.672,12.450,12.723,11.587,12.091,15.132,13.246,10.976,11.826,12.503,11.601,15.405,12.388,13.449,12.629
TMAX,NDJF,6.655,8.085,10.996,8.453,6.380,9.122,7.873,10.195,8.966,10.443,9.776,8.669,9.216,9.909,10.489,6.524,9.920,11.158,7.984,9.184,12.321,9.350,8.076,9.314,9.749,8.584,12.728,9.150,10.634,9.802
TMIN,year,10.305,10.255,10.232,10.095,9.169,10.045,9.775,10.390,10.792,10.518,10.183,10.259,9.873,11.594,10.472,10.297,10.054,10.530,11.250,10.937,10.972,11.402,10.493,10.756,10.572,10.764,11.698,11.488,11.433,11.410
TMIN,MAMJJASO,14.288,14.327,14.254,13.590,13.577,14.006,13.475,14.211,14.537,13.693,14.241,14.151,14.031,15.390,14.441,14.028,13.333,14.703,15.321,14.532,15.274,15.371,14.593,14.496,14.450,14.781,15.469,15.166,15.067,15.325
TMIN,AMJJAS,15.975,16.452,16.605,15.374,16.041,16.481,16.194,16.645,16.535,15.477,16.273,16.205,16.025,17.753,16.648,16.600,15.790,17.025,17.673,16.843,17.070,17.653,17.329,16.392,17.013,17.076,17.693,17.191,17.231,18.128
TMIN,ONDJFM,2.343,3.768,5.332,3.585,2.483,4.311,2.327,5.362,4.164,4.958,4.883,3.883,3.646,5.431,4.923,2.821,4.860,4.654,4.152,4.157,6.175,4.656,3.510,4.467,4.748,3.853,6.431,4.956,5.500,5.303
TMIN,NDJF,0.425,1.372,3.625,2.037,-0.444,3.074,1.066,4.185,2.328,3.034,3.230,1.934,1.750,3.280,3.381,1.129,3.451,3.989,1.743,2.231,4.767,2.137,1.561,2.817,3.314,1.879,5.119,2.917,3.909,3.603
TAVG,year,14.817,14.878,15.199,14.534,13.898,14.952,14.397,14.846,15.373,15.619,14.408,15.227,14.671,16.344,14.934,14.516,14.368,15.021,15.678,16.168,15.526,16.011,15.261,15.254,14.865,15.253,16.569,16.195,16.274,15.671
TAVG,MAMJJASO,19.648,19.666,20.100,18.937,19.128,19.960,19.017,19.574,19.824,19.861,19.162,20.058,19.604,21.059,19.746,19.100,18.446,19.908,20.551,20.785,20.668,20.688,20.359,19.842,19.488,20.043,21.361,20.717,20.915,20.221
TAVG,AMJJAS,21.641,22.205,22.664,21.118,22.013,22.898,22.284,22.383,22.014,21.810,21.536,22.586,22.092,23.827,22.207,22.157,21.137,22.638,23.270,23.563,22.733,23.229,23.723,22.106,22.266,22.606,24.104,23.068,23.724,23.353
TAVG,ONDJFM,5.647,7.158,9.059,6.914,5.940,7.563,5.859,8.361,7.704,8.827,8.318,7.314,7.215,8.821,8.358,5.738,8.110,8.052,7.341,7.556,9.894,8.348,6.748,7.615,8.055,7.113,10.232,8.106,8.844,8.451
TAVG,NDJF,3.214,4.342,6.815,4.843,2.593,5.710,4.076,6.725,5.202,6.213,5.985,4.939,5.020,6.063,6.448,3.418,6.219,6.967,4.415,5.221,7.848,5.231,4.397,5.580,6.028,4.696,8.315,5.546,6.743,6.289
