Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,12.804,13.654,13.999,12.324,12.148,12.967,11.988,13.260,14.069,14.112,12.907,14.229,13.447,14.567,13.236,11.692,13.299,13.533,13.865,14.724,13.146,14.069,14.466,13.419,13.448,14.129,14.590,14.340,13.905,12.581
TMAX,MAMJJASO,17.814,18.571,18.889,16.536,17.250,17.920,16.595,17.684,18.477,18.417,17.563,18.934,18.077,18.954,18.073,16.457,17.765,18.000,18.848,19.244,17.945,18.563,19.576,18.138,18.468,18.986,19.242,18.338,18.867,17.584
TMAX,AMJJAS,19.884,20.884,21.504,18.460,19.690,20.260,19.336,20.422,20.171,20.055,19.650,22.023,20.799,21.577,20.263,18.978,20.206,20.585,21.323,21.674,19.758,21.214,22.884,20.443,20.836,21.606,21.845,20.763,22.024,20.104
TMAX,ONDJFM,5.123,5.289,7.072,5.807,4.876,5.202,4.842,6.508,7.228,8.555,6.642,6.442,5.898,6.901,6.972,4.202,6.176,7.200,5.813,6.306,7.606,7.422,5.744,5.862,6.261,5.183,9.452,6.652,6.200,5.739
TMAX,NDJF,2.024,2.346,4.868,3.495,1.839,2.468,2.751,4.910,4.411,5.822,3.630,4.300,4.210,4.457,5.637,1.125,3.360,5.753,3.053,4.062,5.318,4.243,3.213,4.411,3.760,2.336,7.189,4.812,3.858,3.489
TMIN,year,4.251,4.516,4.651,4.149,3.536,4.008,3.729,4.814,5.072,4.880,4.030,5.137,4.330,5.436,4.742,3.567,4.273,4.904,5.129,5.724,4.831,5.360,4.591,4.587,4.445,5.018,5.453,5.516,5.221,4.171
TMIN,MAMJJASO,7.833,7.838,8.017,6.861,7.355,7.464,6.986,7.616,8.055,7.506,7.343,8.032,7.467,8.156,8.019,7.104,7.113,8.157,8.422,8.670,8.433,8.517,7.936,7.652,7.647,8.347,8.151,8.007,8.547,7.766
TMIN,AMJJAS,9.123,9.422,9.759,8.348,9.038,9.168,9.160,9.312,9.485,8.783,8.889,10.037,9.287,9.993,9.561,8.855,8.957,9.931,10.170,9.978,9.610,10.473,10.203,9.228,9.621,10.335,9.936,9.761,10.369,9.883
TMIN,ONDJFM,-1.607,-1.223,0.651,-1.134,-1.461,-1.329,-2.137,0.882,0.632,0.741,-0.128,-0.207,-0.819,0.614,0.395,-1.853,-0.470,0.211,-0.249,0.064,1.366,0.317,-0.989,-0.673,-0.372,-1.442,2.316,0.386,0.319,-0.497
TMIN,NDJF,-4.022,-3.379,-0.792,-2.621,-3.898,-3.233,-3.260,0.077,-1.035,-0.998,-2.116,-1.306,-1.906,-1.040,-0.071,-4.003,-2.558,-0.392,-2.293,-1.502,-0.414,-2.018,-2.705,-1.556,-1.615,-3.289,1.477,-0.614,-1.218,-1.956
TAVG,year,8.373,8.861,9.177,8.019,7.620,8.257,7.694,8.872,9.330,9.239,8.239,9.498,8.667,9.784,8.811,7.416,8.544,9.040,9.315,10.022,8.791,9.490,9.333,8.812,8.730,9.311,9.834,9.722,9.370,8.214
TAVG,MAMJJASO,12.589,12.938,13.267,11.430,12.012,12.417,11.551,12.445,12.991,12.668,12.164,13.279,12.496,13.314,12.810,11.526,12.123,12.871,13.385,13.700,12.929,13.250,13.544,12.642,12.779,13.339,13.459,12.931,13.427,12.424
TAVG,AMJJAS,14.275,14.973,15.481,13.208,14.111,14.496,14.021,14.685,14.621,14.217,14.057,15.898,14.815,15.619,14.757,13.721,14.334,15.072,15.549,15.610,14.484,15.588,16.401,14.624,15.017,15.708,15.712,15.092,15.935,14.803
TAVG,ONDJFM,1.646,1.877,3.663,2.152,1.506,1.721,1.147,3.561,3.741,4.297,3.009,2.858,2.317,3.539,3.444,0.963,2.630,3.476,2.604,3.056,4.264,3.643,2.182,2.418,2.708,1.644,5.652,3.304,3.096,2.478
TAVG,NDJF,-1.064,-0.539,1.930,0.367,-1.140,-0.476,-0.365,2.411,1.611,2.141,0.662,1.374,1.025,1.560,2.683,-1.524,0.311,2.530,0.315,1.265,2.313,1.033,0.165,1.314,0.915,-0.569,4.255,1.990,1.278,0.740
