Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,20.909,20.318,20.730,19.340,20.606,20.068,20.608,20.320,21.280,20.969,20.155,20.209,19.525,21.270,21.599,20.079,21.230,20.946,20.695,21.010,21.003,20.834,21.304,20.797,21.111,21.620,20.748,20.540,21.710,20.307
TMAX,MAMJJASO,24.373,24.251,24.516,22.966,24.806,24.125,24.719,24.021,25.072,25.014,24.290,23.854,23.029,25.173,25.393,23.923,25.192,24.659,24.908,24.838,25.332,24.323,25.768,24.674,25.805,26.171,24.376,24.217,26.060,24.678
TMAX,AMJJAS,25.993,26.591,25.984,25.161,26.841,26.135,27.170,25.573,26.639,27.239,26.960,26.251,25.364,26.960,27.036,25.916,26.250,26.282,27.209,26.787,27.133,26.133,28.312,26.897,28.102,28.312,26.439,26.229,27.799,27.182
TMAX,ONDJFM,14.075,15.662,14.084,14.283,13.824,14.309,14.477,14.335,15.490,16.076,13.299,13.850,14.222,14.274,15.655,15.079,15.890,15.921,14.669,14.784,14.889,15.076,14.855,14.306,14.312,14.133,15.427,15.593,14.198,14.611
TMAX,NDJF,12.206,14.089,11.940,12.561,12.082,11.626,12.241,12.583,13.133,14.031,11.223,12.184,13.032,12.398,14.027,12.835,13.166,13.328,12.755,12.622,12.800,12.681,12.483,13.153,11.841,11.504,13.501,14.003,11.664,12.310
TMIN,year,8.501,8.751,8.537,7.670,8.288,8.058,8.836,8.394,9.376,8.963,8.223,8.118,7.747,8.819,9.320,8.695,9.662,8.811,8.763,8.713,9.114,9.291,9.646,8.888,8.574,9.773,8.580,8.756,9.395,8.966
TMIN,MAMJJASO,11.392,11.277,11.252,10.019,11.066,10.935,11.633,10.976,11.825,11.980,11.194,10.966,10.471,11.544,11.708,11.027,12.195,11.621,12.170,11.477,12.378,11.650,12.762,11.799,12.226,13.101,11.458,11.488,12.323,11.876
TMIN,AMJJAS,12.591,13.047,12.705,11.733,12.757,12.325,13.269,12.467,13.229,13.531,12.802,12.673,12.107,12.778,13.095,12.595,13.432,13.288,13.709,13.129,13.255,12.880,14.459,13.321,13.837,14.450,13.168,13.125,13.804,13.764
TMIN,ONDJFM,2.426,5.068,3.511,4.229,3.784,3.980,3.903,4.679,4.056,6.061,3.824,2.945,3.770,4.006,4.900,5.723,5.091,5.938,3.352,3.813,5.568,4.442,5.343,4.777,3.326,4.168,5.453,4.158,3.859,5.115
TMIN,NDJF,0.462,4.244,1.998,3.463,3.083,2.630,2.141,3.872,2.270,5.280,1.809,1.600,2.667,2.717,3.754,4.630,4.165,4.565,1.837,1.923,4.160,2.196,3.936,3.752,1.200,2.008,4.137,2.914,2.280,3.752
TAVG,year,14.669,14.489,14.612,13.491,14.457,14.059,14.704,14.342,15.314,14.954,14.189,14.155,13.618,15.025,15.429,14.368,15.411,14.833,14.682,14.813,15.004,14.997,15.432,14.795,14.792,15.642,14.626,14.542,15.456,14.550
TAVG,MAMJJASO,17.829,17.699,17.845,16.456,17.926,17.499,18.133,17.468,18.429,18.474,17.722,17.382,16.722,18.333,18.516,17.453,18.663,18.092,18.480,18.122,18.793,17.923,19.216,18.186,18.953,19.576,17.885,17.744,19.092,18.180
