Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,17.992,18.465,18.470,17.338,18.391,18.251,18.342,18.748,18.633,18.943,18.040,18.788,18.794,19.576,18.373,18.049,19.264,19.082,19.164,19.695,19.538,19.231,19.963,19.085,18.698,19.681,19.989,19.640,19.697,18.688
TMAX,MAMJJASO,22.098,22.318,22.454,20.691,22.558,22.399,22.204,22.655,22.102,22.798,22.013,22.441,22.711,23.486,21.997,21.610,22.976,23.010,23.305,23.553,23.704,22.814,24.427,22.850,22.965,23.692,23.807,23.372,23.883,22.689
TMAX,AMJJAS,23.851,24.809,24.554,22.623,24.849,24.399,24.715,24.653,23.731,24.431,23.974,24.624,25.033,25.368,23.798,23.918,24.786,25.284,25.399,25.785,25.171,24.466,27.121,24.807,25.128,25.840,26.109,25.314,26.285,25.004
TMAX,ONDJFM,10.464,12.100,12.362,11.727,11.803,12.162,11.888,13.024,13.531,13.667,12.488,12.153,12.741,13.299,13.081,12.445,13.531,13.461,12.415,13.059,13.994,13.944,13.158,12.664,13.112,12.234,14.945,13.468,13.217,12.870
TMAX,NDJF,8.260,10.256,10.648,9.972,10.058,10.015,10.212,11.391,11.039,11.853,9.841,10.382,11.322,10.878,11.784,10.417,11.811,11.878,10.295,10.852,12.068,11.118,11.015,11.220,10.828,10.206,13.263,11.757,10.995,11.021
TMIN,year,8.525,9.364,8.892,8.454,8.903,9.055,9.082,9.346,8.980,9.316,8.599,9.527,9.229,10.122,8.905,9.029,9.502,9.250,9.574,10.013,9.850,10.077,10.248,9.824,9.259,9.846,9.875,10.017,10.068,9.574
TMIN,MAMJJASO,11.981,12.263,12.052,10.976,11.979,12.310,11.907,12.489,11.790,12.380,11.863,12.395,12.285,12.963,11.584,11.599,12.056,12.376,12.993,13.002,13.013,12.749,13.580,12.670,12.632,12.890,12.706,12.829,13.166,12.523
TMIN,AMJJAS,13.291,14.187,13.806,12.406,13.679,13.941,13.811,14.105,13.389,13.607,13.232,14.028,14.055,14.672,13.270,13.319,13.623,14.323,14.772,14.649,13.988,14.302,15.723,14.029,14.409,14.514,14.393,14.410,15.157,14.330
TMIN,ONDJFM,1.943,4.018,4.506,3.803,4.261,4.480,3.674,5.264,4.680,4.686,4.656,3.862,4.554,5.398,4.865,4.635,5.225,5.024,3.788,4.534,6.432,5.072,5.235,5.027,4.999,4.476,6.334,4.883,5.120,5.020
TMIN,NDJF,-0.118,2.571,3.107,2.537,2.803,3.013,2.671,4.034,2.515,3.630,2.224,2.322,3.354,3.771,4.084,3.500,4.228,4.142,2.012,2.810,4.856,2.888,4.062,3.934,3.226,2.842,5.099,3.562,3.643,3.890
