Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,13.953,15.042,15.000,14.012,13.176,13.882,13.329,14.723,15.643,15.479,14.302,15.155,14.147,15.294,15.247,13.356,15.035,14.725,15.719,15.359,15.035,15.459,15.886,15.246,15.554,16.034,15.840,15.338,15.432,13.881
TMAX,MAMJJASO,17.837,18.784,18.482,17.002,17.247,17.482,16.979,17.542,19.045,18.735,18.105,18.603,17.714,18.498,19.135,17.450,18.844,17.987,19.370,18.574,18.572,18.881,19.810,18.854,19.260,19.836,19.175,18.625,19.448,18.506
TMAX,AMJJAS,19.630,20.767,20.395,18.566,19.075,19.088,18.895,19.405,20.497,19.996,19.441,20.990,19.593,20.410,20.848,19.349,20.652,19.866,21.331,20.406,20.171,20.818,22.149,20.674,20.776,22.050,20.963,20.734,21.643,20.371
TMAX,ONDJFM,8.034,8.139,9.629,9.053,8.134,7.640,8.294,9.755,10.622,11.274,9.586,9.334,9.227,8.681,10.471,7.681,8.805,10.312,9.155,10.103,9.564,11.033,9.442,9.589,9.649,9.360,12.154,10.118,8.745,8.639
TMAX,NDJF,5.766,6.308,7.928,7.455,6.099,5.258,6.594,8.389,8.973,9.325,6.721,7.513,7.977,6.821,9.576,4.933,6.114,8.775,7.452,8.606,8.178,8.678,7.314,8.451,7.736,7.103,10.432,8.924,6.697,6.334
TMIN,year,6.484,6.908,7.038,6.600,5.708,5.824,6.060,7.536,7.220,7.262,6.276,7.457,6.568,7.462,7.043,5.401,6.912,7.382,7.614,7.927,7.344,7.550,6.565,7.162,7.295,7.915,7.848,7.316,7.034,5.711
TMIN,MAMJJASO,9.315,9.400,9.482,8.482,8.824,8.174,8.558,9.371,9.459,9.065,8.827,9.652,8.894,9.549,9.655,8.066,9.337,9.793,10.003,9.921,9.953,9.729,8.879,9.515,9.551,10.283,9.876,9.433,9.485,8.830
TMIN,AMJJAS,10.433,10.618,10.864,9.580,10.140,9.247,10.112,10.621,10.202,9.836,9.751,11.311,10.376,10.982,10.914,9.394,10.624,11.079,11.307,11.032,10.782,11.315,10.729,10.831,10.534,11.683,11.316,10.880,10.971,10.019
TMIN,ONDJFM,2.454,1.790,3.939,2.678,2.124,1.713,2.098,4.298,4.594,4.684,3.144,3.431,3.168,3.046,4.140,1.376,2.627,4.059,3.380,4.127,4.090,4.657,2.500,3.082,3.468,3.263,5.911,3.848,2.692,2.589
TMIN,NDJF,0.676,0.413,2.771,1.770,0.272,0.159,1.155,3.619,3.571,3.336,1.225,2.265,2.893,1.651,4.029,-0.473,0.829,3.329,2.084,3.086,3.128,2.974,1.423,2.974,2.232,1.885,5.068,3.240,1.465,1.248
TAVG,year,10.299,11.023,11.106,10.348,9.520,9.962,9.797,11.181,11.532,11.516,10.405,11.374,10.429,11.468,11.232,9.484,11.056,11.109,11.750,11.713,11.267,11.563,11.328,11.286,11.503,12.069,11.932,11.430,11.375,10.009
TAVG,MAMJJASO,13.615,14.142,14.045,12.818,13.082,12.934,12.846,13.481,14.404,14.077,13.607,14.209,13.377,14.084,14.462,12.870,14.161,13.937,14.739,14.292,14.306,14.338,14.479,14.239,14.474,15.165,14.607,14.123,14.600,13.838
TAVG,AMJJAS,15.084,15.778,15.688,14.166,14.700,14.324,14.621,15.036,15.539,15.150,14.799,16.243,15.111,15.773,15.962,14.555,15.733,15.482,16.404,15.757,15.557,16.093,16.638,15.836,15.769,16.980,16.231,15.898,16.430,15.410
TAVG,ONDJFM,5.300,5.023,6.866,5.911,5.176,4.738,5.286,7.081,7.696,7.973,6.418,6.441,6.223,5.909,7.386,4.581,5.786,7.264,6.378,7.211,6.885,7.924,6.036,6.375,6.648,6.322,9.121,7.092,5.838,5.804
TAVG,NDJF,3.327,3.464,5.472,4.687,3.234,2.860,3.984,6.111,6.363,6.317,4.065,4.980,5.478,4.311,6.952,2.330,3.592,6.133,4.877,5.988,5.732,5.986,4.461,5.776,5.105,4.592,7.837,6.181,4.204,4.042
RH,year,83.282,81.553,81.458,82.747,83.424,81.225,82.887,82.603,80.659,81.107,82.421,82.464,84.386,83.091,82.937,81.707,82.648,85.170,82.983,83.766,83.449,82.891,79.920,82.299,82.364,81.090,83.023,81.981,81.684,81.915
RH,MAMJJASO,80.528,78.597,78.925,80.308,81.563,78.846,80.240,79.892,76.865,77.676,79.485,78.903,81.585,80.228,80.262,79.007,79.695,83.343,79.903,81.588,80.200,80.258,76.384,78.789,79.445,77.536,80.234,78.894,77.916,77.947
RH,AMJJAS,78.754,76.504,77.283,79.199,79.961,76.800,79.631,77.531,74.843,76.100,78.034,76.780,80.886,78.972,78.886,77.161,78.084,82.440,78.093,79.732,78.149,79.571,74.684,77.612,77.767,75.454,79.184,76.854,75.791,76.289
RH,ONDJFM,87.670,86.346,86.999,85.420,86.926,85.930,85.539,87.610,87.618,85.336,86.786,87.836,87.004,87.927,87.056,86.757,87.346,86.920,88.961,87.539,88.397,86.434,85.636,86.520,87.040,87.296,86.321,86.427,88.825,86.971
RH,NDJF,88.833,87.615,87.339,87.366,86.864,86.522,87.193,88.592,89.244,86.782,88.659,89.619,89.317,89.018,89.382,87.728,87.804,88.563,90.071,88.406,89.248,88.270,87.630,88.548,88.721,89.248,88.326,87.328,90.310,89.427
RHmin,year,67.228,64.609,64.948,66.810,67.188,64.459,67.267,67.187,63.639,64.607,65.668,66.339,67.951,66.556,65.712,65.185,65.610,68.849,65.973,67.796,66.952,66.076,61.629,65.336,65.187,64.701,66.232,65.354,64.661,65.597
RHmin,MAMJJASO,63.111,60.191,61.187,63.103,64.028,60.457,62.933,63.189,59.021,59.473,61.390,61.394,63.538,62.239,61.433,60.641,60.832,66.000,61.324,63.780,62.763,61.707,56.340,60.313,60.360,59.559,61.757,60.861,58.955,59.701
RHmin,AMJJAS,60.706,57.513,59.213,61.647,62.134,58.296,62.144,60.360,56.507,57.734,60.002,58.730,62.673,60.710,59.906,58.749,58.973,64.165,59.058,61.145,60.003,60.759,54.757,58.866,58.446,56.844,60.587,58.351,56.269,57.659
RHmin,ONDJFM,73.789,71.005,73.272,70.278,72.077,71.704,70.817,74.197,73.218,69.788,71.372,73.336,72.320,73.896,71.945,71.389,72.355,72.018,74.736,73.073,74.700,71.428,69.699,70.887,72.189,72.351,71.739,71.608,73.980,72.895
RHmin,NDJF,75.817,73.032,74.785,73.276,72.256,74.117,73.732,76.628,75.724,71.931,74.694,76.212,76.190,75.833,75.690,74.060,74.644,74.911,76.296,74.832,76.327,74.392,73.322,74.735,74.915,75.987,75.007,73.517,76.806,77.078
PREC,year,869.965,673.723,853.885,852.432,768.643,814.418,832.788,905.816,648.247,776.046,621.922,831.835,908.033,970.668,767.219,620.022,673.296,1110.370,887.479,946.847,1007.258,954.504,664.757,903.733,814.605,805.384,967.774,853.675,784.903,856.454
PREC,MAMJJASO,565.510,433.853,550.627,553.365,527.004,481.132,583.506,563.320,459.933,431.204,378.389,579.437,567.364,649.506,468.239,372.589,466.080,839.351,487.883,604.907,664.324,534.898,425.509,560.420,534.045,549.145,588.996,583.292,454.144,589.439
PREC,AMJJAS,296.663,270.447,403.813,400.025,432.650,288.221,427.222,373.710,287.542,338.463,313.761,393.080,473.248,424.133,350.870,293.809,353.961,538.468,374.799,418.061,528.954,404.905,313.335,464.068,435.203,385.948,491.521,386.518,314.527,464.979
PREC,ONDJFM,270.202,448.556,493.410,454.767,344.008,403.941,480.590,587.950,369.765,381.120,340.305,373.484,409.719,550.827,615.488,175.712,370.754,399.582,608.766,505.750,524.158,509.468,419.911,468.482,376.387,355.803,545.541,442.802,388.439,476.333
PREC,NDJF,141.320,247.791,300.651,342.891,179.330,296.129,301.840,377.726,206.685,275.998,253.439,236.811,305.680,350.016,410.965,139.479,275.809,219.560,345.412,371.006,342.972,413.952,290.252,353.902,266.508,232.183,395.083,301.636,236.052,343.787
SRAD,year,3374.166,3800.199,3630.680,3397.340,3379.268,3618.723,3321.422,3337.300,3758.421,3735.967,3576.698,3619.055,3443.657,3596.348,3801.808,3560.318,3711.696,3294.321,3849.760,3508.281,3681.562,3623.541,4119.767,3744.112,3825.838,3823.587,3711.819,3781.236,3956.003,3846.990
SRAD,MAMJJASO,3068.088,3466.843,3279.776,3074.042,3060.821,3269.132,3034.844,3039.300,3409.575,3434.348,3244.106,3314.516,3162.739,3278.898,3477.847,3246.154,3402.301,2956.861,3517.520,3174.934,3352.244,3282.973,3728.985,3427.552,3484.178,3517.389,3413.756,3440.769,3651.737,3556.082
SRAD,AMJJAS,2710.272,3028.708,2856.765,2640.141,2665.246,2856.458,2578.029,2673.985,2975.874,2942.330,2787.754,2920.023,2687.632,2836.320,2986.272,2795.001,2962.874,2602.159,3067.026,2804.528,2970.229,2805.467,3191.458,2948.307,3000.679,3059.166,2905.645,3000.359,3197.971,3078.890
SRAD,ONDJFM,374.222,783.724,706.950,795.714,711.914,755.960,760.848,672.115,732.640,816.989,786.323,706.540,769.826,724.819,801.279,788.139,748.160,745.472,719.856,730.397,687.570,836.885,883.207,815.849,779.144,833.434,787.789,784.419,769.110,765.587
SRAD,NDJF,180.934,336.703,317.409,340.550,337.914,333.535,311.457,283.001,319.307,339.673,323.300,298.830,291.870,308.176,309.050,332.138,307.840,327.171,330.274,334.632,327.741,352.331,373.849,326.750,332.978,321.731,289.223,343.331,310.156,299.005
WIND,year,4.246,4.165,4.562,4.174,4.094,4.496,3.942,4.357,3.993,4.385,3.928,4.229,4.257,4.321,4.101,3.949,3.939,4.313,4.175,4.237,3.942,4.098,3.700,3.963,3.813,4.000,4.069,4.152,3.879,3.673
WIND,MAMJJASO,4.029,3.838,4.230,3.744,3.878,4.003,3.832,3.999,3.814,3.855,3.686,4.058,3.801,4.048,3.788,3.604,3.563,4.158,3.749,3.739,3.933,3.685,3.391,3.813,3.494,3.757,3.668,3.893,3.621,3.514
WIND,AMJJAS,3.658,3.714,3.943,3.563,3.968,3.796,3.604,3.844,3.464,3.504,3.670,3.870,3.711,3.663,3.569,3.504,3.413,3.802,3.632,3.372,3.778,3.440,3.280,3.641,3.314,3.522,3.627,3.620,3.516,3.330
WIND,ONDJFM,5.035,4.557,5.206,4.967,4.252,4.793,4.713,4.884,4.614,5.092,4.287,4.365,4.842,5.051,5.120,4.044,4.325,4.725,4.654,4.948,4.648,4.699,4.128,4.418,4.309,4.057,4.924,4.643,4.012,4.296
WIND,NDJF,4.791,4.462,5.624,5.157,4.220,5.215,4.797,5.059,4.593,5.248,4.318,4.355,5.168,5.014,5.269,4.257,4.522,4.929,4.637,5.128,4.692,4.850,4.141,4.604,4.311,4.018,5.136,4.876,4.001,4.460
VPD,year,0.258,0.304,0.308,0.257,0.246,0.284,0.246,0.270,0.331,0.312,0.276,0.304,0.242,0.287,0.292,0.270,0.283,0.236,0.295,0.266,0.278,0.276,0.345,0.292,0.294,0.349,0.281,0.297,0.313,0.296
VPD,MAMJJASO,0.339,0.400,0.400,0.326,0.319,0.367,0.322,0.345,0.438,0.406,0.365,0.404,0.318,0.376,0.384,0.357,0.371,0.300,0.390,0.338,0.370,0.357,0.458,0.387,0.385,0.466,0.362,0.386,0.418,0.404
VPD,AMJJAS,0.393,0.473,0.467,0.373,0.368,0.429,0.364,0.409,0.504,0.460,0.418,0.484,0.362,0.439,0.448,0.421,0.432,0.345,0.458,0.397,0.431,0.405,0.538,0.442,0.439,0.554,0.412,0.457,0.495,0.469
VPD,ONDJFM,0.121,0.131,0.134,0.147,0.125,0.132,0.136,0.134,0.139,0.175,0.141,0.126,0.133,0.117,0.140,0.119,0.126,0.140,0.114,0.134,0.123,0.159,0.144,0.138,0.140,0.136,0.172,0.143,0.111,0.135
VPD,NDJF,0.088,0.103,0.118,0.111,0.109,0.102,0.108,0.111,0.106,0.138,0.094,0.094,0.102,0.091,0.112,0.089,0.101,0.110,0.089,0.113,0.105,0.115,0.103,0.109,0.102,0.095,0.132,0.125,0.083,0.093
FWI_FD,year,1.625,2.172,2.559,1.775,1.054,2.134,1.019,1.732,2.519,2.071,2.298,2.126,1.357,1.761,2.206,2.099,1.718,1.110,1.728,1.041,1.324,1.302,2.662,1.421,1.404,2.375,1.526,1.518,1.969,1.679
