Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,12.352,13.349,13.547,12.941,11.915,12.512,11.859,13.653,14.498,14.428,13.469,14.230,12.809,13.766,13.533,12.120,13.637,12.837,13.886,13.955,13.329,14.160,14.065,13.718,13.880,14.501,14.409,14.550,14.079,12.349
TMAX,MAMJJASO,16.125,17.133,16.813,16.226,15.856,15.978,14.976,16.609,17.482,17.498,16.711,17.353,16.050,17.012,17.302,15.953,17.252,15.979,17.225,16.809,16.601,17.855,17.646,16.903,17.026,17.839,17.537,17.623,17.706,16.799
TMAX,AMJJAS,18.236,19.063,18.720,18.194,17.678,17.882,16.950,18.812,19.094,19.006,18.396,19.749,17.989,19.192,19.080,18.092,19.407,17.676,19.263,18.482,18.387,20.283,19.982,18.798,18.825,20.103,19.128,19.683,20.010,18.819
TMAX,ONDJFM,5.507,6.161,8.723,7.359,6.535,6.613,6.846,8.587,9.607,10.131,8.371,9.200,8.199,7.149,8.729,6.061,7.803,8.595,7.435,8.854,8.459,9.519,6.966,8.276,8.563,8.052,11.014,9.326,8.488,6.947
TMAX,NDJF,4.494,3.908,7.409,6.017,4.527,4.423,5.677,7.616,8.412,8.495,6.477,8.015,7.282,5.520,7.912,3.734,5.850,7.329,5.795,7.601,7.285,7.690,5.084,7.253,7.614,6.489,9.410,8.285,6.842,5.138
TMIN,year,6.421,6.956,7.284,7.159,5.720,6.186,6.115,7.549,7.917,8.112,7.287,7.774,6.780,7.653,6.941,5.935,7.244,7.338,7.735,8.462,7.536,8.307,7.792,8.013,7.965,8.726,8.537,8.263,8.016,6.234
TMIN,MAMJJASO,9.286,9.646,9.701,9.188,9.019,8.707,8.477,9.599,9.896,10.149,9.572,9.793,8.984,9.789,9.822,8.642,9.671,9.703,10.232,10.366,10.118,10.919,10.290,10.483,10.094,10.954,10.698,10.168,10.439,9.840
TMIN,AMJJAS,10.680,10.775,10.906,10.316,10.280,9.935,10.004,11.171,10.700,11.117,10.780,11.510,10.470,11.274,10.860,9.918,11.277,11.076,11.563,11.467,11.278,12.888,12.354,11.915,11.577,12.701,12.153,11.482,12.049,11.422
TMIN,ONDJFM,1.682,1.473,4.315,3.001,2.329,1.595,2.177,4.488,4.885,5.143,3.739,4.398,3.407,3.048,4.129,1.499,3.087,4.048,3.115,4.398,4.452,4.809,2.511,3.672,4.086,3.530,6.697,4.730,4.207,2.617
TMIN,NDJF,0.892,-0.436,3.190,1.928,0.398,-0.323,1.442,3.906,4.070,3.879,2.175,3.651,3.063,2.064,3.600,-0.600,1.493,3.572,1.654,3.490,3.668,3.185,1.448,3.221,3.510,2.741,5.812,4.379,2.948,1.398
TAVG,year,9.321,10.093,10.367,9.988,8.760,9.296,8.933,10.557,11.173,11.220,10.336,10.967,9.756,10.689,10.212,8.992,10.413,10.046,10.764,11.157,10.386,11.184,10.832,10.791,10.843,11.542,11.462,11.397,11.015,9.280
TAVG,MAMJJASO,12.640,13.326,13.211,12.633,12.381,12.289,11.673,13.060,13.655,13.767,13.098,13.540,12.473,13.372,13.536,12.260,13.429,12.802,13.679,13.524,13.300,14.327,13.838,13.613,13.467,14.312,14.095,13.880,14.013,13.289
TAVG,AMJJAS,14.388,14.853,14.760,14.171,13.925,13.847,13.425,14.948,14.854,15.005,14.547,15.606,14.185,15.202,14.949,13.965,15.308,14.339,15.363,14.903,14.775,16.519,16.051,15.273,15.101,16.308,15.616,15.555,15.962,15.095
TAVG,ONDJFM,3.540,3.765,6.467,5.133,4.385,4.045,4.462,6.498,7.206,7.598,6.017,6.754,5.757,5.079,6.410,3.755,5.416,6.290,5.231,6.600,6.397,7.133,4.674,5.909,6.282,5.721,8.816,7.040,6.363,4.784
TAVG,NDJF,2.628,1.684,5.249,3.926,2.409,1.990,3.504,5.725,6.201,6.142,4.292,5.795,5.130,3.781,5.739,1.551,3.639,5.427,3.675,5.526,5.419,5.432,3.241,5.179,5.531,4.541,7.586,6.342,4.928,3.294
RH,year,82.737,83.027,82.360,82.954,83.452,82.121,84.160,82.225,81.911,81.894,81.920,81.278,83.282,82.120,81.796,82.399,81.929,83.384,84.042,85.530,84.484,84.208,82.485,83.430,82.905,83.856,83.008,81.057,82.456,83.338
RH,MAMJJASO,81.623,80.255,80.632,80.228,81.759,80.275,82.523,79.840,79.077,78.939,79.655,77.896,80.773,79.172,79.486,79.898,78.310,81.101,81.824,83.502,82.797,81.893,79.014,81.211,81.137,81.496,81.118,78.040,78.924,81.120
RH,AMJJAS,80.151,77.751,79.626,79.108,79.993,77.829,81.586,78.447,76.887,77.339,77.798,76.235,79.368,77.762,77.642,78.168,77.229,81.100,80.530,82.203,81.569,81.176,77.716,79.983,79.868,80.465,80.514,76.802,77.697,79.779
RH,ONDJFM,86.010,86.672,87.408,84.745,87.461,86.535,86.125,87.880,85.982,86.117,86.867,85.254,86.303,87.985,85.940,86.268,86.964,85.610,87.488,87.063,89.024,87.356,87.752,86.957,85.341,87.490,86.767,84.622,86.952,87.357
RH,NDJF,85.278,87.100,87.212,86.810,87.623,85.907,86.619,89.331,86.520,87.697,86.874,86.758,88.118,88.888,87.902,86.809,88.137,88.597,88.517,88.607,90.094,87.854,89.256,89.072,85.995,88.865,87.859,86.315,88.256,89.722
RHmin,year,68.985,68.622,68.293,69.868,69.018,67.855,70.544,68.496,67.486,67.854,68.030,67.237,69.565,68.699,67.239,68.557,67.852,70.544,69.916,72.491,70.836,70.656,68.213,70.053,69.198,70.561,69.722,67.501,68.972,69.306
RHmin,MAMJJASO,66.533,64.395,65.469,65.111,66.702,64.733,67.825,64.881,63.420,63.535,64.478,62.533,65.558,64.199,63.956,64.466,62.662,67.221,66.663,68.878,68.188,66.598,63.204,66.924,65.772,66.403,66.251,62.803,63.608,65.985
RHmin,AMJJAS,64.005,60.941,63.486,62.697,64.293,61.516,66.343,62.701,60.207,61.356,62.213,60.222,63.787,61.927,61.270,61.552,61.015,66.785,64.394,66.739,66.046,65.316,61.923,65.111,64.267,64.773,65.614,60.544,61.400,64.245
RHmin,ONDJFM,75.735,74.273,75.794,73.578,76.175,73.470,73.940,76.999,74.015,73.538,74.831,73.037,73.950,77.129,74.193,74.403,74.688,74.146,75.947,75.507,78.088,75.214,75.933,74.909,73.875,75.536,75.837,73.380,76.080,76.137
RHmin,NDJF,75.407,75.232,75.978,75.899,76.320,73.326,75.240,79.106,75.219,75.531,75.392,75.223,76.731,79.362,76.426,75.288,76.332,78.431,77.077,77.563,79.848,76.088,79.097,77.962,75.217,78.368,78.329,76.287,78.127,79.498
PREC,year,887.532,741.382,800.711,723.054,763.757,696.055,772.373,823.565,587.794,854.307,665.563,706.844,756.977,870.134,664.473,516.605,620.975,859.655,944.655,771.379,756.911,849.586,647.647,811.480,683.441,849.378,857.912,791.067,764.235,733.785
PREC,MAMJJASO,621.720,468.374,582.049,464.106,473.291,439.566,562.662,513.139,418.471,523.406,427.800,450.271,441.773,549.197,403.195,322.319,417.796,617.170,622.907,460.846,517.599,518.991,458.301,550.571,437.792,546.538,518.644,527.663,460.712,526.459
PREC,AMJJAS,402.679,336.480,410.640,314.231,384.019,270.163,426.055,359.217,247.799,416.514,320.371,300.013,349.818,388.646,297.485,240.947,308.646,395.928,460.083,312.303,414.194,382.422,372.905,409.985,333.207,384.523,448.137,339.089,312.763,400.666
PREC,ONDJFM,203.162,408.689,458.746,377.930,366.428,415.354,371.485,527.507,336.797,405.262,358.032,356.460,411.593,508.109,474.787,158.474,352.699,371.095,508.861,449.746,410.309,445.798,311.076,364.322,371.762,334.523,588.656,388.117,358.954,420.608
PREC,NDJF,104.476,244.054,290.106,257.403,189.702,315.653,221.570,352.968,190.262,285.240,233.490,217.738,317.190,338.354,351.939,105.092,243.624,245.179,247.406,317.803,281.878,346.005,184.565,259.900,235.336,228.219,430.652,273.632,193.001,291.590
SRAD,year,3295.736,3575.707,3299.335,3207.811,3209.415,3360.524,3157.411,3328.565,3659.827,3484.909,3441.375,3581.992,3373.078,3543.259,3624.746,3459.132,3634.977,3195.163,3563.167,3310.254,3473.310,3505.066,3695.567,3508.101,3617.760,3596.535,3504.619,3724.313,3696.590,3499.745
SRAD,MAMJJASO,3055.839,3364.531,3058.459,3002.098,2973.754,3101.528,2916.604,3100.856,3404.940,3260.834,3196.060,3350.947,3173.627,3312.704,3370.061,3224.791,3397.579,2963.367,3320.928,3076.401,3218.530,3264.924,3462.071,3253.778,3366.400,3367.771,3274.967,3499.600,3481.127,3261.034
SRAD,AMJJAS,2732.450,3021.504,2730.784,2624.398,2648.750,2780.895,2539.674,2756.022,3041.874,2856.556,2834.823,2984.185,2784.418,2938.430,2985.085,2832.203,2968.482,2586.017,2946.588,2721.814,2833.591,2867.069,2997.435,2858.077,2899.772,2992.396,2830.024,3106.832,3096.890,2856.255
SRAD,ONDJFM,309.996,601.840,533.598,600.018,534.052,592.940,623.370,548.269,612.067,647.027,602.072,592.071,626.814,570.009,623.560,640.815,662.054,635.500,577.859,645.154,600.785,656.923,654.169,672.926,668.467,676.505,645.187,634.935,596.377,626.060
SRAD,NDJF,134.672,228.827,229.720,219.472,226.626,262.552,246.155,200.255,254.468,242.945,247.001,230.310,221.664,203.845,236.972,250.416,245.195,229.613,234.186,246.536,233.012,264.991,231.568,240.770,245.010,241.877,222.428,237.008,222.200,219.034
WIND,year,3.935,4.004,4.291,4.059,3.811,4.141,3.912,4.125,4.149,4.283,4.187,4.210,4.276,4.279,4.078,3.955,3.988,4.153,3.841,3.931,3.687,3.835,3.528,3.660,3.678,3.604,3.782,3.783,3.599,3.492
WIND,MAMJJASO,3.815,3.970,4.143,3.879,3.850,4.017,3.975,3.999,4.051,4.066,4.085,4.153,3.996,4.190,4.066,3.891,3.906,4.158,3.695,3.705,3.642,3.621,3.456,3.708,3.483,3.437,3.631,3.564,3.577,3.506
WIND,AMJJAS,3.664,3.904,3.861,3.702,3.932,3.965,3.841,3.898,3.880,3.774,4.077,4.118,3.994,3.947,3.842,3.825,3.781,3.988,3.615,3.539,3.481,3.463,3.479,3.612,3.494,3.399,3.660,3.359,3.536,3.440
WIND,ONDJFM,4.394,3.890,4.649,4.590,3.887,3.971,4.307,4.113,4.752,4.664,4.179,4.422,4.509,4.510,4.703,3.939,4.150,4.192,4.080,4.427,3.813,4.386,3.617,3.666,3.951,3.499,4.289,4.079,3.591,3.712
WIND,NDJF,4.238,3.726,4.908,4.398,3.801,3.991,4.411,4.009,4.796,4.550,4.124,4.418,4.763,4.428,4.651,3.849,4.092,4.233,3.909,4.551,3.763,4.357,3.612,3.660,4.071,3.510,4.505,4.287,3.482,3.732
VPD,year,0.236,0.266,0.267,0.244,0.230,0.252,0.210,0.258,0.284,0.281,0.264,0.305,0.236,0.280,0.274,0.250,0.281,0.232,0.249,0.219,0.229,0.254,0.282,0.253,0.256,0.272,0.260,0.303,0.281,0.242
VPD,MAMJJASO,0.293,0.350,0.339,0.314,0.297,0.321,0.265,0.328,0.366,0.361,0.336,0.399,0.304,0.365,0.356,0.326,0.375,0.297,0.321,0.277,0.290,0.332,0.375,0.324,0.320,0.350,0.325,0.390,0.374,0.319
VPD,AMJJAS,0.340,0.418,0.387,0.360,0.345,0.380,0.302,0.382,0.426,0.414,0.390,0.472,0.354,0.426,0.416,0.383,0.434,0.328,0.371,0.320,0.334,0.385,0.438,0.373,0.368,0.406,0.363,0.449,0.432,0.370
VPD,ONDJFM,0.113,0.120,0.126,0.144,0.112,0.119,0.124,0.123,0.145,0.154,0.129,0.150,0.133,0.109,0.140,0.117,0.125,0.140,0.117,0.133,0.108,0.134,0.111,0.127,0.146,0.126,0.160,0.159,0.135,0.120
