Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,12.342,13.346,13.536,12.941,11.898,12.513,11.862,13.632,14.477,14.407,13.460,14.216,12.803,13.760,13.518,12.119,13.628,12.823,13.876,13.933,13.304,14.136,14.032,13.683,13.849,14.464,14.374,14.530,14.065,12.328
TMAX,MAMJJASO,16.127,17.136,16.806,16.234,15.845,15.989,14.982,16.593,17.462,17.477,16.700,17.338,16.048,17.012,17.295,15.960,17.245,15.963,17.223,16.789,16.583,17.838,17.611,16.867,16.991,17.801,17.502,17.608,17.698,16.786
TMAX,AMJJAS,18.249,19.071,18.717,18.214,17.669,17.896,16.954,18.807,19.083,18.989,18.386,19.741,17.994,19.199,19.079,18.106,19.406,17.663,19.269,18.464,18.376,20.276,19.944,18.766,18.792,20.068,19.089,19.673,20.008,18.811
TMAX,ONDJFM,5.479,6.140,8.703,7.335,6.518,6.594,6.840,8.568,9.574,10.103,8.353,9.186,8.188,7.122,8.710,6.041,7.785,8.575,7.417,8.828,8.426,9.480,6.929,8.239,8.534,8.015,10.975,9.295,8.472,6.913
TMAX,NDJF,4.470,3.879,7.388,5.994,4.511,4.396,5.667,7.599,8.384,8.469,6.466,8.010,7.274,5.495,7.894,3.710,5.832,7.315,5.779,7.574,7.253,7.649,5.048,7.217,7.590,6.459,9.368,8.258,6.823,5.101
TMIN,year,6.355,6.903,7.227,7.105,5.660,6.133,6.077,7.505,7.875,8.060,7.255,7.729,6.738,7.603,6.883,5.879,7.178,7.279,7.679,8.422,7.483,8.254,7.733,7.956,7.918,8.677,8.483,8.213,7.966,6.171
TMIN,MAMJJASO,9.219,9.589,9.642,9.119,8.964,8.662,8.436,9.552,9.844,10.089,9.532,9.737,8.934,9.730,9.765,8.577,9.589,9.635,10.171,10.321,10.062,10.857,10.220,10.423,10.039,10.898,10.639,10.113,10.382,9.781
TMIN,AMJJAS,10.613,10.707,10.843,10.246,10.220,9.885,9.963,11.131,10.641,11.054,10.736,11.453,10.421,11.208,10.798,9.843,11.194,11.006,11.496,11.419,11.219,12.829,12.285,11.856,11.526,12.652,12.100,11.422,11.991,11.365
TMIN,ONDJFM,1.631,1.413,4.275,2.947,2.290,1.529,2.129,4.463,4.847,5.113,3.702,4.369,3.373,3.008,4.095,1.454,3.038,3.997,3.073,4.353,4.415,4.762,2.463,3.621,4.033,3.485,6.648,4.683,4.167,2.565
TMIN,NDJF,0.846,-0.505,3.146,1.884,0.357,-0.402,1.392,3.887,4.038,3.849,2.145,3.627,3.041,2.034,3.563,-0.646,1.446,3.538,1.610,3.449,3.637,3.135,1.415,3.177,3.465,2.712,5.769,4.347,2.905,1.351
TAVG,year,9.281,10.063,10.331,9.964,8.722,9.271,8.915,10.525,11.141,11.182,10.314,10.935,9.730,10.661,10.177,8.964,10.376,10.009,10.730,11.123,10.340,11.138,10.781,10.740,10.799,11.496,11.415,11.356,10.983,9.238
TAVG,MAMJJASO,12.609,13.298,13.178,12.607,12.353,12.276,11.658,13.031,13.618,13.726,13.074,13.504,12.445,13.341,13.507,12.233,13.384,12.762,13.648,13.490,13.259,14.280,13.780,13.561,13.418,14.263,14.046,13.838,13.980,13.252
TAVG,AMJJAS,14.361,14.822,14.727,14.150,13.894,13.834,13.409,14.928,14.818,14.964,14.522,15.572,14.160,15.171,14.918,13.937,15.267,14.299,15.332,14.871,14.735,16.480,15.994,15.225,15.054,16.262,15.567,15.513,15.932,15.061
TAVG,ONDJFM,3.497,3.721,6.435,5.090,4.355,4.002,4.432,6.474,7.167,7.568,5.987,6.729,5.730,5.046,6.385,3.722,5.383,6.253,5.198,6.563,6.358,7.081,4.624,5.857,6.236,5.675,8.771,6.994,6.331,4.742
TAVG,NDJF,2.587,1.630,5.213,3.885,2.376,1.933,3.470,5.704,6.167,6.114,4.266,5.775,5.110,3.751,5.711,1.513,3.607,5.400,3.641,5.490,5.382,5.375,3.199,5.132,5.490,4.504,7.540,6.307,4.893,3.255
RH,year,82.731,83.064,82.364,82.978,83.469,82.103,84.140,82.238,82.015,81.946,81.964,81.347,83.337,82.168,81.854,82.493,82.002,83.434,84.084,85.578,84.458,84.221,82.516,83.426,82.915,83.908,83.039,81.072,82.474,83.317
RH,MAMJJASO,81.644,80.321,80.669,80.262,81.802,80.284,82.513,79.869,79.224,79.004,79.718,78.006,80.853,79.232,79.571,80.025,78.395,81.165,81.902,83.574,82.784,81.907,79.075,81.221,81.176,81.577,81.172,78.075,78.974,81.125
