Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,19.567,19.372,19.241,19.296,19.959,19.613,19.370,19.723,19.688,20.327,18.669,19.406,20.059,20.735,19.345,18.924,19.279,19.914,20.336,20.245,20.377,19.856,19.918,19.827,18.982,19.259,20.110,20.177,19.871,20.235
TMAX,MAMJJASO,24.286,23.552,23.535,23.311,24.059,24.067,23.238,24.328,23.681,24.556,23.001,23.586,24.617,25.253,23.279,22.666,22.866,24.185,24.772,24.505,25.316,23.597,24.359,23.830,23.052,23.417,24.217,24.155,23.533,23.768
TMAX,AMJJAS,25.970,26.066,25.862,25.291,26.971,26.658,26.531,27.057,25.857,26.246,24.945,25.577,26.739,27.536,25.702,25.763,25.363,26.871,27.158,27.139,26.849,25.549,26.964,25.741,25.359,25.717,26.620,26.227,25.896,26.316
TMAX,ONDJFM,10.415,13.050,13.028,12.279,13.101,13.378,11.975,12.911,12.835,13.898,13.323,12.194,13.137,14.411,13.477,11.565,13.610,12.987,12.774,12.907,15.068,13.490,12.800,13.383,13.558,12.504,13.958,13.388,13.402,14.275
TMAX,NDJF,7.537,10.791,10.932,10.705,10.709,11.977,10.855,11.611,10.275,11.742,10.779,10.044,10.735,11.619,11.731,10.047,12.832,11.996,10.349,10.392,12.978,10.663,10.833,11.358,11.257,10.565,12.395,11.112,11.723,12.737
TMIN,year,8.965,9.036,8.744,9.111,9.181,9.070,9.184,9.105,8.820,9.262,8.604,8.680,8.904,10.082,9.103,9.283,8.873,9.263,9.421,8.666,9.299,9.318,9.501,9.330,9.417,9.457,9.857,9.963,10.131,10.389
TMIN,MAMJJASO,12.345,12.087,11.805,11.649,11.872,12.390,11.699,12.395,12.032,12.249,12.005,12.123,12.140,13.301,11.788,11.781,11.272,12.362,12.700,11.774,12.769,12.267,12.581,12.501,12.704,13.075,13.049,13.062,12.927,13.041
TMIN,AMJJAS,13.593,13.749,13.744,12.959,13.801,14.073,13.891,14.458,13.733,13.773,13.318,13.673,13.780,14.923,13.741,13.808,13.162,14.595,14.594,13.690,14.137,13.998,14.687,14.024,14.630,14.717,14.820,14.772,14.898,14.949
TMIN,ONDJFM,1.957,4.305,3.995,4.708,4.806,5.072,3.332,4.922,3.323,3.859,4.867,2.979,3.607,5.661,4.880,4.232,4.650,4.303,3.944,3.468,5.565,3.549,4.157,4.531,4.643,4.185,4.824,4.632,5.116,5.742
TMIN,NDJF,0.167,2.640,2.268,3.853,3.186,4.285,2.496,4.007,1.177,2.504,3.119,1.063,1.590,4.250,3.305,3.583,4.033,3.962,2.271,2.019,3.984,1.555,3.331,2.911,3.023,2.517,3.107,2.744,4.205,4.727
