Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,12.646,13.095,13.852,12.744,11.395,12.349,11.143,12.876,14.217,14.091,13.439,13.742,12.549,13.294,13.306,12.177,12.931,12.663,14.092,14.344,13.459,14.243,13.227,13.055,13.419,14.044,14.147,14.257,13.297,12.879
TMAX,MAMJJASO,17.569,17.730,18.696,17.572,17.103,17.382,15.906,17.752,18.534,18.109,17.925,18.200,17.190,18.237,18.518,17.513,17.620,17.476,19.330,18.695,18.542,19.664,18.073,17.863,18.164,19.118,19.226,18.610,18.200,18.888
TMAX,AMJJAS,20.141,20.246,21.597,20.176,19.748,19.945,18.598,20.823,21.017,20.071,20.518,21.366,19.967,21.408,21.063,20.416,20.586,20.259,22.241,20.984,21.289,23.135,21.179,20.357,21.294,22.351,21.509,21.102,21.581,22.117
TMAX,ONDJFM,3.579,5.076,6.610,5.275,3.177,4.506,3.560,5.509,6.940,7.817,6.244,7.021,5.386,4.460,6.082,3.262,5.878,5.671,4.735,6.095,7.098,6.891,3.674,5.202,5.490,4.628,8.299,6.716,6.032,4.046
TMAX,NDJF,1.903,2.177,4.974,3.226,-0.138,1.410,1.427,3.777,4.846,5.553,4.027,5.072,4.328,2.066,4.415,0.080,3.444,4.237,1.640,4.152,4.945,4.127,1.144,3.472,4.027,2.136,5.522,4.831,3.892,1.589
TMIN,year,5.134,5.219,5.877,5.389,3.820,4.647,3.337,5.274,6.505,6.420,5.718,5.906,4.884,5.340,5.481,3.941,5.273,5.443,5.899,6.464,5.772,5.737,5.440,5.449,5.219,5.693,6.184,6.563,5.568,4.744
TMIN,MAMJJASO,8.508,8.184,9.079,8.542,8.456,8.245,6.948,8.605,9.229,8.582,8.583,8.481,7.843,8.612,9.060,7.530,8.124,8.608,9.024,8.654,9.279,9.087,8.406,8.605,7.968,8.725,9.461,8.943,8.488,8.948
TMIN,AMJJAS,10.334,9.821,10.950,10.335,10.092,10.019,9.315,10.959,10.622,9.858,10.280,10.528,9.736,10.632,10.550,9.664,10.023,10.683,10.755,9.981,11.187,11.214,10.613,10.140,10.373,10.860,11.010,10.381,10.484,11.655
TMIN,ONDJFM,-1.844,-0.219,1.445,0.075,-2.016,-0.980,-2.439,0.549,1.431,2.377,1.335,1.731,0.529,-0.485,1.170,-2.763,0.586,1.171,-0.403,1.678,2.290,1.194,-1.606,0.566,0.469,-0.933,2.544,2.332,1.412,-1.016
TMIN,NDJF,-2.570,-2.377,0.583,-1.145,-5.098,-3.551,-3.790,-0.242,0.156,0.936,-0.027,0.756,0.231,-2.229,0.057,-4.898,-0.893,0.691,-2.478,0.463,1.573,-0.695,-3.328,-0.420,-0.114,-2.047,0.870,1.436,-0.009,-2.504
TAVG,year,8.730,9.006,9.735,8.894,7.443,8.366,7.106,8.890,10.208,10.070,9.389,9.697,8.573,9.160,9.196,7.984,8.975,8.862,9.950,10.287,9.450,9.905,9.199,9.125,9.234,9.837,10.046,10.341,9.381,8.777
TAVG,MAMJJASO,12.770,12.717,13.682,12.817,12.491,12.588,11.185,12.937,13.669,13.125,12.999,13.148,12.316,13.212,13.543,12.400,12.720,12.831,14.112,13.519,13.692,14.251,13.045,13.042,12.952,13.867,14.152,13.683,13.224,13.817
TAVG,AMJJAS,14.941,14.817,16.070,14.992,14.611,14.784,13.731,15.637,15.618,14.785,15.165,15.786,14.672,15.837,15.614,14.932,15.177,15.292,16.540,15.392,16.035,17.126,15.738,15.087,15.745,16.570,16.094,15.699,15.937,16.789
TAVG,ONDJFM,0.862,2.364,3.949,2.637,0.538,1.729,0.501,2.922,4.026,4.966,3.640,4.244,2.891,1.891,3.419,0.198,3.110,3.242,1.961,3.790,4.539,3.885,0.942,2.824,2.883,1.788,5.345,4.448,3.684,1.530
TAVG,NDJF,-0.263,-0.032,2.767,1.060,-2.584,-0.976,-1.142,1.721,2.445,3.177,1.950,2.891,2.290,-0.112,2.121,-2.389,1.246,2.321,-0.525,2.326,3.174,1.678,-1.064,1.537,1.906,0.053,3.236,3.118,1.984,-0.364
RH,year,80.024,78.137,78.132,78.797,79.904,79.336,79.869,79.643,79.600,78.587,79.667,77.635,76.817,76.945,78.675,76.835,77.596,79.545,77.528,77.949,79.899,75.414,77.909,79.687,78.952,77.639,79.116,79.113,80.358,81.900
RH,MAMJJASO,76.774,74.377,75.381,76.584,78.041,76.673,76.973,77.371,76.681,74.731,76.880,73.535,74.057,73.135,75.847,73.019,74.263,76.617,72.893,73.493,77.587,70.927,73.515,76.000,75.179,72.874,75.225,75.517,76.356,78.872
RH,AMJJAS,75.417,72.668,73.294,75.412,75.957,75.192,76.975,75.206,74.533,73.767,75.296,70.877,71.819,70.647,74.027,71.502,72.049,75.850,70.421,71.792,76.563,67.711,71.923,73.237,73.090,69.422,73.198,72.281,73.024,77.382
RH,ONDJFM,80.200,84.644,84.082,81.035,83.597,83.659,83.219,84.643,83.238,83.538,84.344,84.151,83.966,82.229,83.296,81.266,83.004,84.054,84.501,84.145,83.033,83.708,82.427,85.921,85.612,85.124,84.869,86.202,87.631,87.037
RH,NDJF,83.308,86.954,84.893,82.248,83.432,84.506,85.203,85.649,84.415,86.199,85.853,85.814,85.012,82.989,84.885,83.617,84.645,85.752,86.827,85.837,86.074,85.371,84.788,86.754,86.947,87.048,86.954,86.719,88.608,87.800
RHmin,year,63.788,61.772,61.667,63.103,63.177,62.960,62.673,63.108,63.177,62.612,62.944,61.909,61.119,60.867,62.024,60.467,61.923,63.865,61.653,62.250,63.356,59.281,62.142,63.649,62.206,61.313,62.813,63.478,64.572,64.505
RHmin,MAMJJASO,58.115,55.645,56.513,58.155,59.733,58.184,58.116,58.579,57.961,56.157,57.729,55.219,55.997,54.950,57.029,54.528,56.005,58.612,54.361,54.728,58.732,52.352,55.202,57.652,55.487,54.016,56.378,57.026,57.578,58.753
RHmin,AMJJAS,55.933,53.088,53.446,56.026,56.427,55.992,57.871,55.944,54.672,54.673,55.201,51.760,53.231,51.507,54.322,52.418,52.832,57.164,51.018,52.338,56.814,48.240,52.781,54.199,53.168,50.020,53.732,53.139,52.935,57.165
RHmin,ONDJFM,67.508,71.335,71.207,68.593,70.325,70.149,68.417,71.829,69.189,70.017,71.562,70.748,71.568,69.882,70.286,66.783,69.839,72.236,71.211,72.757,71.179,69.404,69.478,73.814,72.604,71.268,71.024,74.756,75.482,73.990
RHmin,NDJF,72.274,75.072,73.684,71.481,70.802,72.185,71.810,74.767,72.155,73.925,74.945,74.403,74.414,72.072,73.044,70.750,73.333,75.787,75.222,76.160,76.813,72.750,73.166,76.412,75.809,76.018,75.052,77.606,78.164,76.986
PREC,year,850.597,594.623,776.110,700.230,797.949,798.279,769.892,705.201,769.101,887.706,655.473,597.826,715.705,742.391,755.470,574.524,728.951,919.145,684.670,708.163,817.280,676.264,668.245,774.193,695.538,630.127,847.137,710.095,679.146,491.187
PREC,MAMJJASO,602.564,413.188,534.981,537.417,602.512,565.686,560.604,512.911,583.744,641.560,443.916,410.255,497.230,498.411,567.801,391.468,545.805,690.360,436.514,485.747,615.004,459.866,502.370,579.572,524.685,475.636,597.537,507.517,484.619,361.047
PREC,AMJJAS,437.025,359.166,384.331,461.296,514.570,490.867,518.961,435.702,440.210,512.670,387.056,297.483,408.657,349.784,460.055,322.936,402.789,547.252,328.510,400.218,505.207,291.046,413.745,427.787,444.876,380.837,497.949,367.212,352.074,311.514
PREC,ONDJFM,149.293,363.016,355.039,287.907,237.297,310.248,266.578,278.347,275.115,377.585,308.917,296.856,324.008,344.456,393.139,191.875,248.525,413.290,347.784,362.681,270.504,383.355,250.765,340.160,327.908,193.089,361.200,331.097,306.663,264.423
PREC,NDJF,84.634,231.972,241.019,207.812,139.778,230.506,199.957,204.356,198.596,236.052,210.317,212.425,222.508,208.347,256.991,141.158,174.124,253.544,220.970,217.034,200.785,278.029,113.947,203.684,186.389,131.075,265.228,199.660,180.302,151.449
SRAD,year,3385.282,3717.624,3537.393,3365.508,3362.506,3652.710,3442.290,3594.086,3539.281,3586.177,3557.311,3610.232,3519.052,3707.741,3674.337,3686.104,3671.348,3463.233,3813.076,3786.891,3651.045,3992.657,3785.376,3654.048,3871.220,3951.354,3750.539,3684.853,3839.571,3741.735
SRAD,MAMJJASO,3167.551,3493.634,3297.358,3143.649,3119.831,3395.909,3200.812,3370.499,3310.207,3375.672,3338.369,3390.625,3277.063,3461.519,3430.198,3427.473,3448.646,3229.110,3602.151,3581.469,3398.243,3758.092,3561.038,3420.040,3634.711,3710.577,3511.086,3455.521,3626.674,3520.317
SRAD,AMJJAS,2794.716,3047.873,2960.856,2762.259,2815.180,2987.526,2738.103,2969.781,2974.226,2933.974,2957.568,3042.645,2897.465,3074.590,3064.189,2985.932,3056.902,2786.191,3181.365,3134.056,2981.172,3349.227,3127.779,3044.449,3168.321,3294.862,3090.440,3082.204,3289.905,3058.417
SRAD,ONDJFM,370.508,649.727,571.087,621.472,542.336,634.189,685.074,589.467,659.721,619.875,606.322,595.905,582.193,633.198,584.721,737.558,656.484,617.429,666.057,607.972,680.916,674.610,679.991,569.504,668.924,714.851,650.539,589.739,576.348,623.707
SRAD,NDJF,141.592,215.459,225.893,234.534,235.034,261.220,244.108,207.779,251.120,208.733,219.278,219.323,226.309,240.269,235.422,270.773,246.501,209.633,225.429,220.185,215.138,243.140,248.687,215.169,251.020,237.066,235.082,220.020,231.199,223.101
WIND,year,2.816,2.666,2.931,2.725,2.700,2.833,2.739,2.861,2.778,2.905,2.689,2.767,2.850,2.788,2.775,2.592,2.744,2.847,2.702,2.696,2.575,2.682,2.600,2.637,2.599,2.627,2.859,2.897,2.586,2.553
WIND,MAMJJASO,2.696,2.591,2.723,2.575,2.694,2.711,2.735,2.679,2.653,2.767,2.573,2.708,2.592,2.713,2.661,2.540,2.625,2.761,2.481,2.554,2.457,2.545,2.566,2.611,2.440,2.521,2.703,2.695,2.543,2.533
WIND,AMJJAS,2.522,2.510,2.525,2.474,2.655,2.588,2.656,2.584,2.493,2.497,2.548,2.602,2.519,2.531,2.539,2.555,2.554,2.637,2.381,2.316,2.411,2.384,2.523,2.529,2.392,2.453,2.710,2.514,2.476,2.423
WIND,ONDJFM,3.275,2.903,3.157,3.166,2.734,2.967,2.885,3.059,3.227,3.253,2.895,2.936,3.022,3.119,3.237,2.559,2.908,2.911,2.893,3.221,2.808,3.014,2.673,2.752,2.838,2.591,3.152,3.217,2.756,2.754
WIND,NDJF,3.197,2.790,3.311,3.249,2.551,2.998,2.893,3.076,3.268,3.130,2.872,2.954,3.142,3.051,3.281,2.587,3.012,3.011,2.819,3.228,2.796,3.082,2.614,2.698,2.903,2.622,3.289,3.338,2.710,2.687
VPD,year,0.292,0.326,0.342,0.296,0.275,0.301,0.254,0.300,0.323,0.321,0.299,0.370,0.337,0.364,0.329,0.337,0.335,0.300,0.374,0.348,0.300,0.423,0.342,0.298,0.322,0.374,0.337,0.335,0.308,0.292
VPD,MAMJJASO,0.393,0.439,0.455,0.390,0.372,0.405,0.340,0.398,0.424,0.421,0.396,0.501,0.445,0.496,0.441,0.460,0.448,0.400,0.513,0.468,0.397,0.580,0.467,0.402,0.433,0.517,0.459,0.447,0.421,0.402
VPD,AMJJAS,0.464,0.518,0.547,0.459,0.447,0.479,0.390,0.480,0.504,0.476,0.465,0.610,0.536,0.603,0.524,0.552,0.539,0.470,0.613,0.543,0.470,0.709,0.557,0.484,0.524,0.640,0.536,0.543,0.521,0.485
VPD,ONDJFM,0.135,0.122,0.131,0.141,0.108,0.117,0.112,0.122,0.151,0.162,0.128,0.141,0.124,0.127,0.136,0.124,0.139,0.125,0.125,0.134,0.151,0.144,0.126,0.107,0.110,0.110,0.148,0.119,0.103,0.093
VPD,NDJF,0.101,0.079,0.112,0.114,0.081,0.085,0.084,0.096,0.121,0.116,0.097,0.107,0.109,0.098,0.110,0.084,0.106,0.102,0.078,0.104,0.102,0.107,0.085,0.088,0.092,0.080,0.096,0.102,0.080,0.070
FWI_FD,year,1.114,1.731,1.783,1.414,1.009,1.490,0.943,1.321,1.478,1.633,1.232,2.844,1.950,2.518,1.400,2.242,1.772,1.057,2.272,2.349,1.147,3.250,1.907,1.209,1.684,2.555,1.538,1.649,1.872,1.972
