Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,11.952,12.407,13.133,12.321,10.799,11.904,10.640,12.437,13.726,13.392,12.851,13.095,11.892,12.445,12.879,11.928,12.535,12.148,13.636,13.766,12.966,13.376,12.565,12.534,12.661,13.472,13.382,13.458,12.507,12.141
TMAX,MAMJJASO,16.659,16.794,17.785,17.102,16.363,16.865,15.350,17.278,17.973,17.333,17.040,17.325,16.370,17.334,17.889,17.082,16.993,16.860,18.665,17.921,18.013,18.627,17.182,17.239,17.246,18.357,18.310,17.584,17.167,18.094
TMAX,AMJJAS,19.321,19.268,20.692,19.832,18.917,19.429,17.943,20.301,20.563,19.394,19.549,20.444,19.122,20.427,20.438,19.913,19.959,19.566,21.639,20.260,20.840,22.221,20.166,19.860,20.296,21.542,20.555,20.064,20.448,21.377
TMAX,ONDJFM,2.817,4.634,6.050,4.910,2.822,4.190,3.178,5.097,6.425,7.057,5.825,6.879,5.061,3.604,5.697,3.220,5.804,5.284,4.315,5.932,6.655,6.156,3.095,4.887,4.822,4.338,7.585,6.238,5.670,3.330
TMAX,NDJF,1.749,1.855,4.665,3.049,-0.367,1.138,1.030,3.355,4.385,4.996,3.845,5.107,4.119,1.298,4.048,0.098,3.758,3.936,1.415,4.218,4.713,3.530,0.897,3.247,3.557,1.957,4.872,4.615,3.750,0.989
TMIN,year,4.828,4.754,5.685,5.083,3.457,4.412,3.009,5.117,6.307,6.151,5.661,5.640,4.539,4.752,5.240,3.746,4.930,4.940,5.598,6.204,5.375,5.149,5.041,5.085,4.581,5.183,5.545,6.116,5.083,4.651
TMIN,MAMJJASO,8.156,7.741,8.913,8.371,8.251,8.072,6.689,8.649,9.042,8.390,8.420,8.229,7.497,8.167,8.867,7.367,7.837,8.242,8.907,8.518,9.057,8.500,8.024,8.294,7.251,8.101,8.795,8.366,7.915,8.986
TMIN,AMJJAS,10.155,9.387,10.825,10.215,9.792,9.768,9.052,10.925,10.486,9.707,10.060,10.269,9.345,10.163,10.348,9.375,9.835,10.458,10.740,9.945,11.099,10.734,10.246,9.999,9.792,10.231,10.250,9.693,9.917,11.651
TMIN,ONDJFM,-2.484,-0.790,1.115,-0.179,-2.403,-1.145,-2.806,0.201,1.088,1.956,1.132,1.934,0.250,-1.453,0.975,-3.028,0.448,0.301,-1.126,1.287,1.728,0.603,-2.333,0.191,-0.377,-1.375,1.913,2.120,1.151,-1.532
TMIN,NDJF,-2.632,-3.058,0.317,-1.404,-5.668,-3.885,-4.253,-0.827,-0.402,0.577,-0.182,0.909,-0.063,-3.378,-0.172,-5.333,-1.012,-0.171,-3.288,0.127,0.912,-1.330,-3.914,-0.762,-0.748,-2.322,0.106,1.370,-0.234,-3.044
TAVG,year,8.238,8.470,9.285,8.559,7.001,8.042,6.668,8.605,9.863,9.611,9.101,9.253,8.087,8.471,8.883,7.703,8.634,8.378,9.532,9.824,9.020,9.213,8.695,8.702,8.697,9.455,9.517,9.843,8.858,8.387
TAVG,MAMJJASO,12.151,12.078,13.139,12.546,12.069,12.271,10.750,12.726,13.293,12.660,12.494,12.611,11.744,12.562,13.115,11.992,12.259,12.315,13.645,12.982,13.302,13.453,12.426,12.575,12.334,13.367,13.581,13.047,12.585,13.497
TAVG,AMJJAS,14.456,14.137,15.537,14.810,14.089,14.418,13.235,15.370,15.332,14.376,14.594,15.220,14.051,15.143,15.135,14.409,14.755,14.772,16.092,14.876,15.701,16.428,15.035,14.747,15.162,16.045,15.470,15.004,15.244,16.474
TAVG,ONDJFM,0.178,1.882,3.546,2.338,0.177,1.500,0.174,2.523,3.616,4.388,3.387,4.288,2.601,1.000,3.166,0.122,3.044,2.718,1.481,3.572,4.108,3.317,0.336,2.528,2.255,1.521,4.781,4.216,3.455,0.943
TAVG,NDJF,-0.374,-0.525,2.513,0.836,-2.993,-1.286,-1.537,1.204,1.972,2.732,1.846,3.008,2.036,-1.055,1.867,-2.495,1.415,1.864,-0.961,2.218,2.786,1.148,-1.440,1.294,1.454,-0.089,2.595,3.043,1.849,-0.954
RH,year,79.727,78.614,78.519,78.655,79.431,79.259,78.823,78.994,79.927,79.687,80.876,78.312,77.727,77.965,78.351,76.740,77.022,78.721,76.639,78.327,79.163,75.483,78.719,79.641,78.529,76.967,79.368,78.547,79.665,81.482
RH,MAMJJASO,76.799,75.282,76.245,76.763,78.092,77.261,76.004,77.050,77.381,76.171,78.682,74.586,75.400,74.816,75.683,73.439,73.687,75.950,72.402,74.722,76.556,71.024,74.765,75.761,75.151,72.512,75.791,74.817,75.650,78.342
RH,AMJJAS,75.808,73.580,74.447,75.435,76.242,76.009,76.137,74.796,75.286,75.356,77.428,72.381,73.353,73.038,73.850,72.091,71.498,75.868,70.253,73.468,75.711,68.080,73.961,72.885,73.825,69.334,73.684,71.594,72.656,76.658
