Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,13.580,14.197,14.529,13.140,13.554,13.667,13.482,14.279,15.166,15.013,14.117,14.595,14.112,15.290,14.210,13.347,14.982,14.497,14.299,15.082,14.386,14.938,15.806,14.337,14.249,15.082,15.110,14.511,14.860,13.518
TMAX,MAMJJASO,17.928,17.967,18.713,16.650,18.172,17.978,17.483,18.110,18.845,19.007,18.427,18.425,17.922,19.119,18.153,17.255,18.892,18.492,18.778,19.007,18.655,18.563,20.653,18.431,19.047,19.327,19.087,18.092,19.408,17.991
TMAX,AMJJAS,19.804,20.447,20.839,18.580,20.432,19.831,19.895,20.466,20.175,20.500,20.434,21.050,20.359,20.780,19.840,19.381,20.659,20.696,20.821,21.242,19.850,20.240,23.448,20.441,20.835,21.449,21.371,20.268,22.110,20.283
TMAX,ONDJFM,5.813,7.504,8.137,7.193,7.207,6.968,7.119,8.380,9.548,10.533,8.061,7.771,8.183,8.441,8.879,8.062,8.765,9.222,7.381,8.008,9.158,9.454,8.646,7.928,7.835,7.221,10.736,8.429,7.152,7.574
TMAX,NDJF,2.940,5.906,6.245,5.337,5.298,4.127,5.269,7.019,6.947,8.364,4.940,5.773,7.144,6.134,7.665,5.324,6.392,7.573,4.975,5.623,7.252,6.216,5.793,6.799,5.046,4.451,8.886,6.994,4.828,5.466
TMIN,year,5.126,5.856,5.733,4.746,4.664,5.139,5.360,5.964,6.066,5.994,5.459,6.208,5.813,6.974,5.807,5.225,6.087,5.776,6.072,6.468,6.061,6.532,6.257,5.945,5.606,6.385,6.281,6.104,6.207,5.414
TMIN,MAMJJASO,8.550,8.543,8.809,7.091,7.992,8.309,8.215,8.747,8.707,8.845,8.631,9.104,8.617,9.615,8.715,7.946,8.758,8.854,9.456,9.250,9.281,9.010,9.707,8.925,9.195,9.567,9.038,8.853,9.473,8.755
TMIN,AMJJAS,9.922,10.311,10.465,8.619,9.601,9.795,9.964,10.266,10.000,10.028,9.998,10.908,10.456,11.024,10.155,9.610,10.169,10.485,11.169,10.772,10.179,10.476,11.936,10.374,10.802,11.302,10.802,10.538,11.476,10.574
TMIN,ONDJFM,-1.199,0.678,1.404,0.229,0.384,0.053,0.278,2.067,2.233,2.137,1.272,0.825,1.476,1.970,1.923,1.227,1.727,1.795,0.702,1.172,2.575,1.886,1.521,0.865,1.005,0.311,2.991,1.314,0.710,0.844
TMIN,NDJF,-3.588,-0.523,0.058,-0.866,-1.087,-1.789,-0.920,0.911,0.505,0.790,-1.078,-0.678,0.718,0.274,1.388,-0.450,0.196,0.726,-1.165,-0.496,1.003,-0.270,-0.031,0.142,-0.976,-1.546,1.831,0.193,-0.943,-0.502
TAVG,year,9.026,9.667,9.774,8.637,8.784,9.058,9.065,9.779,10.155,10.057,9.439,10.085,9.611,10.790,9.683,8.988,10.169,9.818,9.872,10.458,9.871,10.384,10.674,9.813,9.598,10.388,10.367,10.009,10.259,9.219
TAVG,MAMJJASO,12.895,12.878,13.388,11.535,12.685,12.758,12.450,13.068,13.339,13.472,13.161,13.450,12.902,13.997,13.064,12.279,13.430,13.377,13.759,13.798,13.575,13.430,14.810,13.342,13.753,14.105,13.722,13.190,14.144,13.070
TAVG,AMJJAS,14.532,15.032,15.332,13.290,14.636,14.474,14.522,14.992,14.734,14.861,14.870,15.671,15.053,15.587,14.665,14.208,15.069,15.306,15.676,15.712,14.676,15.054,17.392,15.107,15.519,16.048,15.793,15.139,16.508,15.165
TAVG,ONDJFM,1.971,3.745,4.423,3.371,3.527,3.213,3.347,4.882,5.441,5.725,4.309,3.936,4.498,4.876,5.084,4.283,4.900,5.104,3.764,4.261,5.542,5.222,4.718,4.015,4.063,3.434,6.446,4.510,3.671,3.948
TAVG,NDJF,-0.599,2.365,2.880,1.960,1.879,0.987,1.880,3.615,3.329,4.006,1.654,2.216,3.601,2.924,4.274,2.177,3.010,3.755,1.686,2.307,3.847,2.627,2.630,3.111,1.730,1.206,4.971,3.227,1.730,2.294
RH,year,75.807,74.974,72.914,73.039,72.090,75.601,76.764,76.423,72.182,73.122,74.417,75.201,74.841,76.080,76.298,76.030,74.194,72.674,76.496,74.859,75.655,75.441,70.380,74.385,74.303,74.377,74.839,75.151,73.832,74.646
RH,MAMJJASO,73.731,71.980,70.264,69.841,68.495,73.379,73.918,74.568,70.621,70.863,72.041,73.048,73.030,73.535,73.910,73.364,71.498,70.852,74.589,72.434,74.103,72.685,66.563,71.921,71.796,72.359,72.425,73.480,70.472,71.642
RH,AMJJAS,72.083,70.073,68.673,68.681,66.714,72.445,72.571,72.684,70.487,69.920,69.718,70.806,72.044,73.219,73.337,72.468,70.595,69.569,73.876,70.639,72.403,72.666,64.783,70.075,70.697,70.684,71.107,72.140,68.984,70.957
RH,ONDJFM,77.800,80.004,78.728,77.318,77.873,77.697,79.805,80.369,77.370,72.796,79.829,78.208,78.137,79.334,79.345,78.997,78.622,76.263,78.661,78.776,79.933,76.081,77.832,77.757,78.615,79.458,77.496,76.795,80.294,77.524
RH,NDJF,78.345,81.250,79.525,79.263,79.515,79.498,81.635,80.565,78.692,73.913,80.593,78.413,78.850,80.656,81.414,81.025,80.078,77.878,79.540,80.061,78.973,78.013,81.500,78.594,79.320,80.226,78.430,77.204,81.537,80.209
RHmin,year,58.155,57.736,55.469,56.360,54.851,57.856,59.494,58.916,54.095,55.155,56.867,58.057,57.800,58.749,58.692,59.143,56.286,55.601,59.198,57.445,58.302,58.201,52.709,57.464,56.912,56.750,56.997,57.903,56.762,58.363
RHmin,MAMJJASO,55.430,53.879,52.042,52.219,50.220,54.528,55.497,55.982,51.742,51.904,53.537,55.290,55.083,55.005,55.304,55.223,52.353,53.166,56.044,54.037,55.612,54.449,48.084,54.078,53.337,53.895,53.465,55.585,52.368,54.298
RHmin,AMJJAS,53.599,51.631,50.572,51.146,48.161,53.688,53.671,53.285,51.972,51.033,51.085,52.498,53.524,54.818,54.858,54.159,51.489,51.509,55.307,51.882,54.230,54.460,46.463,52.006,52.685,52.405,52.093,54.097,50.404,53.417
RHmin,ONDJFM,61.259,63.397,62.700,60.993,62.080,61.673,63.179,64.876,60.533,54.676,63.474,61.732,62.503,63.813,62.897,62.762,62.413,59.623,63.021,62.697,63.967,58.996,61.719,61.297,62.477,62.911,59.785,60.360,64.801,62.127
RHmin,NDJF,62.332,64.988,64.384,63.943,64.064,65.046,65.892,65.217,62.921,56.658,65.498,62.672,63.293,65.869,65.850,66.518,65.100,61.735,64.614,65.082,63.834,62.353,66.921,62.516,64.319,65.242,61.590,61.141,66.968,65.662
PREC,year,1566.476,1303.544,1245.713,1210.193,1125.853,1398.690,1419.778,1449.265,1025.242,1331.983,1123.001,1319.465,1312.334,1335.113,1477.485,1193.867,1194.380,1186.411,1685.695,1320.123,1528.281,1572.014,942.060,1171.793,1068.561,1308.479,1350.948,1310.290,1148.365,1186.234
PREC,MAMJJASO,1073.415,925.833,872.916,820.152,791.946,962.968,1091.427,1044.395,793.665,848.853,780.693,915.188,1025.299,949.883,951.258,843.077,851.250,930.037,1104.005,938.848,1193.748,1023.891,678.661,844.667,808.378,1050.595,966.221,1014.052,740.156,860.911
PREC,AMJJAS,706.626,676.936,741.660,681.240,704.758,769.424,909.124,647.896,631.471,671.385,623.797,625.831,827.557,795.052,772.475,674.202,720.296,701.086,936.429,713.433,864.469,808.240,474.788,628.504,686.906,810.368,863.860,760.282,554.091,718.975
PREC,ONDJFM,344.571,781.531,621.743,552.766,471.265,505.166,557.121,712.215,507.187,525.660,537.498,554.324,579.193,638.211,754.449,337.979,573.716,484.294,700.671,619.023,775.620,457.240,701.531,582.755,447.289,465.054,495.107,449.986,576.433,511.577
PREC,NDJF,188.123,463.570,406.080,436.436,312.091,408.847,359.627,379.308,273.756,400.142,314.278,355.996,380.456,401.540,520.907,272.744,398.053,337.026,460.469,437.515,389.456,306.853,523.805,350.061,248.206,214.469,352.097,310.793,316.064,373.440
SRAD,year,4521.415,4733.847,4711.699,4646.355,4883.616,4655.191,4415.291,4499.324,4797.416,4789.146,4759.200,4554.376,4524.079,4513.487,4601.261,4580.089,4820.426,4702.759,4512.367,4670.687,4622.165,4568.073,5163.883,4652.119,4745.663,4738.059,4805.207,4548.630,4787.930,4545.028
SRAD,MAMJJASO,3933.854,4181.827,4136.911,4116.154,4344.402,4107.648,3925.569,3966.104,4204.920,4222.389,4191.850,3996.998,3978.026,4007.433,4055.948,4066.937,4281.648,4069.574,3983.378,4121.440,4053.987,4065.234,4561.965,4108.715,4159.063,4146.512,4248.040,3940.914,4259.479,4020.383
SRAD,AMJJAS,3379.678,3588.833,3488.893,3452.646,3691.006,3455.702,3363.976,3453.181,3507.241,3569.880,3616.084,3488.754,3394.993,3377.222,3386.294,3442.437,3615.158,3486.812,3356.055,3562.622,3471.752,3404.923,3846.301,3498.817,3490.860,3523.520,3565.943,3360.227,3640.604,3399.508
SRAD,ONDJFM,642.753,1158.976,1139.816,1241.641,1143.476,1206.036,1156.730,1013.370,1191.661,1299.031,1153.248,1152.136,1110.145,1062.563,1165.062,1225.593,1154.548,1251.384,1142.412,1154.826,1022.359,1288.873,1254.074,1191.442,1178.690,1198.178,1256.746,1242.850,1129.158,1170.971
