Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,14.067,14.749,14.838,14.779,13.661,13.623,13.848,14.499,15.474,15.471,14.485,14.594,14.100,14.742,15.512,14.206,15.500,14.856,15.340,14.955,14.844,15.207,15.834,15.289,15.257,15.729,15.440,14.867,15.078,14.238
TMAX,MAMJJASO,16.799,17.478,17.403,17.519,16.437,16.194,16.457,16.795,18.170,18.151,17.368,17.132,16.480,17.079,18.548,17.149,18.191,17.106,18.054,17.490,17.539,17.626,18.722,17.775,18.026,18.641,17.887,17.271,18.068,17.790
TMAX,AMJJAS,18.339,19.082,18.949,19.238,17.754,17.320,18.130,18.142,19.540,19.377,18.715,18.940,17.964,18.402,20.083,18.695,19.558,18.401,19.492,18.863,18.818,19.040,20.414,19.352,19.273,20.431,19.101,18.836,19.383,19.325
TMAX,ONDJFM,9.639,9.642,10.413,10.201,10.020,9.386,10.116,10.357,11.580,11.631,10.358,10.685,10.374,9.789,11.348,10.074,10.734,11.765,10.972,11.270,10.204,11.948,11.076,11.040,11.192,10.595,12.110,11.534,10.399,10.147
TMAX,NDJF,8.424,8.512,9.235,9.279,8.640,7.570,9.065,9.325,10.571,10.052,8.406,9.559,9.623,8.612,10.611,8.503,8.724,10.715,9.835,9.914,9.070,10.361,9.662,10.125,10.149,9.199,10.784,10.517,8.886,8.266
TMIN,year,6.667,7.092,7.359,6.943,6.440,6.272,6.655,7.304,7.459,7.665,7.077,7.219,6.940,7.494,7.448,6.744,7.746,7.730,7.822,7.594,7.305,7.927,7.585,7.985,7.883,8.169,7.916,7.505,7.647,6.416
TMIN,MAMJJASO,8.801,9.021,9.099,8.640,8.653,8.094,8.470,8.959,9.181,9.333,9.244,9.098,8.592,9.016,9.437,8.705,9.439,9.471,9.739,9.286,9.455,9.443,9.515,9.773,9.934,10.135,9.594,9.343,9.779,9.125
TMIN,AMJJAS,9.889,10.086,10.073,9.580,9.672,8.924,9.749,9.884,9.938,9.872,10.048,10.371,9.745,9.933,10.380,9.545,10.395,10.392,10.731,10.182,10.201,10.544,10.958,10.937,10.556,11.248,10.572,10.612,10.768,10.247
TMIN,ONDJFM,3.377,3.082,4.405,4.168,3.709,3.267,3.713,4.502,5.088,5.346,4.341,4.588,4.164,3.858,4.954,4.307,4.388,5.598,4.659,4.949,4.150,5.373,4.699,4.507,5.229,4.616,5.823,4.834,4.136,3.850
TMIN,NDJF,2.290,2.309,3.360,3.452,2.775,1.902,2.915,3.945,4.400,4.174,2.668,3.507,3.807,2.952,4.778,3.041,2.834,5.037,3.777,3.961,3.395,3.881,4.147,4.111,4.399,3.323,4.975,4.039,3.246,2.504
TAVG,year,10.192,10.770,10.942,10.698,9.913,9.808,10.119,10.773,11.304,11.387,10.650,10.763,10.353,10.962,11.314,10.330,11.470,11.153,11.418,11.142,10.915,11.437,11.572,11.477,11.506,11.881,11.616,11.120,11.327,10.203
TAVG,MAMJJASO,12.636,13.134,13.120,12.936,12.428,12.020,12.354,12.756,13.517,13.578,13.188,12.990,12.405,12.918,13.846,12.781,13.677,13.180,13.764,13.259,13.372,13.426,14.016,13.671,13.930,14.331,13.683,13.248,13.905,13.363
TAVG,AMJJAS,13.970,14.455,14.373,14.264,13.568,12.991,13.832,13.895,14.581,14.469,14.268,14.512,13.723,14.050,15.094,13.980,14.838,14.292,14.985,14.366,14.403,14.699,15.580,15.037,14.872,15.788,14.785,14.665,15.073,14.690
TAVG,ONDJFM,6.297,6.196,7.225,7.003,6.697,6.207,6.744,7.296,8.156,8.304,7.196,7.468,7.089,6.646,7.930,7.038,7.400,8.510,7.619,7.964,7.041,8.423,7.741,7.601,8.061,7.509,8.892,8.095,7.212,6.890
TAVG,NDJF,5.164,5.224,6.073,6.148,5.520,4.581,5.782,6.495,7.306,6.907,5.388,6.335,6.501,5.560,7.476,5.593,5.618,7.696,6.576,6.773,6.091,6.840,6.742,6.912,7.064,6.166,7.793,7.183,6.006,5.267
RH,year,83.218,82.060,82.014,80.837,82.892,81.914,82.756,82.107,80.042,79.791,82.364,81.794,82.138,81.656,79.945,80.450,81.746,82.396,81.776,82.566,81.804,82.265,79.523,81.821,81.298,80.844,82.669,82.383,82.387,81.112
