Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,18.887,18.868,19.638,17.843,18.460,18.516,18.446,19.313,19.351,19.932,18.404,20.082,19.343,20.442,19.022,17.959,19.060,19.550,19.498,21.243,19.860,20.112,20.498,19.109,18.541,19.767,20.640,20.566,20.400,18.939
TMAX,MAMJJASO,24.058,23.681,24.819,22.365,23.728,23.707,23.340,23.993,23.674,24.433,23.256,24.821,24.447,25.132,23.544,22.653,23.488,24.355,24.617,25.984,25.075,24.561,26.028,23.836,23.563,24.611,25.386,24.952,25.598,23.663
TMAX,AMJJAS,25.840,26.352,27.208,24.558,26.507,26.459,26.504,26.645,25.288,26.082,25.456,27.580,27.147,27.539,25.699,25.364,25.927,26.968,26.913,28.577,26.707,26.603,29.312,26.121,26.016,27.068,28.413,27.202,28.563,26.439
TMAX,ONDJFM,9.816,11.252,12.567,10.720,10.286,10.786,10.271,12.390,12.562,14.205,12.079,11.681,11.920,12.765,12.541,10.631,12.218,12.870,11.346,12.068,14.724,12.965,11.968,11.764,11.704,10.895,15.121,12.064,12.491,12.040
TMAX,NDJF,6.306,8.398,10.170,8.164,7.299,8.457,8.270,10.480,9.446,11.517,8.714,9.560,9.958,9.470,11.186,7.737,9.772,11.585,8.075,9.156,12.311,9.212,9.085,10.066,8.852,8.227,13.164,10.062,9.613,9.675
TMIN,year,8.506,9.085,8.698,8.369,7.922,8.372,8.482,8.836,9.049,8.954,8.357,9.476,8.924,10.296,9.195,8.502,8.767,9.060,9.457,9.946,9.334,9.893,9.107,9.010,8.464,9.179,9.553,9.756,9.661,9.113
TMIN,MAMJJASO,12.522,12.632,12.473,11.428,11.782,12.056,11.939,12.183,12.358,12.041,12.102,12.772,12.684,13.634,12.393,11.882,11.562,12.698,13.399,13.165,13.141,12.966,12.957,12.341,12.189,12.569,12.676,12.794,13.088,12.525
TMIN,AMJJAS,13.834,14.502,14.619,12.941,13.752,14.232,14.288,14.155,14.137,13.528,13.852,14.753,14.597,15.673,14.296,13.875,13.532,14.886,15.309,14.893,14.351,14.846,15.422,13.991,14.308,14.512,14.562,14.703,15.198,14.750
TMIN,ONDJFM,0.960,2.946,4.221,2.605,2.366,3.004,1.852,4.675,3.468,3.845,3.715,3.064,3.436,4.837,4.296,2.907,4.106,4.123,2.991,3.330,6.301,3.611,3.427,3.365,3.283,3.126,5.833,3.619,4.275,4.006
TMIN,NDJF,-1.647,0.658,2.536,1.047,-0.136,1.625,0.867,3.493,1.234,2.337,1.491,1.692,1.944,2.588,3.469,1.363,2.599,3.621,0.503,1.384,4.626,1.053,1.849,2.305,1.416,1.334,4.655,2.175,2.732,2.654
