Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,15.735,16.887,16.900,15.416,15.238,15.764,14.917,16.536,17.511,17.386,16.293,17.218,16.204,17.479,16.596,14.846,16.897,16.631,17.313,17.617,16.670,17.226,17.857,16.718,16.958,17.565,17.660,17.308,17.175,15.602
TMAX,MAMJJASO,20.568,21.474,21.507,19.375,20.181,20.273,19.399,20.471,21.759,21.435,20.909,21.543,20.653,21.546,21.264,19.626,21.414,20.757,22.008,21.655,21.137,21.382,22.859,21.204,21.752,22.158,21.942,21.239,21.972,20.899
TMAX,AMJJAS,22.551,23.811,23.911,21.233,22.492,22.352,21.876,22.956,23.364,22.933,22.745,24.351,23.036,23.781,23.278,21.952,23.615,23.036,24.321,23.873,22.923,23.635,25.782,23.314,23.803,24.767,24.149,23.632,24.838,23.184
TMAX,ONDJFM,8.063,8.657,10.435,9.225,8.369,8.292,8.522,10.056,11.288,12.151,10.252,10.089,9.691,9.699,10.993,7.968,9.654,10.903,9.572,10.391,10.931,11.283,9.795,9.939,9.805,9.014,13.151,10.611,9.330,9.078
TMAX,NDJF,4.826,6.013,8.400,7.053,5.587,5.520,6.473,8.449,8.725,9.676,6.909,7.874,7.994,7.240,9.699,4.785,6.639,9.155,7.081,8.230,9.040,8.277,7.013,8.413,7.239,6.301,10.918,8.972,6.848,6.612
TMIN,year,7.509,7.899,8.031,7.439,6.740,7.130,6.981,8.325,8.254,8.317,7.286,8.310,7.604,8.737,7.929,6.591,7.802,8.280,8.518,8.949,8.184,8.629,7.812,7.895,7.757,8.327,8.464,8.172,7.792,6.711
TMIN,MAMJJASO,10.893,10.860,11.139,9.939,10.293,10.210,9.976,10.729,10.940,10.691,10.241,10.929,10.466,11.196,11.025,9.770,10.566,11.143,11.457,11.504,11.244,11.314,10.914,10.630,10.621,11.229,10.856,10.578,10.749,10.134
TMIN,AMJJAS,12.144,12.279,12.677,11.342,11.838,11.673,11.905,12.205,12.065,11.780,11.535,12.785,12.188,12.844,12.434,11.369,12.050,12.657,13.065,12.769,12.333,13.065,13.040,12.089,12.106,12.925,12.494,12.108,12.440,11.785
TMIN,ONDJFM,1.931,2.271,4.391,2.754,2.173,2.035,2.011,4.508,4.758,4.638,3.580,3.545,3.228,3.728,4.260,1.911,3.184,4.131,3.603,4.237,4.690,4.384,2.889,3.289,3.393,2.550,5.866,3.980,3.031,2.733
TMIN,NDJF,-0.386,0.387,2.987,1.505,-0.079,0.169,0.875,3.701,3.323,3.060,1.632,2.380,2.473,2.097,3.967,-0.272,1.260,3.274,1.860,2.909,3.319,2.489,1.357,2.706,2.025,1.001,4.856,3.144,1.446,1.339
TAVG,year,11.486,12.200,12.324,11.229,10.796,11.285,10.772,12.278,12.679,12.656,11.676,12.635,11.733,12.956,12.118,10.554,12.160,12.274,12.748,13.086,12.300,12.777,12.708,12.219,12.294,12.894,13.027,12.705,12.485,11.211
TAVG,MAMJJASO,15.516,15.944,16.137,14.411,14.958,15.016,14.428,15.411,16.144,15.827,15.449,16.093,15.333,16.185,15.943,14.488,15.729,15.737,16.506,16.338,16.023,16.155,16.759,15.788,16.072,16.625,16.342,15.869,16.340,15.513
TAVG,AMJJAS,17.133,17.887,18.132,16.092,16.915,16.831,16.632,17.401,17.593,17.208,17.097,18.485,17.432,18.192,17.729,16.522,17.646,17.636,18.532,18.107,17.522,18.189,19.366,17.605,17.905,18.812,18.312,17.864,18.621,17.532
TAVG,ONDJFM,4.948,5.313,7.274,5.820,5.113,5.045,5.122,7.151,7.837,8.088,6.726,6.636,6.278,6.572,7.453,4.756,6.228,7.306,6.460,7.163,7.618,7.672,6.175,6.483,6.538,5.716,9.408,7.229,6.177,5.943
TAVG,NDJF,2.229,3.153,5.632,4.201,2.674,2.852,3.627,5.988,5.934,6.144,4.212,5.040,5.141,4.601,6.792,2.210,3.890,6.079,4.438,5.513,6.043,5.364,4.106,5.477,4.639,3.691,7.870,6.021,4.196,4.066
RH,year,79.381,76.711,76.599,78.941,78.355,78.001,80.098,77.949,76.371,75.990,76.165,76.087,77.865,77.368,78.148,78.550,76.865,78.494,77.807,78.623,79.571,79.311,74.150,78.250,78.195,77.314,77.912,77.445,78.219,79.146
RH,MAMJJASO,75.113,71.585,71.654,74.613,74.373,73.766,75.822,73.051,70.962,70.562,71.194,70.175,72.946,72.316,73.417,74.050,71.594,74.389,72.462,74.137,75.066,74.918,67.473,73.111,72.879,71.987,72.789,72.585,72.850,73.593
RH,AMJJAS,72.554,68.061,68.672,72.823,71.556,71.117,74.303,69.335,68.164,68.005,68.176,66.309,70.476,69.554,70.515,71.323,68.685,72.196,69.313,70.821,71.808,72.915,63.635,70.590,70.139,68.395,70.128,69.307,69.224,71.195
RH,ONDJFM,85.796,85.685,85.575,83.873,85.642,85.106,85.233,86.665,85.804,83.353,84.335,85.276,84.827,86.059,84.986,85.925,86.012,83.746,86.684,86.419,86.800,85.716,85.574,85.170,86.310,87.232,84.874,85.172,87.798,86.660
RH,NDJF,87.844,87.881,86.704,87.044,86.810,86.759,87.722,88.569,88.478,85.536,86.811,87.933,87.539,87.891,87.777,87.862,87.629,86.636,88.572,88.327,87.909,87.954,88.797,87.530,89.034,89.649,87.490,86.977,89.726,89.406
RHmin,year,62.552,59.126,59.486,62.456,61.005,60.633,63.339,61.621,58.431,58.658,58.817,59.188,60.746,60.266,60.984,61.808,59.167,61.592,60.505,61.150,62.394,61.933,56.125,61.017,60.539,59.866,60.492,60.021,60.488,62.304
RHmin,MAMJJASO,56.614,52.556,53.302,56.478,55.493,54.949,57.102,55.183,51.951,51.651,52.348,51.878,54.203,53.650,54.651,55.530,52.009,56.356,53.325,55.230,56.556,56.027,48.335,54.065,53.142,53.158,53.472,53.865,53.438,54.685
RHmin,AMJJAS,53.609,48.885,50.083,54.873,52.325,52.254,55.297,50.915,49.562,49.577,49.766,47.962,51.665,51.155,52.056,52.840,49.219,53.632,50.326,51.476,53.365,54.044,44.936,51.441,50.712,49.440,51.048,50.434,49.131,52.369
RHmin,ONDJFM,71.012,69.912,70.707,68.246,70.175,69.957,69.423,72.714,70.009,65.777,68.459,69.383,69.129,71.269,68.792,70.738,70.084,67.749,71.826,71.142,70.961,69.282,69.171,69.185,70.921,71.541,68.096,69.471,72.437,71.765
RHmin,NDJF,74.399,73.411,73.112,72.811,72.304,73.236,73.519,75.985,74.460,69.138,73.373,73.778,73.332,74.566,73.406,74.691,73.867,71.941,75.037,74.612,73.023,73.462,74.153,72.943,75.523,76.027,72.546,72.559,75.866,76.213
