Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,14.035,14.498,15.217,14.112,12.763,13.780,12.489,14.253,15.595,15.507,14.777,15.137,13.949,14.675,14.682,13.590,14.319,14.101,15.416,15.747,14.833,15.726,14.566,14.436,14.779,15.406,15.522,15.642,14.686,14.246
TMAX,MAMJJASO,19.229,19.338,20.371,19.207,18.777,19.017,17.562,19.396,20.161,19.716,19.558,19.860,18.855,19.791,20.179,19.227,19.287,19.150,20.949,20.352,20.188,21.370,19.705,19.513,19.779,20.647,20.891,20.231,19.830,20.506
TMAX,AMJJAS,21.897,21.968,23.393,21.919,21.541,21.696,20.353,22.557,22.759,21.814,22.249,23.111,21.726,23.107,22.842,22.252,22.350,22.058,23.970,22.773,23.042,24.933,22.901,22.110,23.002,23.952,23.303,22.841,23.285,23.854
TMAX,ONDJFM,4.489,6.029,7.697,6.266,4.109,5.427,4.666,6.533,7.971,8.776,7.296,8.040,6.433,5.415,7.207,4.222,6.876,6.690,5.724,7.119,8.125,7.859,4.758,6.257,6.514,5.577,9.385,7.745,7.049,5.047
TMAX,NDJF,2.593,2.993,5.883,4.035,0.602,2.181,2.365,4.631,5.722,6.424,4.913,5.925,5.175,2.926,5.404,0.850,4.274,5.077,2.495,5.007,5.838,4.962,2.021,4.341,4.874,2.948,6.474,5.712,4.758,2.423
TMIN,year,6.368,6.429,7.046,6.594,5.048,5.913,4.543,6.504,7.655,7.603,6.867,7.111,6.097,6.555,6.693,5.213,6.479,6.658,7.025,7.617,6.939,7.010,6.652,6.639,6.461,6.934,7.408,7.736,6.774,5.991
TMIN,MAMJJASO,9.856,9.457,10.366,9.862,9.792,9.517,8.311,9.963,10.500,9.850,9.860,9.815,9.158,9.864,10.384,8.917,9.450,9.912,10.250,9.894,10.544,10.428,9.766,9.885,9.328,10.015,10.793,10.221,9.791,10.310
TMIN,AMJJAS,11.732,11.147,12.294,11.699,11.490,11.379,10.666,12.328,11.985,11.189,11.602,11.893,11.079,11.970,11.960,11.064,11.370,12.043,12.016,11.283,12.488,12.558,11.979,11.476,11.715,12.180,12.427,11.731,11.806,13.061
TMIN,ONDJFM,-0.815,0.802,2.533,1.129,-0.980,0.033,-1.225,1.607,2.431,3.300,2.387,2.733,1.614,0.574,2.256,-1.619,1.614,2.232,0.626,2.717,3.333,2.165,-0.402,1.673,1.598,0.165,3.619,3.350,2.444,0.062
TMIN,NDJF,-1.649,-1.386,1.619,-0.192,-4.096,-2.507,-2.675,0.701,1.099,1.818,0.977,1.684,1.191,-1.156,1.112,-3.859,0.073,1.645,-1.444,1.443,2.568,0.213,-2.226,0.600,0.901,-1.015,1.948,2.391,0.980,-1.510
TAVG,year,10.013,10.298,10.987,10.157,8.723,9.691,8.365,10.173,11.449,11.344,10.618,10.995,9.868,10.438,10.471,9.313,10.260,10.172,11.168,11.550,10.702,11.263,10.454,10.392,10.509,11.111,11.324,11.606,10.658,10.052
TAVG,MAMJJASO,14.237,14.144,15.149,14.267,13.978,14.025,12.672,14.411,15.093,14.533,14.436,14.641,13.794,14.596,15.019,13.945,14.210,14.305,15.537,14.954,15.127,15.758,14.521,14.493,14.414,15.247,15.624,15.120,14.666,15.271
TAVG,AMJJAS,16.481,16.327,17.631,16.521,16.192,16.325,15.268,17.159,17.144,16.291,16.670,17.334,16.212,17.329,17.193,16.554,16.732,16.855,18.043,16.928,17.544,18.678,17.261,16.622,17.252,18.013,17.676,17.233,17.421,18.328
TAVG,ONDJFM,1.815,3.344,5.010,3.639,1.501,2.670,1.626,3.958,5.028,5.880,4.679,5.247,3.951,2.886,4.512,1.211,4.099,4.265,2.951,4.809,5.551,4.828,2.066,3.881,3.923,2.780,6.392,5.458,4.694,2.547
TAVG,NDJF,0.533,0.865,3.716,1.928,-1.730,-0.092,-0.147,2.622,3.339,4.028,2.887,3.772,3.188,0.836,3.122,-1.514,2.119,3.201,0.392,3.232,4.099,2.531,-0.104,2.455,2.806,0.954,4.227,4.026,2.898,0.537
