Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,16.218,16.122,16.983,15.080,15.720,15.691,15.758,16.662,16.696,17.277,15.724,17.474,16.698,17.788,16.443,15.198,16.466,16.928,16.808,18.637,17.250,17.507,17.814,16.424,15.853,17.109,17.981,17.886,17.711,16.144
TMAX,MAMJJASO,21.323,20.916,22.103,19.615,20.945,20.844,20.662,21.221,20.935,21.694,20.577,22.136,21.714,22.383,20.899,19.923,20.898,21.655,21.856,23.286,22.422,21.868,23.347,21.114,20.862,21.937,22.607,22.203,22.894,20.862
TMAX,AMJJAS,23.005,23.505,24.387,21.725,23.615,23.516,23.714,23.744,22.390,23.239,22.710,24.809,24.296,24.691,22.945,22.513,23.250,24.136,24.049,25.774,23.964,23.817,26.560,23.328,23.201,24.311,25.534,24.360,25.733,23.569
TMAX,ONDJFM,7.685,8.711,10.023,8.113,7.625,8.100,7.685,9.950,10.068,11.876,9.451,9.234,9.487,10.271,10.131,8.017,9.656,10.474,8.855,9.611,12.244,10.583,9.381,9.199,9.107,8.254,12.778,9.564,9.885,9.376
TMAX,NDJF,4.060,5.807,7.599,5.486,4.527,5.716,5.581,8.014,6.955,9.156,5.974,7.107,7.485,6.952,8.792,4.991,7.099,9.145,5.533,6.655,9.851,6.796,6.407,7.503,6.142,5.489,10.859,7.586,6.872,6.925
TMIN,year,6.336,6.959,6.563,6.206,5.668,6.170,6.334,6.756,7.016,6.872,6.275,7.407,6.902,8.248,7.146,6.366,6.777,7.055,7.435,7.931,7.314,7.912,6.983,6.859,6.314,7.085,7.487,7.687,7.554,6.950
TMIN,MAMJJASO,10.573,10.650,10.464,9.371,9.699,9.975,9.958,10.157,10.397,10.021,10.172,10.800,10.784,11.665,10.440,9.895,9.704,10.798,11.508,11.227,11.235,11.065,10.997,10.308,10.173,10.571,10.644,10.788,11.102,10.493
TMIN,AMJJAS,11.793,12.468,12.566,10.817,11.612,12.129,12.283,12.074,12.128,11.439,11.878,12.757,12.647,13.653,12.273,11.845,11.653,12.945,13.356,12.855,12.349,12.877,13.416,11.909,12.277,12.484,12.474,12.639,13.176,12.670
TMIN,ONDJFM,-1.189,0.746,1.996,0.392,0.041,0.673,-0.413,2.561,1.380,1.827,1.528,0.960,1.279,2.791,2.155,0.726,1.968,2.076,0.901,1.240,4.324,1.623,1.242,1.100,0.999,0.887,3.902,1.523,2.078,1.811
TMIN,NDJF,-4.220,-1.778,0.089,-1.304,-2.735,-0.845,-1.536,1.253,-1.020,0.220,-0.924,-0.538,-0.361,0.337,1.257,-1.016,0.279,1.429,-1.786,-0.900,2.499,-1.130,-0.585,-0.095,-1.034,-1.087,2.644,-0.004,0.346,0.304
TAVG,year,11.063,11.305,11.519,10.454,10.498,10.686,10.831,11.437,11.488,11.812,10.768,12.279,11.599,12.723,11.466,10.549,11.379,11.702,11.854,13.059,12.006,12.376,12.051,11.275,10.748,11.790,12.420,12.442,12.328,11.273
TAVG,MAMJJASO,15.699,15.545,16.019,14.282,15.114,15.155,15.089,15.409,15.316,15.601,15.129,16.344,16.021,16.729,15.302,14.678,15.051,15.994,16.413,17.071,16.543,16.094,16.833,15.314,15.167,15.916,16.329,16.134,16.642,15.388
TAVG,AMJJAS,17.184,17.773,18.295,16.120,17.486,17.606,17.815,17.692,16.981,17.167,17.132,18.720,18.310,18.950,17.293,17.008,17.277,18.359,18.515,19.221,17.940,17.965,19.689,17.248,17.428,18.085,18.762,18.217,19.161,17.879
TAVG,ONDJFM,3.105,4.446,5.766,3.991,3.629,4.110,3.323,5.982,5.313,6.404,5.204,4.801,5.123,6.298,5.748,4.053,5.492,5.909,4.544,5.043,7.986,5.711,5.024,4.749,4.683,4.293,7.938,5.177,5.608,5.305
TAVG,NDJF,-0.130,1.750,3.679,1.900,0.804,2.221,1.749,4.393,2.612,4.307,2.363,3.065,3.334,3.525,4.680,1.774,3.414,4.956,1.572,2.577,5.920,2.528,2.683,3.302,2.225,1.958,6.427,3.496,3.332,3.438
RH,year,72.539,74.126,70.129,74.814,72.731,74.311,73.111,72.231,73.327,70.237,72.001,69.538,70.650,71.283,72.683,73.102,70.145,71.154,73.398,68.024,70.418,73.706,68.495,74.639,73.304,72.680,70.643,72.124,71.905,75.357
RH,MAMJJASO,70.848,71.893,67.263,70.963,69.755,71.636,69.479,69.564,71.843,67.199,70.198,65.794,66.979,67.933,70.472,69.469,65.657,68.594,70.635,63.866,67.552,71.365,63.319,72.942,70.777,70.114,67.037,70.184,67.909,72.237
RH,AMJJAS,69.973,70.423,66.530,69.911,67.359,69.741,68.009,68.125,72.838,66.926,69.131,63.403,65.102,66.876,69.606,68.258,65.224,68.830,70.449,61.200,65.476,72.149,61.364,71.132,69.992,69.251,64.465,68.877,66.915,71.407
RH,ONDJFM,70.800,75.973,76.826,76.833,79.000,79.831,76.690,78.070,75.611,70.215,76.047,74.377,75.305,77.502,75.263,78.205,75.355,72.918,76.445,75.639,76.244,73.531,76.227,77.751,76.252,77.880,75.847,75.635,76.774,78.322
RH,NDJF,71.903,77.315,78.151,79.803,78.803,81.655,78.992,80.487,77.462,72.506,77.448,76.013,76.059,80.480,76.134,81.041,78.784,76.276,78.906,78.163,77.269,76.197,80.000,78.608,76.903,79.573,77.446,75.717,79.485,81.627
RHmin,year,53.685,56.257,51.096,57.330,53.947,55.822,55.081,53.466,54.289,51.682,53.970,51.899,52.925,53.343,54.659,56.115,52.556,52.768,55.139,49.693,52.181,55.145,49.555,55.717,54.650,53.643,51.844,52.989,53.169,56.993
RHmin,MAMJJASO,51.503,53.070,47.599,52.329,50.304,52.042,50.617,50.128,52.319,47.733,51.536,47.647,48.746,49.345,51.216,51.742,46.875,49.772,51.915,45.182,48.539,51.583,44.164,52.732,51.344,49.878,47.491,49.810,47.829,53.069
RHmin,AMJJAS,50.419,50.997,47.201,50.899,47.661,50.127,48.854,48.735,53.785,47.641,50.560,45.230,46.673,48.574,50.680,50.333,46.369,49.887,51.756,42.539,46.869,52.072,42.040,50.716,50.805,48.952,44.314,48.986,46.503,52.054
RHmin,ONDJFM,53.240,58.572,59.573,59.656,61.923,62.773,58.767,61.328,56.702,51.015,58.858,56.900,57.841,61.135,57.728,61.572,59.140,55.748,58.846,57.365,59.083,55.002,58.934,59.232,58.394,61.177,56.872,58.479,59.474,61.329
RHmin,NDJF,54.802,60.056,61.325,63.451,62.355,65.496,62.146,64.330,59.002,54.173,61.745,59.263,58.857,64.943,59.277,66.243,63.219,59.612,61.654,60.675,60.719,58.574,63.483,60.488,60.329,63.793,59.195,59.367,63.904,65.728
PREC,year,1205.986,1053.563,806.475,1276.528,1001.711,1046.095,1107.030,961.988,1037.778,1016.959,1061.470,1091.623,1119.047,1101.905,1288.524,1214.027,992.383,1200.244,1255.487,933.678,1116.304,1142.431,798.064,1219.177,1256.492,1024.885,1057.742,1069.479,1070.468,1458.339
PREC,MAMJJASO,846.774,763.583,577.450,894.538,619.109,735.900,696.307,666.873,890.762,726.756,753.331,795.136,777.828,820.330,864.086,838.370,587.691,956.346,795.726,595.265,771.564,843.671,542.912,853.353,886.398,771.754,775.966,733.548,595.006,941.273
PREC,AMJJAS,666.377,513.741,404.836,694.560,466.247,569.992,548.261,483.278,778.458,488.396,569.884,364.841,528.095,638.758,734.025,703.553,491.386,765.498,650.170,387.821,620.134,706.584,327.488,593.708,755.638,637.041,549.214,510.621,407.364,795.552
PREC,ONDJFM,189.113,476.127,660.510,487.515,501.309,558.356,464.293,598.956,290.923,260.827,533.324,538.535,632.875,687.219,587.969,403.241,521.875,438.428,571.371,492.726,732.295,311.326,468.939,595.705,527.371,532.493,416.868,458.672,648.173,679.459
PREC,NDJF,111.702,287.319,406.018,336.009,244.795,470.678,294.539,419.442,141.394,149.929,316.473,288.735,249.591,437.954,353.944,358.078,376.063,358.248,341.790,338.545,465.845,273.187,328.699,312.760,284.887,386.236,261.745,204.268,471.592,510.908
SRAD,year,4843.603,4734.728,4917.648,4519.941,4824.138,4772.375,4753.216,4833.851,4672.782,4998.642,4782.400,4991.783,4994.706,5067.255,4763.428,4677.667,5031.112,4993.106,4793.909,5219.140,4877.520,4725.790,5241.338,4701.082,4803.108,4899.871,5116.627,4930.491,4929.416,4612.810
SRAD,MAMJJASO,4143.463,4098.730,4242.879,3958.887,4222.309,4164.219,4175.295,4164.611,3966.375,4295.921,4088.211,4317.385,4329.128,4399.017,4148.485,4064.745,4396.731,4272.788,4131.230,4508.611,4232.195,4127.605,4529.732,4079.915,4156.825,4231.813,4472.334,4256.349,4353.467,4049.868
SRAD,AMJJAS,3494.771,3498.802,3556.280,3354.332,3630.954,3547.395,3565.578,3535.458,3231.473,3589.763,3473.536,3731.818,3693.025,3660.768,3469.058,3470.171,3695.523,3552.282,3454.392,3857.952,3570.761,3415.321,3815.911,3463.409,3473.405,3568.728,3866.345,3612.747,3715.682,3428.774
SRAD,ONDJFM,789.693,1306.112,1240.054,1253.684,1161.286,1175.747,1295.105,1198.988,1374.989,1553.293,1263.301,1335.363,1289.726,1335.303,1301.368,1271.672,1315.849,1419.606,1324.599,1390.023,1208.763,1445.127,1362.259,1277.857,1313.886,1243.139,1349.843,1270.601,1241.777,1219.049
SRAD,NDJF,413.439,671.935,631.922,590.690,618.961,560.020,621.021,594.709,697.768,790.998,652.397,695.168,694.268,623.325,674.237,577.855,651.335,688.446,677.582,701.621,618.039,670.019,639.598,649.698,661.925,623.222,670.419,682.425,592.781,554.001
WIND,year,2.007,1.915,2.088,2.101,2.009,1.982,2.015,2.046,1.759,1.775,1.754,1.836,1.995,1.948,1.854,2.018,2.085,2.139,2.132,2.082,2.181,2.109,1.986,1.889,1.790,1.824,1.826,1.821,1.836,1.804
WIND,MAMJJASO,1.956,1.818,2.084,2.072,2.000,1.911,2.054,1.979,1.714,1.734,1.741,1.855,1.991,1.962,1.783,2.050,2.155,2.193,2.112,2.099,2.142,2.053,1.993,1.873,1.766,1.826,1.811,1.824,1.821,1.806
WIND,AMJJAS,1.918,1.700,2.075,2.049,2.039,1.942,2.010,1.923,1.719,1.716,1.746,1.815,1.946,1.930,1.775,2.059,2.155,2.137,2.061,2.040,2.126,1.982,1.927,1.870,1.796,1.737,1.792,1.781,1.741,1.746
WIND,ONDJFM,2.084,2.010,2.285,2.174,2.004,2.075,1.972,2.161,1.841,1.837,1.837,1.763,2.005,2.069,1.999,1.739,2.026,2.227,2.102,2.135,2.262,2.143,2.118,2.048,1.818,1.848,1.931,1.797,1.875,1.903
