Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,15.150,15.456,16.162,14.851,14.459,15.602,14.803,15.181,15.972,16.683,14.717,15.912,15.335,17.018,15.431,14.478,14.724,15.476,16.171,17.194,16.161,16.560,15.764,15.763,15.215,15.881,17.305,16.922,16.975,16.057
TMAX,MAMJJASO,20.638,20.729,21.650,19.954,20.306,21.471,20.070,20.482,20.831,21.732,19.973,21.353,20.666,22.368,20.794,19.586,19.353,20.752,21.485,22.428,21.838,21.658,21.454,20.978,20.329,21.276,22.685,21.964,22.335,21.070
TMAX,AMJJAS,22.506,23.301,23.982,22.209,23.222,24.416,23.511,23.223,22.827,23.341,22.300,23.910,23.264,25.045,23.058,22.733,21.862,23.522,24.144,25.057,23.711,24.001,24.925,23.178,22.962,23.705,25.422,24.108,25.342,24.097
TMAX,ONDJFM,5.623,7.072,9.437,6.723,5.797,7.377,5.753,7.888,7.970,9.566,8.370,7.235,7.290,9.068,8.443,5.158,7.983,8.348,7.113,7.671,10.666,8.921,6.420,7.390,8.012,7.191,10.898,8.001,8.966,8.184
TMAX,NDJF,2.289,3.666,6.494,4.036,1.872,4.618,3.374,5.744,4.628,6.125,5.176,4.230,4.760,5.652,5.989,2.092,5.459,6.817,3.534,4.772,7.838,5.090,3.486,4.838,5.281,4.130,8.273,4.758,6.172,5.367
TMIN,year,5.452,5.324,5.402,5.300,4.230,5.162,4.865,5.510,6.006,5.759,5.325,5.396,4.968,6.711,5.608,5.362,5.199,5.591,6.372,6.074,6.080,6.449,5.536,5.924,5.652,5.839,6.831,6.644,6.572,6.474
TMIN,MAMJJASO,9.475,9.464,9.418,8.823,8.749,9.243,8.564,9.324,9.761,8.999,9.407,9.317,9.159,10.500,9.559,9.084,8.473,9.789,10.377,9.650,10.389,10.405,9.598,9.677,9.515,9.894,10.503,10.288,10.172,10.341
TMIN,AMJJAS,11.000,11.473,11.598,10.515,11.094,11.493,11.217,11.595,11.576,10.618,11.285,11.232,11.051,12.685,11.592,11.555,10.806,12.040,12.536,11.823,11.995,12.511,12.171,11.400,11.946,12.046,12.497,12.117,12.169,12.941
TMIN,ONDJFM,-2.096,-1.033,0.617,-1.157,-2.487,-0.379,-2.611,0.720,-0.520,0.359,0.167,-0.905,-1.174,0.791,0.204,-2.064,0.137,-0.026,-0.659,-0.595,1.603,-0.069,-1.389,-0.241,0.023,-0.890,1.841,0.296,0.850,0.641
TMIN,NDJF,-4.411,-3.636,-1.184,-2.864,-5.656,-1.884,-4.032,-0.578,-2.553,-1.773,-1.710,-3.014,-3.228,-1.481,-1.491,-3.893,-1.390,-0.765,-3.219,-2.682,0.049,-2.706,-3.525,-2.079,-1.524,-3.096,0.474,-1.936,-0.875,-1.189
TAVG,year,9.988,9.968,10.408,9.742,9.004,10.052,9.514,10.006,10.626,10.831,9.627,10.362,9.797,11.446,10.120,9.584,9.561,10.138,10.826,11.245,10.678,11.087,10.297,10.426,10.004,10.348,11.682,11.326,11.367,10.771
TAVG,MAMJJASO,14.692,14.671,15.109,14.025,14.158,14.992,13.972,14.561,14.929,14.995,14.260,15.050,14.562,16.002,14.734,14.024,13.505,14.881,15.480,15.673,15.659,15.610,15.181,14.881,14.479,15.043,16.210,15.659,15.821,15.163
TAVG,AMJJAS,16.484,17.034,17.435,16.076,16.866,17.658,17.092,17.160,16.900,16.721,16.445,17.366,16.880,18.526,16.985,16.919,16.012,17.467,17.953,18.225,17.499,17.893,18.290,16.937,17.073,17.423,18.651,17.763,18.398,18.036
TAVG,ONDJFM,1.412,2.617,4.577,2.418,1.259,3.105,1.194,3.896,3.302,4.503,3.749,2.795,2.660,4.443,3.852,1.119,3.593,3.630,2.786,3.057,5.485,3.929,2.102,3.124,3.533,2.615,5.808,3.669,4.370,3.972
