Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,12.189,13.133,13.327,12.756,11.773,12.364,11.690,13.436,14.233,14.131,13.222,14.012,12.623,13.522,13.310,11.961,13.420,12.629,13.639,13.695,13.106,13.914,13.797,13.442,13.619,14.233,14.101,14.283,13.810,12.170
TMAX,MAMJJASO,15.871,16.839,16.531,15.980,15.617,15.773,14.746,16.364,17.175,17.145,16.389,17.101,15.786,16.708,16.996,15.692,16.963,15.702,16.917,16.510,16.322,17.536,17.303,16.561,16.701,17.535,17.162,17.322,17.358,16.492
TMAX,AMJJAS,17.947,18.744,18.414,17.909,17.396,17.647,16.642,18.540,18.800,18.657,18.050,19.483,17.703,18.857,18.746,17.766,19.093,17.386,18.929,18.165,18.075,19.947,19.604,18.429,18.462,19.750,18.747,19.361,19.622,18.476
TMAX,ONDJFM,5.320,6.135,8.559,7.284,6.501,6.602,6.806,8.438,9.371,9.869,8.224,9.014,8.070,7.081,8.546,6.080,7.692,8.432,7.342,8.679,8.309,9.303,6.869,8.104,8.410,7.929,10.697,9.117,8.334,6.853
TMAX,NDJF,4.369,3.962,7.272,5.960,4.542,4.472,5.623,7.466,8.213,8.298,6.398,7.858,7.178,5.519,7.732,3.807,5.805,7.204,5.763,7.456,7.143,7.526,5.073,7.100,7.473,6.387,9.136,8.094,6.729,5.096
TMIN,year,6.413,6.900,7.231,7.097,5.720,6.174,6.094,7.511,7.855,8.038,7.239,7.718,6.775,7.573,6.897,5.926,7.175,7.292,7.650,8.360,7.466,8.221,7.705,7.913,7.871,8.590,8.433,8.169,7.914,6.209
TMIN,MAMJJASO,9.216,9.547,9.592,9.092,8.947,8.677,8.426,9.526,9.784,10.032,9.481,9.705,8.927,9.672,9.697,8.571,9.547,9.595,10.094,10.245,9.990,10.766,10.158,10.336,9.962,10.797,10.553,10.046,10.292,9.719
TMIN,AMJJAS,10.595,10.661,10.781,10.216,10.186,9.895,9.924,11.081,10.594,11.000,10.667,11.388,10.390,11.129,10.720,9.824,11.115,10.953,11.407,11.344,11.142,12.698,12.172,11.753,11.429,12.521,11.993,11.342,11.873,11.273
TMIN,ONDJFM,1.595,1.557,4.293,3.037,2.340,1.687,2.198,4.474,4.877,5.115,3.748,4.396,3.444,3.110,4.106,1.611,3.109,4.044,3.164,4.375,4.401,4.774,2.563,3.657,4.061,3.511,6.538,4.698,4.182,2.619
TMIN,NDJF,0.856,-0.306,3.192,2.001,0.449,-0.181,1.450,3.903,4.095,3.906,2.236,3.659,3.103,2.159,3.572,-0.415,1.566,3.577,1.757,3.499,3.630,3.212,1.541,3.197,3.503,2.742,5.670,4.361,2.951,1.418
