Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,8.102,8.813,9.169,9.364,7.203,8.303,7.229,9.070,10.403,9.720,9.264,9.344,8.761,9.120,9.369,9.066,9.501,8.417,9.561,10.433,9.318,9.665,9.821,9.801,10.420,10.292,10.198,9.828,9.624,8.732
TMAX,MAMJJASO,12.893,13.329,14.257,13.969,13.520,13.793,12.729,14.311,14.916,14.190,13.534,13.221,12.980,14.157,14.236,13.793,14.211,13.185,14.848,14.761,14.346,15.282,14.748,14.569,14.882,15.088,15.220,13.587,14.459,14.966
TMAX,AMJJAS,16.062,16.028,17.344,17.140,16.123,16.334,15.177,17.564,18.002,16.884,16.357,16.564,15.757,17.291,16.875,16.360,17.506,16.090,17.853,17.386,17.702,19.064,17.766,17.520,18.083,18.946,17.548,16.269,17.918,18.320
TMAX,ONDJFM,-2.048,0.447,2.147,0.675,-0.938,-0.014,-0.887,1.022,2.242,2.193,1.531,3.523,1.689,0.053,2.747,0.751,2.212,0.758,0.471,2.458,2.560,1.785,-0.404,1.931,2.176,1.784,2.638,3.328,2.513,0.015
TMAX,NDJF,-2.298,-2.459,0.857,-1.270,-4.154,-3.447,-3.705,-1.443,0.126,0.337,-0.324,2.137,1.050,-2.134,1.287,-2.086,0.231,-0.620,-2.202,0.624,1.022,-0.542,-2.913,0.189,0.991,0.138,0.221,2.056,0.781,-2.031
TMIN,year,0.455,1.307,1.376,1.997,-0.629,0.981,-0.255,1.482,3.215,2.369,2.109,2.249,1.517,1.350,1.898,1.287,1.587,1.072,1.933,3.237,1.773,1.511,2.057,2.318,2.828,2.391,2.804,2.992,2.135,1.079
TMIN,MAMJJASO,4.579,5.149,6.147,5.489,5.281,5.951,4.856,6.053,6.934,5.832,5.747,5.378,4.725,5.519,6.109,5.020,5.363,5.062,6.213,6.505,5.856,6.031,6.300,6.199,5.932,5.770,6.954,5.587,5.697,6.495
TMIN,AMJJAS,7.362,7.030,8.581,8.066,7.140,7.526,6.761,8.518,8.810,7.860,7.947,7.939,6.961,7.803,7.743,6.992,7.617,7.666,8.199,8.342,8.692,8.959,8.465,8.433,8.699,8.917,8.482,7.473,8.260,9.261
TMIN,ONDJFM,-10.335,-5.662,-3.868,-5.936,-6.791,-6.324,-7.208,-4.466,-3.811,-3.278,-4.744,-1.770,-4.161,-5.871,-2.412,-6.079,-4.071,-5.368,-5.081,-3.314,-2.848,-4.345,-6.819,-3.821,-3.801,-4.303,-3.059,-1.529,-2.671,-5.899
TMIN,NDJF,-9.606,-8.906,-5.134,-7.604,-10.260,-10.204,-9.933,-7.139,-6.433,-4.786,-6.591,-3.463,-4.374,-7.729,-3.936,-8.600,-6.294,-6.282,-7.561,-5.097,-3.633,-6.478,-9.506,-5.406,-4.230,-5.143,-5.308,-2.444,-4.090,-7.330
TAVG,year,4.382,5.187,5.397,5.801,3.354,4.712,3.508,5.354,6.893,6.108,5.716,5.880,5.131,5.272,5.678,5.175,5.620,4.696,5.737,6.809,5.525,5.630,5.959,6.064,6.629,6.369,6.490,6.407,5.885,4.912
TAVG,MAMJJASO,8.771,9.313,10.292,9.822,9.458,9.900,8.774,10.231,10.952,10.038,9.616,9.328,8.764,9.842,10.142,9.365,9.822,8.995,10.486,10.531,10.034,10.645,10.495,10.295,10.361,10.437,11.031,9.522,10.046,10.677
TAVG,AMJJAS,11.747,11.611,13.028,12.704,11.702,11.966,10.953,13.094,13.440,12.387,12.106,12.272,11.233,12.561,12.252,11.648,12.619,11.734,12.980,12.712,13.110,14.014,13.072,12.900,13.357,13.994,12.976,11.779,13.053,13.696
TAVG,ONDJFM,-5.967,-2.462,-0.681,-2.472,-3.797,-3.034,-3.981,-1.643,-0.656,-0.435,-1.503,1.018,-1.096,-2.861,0.296,-2.597,-0.847,-2.260,-2.274,-0.316,-0.117,-1.189,-3.520,-0.885,-0.760,-1.244,-0.206,0.960,0.005,-2.864
TAVG,NDJF,-5.641,-5.470,-1.923,-4.263,-7.131,-6.620,-6.712,-4.203,-2.952,-2.087,-3.311,-0.471,-1.481,-4.862,-1.121,-5.224,-2.876,-3.355,-4.814,-2.076,-1.269,-3.373,-6.048,-2.485,-1.491,-2.406,-2.466,-0.094,-1.539,-4.572
RH,year,76.178,76.711,76.097,76.392,74.759,73.181,75.318,76.023,76.360,74.613,77.777,76.600,76.353,76.687,78.251,78.458,75.701,78.415,77.405,78.672,77.219,77.245,77.302,78.272,77.286,76.789,78.245,79.284,77.667,78.866
RH,MAMJJASO,72.671,73.353,73.335,72.951,71.358,69.407,72.600,72.894,73.050,69.826,75.357,73.468,73.317,72.850,75.718,75.125,71.534,75.505,73.763,75.192,74.085,73.341,73.671,75.387,73.537,73.306,75.155,76.134,74.034,75.563
RH,AMJJAS,72.869,72.847,71.988,71.502,70.835,68.414,71.988,71.845,71.019,69.347,74.454,72.033,73.355,71.971,74.642,74.794,70.978,75.468,72.669,75.422,73.676,72.643,73.734,74.928,74.118,71.980,74.500,74.820,73.388,75.286
RH,ONDJFM,74.629,80.402,81.381,79.841,80.969,77.580,79.321,80.432,80.031,79.816,80.020,82.119,79.900,80.909,81.800,80.913,80.895,81.925,81.965,80.538,82.311,82.284,79.630,83.668,79.243,81.363,81.658,83.036,83.093,82.565
RH,NDJF,82.453,82.882,83.482,81.720,83.161,80.838,81.304,82.383,82.147,84.157,82.091,82.972,82.700,84.203,84.633,83.275,84.474,84.949,84.650,84.407,85.606,84.717,83.985,85.905,83.518,84.369,83.612,85.512,85.568,85.510
RHmin,year,60.788,61.428,60.387,61.871,58.577,58.741,59.676,60.525,61.909,60.073,62.664,62.289,61.237,60.838,62.425,61.993,59.985,62.509,61.512,63.315,61.374,60.511,61.209,62.436,61.613,60.983,62.665,64.740,62.191,62.402
RHmin,MAMJJASO,57.098,57.785,58.185,57.385,56.037,55.309,57.372,57.347,58.084,54.582,59.772,58.628,56.987,56.656,59.443,57.856,55.312,58.880,57.159,58.529,57.415,55.784,57.392,58.632,56.127,56.018,58.896,59.911,57.107,58.713
RHmin,AMJJAS,56.668,56.134,56.025,55.373,54.597,53.088,56.132,55.479,54.457,53.245,57.896,56.530,56.231,54.739,56.850,56.602,53.345,58.442,54.656,57.225,56.276,54.150,56.072,57.223,56.123,54.296,57.020,57.476,55.155,57.515
RHmin,ONDJFM,57.638,66.099,67.738,64.889,66.609,63.064,64.295,67.182,65.810,67.269,65.591,69.632,66.401,66.672,69.594,64.901,66.171,67.342,68.412,67.074,69.471,67.622,64.614,69.561,65.696,66.820,67.956,71.319,70.733,68.303
RHmin,NDJF,65.457,67.250,69.345,66.544,67.349,64.688,65.764,68.068,66.492,71.396,67.103,69.720,69.674,69.764,72.023,66.993,68.397,70.707,70.758,70.203,73.501,69.828,67.654,71.651,70.737,70.936,69.722,74.171,73.302,71.733
PREC,year,739.649,581.182,682.647,613.765,597.695,619.108,608.319,635.470,634.260,560.046,649.208,727.146,575.054,582.438,621.989,592.275,555.702,753.317,611.046,698.506,620.594,534.421,571.477,697.423,670.421,569.555,691.805,747.039,526.007,589.300
PREC,MAMJJASO,548.171,418.171,491.420,459.561,464.682,456.383,473.551,488.323,451.910,350.505,471.767,541.607,429.166,434.606,460.623,393.593,399.599,559.284,396.142,470.032,493.438,368.090,410.188,518.207,449.472,388.267,501.481,520.456,383.544,468.922
PREC,AMJJAS,417.298,361.139,355.751,340.908,353.315,367.016,415.923,402.588,349.706,278.627,372.314,441.607,324.094,312.674,332.833,314.432,312.726,431.747,293.351,362.321,395.269,317.284,319.407,459.240,407.739,258.778,420.205,373.756,316.708,375.405
PREC,ONDJFM,99.953,274.578,285.374,324.448,235.703,238.835,271.079,209.677,291.340,280.894,216.299,298.592,273.820,245.527,310.136,204.746,345.361,274.093,280.833,340.204,296.627,267.215,165.551,261.591,236.841,239.893,353.095,305.811,291.903,248.265
PREC,NDJF,59.463,163.829,208.997,198.946,105.530,137.527,183.670,147.155,177.433,204.320,132.842,196.600,184.761,130.849,189.236,105.535,243.120,198.299,153.896,223.987,205.438,164.823,124.582,166.788,196.855,173.310,221.802,213.934,171.341,154.197
SRAD,year,2029.587,2159.236,2674.064,2783.462,2913.621,2888.318,2793.049,2968.513,2943.289,2930.927,2938.430,2984.950,2932.074,3168.308,3036.248,3149.457,3226.377,2752.950,3150.847,2847.567,2953.244,3244.284,3042.476,2922.956,3049.194,3221.418,3054.553,3001.940,3102.437,3008.585
SRAD,MAMJJASO,1959.142,2088.547,2570.170,2697.372,2809.434,2783.165,2681.110,2872.094,2848.721,2853.744,2835.875,2890.979,2831.609,3047.651,2949.826,3045.490,3140.373,2660.576,3061.846,2763.972,2851.066,3160.058,2957.025,2822.063,2947.943,3119.485,2949.750,2913.080,3018.337,2909.707
SRAD,AMJJAS,1759.221,1883.505,2326.561,2432.490,2554.115,2537.844,2400.110,2626.900,2603.913,2572.909,2576.822,2643.470,2551.781,2760.147,2708.778,2741.334,2867.791,2357.332,2792.080,2481.595,2567.813,2886.591,2664.911,2536.256,2624.794,2834.680,2658.498,2646.222,2726.585,2628.661
SRAD,ONDJFM,206.713,261.438,329.861,370.112,321.851,360.577,393.799,323.397,342.046,374.872,366.592,324.804,376.584,406.620,336.769,420.545,364.079,378.410,365.130,387.245,371.321,350.318,380.865,370.653,421.175,417.477,388.022,343.284,372.382,393.281
SRAD,NDJF,53.477,71.503,95.799,94.003,94.802,109.449,105.600,90.342,102.790,78.541,106.467,91.017,99.677,122.920,81.259,106.599,89.252,87.849,89.676,95.884,84.923,90.989,90.434,89.997,106.243,103.273,107.168,84.524,91.358,93.529
WIND,year,2.509,2.608,2.684,2.481,2.446,2.596,2.550,2.528,2.666,2.690,2.500,2.703,2.599,2.443,2.570,2.291,2.471,2.367,2.128,2.217,2.386,2.367,2.473,2.414,2.539,2.420,2.566,2.566,2.432,2.358
WIND,MAMJJASO,2.413,2.574,2.660,2.368,2.543,2.620,2.635,2.464,2.521,2.604,2.401,2.586,2.465,2.501,2.511,2.318,2.466,2.402,2.045,2.196,2.319,2.328,2.489,2.409,2.501,2.345,2.567,2.441,2.460,2.456
WIND,AMJJAS,2.335,2.534,2.534,2.316,2.454,2.424,2.489,2.426,2.480,2.417,2.406,2.538,2.347,2.373,2.379,2.305,2.348,2.292,1.983,2.048,2.348,2.252,2.395,2.382,2.474,2.351,2.544,2.305,2.440,2.354
WIND,ONDJFM,2.699,2.659,2.746,2.858,2.377,2.622,2.631,2.737,2.956,2.887,2.556,2.859,2.900,2.534,2.876,2.304,2.651,2.443,2.172,2.512,2.195,2.690,2.367,2.454,2.611,2.395,2.598,2.822,2.576,2.334
WIND,NDJF,2.733,2.589,2.842,2.833,2.265,2.367,2.531,2.614,2.990,2.840,2.555,2.934,3.026,2.346,2.822,2.242,2.551,2.425,1.999,2.504,2.142,2.792,2.164,2.410,2.726,2.347,2.654,2.832,2.481,2.250
VPD,year,0.257,0.269,0.296,0.294,0.280,0.322,0.260,0.298,0.314,0.311,0.255,0.301,0.266,0.293,0.267,0.249,0.305,0.236,0.290,0.260,0.274,0.298,0.284,0.262,0.285,0.308,0.273,0.248,0.274,0.269
VPD,MAMJJASO,0.342,0.356,0.395,0.393,0.383,0.437,0.349,0.399,0.416,0.419,0.330,0.395,0.347,0.398,0.353,0.332,0.411,0.312,0.393,0.343,0.366,0.409,0.382,0.346,0.377,0.414,0.365,0.323,0.367,0.371
VPD,AMJJAS,0.402,0.415,0.475,0.475,0.443,0.509,0.399,0.473,0.499,0.486,0.390,0.475,0.400,0.473,0.415,0.384,0.486,0.362,0.466,0.391,0.437,0.490,0.444,0.403,0.438,0.506,0.418,0.382,0.437,0.439
VPD,ONDJFM,0.114,0.116,0.118,0.116,0.105,0.135,0.113,0.127,0.138,0.138,0.122,0.128,0.128,0.109,0.125,0.113,0.127,0.104,0.106,0.132,0.113,0.114,0.119,0.103,0.132,0.120,0.128,0.118,0.112,0.097
VPD,NDJF,0.082,0.080,0.100,0.095,0.070,0.085,0.083,0.091,0.105,0.096,0.097,0.112,0.108,0.076,0.093,0.083,0.090,0.083,0.072,0.096,0.086,0.084,0.073,0.082,0.100,0.093,0.093,0.095,0.088,0.071
FWI_FD,year,0.946,1.289,1.358,1.570,1.320,1.840,1.184,1.403,1.576,2.141,1.072,1.835,1.376,1.831,1.250,1.335,1.770,0.733,1.426,1.024,1.128,1.866,1.479,0.942,1.184,2.366,1.047,1.057,1.344,1.147
FWI_FD,MAMJJASO,1.348,1.830,1.919,2.213,1.866,2.621,1.640,1.989,2.217,3.136,1.458,2.585,1.826,2.639,1.773,1.910,2.527,1.045,2.074,1.453,1.571,2.685,2.102,1.322,1.679,3.414,1.481,1.501,1.896,1.633
FWI_FD,AMJJAS,1.700,2.228,2.452,2.867,2.335,3.211,1.878,2.542,2.810,3.894,1.851,3.347,2.270,3.426,2.253,2.322,3.164,1.202,2.651,1.752,2.016,3.328,2.521,1.600,1.960,4.470,1.759,1.940,2.362,1.990
FWI_FD,ONDJFM,0.281,0.247,0.337,0.234,0.248,0.511,0.264,0.430,0.351,0.353,0.392,0.294,0.328,0.394,0.257,0.349,0.334,0.208,0.269,0.251,0.252,0.267,0.591,0.216,0.349,0.390,0.311,0.212,0.260,0.213
FWI_FD,NDJF,0.168,0.185,0.197,0.201,0.213,0.304,0.174,0.239,0.289,0.141,0.292,0.304,0.302,0.353,0.166,0.223,0.155,0.134,0.096,0.174,0.157,0.229,0.211,0.158,0.170,0.254,0.174,0.170,0.175,0.168
FWI_3+,year,7.644,13.074,13.875,20.322,16.170,25.463,8.595,17.553,19.951,29.596,6.410,29.453,11.678,26.923,11.115,6.327,25.968,3.158,11.283,5.251,9.633,21.881,12.989,4.489,9.554,41.342,8.420,9.018,12.217,8.693
FWI_3+,MAMJJASO,7.603,12.793,13.543,19.647,15.741,24.932,8.248,17.254,19.314,29.518,5.758,28.421,10.701,26.638,10.731,6.042,25.346,3.112,11.188,4.829,9.054,21.205,12.641,4.213,9.240,40.795,8.133,8.649,11.785,8.499
