Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,13.564,14.044,14.265,14.265,13.087,12.826,13.608,13.840,14.639,14.550,13.989,13.852,13.621,13.830,14.972,13.745,14.739,14.356,14.456,14.215,14.274,14.309,14.771,14.408,14.494,14.847,14.902,14.091,14.047,13.355
TMAX,MAMJJASO,15.733,16.390,16.461,16.715,15.407,14.921,15.806,15.817,17.013,16.911,16.458,15.928,15.533,15.666,17.690,16.173,17.060,16.353,16.755,16.591,16.681,16.290,17.221,16.524,16.850,17.322,16.985,16.213,16.601,16.538
TMAX,AMJJAS,17.100,17.780,17.847,18.297,16.512,15.795,17.336,16.973,18.361,18.140,17.781,17.434,16.917,16.609,19.196,17.568,18.218,17.395,17.979,17.912,17.914,17.423,18.556,17.963,17.936,18.812,18.096,17.606,17.645,17.882
TMAX,ONDJFM,9.839,9.845,10.189,10.396,9.859,9.509,10.256,10.232,11.254,10.942,10.218,10.568,10.376,9.995,11.085,10.341,10.532,11.514,11.082,10.916,9.863,11.574,10.867,10.910,10.887,10.624,11.432,11.546,10.247,9.762
TMAX,NDJF,9.022,9.105,9.099,9.728,8.626,8.067,9.281,9.424,10.550,9.640,8.717,9.727,9.919,9.080,10.404,9.107,8.972,10.500,10.079,9.724,8.832,10.326,9.587,10.026,10.039,9.535,10.321,10.631,9.067,8.077
TMIN,year,7.074,7.049,7.537,6.754,6.545,6.210,6.846,7.255,7.468,7.479,7.343,7.149,7.023,7.331,7.708,6.975,8.078,7.936,7.968,7.452,7.329,7.701,7.766,7.749,8.044,8.037,8.012,7.360,7.446,6.557
TMIN,MAMJJASO,8.717,8.753,9.026,8.464,8.560,7.821,8.371,8.787,9.032,9.248,9.205,8.659,8.320,8.630,9.540,8.678,9.727,9.412,9.714,9.038,9.115,8.918,9.449,9.201,9.769,9.804,9.428,8.955,9.449,9.112
TMIN,AMJJAS,9.859,9.801,9.887,9.509,9.448,8.605,9.663,9.579,9.768,9.782,10.115,9.732,9.516,9.321,10.399,9.397,10.548,10.157,10.708,9.920,9.855,9.865,10.694,10.417,10.483,10.771,10.251,10.142,10.237,10.301
TMIN,ONDJFM,4.280,3.882,4.484,4.665,3.609,3.608,4.103,4.501,5.289,5.368,4.375,5.166,4.575,4.190,5.321,4.871,4.917,6.084,5.315,5.203,4.190,5.797,5.031,4.753,5.565,5.114,5.483,5.623,4.442,3.547
TMIN,NDJF,3.697,3.591,3.520,4.199,2.690,2.409,3.384,4.050,4.839,4.116,2.838,4.482,4.347,3.711,5.024,3.734,3.675,5.262,4.658,4.328,3.461,4.801,4.609,4.308,5.221,4.177,4.692,5.022,3.691,2.138
TAVG,year,10.278,10.523,10.885,10.473,9.797,9.487,10.189,10.512,11.034,10.969,10.637,10.458,10.277,10.568,11.312,10.323,11.390,11.113,11.185,10.798,10.758,10.973,11.273,11.079,11.288,11.415,11.415,10.676,10.699,9.901
