Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,13.023,13.463,14.274,13.072,11.778,12.717,11.479,13.297,14.581,14.367,13.802,14.220,12.863,13.701,13.733,12.566,13.403,13.009,14.528,14.652,13.839,14.725,13.645,13.397,13.838,14.494,14.537,14.625,13.666,13.284
TMAX,MAMJJASO,17.997,18.161,19.190,17.924,17.538,17.802,16.286,18.252,18.948,18.404,18.345,18.785,17.515,18.718,19.027,17.969,18.198,17.859,19.851,19.039,18.976,20.251,18.569,18.256,18.658,19.677,19.675,19.041,18.626,19.379
TMAX,AMJJAS,20.614,20.740,22.170,20.534,20.211,20.420,18.981,21.371,21.502,20.424,20.995,22.054,20.297,21.947,21.647,20.903,21.242,20.674,22.878,21.363,21.766,23.845,21.757,20.802,21.831,22.990,22.081,21.600,22.036,22.692
TMAX,ONDJFM,3.420,5.333,6.870,5.565,3.479,4.782,3.848,5.791,7.188,8.026,6.488,7.269,5.676,4.755,6.352,3.557,6.151,5.941,4.977,6.362,7.357,7.129,3.938,5.462,5.784,4.911,8.478,6.970,6.294,4.281
TMAX,NDJF,1.842,2.438,5.227,3.491,0.146,1.693,1.669,4.024,5.110,5.806,4.269,5.322,4.592,2.357,4.657,0.343,3.698,4.480,1.925,4.409,5.188,4.399,1.410,3.720,4.280,2.392,5.764,5.085,4.137,1.816
TMIN,year,5.792,5.863,6.525,6.026,4.443,5.281,3.935,5.955,7.183,7.092,6.378,6.592,5.530,5.995,6.145,4.553,5.949,6.104,6.561,7.103,6.429,6.425,6.099,6.087,5.866,6.333,6.862,7.229,6.226,5.392
TMIN,MAMJJASO,9.296,8.962,9.830,9.289,9.232,9.026,7.697,9.413,10.006,9.362,9.365,9.290,8.584,9.390,9.851,8.286,8.937,9.364,9.810,9.403,10.050,9.911,9.204,9.372,8.727,9.500,10.269,9.718,9.278,9.762
TMIN,AMJJAS,11.193,10.651,11.759,11.148,10.944,10.856,10.141,11.836,11.448,10.689,11.113,11.374,10.526,11.453,11.407,10.493,10.897,11.490,11.601,10.787,12.027,12.082,11.467,10.970,11.202,11.730,11.876,11.215,11.318,12.524
TMIN,ONDJFM,-1.917,0.227,1.934,0.545,-1.626,-0.549,-2.077,1.018,1.972,2.901,1.813,2.235,1.026,0.018,1.675,-2.366,1.038,1.662,0.099,2.167,2.759,1.676,-1.148,1.029,0.928,-0.505,3.014,2.842,1.874,-0.602
TMIN,NDJF,-2.632,-2.006,1.008,-0.729,-4.791,-3.186,-3.516,0.168,0.635,1.403,0.374,1.192,0.649,-1.789,0.473,-4.565,-0.517,1.123,-2.040,0.890,1.987,-0.266,-2.975,-0.046,0.305,-1.683,1.280,1.887,0.389,-2.188
TAVG,year,9.241,9.499,10.261,9.368,7.927,8.855,7.556,9.436,10.725,10.546,9.892,10.277,9.036,9.678,9.732,8.469,9.546,9.356,10.499,10.748,9.968,10.491,9.732,9.605,9.761,10.384,10.588,10.856,9.885,9.300
TAVG,MAMJJASO,13.379,13.309,14.294,13.362,13.089,13.180,11.739,13.590,14.256,13.662,13.590,13.843,12.828,13.829,14.187,12.998,13.417,13.393,14.772,14.047,14.301,14.962,13.692,13.615,13.575,14.544,14.795,14.283,13.824,14.484
TAVG,AMJJAS,15.614,15.469,16.756,15.577,15.272,15.437,14.333,16.363,16.270,15.376,15.818,16.556,15.214,16.513,16.338,15.582,15.948,15.899,17.289,15.969,16.706,17.922,16.451,15.723,16.436,17.345,16.827,16.367,16.582,17.540
TAVG,ONDJFM,0.721,2.697,4.313,3.001,0.842,2.059,0.794,3.275,4.414,5.335,3.985,4.613,3.272,2.266,3.789,0.514,3.459,3.615,2.317,4.158,4.893,4.244,1.286,3.169,3.245,2.115,5.679,4.824,4.028,1.830
TAVG,NDJF,-0.344,0.263,3.106,1.388,-2.330,-0.676,-0.917,2.038,2.821,3.542,2.262,3.235,2.629,0.236,2.442,-2.127,1.549,2.652,-0.186,2.662,3.497,2.024,-0.781,1.834,2.234,0.335,3.569,3.469,2.296,-0.123
RH,year,76.616,74.053,73.403,74.938,75.897,75.428,75.740,75.630,75.700,75.100,75.525,73.298,72.668,72.563,74.278,72.222,73.169,75.588,73.342,74.277,76.066,70.890,74.075,76.389,75.155,73.967,75.698,75.425,77.148,78.361
RH,MAMJJASO,74.862,71.824,72.207,74.643,76.047,74.422,74.505,75.256,74.436,72.896,74.509,70.662,72.101,70.213,73.191,70.130,71.544,74.338,70.106,71.221,75.566,67.917,71.203,74.173,72.808,70.734,73.268,73.333,74.456,76.742
RH,AMJJAS,73.726,70.172,70.068,73.715,74.116,73.130,74.959,73.426,72.362,72.283,73.033,67.930,70.269,67.755,71.407,68.537,69.231,73.785,67.597,69.925,74.666,64.525,69.608,71.575,70.901,67.344,71.263,70.061,71.178,75.470
RH,ONDJFM,74.129,79.361,78.339,74.577,77.246,78.001,77.043,78.656,77.041,78.111,78.444,78.314,77.985,75.907,77.217,74.683,76.811,78.523,78.879,78.557,77.217,78.246,76.416,80.753,80.422,79.695,79.868,81.153,82.998,82.047
