Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,12.381,12.808,13.567,12.721,11.225,12.326,11.016,12.908,14.147,13.732,13.259,13.600,12.266,12.848,13.345,12.342,13.046,12.538,14.095,14.129,13.380,13.868,12.997,12.921,13.109,13.932,13.817,13.855,12.917,12.574
TMAX,MAMJJASO,17.137,17.244,18.272,17.536,16.868,17.346,15.780,17.831,18.434,17.680,17.493,17.912,16.750,17.793,18.415,17.556,17.595,17.282,19.196,18.302,18.477,19.200,17.674,17.673,17.757,18.901,18.799,18.013,17.617,18.625
TMAX,AMJJAS,19.831,19.751,21.230,20.273,19.459,19.951,18.379,20.901,21.073,19.777,20.041,21.091,19.501,20.908,21.029,20.412,20.622,20.007,22.246,20.672,21.340,22.859,20.699,20.327,20.844,22.144,21.130,20.532,20.899,21.963
TMAX,ONDJFM,2.702,4.949,6.395,5.258,3.141,4.510,3.500,5.434,6.761,7.361,6.134,7.217,5.435,3.941,6.047,3.546,6.149,5.624,4.622,6.281,6.976,6.463,3.424,5.228,5.169,4.658,7.858,6.590,6.007,3.633
TMAX,NDJF,1.691,2.160,4.991,3.366,-0.089,1.448,1.300,3.659,4.726,5.326,4.145,5.448,4.461,1.608,4.370,0.398,4.092,4.247,1.734,4.553,5.031,3.859,1.190,3.559,3.864,2.249,5.189,4.964,4.070,1.250
TMIN,year,5.480,5.388,6.331,5.722,4.097,5.064,3.628,5.788,6.965,6.802,6.314,6.311,5.195,5.395,5.898,4.390,5.598,5.589,6.254,6.840,6.012,5.825,5.694,5.727,5.239,5.840,6.224,6.770,5.746,5.308
TMIN,MAMJJASO,8.913,8.488,9.660,9.109,9.007,8.847,7.437,9.440,9.805,9.157,9.175,9.012,8.246,8.916,9.634,8.122,8.624,8.991,9.678,9.260,9.799,9.304,8.798,9.048,8.013,8.867,9.582,9.123,8.694,9.788
TMIN,AMJJAS,10.994,10.192,11.641,11.033,10.631,10.607,9.870,11.787,11.310,10.537,10.876,11.095,10.150,10.963,11.193,10.206,10.690,11.270,11.578,10.764,11.919,11.590,11.078,10.823,10.616,11.089,11.103,10.520,10.747,12.510
TMIN,ONDJFM,-2.640,-0.339,1.605,0.289,-1.964,-0.684,-2.389,0.666,1.588,2.433,1.603,2.430,0.762,-0.965,1.469,-2.566,0.910,0.773,-0.637,1.770,2.173,1.061,-1.857,0.671,0.096,-0.900,2.397,2.619,1.622,-1.074
TMIN,NDJF,-2.722,-2.649,0.762,-0.970,-5.269,-3.454,-3.903,-0.412,0.042,1.002,0.235,1.362,0.382,-2.934,0.257,-4.903,-0.587,0.247,-2.846,0.566,1.330,-0.913,-3.519,-0.342,-0.311,-1.895,0.560,1.824,0.197,-2.662
