Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,15.178,16.434,16.436,14.900,14.831,15.354,14.506,15.995,16.960,16.756,15.780,16.665,15.656,16.996,16.091,14.417,16.396,16.029,16.744,17.075,16.200,16.669,17.420,16.165,16.485,17.180,16.980,16.749,16.648,15.162
TMAX,MAMJJASO,19.829,20.900,20.997,18.734,19.636,19.758,18.880,19.918,21.150,20.791,20.301,20.915,19.978,20.997,20.681,18.982,20.815,20.095,21.401,21.090,20.622,20.720,22.359,20.593,21.240,21.762,21.197,20.629,21.318,20.231
TMAX,AMJJAS,21.871,23.296,23.449,20.511,21.891,21.786,21.266,22.353,22.777,22.291,22.235,23.827,22.410,23.272,22.615,21.204,23.071,22.426,23.771,23.317,22.277,23.010,25.455,22.697,23.240,24.273,23.476,23.029,24.220,22.557
TMAX,ONDJFM,7.472,8.297,9.947,8.845,8.224,8.020,8.332,9.604,10.679,11.577,9.808,9.550,9.186,9.208,10.473,7.941,9.279,10.334,9.026,9.789,10.552,10.814,9.422,9.356,9.348,8.781,12.543,10.014,8.947,8.702
TMAX,NDJF,4.658,5.900,8.023,6.736,5.553,5.342,6.262,7.999,8.169,9.174,6.549,7.444,7.705,6.927,9.215,4.786,6.421,8.698,6.688,7.671,8.678,7.749,6.862,8.024,6.801,6.031,10.312,8.437,6.594,6.452
TMIN,year,7.442,7.882,7.941,7.328,6.674,7.077,6.965,8.191,8.159,8.149,7.211,8.205,7.518,8.685,7.935,6.596,7.714,8.155,8.416,8.841,8.153,8.561,7.800,7.786,7.693,8.285,8.278,8.056,7.725,6.745
TMIN,MAMJJASO,10.771,10.827,11.058,9.813,10.135,10.119,9.938,10.655,10.859,10.551,10.152,10.843,10.359,11.149,11.025,9.665,10.444,11.030,11.387,11.435,11.237,11.217,10.902,10.529,10.585,11.251,10.687,10.485,10.672,10.026
TMIN,AMJJAS,12.075,12.289,12.664,11.212,11.715,11.601,11.875,12.139,12.040,11.675,11.529,12.787,12.115,12.893,12.434,11.263,11.978,12.576,13.076,12.732,12.295,12.993,13.127,12.019,12.091,12.953,12.391,12.072,12.439,11.762
TMIN,ONDJFM,1.654,2.301,4.247,2.624,2.233,1.986,1.994,4.304,4.536,4.454,3.452,3.352,3.072,3.630,4.073,2.093,3.197,3.893,3.485,3.992,4.629,4.269,2.949,3.077,3.248,2.524,5.608,3.725,2.913,2.683
TMIN,NDJF,-0.479,0.548,2.869,1.415,0.073,0.223,0.897,3.486,3.059,2.916,1.555,2.246,2.390,2.073,3.841,-0.039,1.368,3.079,1.787,2.706,3.234,2.320,1.502,2.587,1.878,0.978,4.545,2.927,1.402,1.413
TAVG,year,11.127,11.922,12.000,10.869,10.503,11.009,10.512,11.900,12.303,12.215,11.339,12.258,11.372,12.648,11.822,10.303,11.802,11.876,12.367,12.720,12.011,12.431,12.440,11.850,11.991,12.654,12.566,12.330,12.149,10.970
TAVG,MAMJJASO,15.050,15.601,15.809,13.986,14.551,14.669,14.104,15.069,15.754,15.399,15.062,15.690,14.911,15.848,15.614,14.079,15.307,15.328,16.129,15.986,15.735,15.751,16.463,15.403,15.774,16.423,15.871,15.491,15.950,15.102
TAVG,AMJJAS,16.717,17.584,17.866,15.613,16.505,16.472,16.259,17.039,17.237,16.800,16.805,18.182,17.048,17.932,17.349,16.056,17.273,17.261,18.222,17.774,17.151,17.810,19.206,17.228,17.592,18.562,17.913,17.516,18.288,17.192
TAVG,ONDJFM,4.435,5.109,6.915,5.509,5.020,4.828,4.968,6.772,7.375,7.652,6.393,6.208,5.901,6.225,7.050,4.791,6.003,6.841,6.089,6.683,7.357,7.332,5.992,6.024,6.194,5.542,8.948,6.746,5.870,5.684
TAVG,NDJF,2.021,3.117,5.332,3.926,2.675,2.741,3.483,5.595,5.457,5.752,3.945,4.697,4.902,4.371,6.439,2.267,3.778,5.693,4.147,5.075,5.771,4.946,4.059,5.163,4.289,3.493,7.361,5.581,3.981,3.964
RH,year,74.889,71.567,70.904,74.267,73.035,72.930,75.570,73.302,71.117,70.275,70.062,70.950,72.675,72.247,73.382,73.863,71.634,73.438,72.933,74.052,75.019,74.495,68.025,73.324,73.300,72.336,73.182,72.572,73.570,74.814
RH,MAMJJASO,71.576,67.400,66.758,70.853,70.091,69.731,72.102,69.199,66.642,65.484,66.008,65.804,68.627,67.938,69.493,70.365,67.037,70.441,68.226,70.477,71.372,70.810,61.795,68.755,68.463,67.765,68.807,68.758,68.904,69.590
RH,AMJJAS,69.607,64.245,64.237,69.840,67.933,67.724,71.370,65.819,64.679,63.752,63.438,62.448,66.863,65.904,67.094,68.357,64.827,68.772,65.573,67.676,68.462,69.451,58.371,66.719,66.448,64.638,66.689,65.878,65.641,68.047
RH,ONDJFM,79.733,79.306,79.327,76.894,78.963,78.250,78.773,80.786,79.824,75.481,77.076,78.478,77.877,79.783,78.445,79.700,79.681,76.484,80.936,80.439,80.768,79.423,79.311,78.464,80.359,81.457,78.403,78.688,82.252,80.990
RH,NDJF,80.892,81.099,79.718,79.964,79.565,79.577,81.182,82.287,82.488,77.253,79.349,81.061,80.372,81.259,81.296,81.263,80.915,79.259,82.332,82.235,81.174,81.462,82.622,80.563,83.118,83.913,80.803,79.879,83.833,83.866
RHmin,year,59.697,55.800,55.682,59.336,57.356,57.213,60.333,58.532,55.076,54.965,54.816,55.842,57.332,56.942,58.062,58.765,55.757,58.390,57.430,58.172,59.533,58.970,52.192,57.871,57.395,56.552,57.506,56.856,57.539,59.636
RHmin,MAMJJASO,54.882,50.297,50.436,54.430,52.877,52.606,55.011,53.015,49.581,48.698,49.405,49.457,51.808,51.169,52.697,53.591,49.408,54.280,51.035,53.190,54.630,53.887,45.035,51.648,50.682,50.735,51.383,51.779,51.422,52.618
RHmin,AMJJAS,52.315,46.868,47.666,53.516,50.378,50.520,53.932,49.103,47.811,47.269,47.153,45.919,49.755,49.303,50.552,51.594,47.127,51.932,48.479,49.863,51.851,52.365,41.885,49.459,48.885,47.558,49.346,48.722,47.492,51.045
RHmin,ONDJFM,66.245,65.412,66.142,62.958,65.061,64.741,64.521,68.207,65.784,60.246,63.171,64.423,64.060,66.750,64.116,66.008,65.655,62.434,67.828,66.819,66.575,64.840,64.922,64.323,66.583,67.242,63.467,64.731,68.268,67.560
RHmin,NDJF,68.460,68.210,67.656,67.194,66.611,67.591,68.463,70.935,69.879,63.015,67.612,68.461,67.677,69.414,68.610,69.467,68.813,66.268,70.309,70.052,67.879,68.673,69.576,67.563,70.965,71.619,67.419,67.143,71.151,71.776
PREC,year,1107.665,781.687,877.568,916.530,781.050,969.868,971.123,959.370,755.045,855.703,685.418,874.450,946.558,976.464,987.880,744.707,774.620,997.338,923.890,905.760,1017.014,1126.672,645.690,859.538,843.467,826.603,1052.739,836.477,866.324,932.707
PREC,MAMJJASO,767.390,540.780,596.380,636.546,549.992,675.588,688.408,605.249,530.938,523.142,436.900,616.627,612.127,694.409,658.570,552.003,535.202,780.104,554.171,651.728,703.283,741.037,434.715,571.475,574.412,632.892,696.330,614.880,581.607,638.405
PREC,AMJJAS,502.465,372.153,474.779,548.702,475.763,489.104,551.800,374.151,399.729,424.205,360.284,401.509,512.450,514.446,519.285,432.468,404.970,503.844,444.430,465.405,518.503,538.431,315.291,469.900,480.318,463.913,606.621,427.389,403.319,540.569
PREC,ONDJFM,254.474,517.941,478.247,375.863,308.953,384.899,473.074,548.421,375.878,412.515,351.054,412.407,418.567,535.828,537.202,228.885,392.594,372.087,568.011,508.935,430.460,498.283,475.188,388.825,383.045,351.577,431.614,417.586,371.918,429.981
PREC,NDJF,137.578,305.142,297.842,303.857,190.280,277.772,298.505,317.398,257.101,303.971,247.962,257.172,301.845,340.480,366.361,170.407,242.949,214.781,312.895,341.289,231.629,369.358,315.643,261.518,274.116,205.552,299.215,288.462,196.874,282.443
