Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,13.384,14.408,14.569,13.961,12.982,13.560,12.799,14.676,15.501,15.412,14.448,15.296,13.780,14.795,14.587,13.178,14.739,13.840,14.881,14.904,14.356,15.286,15.074,14.711,14.873,15.581,15.344,15.570,15.091,13.433
TMAX,MAMJJASO,17.136,18.176,17.903,17.272,16.896,16.979,15.931,17.695,18.547,18.482,17.742,18.503,16.999,18.028,18.409,16.998,18.410,16.930,18.292,17.798,17.664,18.974,18.756,17.934,18.063,18.989,18.522,18.720,18.754,17.820
TMAX,AMJJAS,19.273,20.152,19.868,19.257,18.729,18.889,17.879,19.941,20.239,20.078,19.480,20.979,18.953,20.295,20.246,19.144,20.642,18.660,20.394,19.501,19.477,21.490,21.179,19.880,19.898,21.274,20.180,20.841,21.111,19.886
TMAX,ONDJFM,6.163,7.168,9.684,8.348,7.562,7.658,7.901,9.502,10.465,10.937,9.337,10.095,9.117,8.120,9.643,7.151,8.786,9.506,8.445,9.757,9.389,10.387,8.010,9.178,9.467,9.004,11.850,10.208,9.409,7.902
TMAX,NDJF,5.219,4.980,8.364,6.997,5.581,5.534,6.697,8.503,9.276,9.379,7.473,8.899,8.202,6.590,8.821,4.850,6.867,8.288,6.848,8.509,8.194,8.610,6.179,8.157,8.504,7.464,10.176,9.153,7.775,6.145
TMIN,year,7.659,8.153,8.469,8.324,6.978,7.385,7.274,8.753,9.076,9.285,8.460,8.965,7.971,8.826,8.154,7.152,8.469,8.550,8.896,9.579,8.728,9.564,8.962,9.183,9.118,9.878,9.699,9.426,9.177,7.497
TMIN,MAMJJASO,10.478,10.798,10.868,10.363,10.200,9.813,9.632,10.805,11.039,11.292,10.749,11.003,10.139,10.920,10.992,9.819,10.894,10.852,11.398,11.512,11.293,12.125,11.522,11.652,11.263,12.148,11.880,11.356,11.615,10.999
TMIN,AMJJAS,11.890,11.925,12.091,11.515,11.469,11.048,11.159,12.395,11.883,12.280,11.975,12.732,11.619,12.453,12.057,11.105,12.512,12.220,12.761,12.643,12.486,14.104,13.601,13.116,12.775,13.900,13.367,12.695,13.247,12.607
TMIN,ONDJFM,2.613,2.760,5.491,4.228,3.524,2.901,3.423,5.610,6.037,6.266,4.962,5.547,4.590,4.258,5.283,2.810,4.301,5.212,4.393,5.540,5.548,5.941,3.798,4.814,5.222,4.669,7.712,5.859,5.350,3.772
TMIN,NDJF,1.880,0.900,4.390,3.191,1.647,1.124,2.681,5.032,5.248,5.069,3.447,4.807,4.242,3.351,4.778,0.797,2.766,4.758,2.977,4.660,4.761,4.394,2.756,4.352,4.659,3.921,6.759,5.501,4.120,2.588
