Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,19.316,19.425,20.068,18.311,18.946,19.033,18.948,19.779,19.703,20.362,18.781,20.561,19.864,20.941,19.440,18.479,19.531,20.035,19.923,21.799,20.321,20.637,21.049,19.602,19.032,20.313,21.083,21.075,20.901,19.396
TMAX,MAMJJASO,24.442,24.216,25.281,22.805,24.183,24.135,23.872,24.467,23.981,24.822,23.617,25.295,24.995,25.572,23.996,23.162,23.971,24.820,25.086,26.552,25.536,25.042,26.640,24.319,24.048,25.117,25.874,25.486,26.096,24.078
TMAX,AMJJAS,26.202,26.803,27.658,24.899,26.888,26.822,26.916,27.054,25.565,26.460,25.818,28.039,27.649,28.009,26.049,25.793,26.414,27.381,27.365,29.141,27.147,27.130,30.001,26.532,26.459,27.504,28.926,27.700,29.041,26.861
TMAX,ONDJFM,10.426,11.794,13.120,11.288,10.903,11.330,10.979,12.932,12.951,14.578,12.625,12.147,12.476,13.131,13.158,11.236,12.718,13.273,11.887,12.560,15.229,13.399,12.532,12.296,12.261,11.376,15.687,12.495,13.071,12.497
TMAX,NDJF,7.171,8.844,10.702,8.654,7.862,9.034,8.832,10.963,9.839,11.907,9.264,10.023,10.479,9.842,11.745,8.215,10.262,11.961,8.607,9.627,12.834,9.628,9.687,10.588,9.358,8.723,13.628,10.475,10.148,10.087
TMIN,year,9.509,10.181,9.672,9.330,8.906,9.368,9.521,9.841,10.008,9.929,9.349,10.507,9.978,11.378,10.203,9.515,9.783,10.120,10.465,10.966,10.356,10.954,10.167,10.027,9.502,10.228,10.541,10.797,10.682,10.133
TMIN,MAMJJASO,13.632,13.835,13.582,12.485,12.855,13.114,13.123,13.317,13.404,13.098,13.212,13.936,13.869,14.826,13.551,13.004,12.710,13.861,14.558,14.304,14.286,14.134,14.187,13.473,13.352,13.710,13.814,13.969,14.238,13.645
TMIN,AMJJAS,14.953,15.695,15.764,13.968,14.834,15.331,15.453,15.300,15.216,14.561,15.013,15.939,15.770,16.932,15.462,14.978,14.718,16.003,16.516,16.026,15.517,16.042,16.724,15.102,15.494,15.676,15.754,15.901,16.381,15.917
TMIN,ONDJFM,1.968,3.830,5.168,3.475,3.285,3.841,2.787,5.563,4.303,4.676,4.631,3.925,4.330,5.689,5.231,3.808,5.000,4.961,3.939,4.214,7.162,4.519,4.339,4.215,4.196,3.991,6.708,4.466,5.161,4.834
TMIN,NDJF,-0.619,1.424,3.318,1.830,0.668,2.429,1.685,4.240,1.972,3.104,2.310,2.467,2.709,3.316,4.304,2.129,3.366,4.351,1.338,2.179,5.376,1.780,2.695,3.064,2.196,2.157,5.370,2.925,3.518,3.351
TAVG,year,14.149,14.517,14.565,13.573,13.690,13.901,13.989,14.501,14.464,14.855,13.802,15.367,14.711,15.844,14.465,13.742,14.411,14.784,14.901,16.138,15.034,15.443,15.237,14.420,13.899,14.896,15.477,15.550,15.443,14.444
TAVG,MAMJJASO,18.756,18.751,19.138,17.390,18.284,18.332,18.251,18.590,18.328,18.695,18.155,19.499,19.214,19.904,18.386,17.845,18.108,19.098,19.540,20.252,19.609,19.206,20.079,18.484,18.327,19.043,19.533,19.337,19.786,18.533
TAVG,AMJJAS,20.341,21.014,21.506,19.249,20.714,20.836,20.984,20.950,20.099,20.327,20.254,21.940,21.570,22.262,20.423,20.219,20.422,21.529,21.756,22.522,21.116,21.217,23.082,20.440,20.656,21.264,22.089,21.500,22.404,21.121
TAVG,ONDJFM,5.993,7.456,8.823,7.034,6.820,7.238,6.501,8.916,8.179,9.133,8.281,7.703,8.110,9.122,8.751,7.164,8.496,8.716,7.544,7.954,10.809,8.531,8.085,7.806,7.800,7.330,10.710,8.062,8.674,8.297
TAVG,NDJF,3.137,4.803,6.748,4.968,4.097,5.435,4.922,7.302,5.508,7.073,5.530,5.992,6.324,6.389,7.634,4.911,6.491,7.798,4.656,5.555,8.755,5.367,5.895,6.374,5.380,5.131,9.071,6.346,6.485,6.466
RH,year,68.287,69.915,65.835,70.698,68.363,69.920,68.674,67.442,68.628,65.034,66.854,65.221,66.033,66.874,68.645,68.606,65.926,67.041,69.238,63.519,66.246,70.227,64.040,70.321,69.266,68.811,66.744,68.254,68.208,71.631
RH,MAMJJASO,67.207,67.927,63.294,67.147,65.492,67.627,65.202,65.226,67.746,62.152,65.621,61.820,62.570,63.706,66.646,65.180,61.602,64.924,66.565,59.474,63.964,67.974,59.140,69.088,67.240,66.658,63.493,66.510,64.430,68.851
RH,AMJJAS,65.830,66.117,62.269,65.819,62.799,65.501,63.611,63.508,68.270,61.256,64.296,58.927,60.199,61.979,65.549,63.770,61.077,64.751,66.064,56.265,61.409,68.172,56.717,66.895,66.071,65.504,60.647,64.785,63.230,67.746
RH,ONDJFM,67.109,71.906,73.006,72.162,74.763,75.701,72.031,73.914,70.533,65.532,70.547,69.773,70.753,73.818,70.833,73.983,71.108,68.987,72.295,71.326,72.363,70.077,72.246,73.203,71.893,74.066,72.229,71.649,72.815,74.621
RH,NDJF,66.309,72.706,73.533,74.636,73.768,77.079,74.090,75.847,71.482,66.682,71.082,70.762,70.430,76.109,71.065,76.471,74.163,72.011,74.010,73.142,72.694,71.710,75.294,73.472,71.407,74.896,73.370,71.168,74.715,77.511
RHmin,year,50.835,53.136,48.214,54.205,51.055,52.548,52.037,50.137,51.081,48.024,50.377,48.993,49.623,50.240,51.961,52.769,49.621,49.970,52.187,46.536,49.305,52.652,46.500,52.780,51.876,50.866,49.202,50.238,50.561,54.285
RHmin,MAMJJASO,49.018,50.243,45.005,49.686,47.511,49.264,47.774,47.224,49.586,44.398,48.487,45.120,45.609,46.553,48.758,48.702,44.263,47.314,49.007,42.254,46.214,49.292,41.456,50.268,49.042,47.678,45.181,47.404,45.616,50.753
