Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,23.722,22.773,22.791,22.175,23.115,22.375,23.317,22.644,23.879,23.576,23.136,23.105,21.848,23.154,24.361,22.796,24.050,23.770,23.102,23.248,23.247,23.281,23.697,23.639,24.113,24.114,23.533,23.200,24.381,23.799
TMAX,MAMJJASO,26.361,26.071,25.842,25.338,26.609,25.666,26.738,25.694,27.271,27.211,26.878,26.369,24.677,26.254,27.926,26.291,27.544,26.838,26.408,26.506,26.733,26.309,27.577,27.125,28.237,28.016,26.820,26.260,28.309,27.882
TMAX,AMJJAS,27.947,27.871,26.822,27.159,28.162,27.213,29.064,26.888,28.573,29.098,29.369,28.372,26.523,27.407,29.178,27.922,28.106,27.973,28.289,27.863,28.599,27.757,29.721,29.355,30.211,30.231,28.409,27.934,29.391,30.356
TMAX,ONDJFM,17.239,19.414,17.478,17.894,17.374,17.865,18.276,17.577,18.880,19.170,16.819,17.792,17.705,17.383,19.183,18.425,19.740,19.528,18.604,18.453,17.947,18.402,18.160,17.663,17.944,17.439,18.453,19.279,18.397,18.167
TMAX,NDJF,16.447,18.151,15.517,16.497,15.766,15.588,16.286,16.263,17.009,16.893,15.169,16.121,16.720,15.641,17.488,16.231,16.758,17.162,17.013,16.638,16.327,16.460,16.146,16.458,16.004,15.417,16.773,17.806,15.795,15.929
TMIN,year,11.950,11.673,11.808,11.234,11.510,11.124,12.424,11.733,12.763,12.319,11.700,11.512,11.202,11.839,12.814,12.049,13.058,12.151,11.609,11.746,12.006,12.117,12.420,11.782,11.610,12.630,11.400,11.459,12.112,12.235
TMIN,MAMJJASO,14.160,13.594,13.819,13.111,13.504,13.226,14.633,13.617,14.680,14.656,14.144,13.654,13.246,13.811,14.679,14.069,15.062,14.339,14.305,13.787,14.445,13.920,14.860,14.127,14.618,15.319,13.700,13.576,14.291,14.566
TMIN,AMJJAS,15.048,14.884,14.724,14.387,14.702,14.082,15.959,14.626,15.575,15.701,15.417,14.937,14.407,14.328,15.633,15.201,15.784,15.500,15.352,14.989,14.922,14.531,15.996,15.366,15.692,16.243,14.949,14.826,15.001,15.931
TMIN,ONDJFM,6.477,9.262,8.018,8.557,8.440,8.274,8.403,8.993,8.721,10.396,8.257,7.603,8.327,8.362,9.472,10.033,9.331,10.478,7.521,8.038,9.620,8.495,9.485,8.751,7.178,8.101,9.368,8.309,7.612,9.287
TMIN,NDJF,4.888,8.605,6.744,7.924,7.887,7.267,6.832,8.453,7.364,9.448,6.594,6.431,7.515,7.204,8.348,9.037,8.182,9.392,6.077,6.426,8.609,6.631,7.961,7.987,5.201,6.133,8.182,7.318,6.127,7.960
TAVG,year,17.706,17.134,17.209,16.651,17.237,16.692,17.794,17.108,18.262,17.908,17.356,17.219,16.423,17.383,18.509,17.357,18.492,17.876,17.272,17.392,17.538,17.608,17.971,17.633,17.768,18.308,17.356,17.206,18.142,17.941
TAVG,MAMJJASO,20.113,19.718,19.725,19.156,19.957,19.363,20.618,19.539,20.908,20.885,20.431,19.907,18.846,19.923,21.220,20.096,21.249,20.495,20.304,20.035,20.520,20.013,21.126,20.520,21.308,21.579,20.116,19.803,21.208,21.151
TAVG,AMJJAS,21.348,21.245,20.624,20.708,21.310,20.556,22.426,20.645,22.008,22.344,22.295,21.526,20.334,20.751,22.321,21.471,21.886,21.648,21.775,21.313,21.696,21.049,22.758,22.221,22.832,23.139,21.517,21.264,22.103,23.055
