Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,19.070,18.865,18.736,18.784,19.439,19.100,18.844,19.201,19.194,19.838,18.165,18.894,19.571,20.249,18.805,18.367,18.739,19.395,19.813,19.738,19.896,19.336,19.387,19.336,18.466,18.734,19.599,19.674,19.351,19.722
TMAX,MAMJJASO,23.760,22.996,22.985,22.747,23.478,23.509,22.660,23.765,23.150,24.033,22.456,23.018,24.094,24.728,22.692,22.035,22.261,23.619,24.194,23.941,24.804,23.026,23.761,23.296,22.485,22.844,23.654,23.603,22.948,23.192
TMAX,AMJJAS,25.373,25.492,25.275,24.690,26.363,26.078,25.963,26.460,25.286,25.646,24.351,24.970,26.146,26.959,25.084,25.123,24.729,26.296,26.539,26.543,26.239,24.928,26.331,25.150,24.748,25.109,26.020,25.621,25.280,25.704
TMAX,ONDJFM,9.896,12.620,12.614,11.821,12.692,12.941,11.495,12.470,12.411,13.493,12.923,11.755,12.757,14.034,13.028,11.085,13.171,12.510,12.344,12.476,14.718,13.074,12.381,12.973,13.174,12.058,13.533,12.968,12.982,13.861
TMAX,NDJF,7.080,10.368,10.526,10.286,10.300,11.576,10.430,11.201,9.829,11.315,10.364,9.634,10.344,11.202,11.298,9.609,12.443,11.579,9.936,9.965,12.598,10.226,10.448,10.946,10.863,10.137,11.993,10.689,11.335,12.332
TMIN,year,8.560,8.629,8.336,8.728,8.788,8.667,8.766,8.689,8.433,8.869,8.205,8.257,8.487,9.703,8.695,8.869,8.455,8.841,9.004,8.243,8.913,8.923,9.074,8.938,9.012,9.053,9.463,9.589,9.739,10.011
TMIN,MAMJJASO,11.949,11.673,11.392,11.246,11.463,11.981,11.247,11.960,11.654,11.848,11.608,11.695,11.721,12.905,11.360,11.338,10.817,11.912,12.270,11.343,12.373,11.855,12.123,12.100,12.288,12.677,12.634,12.678,12.508,12.629
TMIN,AMJJAS,13.164,13.337,13.327,12.548,13.377,13.643,13.463,14.018,13.329,13.353,12.891,13.245,13.353,14.505,13.304,13.362,12.705,14.170,14.150,13.271,13.689,13.567,14.233,13.601,14.200,14.300,14.384,14.359,14.477,14.520
TMIN,ONDJFM,1.464,3.900,3.591,4.344,4.444,4.722,2.902,4.558,2.935,3.477,4.508,2.556,3.198,5.325,4.510,3.839,4.265,3.899,3.551,3.036,5.260,3.169,3.758,4.165,4.282,3.803,4.457,4.283,4.759,5.399
TMIN,NDJF,-0.319,2.236,1.859,3.503,2.818,3.941,2.111,3.665,0.753,2.106,2.733,0.647,1.176,3.908,2.945,3.209,3.679,3.620,1.882,1.597,3.645,1.164,2.973,2.533,2.656,2.118,2.736,2.372,3.874,4.391
TAVG,year,13.738,13.593,13.356,13.651,14.076,13.882,13.629,13.874,13.658,14.170,13.033,13.498,13.859,14.905,13.713,13.589,13.531,14.485,14.708,14.268,14.794,14.370,14.532,14.398,13.976,14.026,14.839,14.780,14.657,15.062
TAVG,MAMJJASO,17.773,17.175,17.018,16.907,17.476,17.786,16.754,17.806,17.246,17.737,16.867,17.246,17.720,18.798,17.024,16.691,16.495,18.367,18.756,18.199,19.236,17.904,18.503,18.164,17.776,18.098,18.632,18.457,17.955,18.237
TAVG,AMJJAS,19.235,19.266,19.117,18.543,19.885,19.898,19.534,20.202,19.176,19.331,18.493,19.005,19.612,20.796,19.199,19.272,18.689,21.012,21.034,20.673,20.796,19.871,21.011,20.003,19.939,20.143,20.815,20.444,20.155,20.560
TAVG,ONDJFM,5.553,8.167,7.856,7.960,8.435,8.812,7.082,8.308,7.580,8.309,8.517,7.101,7.779,9.490,8.601,7.454,8.564,8.180,7.859,7.638,9.773,8.032,7.953,8.490,8.652,7.838,8.981,8.499,8.774,9.571
TAVG,NDJF,3.341,6.226,5.939,6.762,6.419,7.682,6.160,7.244,5.245,6.518,6.430,5.114,5.616,7.452,6.929,6.404,7.848,7.571,5.749,5.597,7.832,5.515,6.548,6.564,6.596,5.945,7.279,6.339,7.484,8.225
RH,year,69.564,70.751,69.894,71.104,68.045,68.576,69.211,67.752,66.727,66.070,70.464,65.688,65.196,67.645,68.773,70.566,67.948,68.040,69.319,64.981,64.830,69.885,67.318,68.079,67.469,67.369,64.602,68.255,70.505,70.118
RH,MAMJJASO,65.723,68.137,66.333,66.747,63.461,64.020,64.422,62.277,63.508,61.199,67.924,62.945,60.295,62.101,63.697,65.411,62.551,63.286,64.953,59.172,58.847,65.565,61.262,64.443,64.787,64.270,60.115,65.030,67.108,67.893
RH,AMJJAS,63.130,65.965,65.027,64.336,60.232,60.394,60.574,60.002,61.448,59.620,65.835,60.991,58.003,58.608,62.041,61.578,60.929,61.042,62.261,55.398,57.404,63.732,58.836,61.588,62.998,61.977,57.546,63.204,65.487,65.952
RH,ONDJFM,76.501,74.792,75.076,78.719,75.955,77.295,75.052,78.217,72.090,70.267,77.380,70.966,70.930,76.442,76.410,76.957,75.811,75.920,75.680,74.677,75.350,71.797,76.727,75.520,73.988,72.111,72.202,72.418,74.351,74.678
RH,NDJF,77.189,75.668,76.445,80.881,76.877,79.716,76.090,80.065,73.993,73.683,79.014,71.930,71.649,80.678,77.978,79.715,78.729,79.990,76.905,77.460,78.378,75.144,80.464,77.745,74.828,73.513,73.288,74.715,75.615,76.540
