Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,7.066,8.109,8.264,8.056,6.111,7.363,6.548,8.069,9.300,9.186,8.366,8.685,7.867,8.189,8.021,7.676,8.798,7.580,8.532,9.221,8.159,8.972,9.134,8.733,9.182,9.576,9.122,9.082,8.506,7.019
TMAX,MAMJJASO,12.120,12.623,12.657,12.518,11.969,12.407,11.288,12.673,13.272,13.355,12.485,12.438,12.013,13.018,12.667,12.535,13.277,11.765,13.205,13.161,12.644,14.219,13.734,13.235,13.420,13.837,13.849,13.008,13.299,13.009
TMAX,AMJJAS,15.155,15.106,15.294,15.268,14.250,14.687,13.588,15.766,15.724,15.524,14.930,15.397,14.485,15.857,14.887,14.941,16.126,14.208,15.896,15.380,15.336,17.686,16.423,15.844,15.954,17.284,15.921,15.669,16.439,15.776
TMAX,ONDJFM,-1.963,-0.613,1.727,0.306,-0.967,-0.720,-0.819,0.873,2.421,2.569,1.528,3.062,1.399,-0.483,1.915,0.171,1.512,1.177,0.239,2.221,1.780,2.127,-0.012,1.451,1.875,1.476,2.886,2.672,1.223,-0.523
TMAX,NDJF,-2.798,-3.511,0.198,-1.698,-3.732,-4.417,-3.288,-0.997,0.665,0.519,-0.667,1.646,0.392,-2.906,0.419,-2.778,-0.852,-0.327,-2.034,0.402,0.091,-0.159,-2.410,-0.391,0.422,-0.208,0.719,1.208,-0.845,-2.839
TMIN,year,-1.363,-0.033,0.216,0.418,-1.964,-0.678,-1.199,0.158,1.275,1.482,0.752,0.856,0.081,-0.176,0.143,-0.484,0.602,0.306,0.614,1.645,0.336,0.615,0.649,0.625,0.906,1.214,1.055,1.088,0.647,-1.123
TMIN,MAMJJASO,3.107,3.899,4.282,3.987,3.583,3.829,3.153,3.944,4.382,4.690,4.216,3.764,3.303,3.779,4.166,3.653,4.055,3.802,4.464,4.611,4.054,4.779,4.595,4.473,4.029,4.323,4.875,3.995,4.337,4.114
TMIN,AMJJAS,5.621,5.489,6.338,6.259,5.353,5.377,5.088,6.395,6.065,6.358,5.982,6.021,5.282,5.911,5.678,5.473,6.170,5.973,6.362,6.271,6.408,7.468,6.731,6.473,6.393,7.220,6.563,5.960,6.715,6.431
TMIN,ONDJFM,-10.348,-7.443,-5.080,-6.758,-7.266,-7.937,-7.964,-4.808,-4.445,-3.809,-4.795,-3.175,-5.236,-7.049,-4.248,-6.892,-5.328,-5.091,-5.817,-4.560,-4.125,-4.605,-6.810,-5.521,-5.138,-5.472,-3.692,-3.538,-5.155,-6.895
TMIN,NDJF,-10.604,-10.736,-6.800,-8.500,-10.308,-11.742,-10.243,-6.507,-6.195,-5.449,-6.875,-4.601,-5.818,-9.170,-5.716,-9.533,-7.710,-6.025,-8.017,-6.058,-5.180,-6.562,-9.271,-6.987,-6.095,-6.271,-5.478,-4.449,-7.091,-8.588
TAVG,year,2.880,4.070,4.251,4.260,2.066,3.329,2.639,4.142,5.308,5.329,4.539,4.785,3.938,4.021,4.041,3.567,4.733,3.883,4.570,5.383,4.219,4.811,4.864,4.645,5.011,5.382,5.061,5.113,4.551,2.911
TAVG,MAMJJASO,7.581,8.228,8.421,8.221,7.709,8.035,7.121,8.280,8.791,8.957,8.261,8.069,7.569,8.383,8.307,8.000,8.663,7.653,8.782,8.769,8.289,9.461,9.081,8.755,8.626,9.019,9.260,8.471,8.756,8.438
TAVG,AMJJAS,10.341,10.262,10.735,10.710,9.741,9.933,9.225,11.059,10.867,10.874,10.364,10.679,9.774,10.874,10.150,10.117,11.168,9.953,11.072,10.662,10.800,12.546,11.511,11.072,11.090,12.214,11.171,10.783,11.519,10.968
TAVG,ONDJFM,-6.024,-3.949,-1.571,-3.103,-4.053,-4.254,-4.358,-1.900,-0.932,-0.551,-1.612,-0.001,-1.850,-3.723,-1.113,-3.335,-1.854,-1.942,-2.732,-1.122,-1.139,-1.183,-3.387,-2.018,-1.609,-1.995,-0.386,-0.381,-1.919,-3.665
TAVG,NDJF,-6.554,-6.972,-3.144,-4.950,-6.918,-7.921,-6.677,-3.652,-2.601,-2.338,-3.692,-1.363,-2.604,-5.966,-2.526,-6.075,-4.162,-3.101,-4.919,-2.738,-2.500,-3.247,-5.753,-3.588,-2.742,-3.164,-2.260,-1.498,-3.885,-5.593
RH,year,80.308,80.725,80.625,80.710,80.246,78.336,78.220,78.601,78.241,77.504,78.591,77.386,79.076,76.312,77.938,79.027,76.966,81.166,80.140,80.597,79.858,79.019,78.638,79.866,79.655,79.428,79.882,80.546,80.657,80.667
RH,MAMJJASO,79.468,79.296,79.966,79.362,79.606,77.656,77.639,77.843,76.900,75.458,78.094,75.832,78.031,73.729,76.209,77.249,73.975,80.016,78.561,78.638,78.668,76.941,76.768,78.328,77.324,77.436,77.489,78.397,78.211,79.133
RH,AMJJAS,78.473,77.884,79.129,78.645,78.714,76.130,76.767,76.788,74.944,74.558,75.867,74.172,77.279,71.885,74.625,75.793,72.479,79.211,76.329,77.882,77.030,75.420,75.722,76.375,76.179,75.682,75.942,76.256,76.057,78.114
RH,ONDJFM,79.665,83.337,82.987,81.958,82.854,81.575,78.960,81.635,80.377,80.180,81.169,80.800,80.088,81.674,80.901,81.495,80.806,83.009,84.792,81.000,84.690,83.058,81.364,82.963,82.821,82.559,84.367,84.682,84.820,84.660
RH,NDJF,80.404,82.798,82.866,82.520,82.765,81.189,77.768,81.839,79.491,81.503,80.108,79.751,80.596,82.389,81.538,81.968,81.452,84.362,84.132,82.104,85.146,82.715,82.125,83.433,83.121,83.427,84.601,85.351,84.662,85.404
RHmin,year,61.699,62.856,62.789,63.899,62.035,60.915,61.230,61.680,61.376,61.189,62.045,61.069,62.057,59.165,60.898,61.332,60.181,64.689,63.002,63.972,62.758,61.473,60.613,62.208,61.801,61.798,62.511,63.444,63.549,62.444
RHmin,MAMJJASO,60.359,60.929,62.050,61.305,61.480,59.683,60.319,59.841,58.963,57.923,60.626,58.595,59.664,56.027,58.702,58.847,56.151,62.542,60.525,60.600,60.745,58.107,58.178,60.080,57.995,58.403,59.103,59.974,59.757,60.137
RHmin,AMJJAS,58.877,58.374,60.493,60.073,60.037,57.249,59.101,58.193,56.349,56.590,57.803,56.473,58.424,53.674,56.318,56.897,54.089,61.665,57.565,58.971,59.050,55.896,56.706,57.703,57.170,56.558,57.500,57.337,56.978,58.746
RHmin,ONDJFM,60.280,66.482,66.615,65.212,67.330,64.256,62.426,67.862,64.377,65.304,65.960,65.956,64.571,65.820,66.216,64.503,64.803,67.782,69.654,65.131,70.247,66.963,65.326,66.089,66.084,65.842,68.444,69.472,68.964,68.895
RHmin,NDJF,61.893,65.094,66.149,66.047,66.436,63.635,61.724,68.312,63.800,67.200,65.347,65.117,65.943,66.924,66.816,65.406,65.248,70.294,69.217,66.608,71.797,67.327,65.800,67.379,67.293,68.407,69.465,71.344,69.072,70.876
PREC,year,730.288,626.217,696.093,697.458,772.644,695.062,749.836,723.956,639.551,735.802,650.037,723.365,745.600,617.925,677.128,607.884,630.678,846.007,736.836,890.797,778.070,629.340,639.780,714.315,706.187,762.036,711.289,763.166,713.706,698.356
PREC,MAMJJASO,522.633,440.671,525.913,509.548,582.481,496.499,570.127,500.880,443.201,487.637,477.219,517.631,529.456,428.363,508.647,442.394,433.040,652.604,495.838,617.219,597.114,431.708,462.947,538.758,496.852,529.053,476.968,518.643,506.650,526.045
PREC,AMJJAS,359.265,344.558,395.506,361.389,483.387,389.758,468.556,404.929,338.219,391.373,381.049,418.489,429.118,313.804,390.404,357.206,343.007,508.570,395.652,475.392,493.587,330.189,388.475,436.158,429.017,379.702,412.023,383.806,421.408,436.923
PREC,ONDJFM,138.289,337.435,300.879,298.207,323.657,299.576,297.047,361.321,293.158,331.475,269.567,263.827,307.505,340.646,337.179,156.168,334.728,314.688,338.757,311.403,409.191,339.333,214.727,278.747,284.595,252.201,427.019,337.126,304.682,304.467
PREC,NDJF,76.880,188.699,202.813,191.053,155.300,192.434,202.232,257.189,184.190,245.771,162.212,172.273,226.561,210.912,217.219,82.919,224.966,228.915,187.954,220.053,269.313,222.356,135.201,187.572,199.687,174.404,275.757,253.869,191.695,210.220
SRAD,year,2744.070,3073.740,2709.580,2794.648,2968.622,3046.603,2902.935,3133.063,3179.642,3119.508,3057.886,3186.772,3112.728,3264.605,3118.992,3142.507,3313.386,2831.112,3152.054,2997.419,3077.539,3318.755,3275.433,3177.596,3244.654,3288.611,3188.037,3268.696,3239.160,3122.081
SRAD,MAMJJASO,2609.248,2941.583,2566.105,2673.918,2827.767,2891.871,2741.569,3004.495,3033.368,2994.897,2908.833,3044.976,2970.097,3111.642,2978.789,2998.965,3181.613,2698.310,3020.460,2870.609,2920.307,3185.635,3127.160,3020.479,3097.631,3144.238,3050.806,3132.328,3115.725,2992.532
SRAD,AMJJAS,2339.007,2664.297,2307.482,2375.375,2552.458,2617.196,2428.713,2709.449,2742.679,2665.565,2625.591,2753.679,2637.782,2791.369,2683.377,2654.337,2837.868,2379.225,2729.905,2553.949,2595.354,2856.404,2766.251,2693.893,2716.551,2814.920,2690.726,2808.865,2794.755,2663.153
SRAD,ONDJFM,277.772,405.305,398.182,437.049,380.964,435.697,484.039,393.497,444.160,463.426,439.350,426.054,481.122,461.552,437.724,507.161,470.000,454.877,414.633,477.530,449.485,469.812,486.774,482.823,518.700,512.613,464.382,472.940,445.504,458.196
