Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,14.263,15.388,15.467,13.972,13.762,14.334,13.457,15.079,16.033,15.854,14.807,15.737,14.728,15.958,15.134,13.422,15.374,15.130,15.859,16.127,15.213,15.686,16.344,15.219,15.512,16.083,16.167,15.858,15.632,14.118
TMAX,MAMJJASO,18.970,19.917,19.889,17.827,18.611,18.805,17.815,18.915,20.177,19.838,19.246,19.961,19.061,19.960,19.675,18.087,19.785,19.188,20.394,20.076,19.578,19.775,21.186,19.579,20.164,20.637,20.317,19.692,20.294,19.298
TMAX,AMJJAS,21.020,22.277,22.300,19.682,20.933,20.920,20.261,21.395,21.818,21.351,21.113,22.822,21.485,22.216,21.658,20.404,22.022,21.475,22.734,22.300,21.345,22.065,24.171,21.689,22.207,23.211,22.572,22.104,23.158,21.623
TMAX,ONDJFM,6.575,7.312,9.027,7.911,7.011,6.970,7.084,8.726,9.850,10.758,8.829,8.710,8.283,8.313,9.527,6.676,8.250,9.530,8.158,8.997,9.545,9.937,8.297,8.499,8.469,7.768,11.677,9.203,7.975,7.652
TMAX,NDJF,3.633,4.835,7.117,5.882,4.313,4.297,5.119,7.230,7.448,8.359,5.647,6.647,6.760,6.023,8.308,3.569,5.369,7.887,5.845,6.957,7.742,7.006,5.710,7.138,6.056,5.080,9.593,7.684,5.624,5.359
TMIN,year,6.261,6.632,6.810,6.168,5.408,5.841,5.663,7.083,7.031,7.071,6.035,7.047,6.317,7.489,6.693,5.299,6.508,7.025,7.307,7.716,6.952,7.358,6.554,6.626,6.506,7.064,7.235,6.940,6.509,5.433
TMIN,MAMJJASO,9.726,9.708,9.948,8.728,9.070,9.063,8.722,9.556,9.778,9.531,9.035,9.726,9.244,10.036,9.850,8.544,9.341,9.978,10.293,10.339,10.096,10.146,9.700,9.417,9.423,10.084,9.666,9.387,9.531,8.931
TMIN,AMJJAS,11.074,11.279,11.581,10.223,10.727,10.598,10.770,11.126,10.968,10.711,10.433,11.718,11.081,11.798,11.330,10.249,10.934,11.582,12.007,11.664,11.228,11.993,11.986,10.956,11.004,11.901,11.422,11.019,11.334,10.724
TMIN,ONDJFM,0.290,0.808,2.975,1.314,0.686,0.531,0.431,3.137,3.377,3.295,2.138,2.128,1.743,2.335,2.773,0.459,1.770,2.727,2.175,2.828,3.311,3.037,1.424,1.787,1.983,1.123,4.488,2.554,1.594,1.256
TMIN,NDJF,-1.976,-1.001,1.611,0.130,-1.594,-1.367,-0.691,2.388,1.936,1.714,0.185,1.035,1.069,0.741,2.552,-1.736,-0.150,1.918,0.460,1.530,1.923,1.101,-0.094,1.304,0.660,-0.430,3.542,1.784,0.032,-0.067
TAVG,year,10.126,10.828,10.998,9.869,9.392,9.937,9.377,10.926,11.342,11.283,10.311,11.274,10.361,11.580,10.773,9.200,10.757,10.899,11.423,11.737,10.958,11.384,11.345,10.846,10.960,11.539,11.688,11.379,11.086,9.838
TAVG,MAMJJASO,14.136,14.601,14.733,13.028,13.561,13.717,13.000,14.043,14.787,14.471,14.015,14.707,13.940,14.811,14.564,13.111,14.306,14.373,15.127,14.974,14.669,14.779,15.339,14.382,14.698,15.305,14.959,14.509,14.906,14.121
TAVG,AMJJAS,15.834,16.620,16.777,14.742,15.585,15.581,15.240,16.082,16.274,15.887,15.725,17.198,16.116,16.886,16.363,15.192,16.293,16.312,17.213,16.776,16.174,16.860,18.049,16.231,16.566,17.528,17.003,16.559,17.240,16.226
TAVG,ONDJFM,3.368,3.914,5.878,4.449,3.693,3.630,3.630,5.796,6.446,6.751,5.314,5.245,4.849,5.178,6.000,3.386,4.829,5.930,5.047,5.768,6.254,6.346,4.734,5.026,5.182,4.387,8.036,5.831,4.792,4.515
TAVG,NDJF,0.828,1.870,4.315,2.924,1.285,1.478,2.173,4.723,4.607,4.822,2.865,3.762,3.838,3.312,5.425,0.862,2.552,4.783,3.120,4.194,4.722,4.037,2.744,4.154,3.368,2.365,6.595,4.717,2.884,2.755
RH,year,79.605,77.064,76.965,79.071,78.539,78.274,80.187,78.343,76.795,76.341,76.386,76.590,78.087,77.763,78.398,78.740,77.215,78.601,78.234,78.898,79.956,79.469,74.671,78.614,78.547,77.784,78.114,77.769,78.682,79.561
RH,MAMJJASO,76.764,73.526,73.779,76.206,76.197,75.721,77.322,74.999,72.985,72.560,73.208,72.289,74.695,74.230,75.242,75.759,73.506,76.097,74.463,75.924,76.922,76.525,69.747,74.954,74.674,73.954,74.480,74.541,74.784,75.323
RH,AMJJAS,75.038,71.126,71.793,75.372,74.226,73.909,76.648,72.183,71.230,71.148,71.195,69.461,73.234,72.535,73.337,73.993,71.560,74.896,72.288,73.523,74.518,75.465,67.093,73.386,72.911,71.397,72.753,72.268,72.068,73.902
RH,ONDJFM,82.906,83.400,83.269,81.484,83.303,82.736,83.087,84.663,83.707,80.692,81.892,83.062,82.429,83.830,82.751,83.662,83.740,81.257,84.598,84.319,84.689,83.367,83.436,82.892,84.223,85.326,82.597,82.775,85.899,84.643
RH,NDJF,84.599,85.068,83.673,83.998,83.692,83.542,84.875,85.839,85.883,82.165,83.615,85.099,84.546,85.071,85.009,84.995,84.715,83.444,85.878,85.580,85.115,85.087,86.095,84.606,86.409,87.218,84.684,83.872,87.282,86.901
RHmin,year,62.725,59.414,59.686,62.473,60.951,60.689,63.264,61.876,58.826,59.050,58.977,59.550,60.879,60.659,61.164,61.770,59.416,61.746,60.836,61.464,62.696,62.215,56.516,61.301,60.724,60.185,60.770,60.298,60.867,62.542
RHmin,MAMJJASO,58.288,54.346,55.186,57.935,57.062,56.617,58.468,56.921,53.821,53.548,54.233,53.712,55.836,55.402,56.358,57.011,53.727,58.011,55.213,56.937,58.285,57.707,50.317,55.790,54.787,54.837,55.169,55.567,55.255,56.309
RHmin,AMJJAS,55.922,51.616,52.778,57.117,54.705,54.575,57.517,53.475,52.143,52.322,52.435,50.650,54.114,53.817,54.587,55.203,51.699,56.072,52.999,53.899,55.774,56.405,47.814,53.945,53.173,52.095,53.477,52.951,51.730,54.850
RHmin,ONDJFM,67.958,67.650,68.675,65.865,67.801,67.379,67.185,70.720,68.280,63.690,66.290,67.314,66.911,69.221,66.828,68.323,68.039,65.550,69.898,69.203,69.133,67.283,67.453,67.039,68.893,69.382,66.428,67.374,70.537,69.817
RHmin,NDJF,70.601,70.472,70.282,69.666,69.091,69.719,70.533,73.329,71.939,66.244,70.230,71.042,70.428,71.765,71.048,71.530,70.981,69.068,72.257,71.960,70.455,70.732,71.537,70.161,72.769,73.353,70.258,69.795,73.266,73.611
PREC,year,1001.057,705.575,792.789,827.027,730.100,892.173,876.647,862.755,685.955,794.627,636.045,795.421,889.559,899.081,875.758,676.056,711.727,920.499,837.783,812.846,922.781,1033.330,592.037,805.692,777.713,748.122,966.361,767.969,799.037,867.131
PREC,MAMJJASO,692.630,476.262,531.976,572.202,509.660,608.684,630.549,541.557,481.808,486.164,411.031,556.246,576.909,625.498,585.215,497.380,494.097,716.283,502.909,583.632,634.525,681.481,405.006,531.891,529.043,566.183,647.135,560.162,533.486,590.658
PREC,AMJJAS,463.863,343.878,427.123,493.418,447.561,442.736,519.933,355.574,370.118,409.592,345.135,375.902,490.593,469.696,473.287,398.817,384.876,478.552,411.919,427.662,483.987,503.642,304.382,445.802,448.428,424.130,569.917,402.811,382.562,507.684
PREC,ONDJFM,225.280,455.521,421.468,343.053,283.789,349.095,425.694,476.743,333.654,369.085,314.677,362.645,380.602,493.044,475.480,200.047,345.366,340.241,496.059,450.147,376.333,441.684,425.859,357.400,342.471,316.639,388.027,371.523,327.228,393.039
PREC,NDJF,125.031,281.865,272.025,279.542,178.723,260.019,273.258,291.510,233.315,278.736,231.136,233.305,281.726,322.148,335.887,152.685,221.633,206.719,277.034,311.119,212.807,336.985,279.739,251.164,250.494,192.655,276.215,265.239,178.955,266.063
