Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,6.904,7.949,8.220,8.033,6.633,7.322,6.790,8.133,9.084,9.208,8.513,8.716,7.839,8.029,8.078,7.656,8.807,7.863,8.585,9.071,8.068,8.849,9.183,8.972,9.184,9.604,9.089,9.149,8.655,7.104
TMAX,MAMJJASO,11.379,12.035,12.051,11.952,11.591,11.738,10.921,12.092,12.500,12.882,12.269,12.084,11.544,12.250,12.184,12.152,12.875,11.547,12.606,12.545,12.171,13.609,13.181,12.999,12.831,13.309,13.342,12.776,13.003,12.595
TMAX,AMJJAS,14.052,14.314,14.354,14.403,13.600,13.803,13.090,14.923,14.650,14.916,14.476,14.807,13.811,14.819,14.267,14.366,15.505,13.865,15.031,14.525,14.559,16.733,15.691,15.369,14.978,16.383,15.173,15.306,15.769,14.999
TMAX,ONDJFM,-1.181,0.143,2.207,1.084,0.727,0.206,0.316,1.672,3.058,3.331,2.333,3.569,2.202,0.231,2.426,0.949,1.917,2.089,1.330,2.899,2.248,2.745,0.866,2.370,2.948,2.447,3.671,3.159,2.169,0.324
TMAX,NDJF,-1.915,-2.394,0.761,-0.609,-1.441,-3.056,-1.577,0.088,1.664,1.671,0.346,2.413,1.377,-1.935,1.258,-1.615,-0.309,0.814,-0.416,1.416,0.608,0.678,-1.218,0.808,1.707,1.055,1.786,1.765,0.296,-1.940
TMIN,year,-0.277,1.022,1.359,1.464,-0.294,0.377,0.075,1.287,2.211,2.449,1.706,1.705,0.859,0.930,1.113,0.442,1.653,1.364,1.723,2.502,1.099,1.674,1.799,1.863,2.059,2.424,1.927,1.866,1.621,-0.278
TMIN,MAMJJASO,3.773,4.506,4.797,4.569,4.231,4.333,3.786,4.492,4.823,5.185,4.803,4.334,3.728,4.413,4.614,4.161,4.751,4.408,5.096,5.203,4.490,5.565,5.113,5.279,4.807,5.144,5.365,4.588,5.047,4.500
TMIN,AMJJAS,5.959,5.923,6.570,6.625,5.783,5.694,5.526,6.758,6.256,6.633,6.327,6.322,5.524,6.357,6.024,5.823,6.749,6.399,6.831,6.640,6.588,8.024,7.139,7.052,6.757,7.766,6.853,6.481,7.188,6.459
TMIN,ONDJFM,-8.227,-5.595,-3.475,-4.733,-4.659,-5.901,-5.721,-3.366,-2.533,-1.940,-3.148,-1.831,-3.635,-5.530,-2.949,-5.061,-3.979,-3.314,-3.974,-2.936,-3.142,-3.095,-4.960,-3.654,-3.039,-3.543,-2.030,-2.595,-3.556,-5.514
TMIN,NDJF,-8.829,-8.354,-5.128,-6.218,-6.764,-9.332,-7.510,-4.716,-3.905,-3.313,-5.038,-3.030,-4.080,-7.588,-4.056,-7.316,-6.133,-4.116,-5.669,-4.266,-4.218,-4.953,-6.998,-4.866,-3.926,-4.127,-3.614,-3.531,-5.304,-7.289
TAVG,year,3.157,4.370,4.636,4.589,2.995,3.658,3.244,4.572,5.494,5.662,4.903,5.066,4.166,4.315,4.382,3.868,5.094,4.422,4.973,5.579,4.428,5.139,5.296,5.255,5.452,5.819,5.319,5.347,4.929,3.206
TAVG,MAMJJASO,7.324,8.066,8.188,8.001,7.631,7.748,7.072,8.054,8.415,8.772,8.217,7.977,7.347,8.075,8.078,7.842,8.582,7.662,8.577,8.548,8.064,9.339,8.853,8.872,8.502,8.939,9.063,8.413,8.718,8.219
TAVG,AMJJAS,9.724,9.882,10.185,10.221,9.401,9.409,8.977,10.556,10.163,10.480,10.062,10.305,9.335,10.270,9.753,9.731,10.869,9.770,10.621,10.197,10.247,12.096,11.111,10.923,10.511,11.774,10.718,10.584,11.147,10.359
TAVG,ONDJFM,-4.772,-2.732,-0.650,-1.841,-1.998,-2.894,-2.772,-0.847,0.266,0.673,-0.489,0.804,-0.725,-2.664,-0.296,-2.047,-1.054,-0.646,-1.339,-0.055,-0.481,-0.108,-2.096,-0.711,-0.001,-0.639,0.745,0.241,-0.752,-2.657
TAVG,NDJF,-5.393,-5.313,-2.139,-3.372,-4.070,-6.147,-4.572,-2.273,-1.051,-0.786,-2.344,-0.308,-1.294,-4.727,-1.376,-4.399,-3.163,-1.622,-2.978,-1.383,-1.802,-1.977,-4.084,-1.998,-0.969,-1.536,-0.900,-0.836,-2.496,-4.594
RH,year,77.999,77.679,77.979,78.424,78.423,77.478,77.884,77.798,77.295,77.501,78.227,77.894,78.157,78.097,78.518,78.721,78.146,80.442,80.253,81.128,80.073,79.625,78.754,77.973,77.927,77.978,77.854,77.480,77.727,77.737
RH,MAMJJASO,77.564,75.509,76.944,76.917,77.221,76.565,76.659,75.995,75.771,75.026,77.003,75.765,76.470,75.420,76.822,76.560,75.526,79.405,78.913,79.655,79.242,77.802,77.021,76.093,76.281,75.911,75.791,75.452,75.810,76.889
RH,AMJJAS,76.339,73.582,76.079,76.325,76.430,74.988,76.077,74.741,73.832,73.782,74.843,74.156,75.591,73.874,75.448,75.485,74.424,78.846,77.388,79.116,78.154,77.249,75.839,74.797,75.191,74.686,74.726,73.876,74.338,75.431
