Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,13.963,14.995,15.472,13.843,12.914,13.970,12.817,14.481,15.755,15.578,14.284,15.309,14.113,15.247,14.594,12.993,14.212,14.502,15.420,16.151,14.573,15.700,15.182,14.713,15.085,15.488,15.861,15.886,15.093,14.043
TMAX,MAMJJASO,19.116,20.003,20.417,18.442,18.422,19.068,17.675,19.089,20.195,19.769,19.040,20.135,18.857,19.915,19.793,18.185,18.849,19.182,20.504,20.600,19.560,20.801,20.195,19.592,20.069,20.633,20.790,20.075,20.040,19.631
TMAX,AMJJAS,21.363,22.347,23.099,20.648,21.009,21.488,20.414,21.903,22.221,21.409,21.319,23.244,21.557,22.673,22.052,21.003,21.475,21.944,23.127,22.811,21.723,23.719,23.517,21.830,22.827,23.622,23.214,22.462,23.318,22.379
TMAX,ONDJFM,5.113,6.358,8.535,6.844,5.101,5.817,5.368,7.531,8.658,9.787,7.701,7.622,6.734,7.134,7.940,4.401,7.165,7.837,6.638,7.561,9.123,8.581,5.829,6.925,7.548,6.029,10.596,8.085,7.653,6.294
TMAX,NDJF,2.393,3.236,6.296,4.637,1.551,2.929,3.193,5.835,6.056,7.175,4.693,5.379,5.231,4.468,6.337,1.090,4.293,6.477,3.706,5.388,6.750,5.420,3.115,5.163,5.419,3.208,8.063,6.101,5.283,3.810
TMIN,year,5.744,5.763,6.371,5.844,4.875,5.212,4.550,6.054,6.699,6.567,5.628,6.158,5.467,6.332,5.760,4.743,5.723,6.095,6.537,6.958,6.203,6.536,5.684,6.007,5.683,6.126,6.843,6.899,6.115,5.364
TMIN,MAMJJASO,9.386,8.990,9.754,8.971,9.175,8.816,8.063,8.972,9.530,9.006,8.845,9.066,8.679,9.309,9.403,8.467,8.777,9.419,9.826,9.664,9.835,10.127,8.981,9.198,8.648,9.584,9.884,9.474,9.337,9.459
TMIN,AMJJAS,10.931,10.614,11.419,10.616,10.929,10.691,10.352,11.124,10.816,10.337,10.488,11.151,10.581,11.218,11.032,10.529,10.709,11.443,11.632,11.004,11.444,12.198,11.387,10.673,10.780,11.799,11.683,11.049,11.231,11.902
TMIN,ONDJFM,-1.078,0.117,2.089,0.507,-1.039,-0.383,-1.556,1.925,1.768,2.780,1.213,1.232,0.503,1.027,1.419,-1.959,0.646,1.574,0.478,1.618,2.368,1.635,-0.965,0.664,1.239,-0.816,3.366,1.870,1.560,-0.023
TMIN,NDJF,-2.833,-2.105,0.740,-0.893,-4.152,-2.526,-2.874,1.289,0.559,1.006,-0.468,0.080,-0.272,-0.749,0.620,-4.342,-1.187,1.007,-1.587,0.178,0.999,-0.538,-2.932,-0.415,0.242,-2.387,2.221,0.781,-0.040,-1.732
TAVG,year,9.721,10.229,10.836,9.656,8.716,9.436,8.499,10.164,11.159,10.964,9.836,10.688,9.729,10.769,10.105,8.632,9.748,10.074,10.790,11.343,10.173,10.897,10.217,10.167,10.161,10.595,11.144,11.195,10.393,9.509
TAVG,MAMJJASO,14.029,14.341,14.963,13.485,13.559,13.745,12.622,13.892,14.783,14.265,13.785,14.556,13.677,14.621,14.507,13.087,13.574,14.069,14.954,14.901,14.452,15.235,14.379,14.161,14.112,14.913,15.106,14.591,14.456,14.313
TAVG,AMJJAS,15.966,16.427,17.172,15.459,15.757,15.965,15.173,16.431,16.517,15.848,15.822,17.268,16.044,17.060,16.569,15.584,15.936,16.509,17.259,16.769,16.420,17.801,17.334,16.097,16.669,17.619,17.293,16.694,17.082,16.975
TAVG,ONDJFM,1.905,3.068,5.179,3.542,1.829,2.576,1.722,4.581,5.044,6.141,4.277,4.266,3.496,3.960,4.528,1.018,3.572,4.432,3.304,4.372,5.414,4.831,2.142,3.548,4.125,2.273,6.661,4.692,4.322,2.891
TAVG,NDJF,-0.203,0.518,3.475,1.833,-1.428,0.165,0.048,3.515,3.256,4.017,2.073,2.702,2.445,1.820,3.444,-1.748,1.329,3.534,0.890,2.664,3.654,2.296,-0.121,2.203,2.665,0.197,4.949,3.244,2.445,0.872
RH,year,80.493,78.057,78.036,80.306,81.189,79.305,80.557,79.644,79.130,79.221,81.243,78.501,80.129,79.679,80.629,82.214,81.682,81.690,81.111,79.874,82.422,79.287,79.030,79.782,78.765,78.778,79.711,79.635,81.219,81.887
RH,MAMJJASO,77.818,74.420,74.612,77.948,79.400,76.381,77.737,76.376,75.736,75.863,78.802,74.153,77.457,76.342,77.755,79.861,78.563,79.007,77.710,75.966,80.104,76.031,75.077,76.072,74.695,74.716,76.023,76.252,77.779,79.098
RH,AMJJAS,76.501,72.884,72.634,77.279,77.468,75.264,77.165,74.821,74.345,75.356,77.463,71.272,75.607,74.367,75.840,78.252,77.036,77.648,75.841,73.858,78.477,74.035,72.472,73.854,72.513,71.825,73.960,73.824,74.740,78.335
RH,ONDJFM,82.931,83.852,84.029,82.847,84.087,84.394,83.252,85.579,82.831,82.954,84.922,85.358,85.192,84.965,84.947,86.109,85.975,86.288,86.359,86.295,86.154,84.894,85.101,85.931,85.322,85.807,84.533,85.897,87.335,86.427
RH,NDJF,84.653,86.098,85.334,84.770,84.545,85.365,85.029,87.643,85.714,85.002,86.690,87.239,86.279,86.208,86.285,87.085,87.227,87.825,88.017,87.292,88.164,86.303,86.239,87.121,86.931,87.380,86.776,86.954,88.279,87.414
RHmin,year,62.955,59.398,59.878,62.969,63.449,60.970,62.472,62.181,60.798,60.984,62.636,60.426,62.233,61.678,62.212,63.769,63.033,63.073,62.253,60.840,63.805,60.216,59.495,61.418,59.576,59.529,61.052,60.934,62.181,62.864
RHmin,MAMJJASO,58.046,53.739,54.761,58.516,60.075,56.285,57.833,56.693,55.613,55.363,58.072,53.960,57.616,56.479,57.523,59.648,57.878,58.856,56.668,55.050,59.800,55.509,53.938,55.703,53.055,53.957,55.124,55.872,56.774,58.280
RHmin,AMJJAS,56.204,52.025,51.979,57.487,57.339,54.999,57.045,54.909,53.793,54.948,56.456,50.875,55.395,54.252,55.737,57.646,56.151,57.024,54.472,52.664,58.224,53.133,51.218,53.276,51.175,51.293,53.082,53.476,52.552,57.848
RHmin,ONDJFM,67.816,68.364,68.473,67.427,68.334,68.969,66.248,71.352,66.473,66.693,68.884,69.396,69.510,69.798,68.653,69.443,68.770,69.853,70.124,70.596,68.650,67.523,67.510,69.418,69.069,68.080,66.713,69.597,70.970,69.809
RHmin,NDJF,71.399,72.181,71.492,70.783,69.528,71.357,69.393,75.504,71.659,69.866,73.248,73.419,72.156,72.720,71.774,72.075,72.030,72.975,73.172,73.212,72.439,70.731,69.900,71.936,72.883,72.089,71.255,72.470,73.584,72.240
