Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,14.284,15.392,15.312,14.269,13.936,14.559,14.033,15.317,16.507,16.038,14.949,15.605,15.202,16.249,16.079,14.214,16.017,15.294,16.183,15.898,15.559,16.173,16.869,15.573,16.164,16.583,16.545,15.748,16.209,14.833
TMAX,MAMJJASO,18.219,19.236,19.064,17.384,18.248,18.504,18.106,18.533,20.207,19.688,18.995,19.117,19.019,19.694,20.025,18.334,19.932,18.828,20.319,19.336,19.448,19.624,21.220,19.533,20.582,20.760,20.170,19.132,20.491,19.671
TMAX,AMJJAS,20.022,21.491,21.234,19.133,20.334,20.162,20.230,20.541,21.737,21.100,20.523,21.616,21.197,21.613,21.885,20.344,21.794,20.919,22.412,21.432,21.023,21.505,23.720,21.508,22.255,23.023,22.198,21.398,22.823,21.813
TMAX,ONDJFM,7.796,8.509,9.198,8.940,8.282,7.986,8.406,9.705,11.022,11.594,9.734,9.505,9.600,9.265,10.906,8.902,9.354,10.713,9.256,9.778,10.141,10.936,10.281,9.617,9.467,9.328,12.240,10.281,8.955,9.093
TMAX,NDJF,5.329,6.846,7.492,7.361,6.447,5.401,6.411,8.212,8.874,9.564,6.685,7.651,8.292,7.482,9.799,6.392,6.559,9.162,7.380,7.979,8.663,8.231,7.944,8.384,7.169,6.641,10.357,9.064,6.786,6.831
TMIN,year,6.860,7.268,7.256,6.755,5.881,6.259,6.438,7.836,7.622,7.407,6.554,7.634,7.065,8.080,7.767,6.122,7.421,7.585,8.164,8.421,7.824,8.350,7.447,7.389,7.849,8.234,8.153,7.647,7.457,6.564
TMIN,MAMJJASO,9.817,9.865,9.955,8.725,9.116,8.930,9.243,9.886,10.120,9.501,9.402,10.025,9.663,10.192,10.447,8.721,9.920,10.253,10.915,10.673,10.692,10.478,10.209,10.058,10.698,11.069,10.345,9.982,10.218,9.652
TMIN,AMJJAS,10.996,11.335,11.546,10.004,10.679,10.086,10.922,11.178,10.998,10.372,10.364,11.808,11.361,11.721,11.804,10.235,11.246,11.764,12.515,12.031,11.491,11.931,12.162,11.548,11.880,12.682,11.986,11.505,11.885,11.161
TMIN,ONDJFM,1.609,2.251,3.596,2.499,2.056,1.554,2.281,4.166,4.563,4.502,3.228,3.136,3.094,3.305,4.401,2.425,3.043,3.951,3.365,3.809,4.750,4.501,3.569,3.061,3.262,3.033,5.728,3.725,2.525,3.019
TMIN,NDJF,-0.493,1.071,2.426,1.661,0.350,-0.029,1.124,3.219,3.282,3.114,1.061,1.776,2.788,1.919,4.347,0.799,1.188,3.184,2.046,2.677,3.656,2.557,2.305,2.760,1.711,1.433,4.758,2.961,1.138,1.803
TAVG,year,10.573,11.319,11.289,10.497,9.900,10.401,10.217,11.554,12.064,11.740,10.734,11.599,11.091,12.140,11.899,10.144,11.675,11.398,12.155,12.118,11.657,12.266,12.156,11.674,12.050,12.395,12.439,11.700,11.854,10.749
TAVG,MAMJJASO,14.023,14.548,14.531,13.047,13.678,13.714,13.656,14.190,15.189,14.634,14.188,14.564,14.301,14.920,15.206,13.504,14.878,14.511,15.607,14.963,15.040,15.053,15.731,14.995,15.640,15.901,15.373,14.596,15.378,14.678
TAVG,AMJJAS,15.512,16.425,16.425,14.578,15.527,15.140,15.572,15.839,16.412,15.806,15.446,16.725,16.254,16.665,16.838,15.298,16.487,16.310,17.474,16.688,16.249,16.726,18.007,16.732,17.085,17.864,17.279,16.554,17.444,16.560
