Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,14.267,15.092,15.477,13.756,13.519,14.408,13.375,14.721,15.555,15.601,14.337,15.702,14.930,16.063,14.686,13.129,14.732,15.030,15.320,16.216,14.594,15.579,15.943,14.853,14.906,15.567,16.124,15.849,15.341,14.034
TMAX,MAMJJASO,19.425,20.155,20.484,18.084,18.782,19.509,18.122,19.259,20.082,20.016,19.104,20.521,19.694,20.565,19.654,18.057,19.317,19.618,20.434,20.860,19.510,20.199,21.205,19.686,20.051,20.561,20.900,19.957,20.423,19.195
TMAX,AMJJAS,21.552,22.524,23.162,20.070,21.293,21.922,20.938,22.072,21.811,21.694,21.225,23.662,22.487,23.231,21.913,20.658,21.800,22.263,22.959,23.357,21.385,22.901,24.579,22.035,22.489,23.264,23.574,22.446,23.636,21.778
TMAX,ONDJFM,5.728,6.516,8.369,7.063,6.043,6.389,6.008,7.799,8.538,9.906,7.933,7.741,7.193,8.195,8.276,5.367,7.433,8.527,7.091,7.582,8.905,8.713,7.016,7.140,7.538,6.382,10.823,7.954,7.448,6.984
TMAX,NDJF,2.621,3.478,6.096,4.699,2.903,3.579,3.848,6.169,5.645,7.081,4.834,5.545,5.438,5.684,6.865,2.209,4.518,7.052,4.234,5.257,6.550,5.476,4.388,5.608,4.982,3.463,8.528,6.055,5.020,4.656
TMIN,year,5.433,5.639,5.823,5.240,4.650,5.153,4.824,5.938,6.223,6.030,5.175,6.294,5.465,6.607,5.895,4.695,5.398,6.067,6.298,6.876,5.991,6.570,5.770,5.724,5.579,6.157,6.644,6.680,6.402,5.374
TMIN,MAMJJASO,9.124,9.089,9.324,8.051,8.597,8.752,8.185,8.864,9.331,8.780,8.599,9.319,8.739,9.476,9.288,8.328,8.348,9.448,9.731,9.955,9.696,9.862,9.259,8.904,8.896,9.633,9.485,9.310,9.847,9.079
TMIN,AMJJAS,10.481,10.758,11.158,9.640,10.368,10.550,10.494,10.664,10.824,10.112,10.199,11.416,10.664,11.377,10.939,10.203,10.278,11.332,11.569,11.361,10.955,11.914,11.639,10.557,10.985,11.752,11.367,11.167,11.763,11.304
TMIN,ONDJFM,-1.362,-0.257,1.569,-0.227,-0.536,-0.457,-1.278,1.788,1.573,1.711,0.833,0.749,0.093,1.552,1.315,-0.976,0.496,1.120,0.698,1.007,2.284,1.293,-0.039,0.262,0.532,-0.543,3.237,1.314,1.255,0.453
TMIN,NDJF,-3.756,-2.427,0.064,-1.711,-3.005,-2.415,-2.375,0.959,-0.153,-0.111,-1.235,-0.373,-1.027,-0.176,0.804,-3.106,-1.603,0.497,-1.396,-0.602,0.451,-1.061,-1.782,-0.662,-0.724,-2.392,2.336,0.279,-0.333,-1.022
