Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,12.380,13.360,13.559,12.934,11.937,12.543,11.826,13.665,14.500,14.421,13.466,14.284,12.835,13.783,13.537,12.119,13.650,12.855,13.880,13.940,13.326,14.180,14.088,13.700,13.861,14.485,14.413,14.553,14.092,12.395
TMAX,MAMJJASO,16.201,17.215,16.895,16.274,15.920,16.080,14.993,16.711,17.575,17.581,16.768,17.515,16.147,17.119,17.366,15.978,17.334,16.062,17.287,16.877,16.659,17.961,17.757,16.955,17.070,17.904,17.622,17.722,17.783,16.884
TMAX,AMJJAS,18.343,19.189,18.845,18.291,17.798,18.036,17.002,18.963,19.236,19.125,18.481,19.957,18.112,19.337,19.200,18.152,19.524,17.786,19.359,18.595,18.506,20.413,20.117,18.880,18.923,20.236,19.245,19.837,20.116,18.942
TMAX,ONDJFM,4.962,6.120,8.606,7.263,6.444,6.536,6.729,8.451,9.476,9.990,8.284,9.076,8.103,7.084,8.603,5.990,7.703,8.506,7.359,8.739,8.326,9.366,6.917,8.172,8.445,7.918,10.847,9.186,8.381,6.886
TMAX,NDJF,3.966,3.848,7.256,5.911,4.436,4.351,5.539,7.445,8.220,8.298,6.365,7.846,7.119,5.420,7.724,3.694,5.728,7.195,5.688,7.441,7.133,7.505,4.985,7.084,7.460,6.350,9.199,8.098,6.706,5.049
TMIN,year,6.211,6.688,7.042,6.873,5.495,5.947,5.841,7.302,7.659,7.856,7.049,7.536,6.554,7.403,6.685,5.688,6.988,7.099,7.466,8.151,7.252,8.056,7.544,7.737,7.684,8.389,8.286,7.979,7.753,6.040
TMIN,MAMJJASO,9.082,9.408,9.468,8.931,8.782,8.507,8.224,9.381,9.664,9.934,9.366,9.609,8.783,9.590,9.568,8.394,9.445,9.474,9.980,10.101,9.838,10.709,10.094,10.239,9.841,10.657,10.490,9.926,10.215,9.640
TMIN,AMJJAS,10.500,10.582,10.711,10.125,10.092,9.777,9.804,10.988,10.508,10.934,10.597,11.325,10.280,11.100,10.666,9.722,11.066,10.872,11.336,11.253,11.080,12.681,12.162,11.699,11.377,12.481,11.956,11.288,11.840,11.250
TMIN,ONDJFM,0.806,1.233,3.977,2.693,1.984,1.331,1.823,4.133,4.582,4.815,3.445,4.079,3.121,2.788,3.786,1.210,2.760,3.753,2.857,4.070,4.045,4.421,2.240,3.370,3.745,3.154,6.266,4.392,3.864,2.325
TMIN,NDJF,0.068,-0.660,2.868,1.662,0.102,-0.538,1.094,3.559,3.749,3.553,1.903,3.312,2.728,1.796,3.221,-0.795,1.190,3.252,1.416,3.161,3.287,2.844,1.162,2.855,3.185,2.398,5.381,4.015,2.618,1.091
TAVG,year,9.230,9.961,10.247,9.838,8.659,9.191,8.782,10.431,11.028,11.076,10.210,10.863,9.652,10.568,10.077,8.868,10.283,9.931,10.621,10.988,10.239,11.061,10.715,10.639,10.690,11.361,11.329,11.243,10.883,9.205
TAVG,MAMJJASO,12.574,13.241,13.128,12.521,12.287,12.232,11.556,12.995,13.571,13.693,13.015,13.517,12.414,13.318,13.432,12.143,13.347,12.728,13.577,13.422,13.187,14.268,13.787,13.514,13.358,14.192,14.025,13.796,13.931,13.224
TAVG,AMJJAS,14.352,14.817,14.724,14.120,13.888,13.841,13.353,14.929,14.820,14.971,14.496,15.609,14.149,15.185,14.907,13.894,15.257,14.296,15.296,14.855,14.737,16.479,16.019,15.208,15.051,16.262,15.578,15.528,15.909,15.066
