Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,12.465,13.502,13.651,13.051,12.011,12.690,11.891,13.765,14.607,14.543,13.551,14.403,12.910,13.942,13.622,12.218,13.771,12.941,13.969,14.038,13.424,14.328,14.155,13.787,13.956,14.625,14.486,14.669,14.211,12.471
TMAX,MAMJJASO,16.323,17.338,17.033,16.418,16.034,16.175,15.098,16.832,17.701,17.677,16.888,17.652,16.247,17.223,17.522,16.118,17.491,16.134,17.430,16.979,16.785,18.087,17.877,17.052,17.180,18.021,17.720,17.858,17.929,16.986
TMAX,AMJJAS,18.486,19.321,19.004,18.452,17.916,18.121,17.096,19.108,19.382,19.263,18.615,20.134,18.231,19.500,19.375,18.305,19.718,17.861,19.525,18.702,18.641,20.575,20.266,18.993,19.035,20.322,19.354,19.996,20.291,19.056
TMAX,ONDJFM,5.125,6.116,8.745,7.314,6.513,6.570,6.897,8.526,9.534,10.023,8.387,9.149,8.175,7.081,8.724,6.033,7.755,8.546,7.421,8.805,8.406,9.409,7.005,8.229,8.518,7.979,11.006,9.254,8.456,6.930
TMAX,NDJF,4.129,3.820,7.398,5.946,4.486,4.374,5.680,7.516,8.285,8.379,6.465,7.927,7.208,5.464,7.865,3.695,5.765,7.260,5.719,7.504,7.208,7.579,5.051,7.157,7.534,6.427,9.305,8.171,6.772,5.102
TMIN,year,6.217,6.728,7.055,6.912,5.494,5.997,5.861,7.349,7.700,7.908,7.086,7.584,6.579,7.468,6.696,5.701,7.014,7.125,7.485,8.222,7.299,8.160,7.558,7.782,7.742,8.480,8.336,8.034,7.810,6.046
TMIN,MAMJJASO,9.123,9.437,9.522,8.977,8.834,8.495,8.292,9.455,9.722,9.971,9.431,9.668,8.826,9.602,9.633,8.435,9.487,9.508,10.039,10.181,9.919,10.773,10.159,10.311,9.922,10.749,10.562,10.000,10.289,9.677
TMIN,AMJJAS,10.561,10.591,10.781,10.179,10.153,9.768,9.874,11.089,10.574,10.980,10.683,11.419,10.348,11.160,10.738,9.763,11.140,10.899,11.412,11.348,11.168,12.776,12.268,11.799,11.477,12.563,12.069,11.380,11.945,11.314
TMIN,ONDJFM,0.900,1.173,4.032,2.663,1.986,1.277,1.897,4.163,4.583,4.820,3.477,4.089,3.125,2.742,3.840,1.180,2.746,3.724,2.865,4.070,4.087,4.433,2.281,3.360,3.747,3.164,6.342,4.397,3.870,2.303
TMIN,NDJF,0.165,-0.765,2.921,1.618,0.077,-0.567,1.140,3.587,3.758,3.559,1.929,3.329,2.756,1.799,3.304,-0.866,1.161,3.262,1.374,3.163,3.328,2.863,1.207,2.870,3.183,2.430,5.422,4.043,2.613,1.078
TAVG,year,9.271,10.049,10.295,9.916,8.694,9.290,8.820,10.502,11.100,11.159,10.270,10.942,9.695,10.680,10.126,8.923,10.358,9.983,10.675,11.068,10.306,11.181,10.751,10.700,10.761,11.476,11.388,11.322,10.973,9.248
TAVG,MAMJJASO,12.654,13.316,13.224,12.619,12.373,12.275,11.641,13.095,13.663,13.759,13.111,13.615,12.480,13.378,13.547,12.234,13.450,12.781,13.681,13.511,13.288,14.361,13.876,13.596,13.451,14.299,14.112,13.897,14.044,13.295
TAVG,AMJJAS,14.453,14.887,14.838,14.229,13.979,13.881,13.434,15.056,14.925,15.062,14.611,15.745,14.235,15.299,15.035,13.992,15.395,14.344,15.418,14.954,14.846,16.609,16.144,15.313,15.154,16.349,15.689,15.649,16.053,15.160
TAVG,ONDJFM,2.947,3.588,6.322,4.926,4.207,3.866,4.343,6.287,6.988,7.354,5.879,6.549,5.586,4.885,6.245,3.580,5.210,6.084,5.089,6.391,6.176,6.863,4.566,5.709,6.074,5.487,8.613,6.804,6.159,4.620
TAVG,NDJF,2.074,1.478,5.099,3.720,2.242,1.852,3.355,5.497,5.950,5.894,4.150,5.567,4.926,3.619,5.549,1.403,3.425,5.218,3.488,5.294,5.199,5.184,3.099,4.939,5.311,4.342,7.314,6.088,4.710,3.128
RH,year,84.586,85.002,84.426,84.904,85.360,84.163,85.932,84.262,84.134,83.937,83.996,83.481,85.179,84.179,83.880,84.489,84.097,85.272,85.929,87.161,86.203,86.005,84.598,85.339,84.794,85.780,84.979,83.258,84.584,85.259
RH,MAMJJASO,84.067,82.989,83.390,82.897,84.300,83.032,84.893,82.542,82.079,81.738,82.460,80.942,83.359,82.019,82.285,82.734,81.294,83.649,84.380,85.739,85.070,84.369,81.943,83.795,83.668,84.172,83.733,81.038,81.894,83.739
RH,AMJJAS,82.915,80.941,82.697,82.114,82.904,81.059,84.214,81.459,80.310,80.535,80.981,79.685,82.300,81.074,80.870,81.409,80.527,84.000,83.394,84.777,84.168,83.917,80.976,82.873,82.729,83.387,83.365,80.146,80.958,82.805
RH,ONDJFM,86.485,87.585,88.245,85.794,88.286,87.412,87.070,88.751,87.060,87.179,87.694,86.232,87.291,88.765,86.800,87.223,87.876,86.686,88.302,87.927,89.712,88.230,88.562,87.933,86.290,88.347,87.736,85.754,87.895,88.343
RH,NDJF,85.644,87.612,87.853,87.347,88.128,86.609,87.185,89.795,87.253,88.326,87.422,87.284,88.632,89.335,88.394,87.449,88.690,89.182,89.043,89.037,90.487,88.519,89.594,89.528,86.580,89.334,88.324,86.986,88.771,90.151
RHmin,year,69.782,69.362,69.194,70.647,69.856,68.708,71.330,69.425,68.505,68.755,69.061,68.189,70.414,69.563,68.161,69.506,68.790,71.369,70.690,73.056,71.462,71.386,69.170,70.898,70.031,71.289,70.677,68.463,69.935,70.190
RHmin,MAMJJASO,67.755,65.719,66.843,66.419,67.982,66.076,69.097,66.309,64.986,65.041,66.064,64.109,66.884,65.665,65.355,65.943,64.194,68.584,67.887,69.941,69.217,67.806,64.787,68.335,67.106,67.776,67.712,64.366,65.230,67.354
RHmin,AMJJAS,65.518,62.626,65.133,64.323,65.930,63.301,67.925,64.408,62.115,63.154,64.165,62.072,65.411,63.778,63.045,63.396,62.808,68.435,65.876,68.169,67.422,66.738,63.811,66.847,65.955,66.435,67.359,62.405,63.295,66.020
RHmin,ONDJFM,75.031,74.360,75.674,73.652,76.077,73.513,73.888,76.982,74.188,73.749,74.754,73.104,74.046,77.145,74.123,74.456,74.676,74.266,75.989,75.435,77.816,75.164,75.883,74.945,73.869,75.438,75.712,73.527,76.011,76.207
RHmin,NDJF,74.715,75.032,75.812,75.635,76.083,73.441,74.945,78.831,75.193,75.392,75.189,74.960,76.489,79.184,76.121,75.237,76.132,78.201,76.946,77.222,79.427,75.954,78.800,77.599,75.001,78.048,77.868,76.145,77.780,79.168
PREC,year,881.397,735.317,782.330,712.786,746.138,677.265,759.528,798.470,580.883,841.083,649.084,709.438,741.992,864.772,648.806,514.261,615.952,846.985,935.014,762.895,739.777,837.551,631.800,807.130,654.172,855.259,824.778,778.639,746.574,726.270
PREC,MAMJJASO,615.175,464.367,567.115,460.015,450.665,421.601,547.897,493.216,411.489,520.466,406.367,449.631,432.843,551.180,387.685,316.012,411.821,614.708,619.792,448.955,502.246,506.250,438.064,551.710,414.260,553.181,492.635,517.892,440.539,517.537
PREC,AMJJAS,385.588,320.322,385.647,294.413,358.378,248.527,402.106,333.320,231.172,406.868,293.930,294.278,330.513,395.790,280.198,228.980,293.134,367.515,449.995,293.871,393.085,360.704,347.273,399.805,305.027,368.504,420.347,318.226,283.511,390.717
PREC,ONDJFM,195.664,422.759,465.574,384.802,379.674,418.118,379.890,532.579,342.821,415.250,358.303,362.456,415.641,504.222,473.235,162.720,364.259,375.392,520.199,458.474,417.253,454.935,320.137,369.272,376.498,334.107,609.178,383.628,370.126,426.202
PREC,NDJF,100.345,243.019,289.338,251.406,189.348,315.960,224.994,351.036,189.177,283.105,228.652,218.738,315.233,329.125,352.028,105.600,250.491,234.359,239.813,318.745,282.711,347.077,185.734,259.073,229.454,223.892,427.129,268.060,193.130,293.739
SRAD,year,3220.269,3493.069,3216.784,3135.019,3133.863,3286.616,3093.130,3255.692,3574.579,3407.732,3361.021,3499.206,3300.347,3460.451,3540.209,3382.785,3554.353,3122.356,3478.989,3238.172,3396.795,3428.109,3614.881,3432.232,3541.911,3512.379,3431.414,3637.518,3610.317,3423.872
SRAD,MAMJJASO,2970.417,3275.325,2964.434,2920.033,2886.809,3018.197,2838.783,3018.929,3309.110,3176.408,3103.573,3257.707,3090.997,3223.254,3273.353,3137.024,3306.188,2883.938,3225.271,2993.822,3130.359,3183.202,3368.979,3166.254,3279.744,3275.199,3191.241,3402.632,3384.874,3177.293
