Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,19.314,19.376,20.017,18.274,18.848,18.959,18.856,19.694,19.749,20.361,18.770,20.499,19.776,20.904,19.411,18.448,19.496,20.005,19.907,21.755,20.287,20.630,20.932,19.545,18.998,20.249,21.029,21.049,20.830,19.365
TMAX,MAMJJASO,24.446,24.142,25.200,22.752,24.079,24.024,23.725,24.344,24.014,24.781,23.563,25.166,24.884,25.479,23.932,23.091,23.883,24.721,25.050,26.446,25.469,24.988,26.453,24.227,23.986,24.995,25.758,25.392,25.969,23.978
TMAX,AMJJAS,26.165,26.705,27.525,24.853,26.796,26.720,26.799,26.913,25.533,26.334,25.724,27.847,27.518,27.820,25.970,25.739,26.292,27.245,27.282,28.959,26.998,26.989,29.746,26.408,26.381,27.351,28.756,27.543,28.864,26.741
TMAX,ONDJFM,10.186,11.783,13.175,11.245,10.839,11.249,10.909,12.934,13.020,14.721,12.719,12.195,12.473,13.190,13.199,11.204,12.809,13.342,11.940,12.588,15.366,13.474,12.606,12.282,12.286,11.378,15.821,12.528,13.117,12.550
TMAX,NDJF,6.857,8.837,10.726,8.647,7.790,9.008,8.854,10.995,9.874,11.979,9.336,10.099,10.496,9.843,11.821,8.225,10.348,12.108,8.640,9.620,12.936,9.650,9.746,10.615,9.394,8.744,13.756,10.529,10.175,10.189
TMIN,year,9.038,9.687,9.196,8.879,8.389,8.881,8.980,9.376,9.611,9.527,8.863,10.052,9.481,10.974,9.756,9.037,9.326,9.658,10.022,10.550,9.932,10.565,9.660,9.573,8.987,9.756,10.159,10.401,10.246,9.692
TMIN,MAMJJASO,13.207,13.327,13.128,12.024,12.400,12.646,12.550,12.829,13.007,12.679,12.731,13.443,13.379,14.375,13.066,12.521,12.193,13.367,14.130,13.857,13.869,13.700,13.687,13.002,12.837,13.208,13.393,13.531,13.778,13.175
TMIN,AMJJAS,14.499,15.182,15.312,13.526,14.400,14.890,14.962,14.831,14.770,14.123,14.494,15.448,15.311,16.404,14.991,14.553,14.210,15.546,16.049,15.587,15.042,15.569,16.239,14.637,15.013,15.185,15.311,15.455,15.910,15.450
TMIN,ONDJFM,1.190,3.295,4.740,2.964,2.696,3.316,2.173,5.177,3.890,4.303,4.226,3.452,3.838,5.337,4.870,3.256,4.596,4.558,3.466,3.758,6.912,4.082,3.866,3.745,3.683,3.502,6.456,4.049,4.766,4.441
TMIN,NDJF,-1.514,0.884,2.895,1.330,0.019,1.938,1.171,3.926,1.513,2.695,1.855,2.033,2.261,2.922,3.997,1.636,3.008,4.070,0.818,1.699,5.126,1.309,2.222,2.652,1.717,1.692,5.154,2.528,3.120,2.992
TAVG,year,13.954,14.285,14.343,13.359,13.415,13.650,13.707,14.266,14.321,14.693,13.589,15.145,14.466,15.666,14.262,13.513,14.204,14.577,14.707,15.952,14.843,15.288,14.969,14.202,13.663,14.666,15.306,15.384,15.226,14.238
TAVG,MAMJJASO,18.579,18.495,18.898,17.154,18.025,18.063,17.921,18.311,18.166,18.491,17.913,19.213,18.947,19.663,18.135,17.591,17.839,18.834,19.332,20.007,19.397,18.996,19.777,18.230,18.074,18.764,19.300,19.104,19.522,18.277
