Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,13.128,13.620,14.331,13.186,11.792,12.898,11.525,13.373,14.737,14.614,13.891,14.302,12.997,13.799,13.752,12.621,13.449,13.126,14.534,14.857,13.917,14.790,13.692,13.496,13.915,14.602,14.632,14.783,13.771,13.285
TMAX,MAMJJASO,18.231,18.343,19.359,18.164,17.760,18.025,16.535,18.436,19.181,18.667,18.517,18.910,17.816,18.803,19.194,18.162,18.331,18.098,19.973,19.291,19.163,20.348,18.731,18.454,18.801,19.745,19.870,19.244,18.800,19.517
TMAX,AMJJAS,20.823,20.874,22.282,20.754,20.421,20.615,19.226,21.530,21.667,20.665,21.125,22.115,20.595,22.037,21.757,21.067,21.326,20.885,22.922,21.577,21.909,23.845,21.876,20.942,21.938,22.974,22.193,21.743,22.170,22.795
TMAX,ONDJFM,3.415,5.276,7.089,5.588,3.329,4.672,3.886,5.866,7.277,8.138,6.652,7.407,5.753,4.614,6.512,3.402,6.195,5.979,4.914,6.433,7.524,7.164,3.935,5.524,5.862,4.852,8.824,7.080,6.396,4.227
TMAX,NDJF,1.694,2.236,5.336,3.373,-0.238,1.416,1.554,3.996,5.065,5.800,4.312,5.373,4.569,2.104,4.732,-0.038,3.601,4.414,1.634,4.353,5.269,4.282,1.190,3.669,4.249,2.223,5.992,5.069,4.112,1.600
TMIN,year,5.700,5.795,6.387,5.927,4.419,5.301,3.891,5.786,6.982,6.934,6.236,6.416,5.380,5.889,5.962,4.556,5.801,5.921,6.397,7.005,6.284,6.300,5.964,5.987,5.775,6.286,6.731,7.063,6.131,5.326
TMIN,MAMJJASO,9.332,8.952,9.873,9.330,9.264,9.003,7.771,9.413,10.019,9.356,9.360,9.257,8.656,9.332,9.854,8.350,8.922,9.396,9.798,9.439,10.052,9.899,9.208,9.402,8.765,9.471,10.256,9.727,9.287,9.760
TMIN,AMJJAS,11.226,10.656,11.808,11.198,10.976,10.870,10.187,11.849,11.473,10.701,11.131,11.377,10.608,11.459,11.429,10.547,10.913,11.549,11.602,10.837,12.035,12.064,11.494,10.989,11.219,11.681,11.885,11.232,11.344,12.550
TMIN,ONDJFM,-2.204,-0.001,1.740,0.260,-1.677,-0.744,-2.014,0.750,1.476,2.457,1.609,1.905,0.730,-0.369,1.361,-2.519,0.796,1.311,-0.277,1.831,2.541,1.313,-1.308,0.818,0.717,-0.673,2.871,2.451,1.632,-0.735
TMIN,NDJF,-3.003,-2.319,0.685,-1.153,-4.903,-3.411,-3.529,-0.238,-0.044,0.739,0.077,0.741,0.209,-2.265,0.058,-4.841,-0.863,0.629,-2.569,0.411,1.652,-0.811,-3.241,-0.336,-0.099,-1.884,1.049,1.328,0.006,-2.382
TAVG,year,9.244,9.545,10.221,9.374,7.907,8.941,7.536,9.389,10.713,10.600,9.869,10.237,9.030,9.674,9.653,8.484,9.494,9.324,10.424,10.818,9.933,10.459,9.689,9.605,9.750,10.408,10.569,10.864,9.899,9.261
TAVG,MAMJJASO,13.502,13.396,14.396,13.491,13.209,13.273,11.878,13.672,14.382,13.788,13.674,13.886,13.010,13.841,14.268,13.111,13.464,13.518,14.821,14.195,14.387,14.999,13.765,13.722,13.651,14.546,14.879,14.386,13.915,14.536
TAVG,AMJJAS,15.724,15.533,16.832,15.701,15.383,15.530,14.467,16.438,16.359,15.493,15.887,16.584,15.401,16.555,16.392,15.684,15.986,16.020,17.305,16.102,16.772,17.902,16.518,15.794,16.488,17.303,16.875,16.439,16.659,17.586
TAVG,ONDJFM,0.570,2.560,4.331,2.877,0.725,1.895,0.811,3.196,4.232,5.193,3.980,4.531,3.170,2.010,3.736,0.337,3.367,3.479,2.107,4.051,4.893,4.085,1.201,3.105,3.176,2.002,5.784,4.717,3.980,1.742
TAVG,NDJF,-0.599,0.007,3.007,1.133,-2.605,-0.943,-1.009,1.851,2.478,3.229,2.153,3.051,2.414,-0.121,2.298,-2.472,1.340,2.409,-0.587,2.431,3.407,1.701,-1.025,1.681,2.032,0.165,3.566,3.229,2.121,-0.308
RH,year,82.357,80.455,80.372,81.316,82.172,81.648,82.116,81.876,81.855,81.145,81.928,79.993,79.389,79.372,80.966,79.388,80.081,81.771,79.914,80.430,82.143,78.077,80.451,82.083,81.256,80.146,81.558,81.433,82.615,83.843
RH,MAMJJASO,79.418,77.082,77.721,79.259,80.431,79.119,79.418,79.785,79.171,77.715,79.308,76.208,77.022,75.817,78.331,75.842,76.996,79.081,75.687,76.384,80.045,73.971,76.471,78.768,77.833,75.837,78.008,78.124,79.055,81.088
RH,AMJJAS,78.160,75.372,75.746,78.186,78.557,77.782,79.405,77.945,77.235,76.752,77.840,73.720,75.068,73.577,76.645,74.346,74.861,78.448,73.399,74.920,79.042,70.966,74.916,76.304,75.963,72.764,76.155,75.201,76.107,79.733
RH,ONDJFM,83.664,86.592,85.970,83.351,85.567,85.685,85.289,86.318,85.102,85.654,86.279,86.036,85.947,84.135,85.142,83.537,85.189,86.061,86.125,86.006,85.031,85.741,84.535,87.724,87.379,86.784,86.773,87.911,89.049,88.602
RH,NDJF,86.211,88.511,86.754,84.517,85.507,86.550,87.025,87.441,86.284,87.905,87.675,87.563,86.913,84.843,86.636,85.610,86.681,87.582,88.280,87.534,87.859,87.137,86.573,88.521,88.579,88.626,88.658,88.438,89.940,89.232
RHmin,year,65.711,63.570,63.416,65.159,65.203,64.835,64.593,64.802,64.834,64.501,64.783,63.645,63.061,62.718,63.827,62.626,63.870,65.572,63.543,64.151,65.162,61.288,64.133,65.592,64.034,63.219,64.750,65.199,66.401,66.339
RHmin,MAMJJASO,60.375,57.882,58.479,60.425,61.774,60.155,60.230,60.548,60.082,58.692,59.875,57.358,58.399,57.173,59.088,56.820,58.214,60.714,56.633,57.121,60.840,54.783,57.587,60.015,57.696,56.348,58.697,59.192,59.849,60.752
RHmin,AMJJAS,58.349,55.388,55.567,58.497,58.727,58.180,60.142,58.291,57.000,57.188,57.502,54.072,55.907,53.968,56.555,54.821,55.207,59.482,53.485,54.973,59.060,50.793,55.255,56.850,55.643,52.806,56.234,55.613,55.573,59.353
RHmin,ONDJFM,69.676,72.901,72.321,70.185,72.131,71.783,70.002,72.862,70.161,71.293,72.884,71.862,72.843,71.259,71.359,68.632,71.414,73.583,72.339,73.989,72.508,70.704,71.156,75.137,73.701,72.637,72.075,75.764,76.371,75.451
RHmin,NDJF,74.047,76.313,74.686,73.030,72.877,73.968,73.337,75.892,72.886,74.484,76.119,75.238,75.513,73.339,73.912,72.557,74.800,76.942,76.189,77.188,77.921,73.634,74.635,77.672,76.720,77.517,75.776,78.505,78.907,78.455
PREC,year,880.031,608.193,805.781,712.642,819.674,825.213,787.640,719.883,796.048,911.194,670.089,620.488,730.076,775.427,770.755,592.761,756.317,945.760,709.957,725.073,841.523,700.279,690.827,800.538,714.265,649.629,869.789,731.237,704.110,505.586
