Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,15.562,16.252,16.638,15.237,14.705,15.917,14.962,15.803,16.494,16.673,15.512,16.887,16.318,17.342,16.070,15.155,15.834,16.335,16.501,17.884,16.312,17.211,17.125,15.994,16.150,16.947,17.690,17.647,17.204,16.032
TMAX,MAMJJASO,21.013,21.518,22.001,19.877,20.290,21.507,20.020,20.756,21.449,21.341,20.668,22.082,21.550,22.237,21.277,20.190,20.505,21.157,22.128,22.864,21.792,22.160,22.537,21.073,21.464,22.198,22.973,21.981,22.570,21.006
TMAX,AMJJAS,23.105,23.914,24.691,21.994,22.662,24.052,22.992,23.512,23.364,22.931,22.970,25.194,24.250,25.038,23.515,22.856,23.057,23.938,24.754,25.269,23.746,24.889,25.962,23.350,24.013,24.804,25.639,24.363,25.939,23.674
TMAX,ONDJFM,6.634,7.362,9.532,7.866,7.014,7.707,6.729,8.876,8.695,10.456,8.913,8.363,7.861,9.558,8.899,7.066,8.702,9.644,7.765,7.998,11.213,9.269,8.017,8.155,8.463,7.755,11.982,8.978,9.419,8.601
TMAX,NDJF,3.460,3.940,6.859,5.311,3.460,4.753,4.307,6.892,5.230,7.268,5.528,5.956,5.748,6.581,7.111,3.695,5.863,8.304,4.390,5.318,8.419,5.349,5.378,6.306,5.753,4.716,9.168,6.598,6.966,6.079
TMIN,year,5.799,5.923,6.077,5.622,4.913,5.209,5.102,5.819,6.366,6.072,5.604,6.239,5.654,7.011,6.194,5.577,5.674,6.399,6.773,7.115,6.488,6.960,5.882,6.231,5.780,6.359,7.052,7.361,6.880,6.567
TMIN,MAMJJASO,9.914,9.666,9.975,8.849,9.129,9.031,8.794,9.169,9.907,8.951,9.501,9.655,9.308,10.258,9.810,9.335,8.673,10.270,10.659,10.324,10.752,10.516,9.654,9.814,9.585,9.977,10.349,10.409,10.462,10.341
TMIN,AMJJAS,11.333,11.402,11.981,10.504,11.043,11.282,11.187,11.339,11.638,10.457,11.211,11.794,11.054,12.293,11.615,11.511,11.043,12.405,12.673,11.871,12.168,12.741,12.200,11.507,11.964,12.213,12.246,12.247,12.465,12.964
TMIN,ONDJFM,-1.841,-0.509,1.954,-0.551,-0.903,-0.450,-1.977,1.806,0.351,1.136,0.699,0.235,-0.237,1.910,1.274,-0.936,0.396,1.007,0.416,0.523,2.957,0.678,-0.420,0.245,0.359,-0.790,3.264,1.051,1.707,0.964
TMIN,NDJF,-4.407,-3.093,0.235,-2.249,-3.877,-2.114,-3.137,0.801,-1.607,-0.806,-1.474,-1.191,-1.768,-0.149,0.167,-2.891,-1.323,0.794,-2.220,-1.406,1.129,-2.071,-2.203,-0.965,-1.196,-2.777,2.108,-0.418,-0.007,-0.606
TAVG,year,10.489,10.793,11.159,10.205,9.505,10.324,9.833,10.580,11.150,11.143,10.290,11.412,10.782,11.985,10.900,10.059,10.483,11.119,11.341,12.241,11.075,11.806,11.226,10.832,10.608,11.283,12.106,12.215,11.791,10.993
