Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,13.217,13.931,14.315,12.798,13.251,13.380,13.209,14.067,15.066,14.862,13.836,14.377,13.863,15.091,13.971,13.032,14.866,14.226,13.999,14.854,14.144,14.741,15.543,14.092,13.917,14.901,14.946,14.298,14.612,13.091
TMAX,MAMJJASO,17.894,17.926,18.753,16.562,18.248,18.045,17.495,18.154,18.868,19.092,18.455,18.406,17.877,19.162,18.179,17.210,19.009,18.463,18.806,19.043,18.709,18.539,20.684,18.444,19.077,19.405,19.161,18.083,19.476,17.919
TMAX,AMJJAS,19.901,20.563,20.975,18.594,20.596,19.974,20.030,20.625,20.265,20.665,20.577,21.211,20.442,20.923,19.901,19.468,20.860,20.807,20.956,21.404,19.921,20.301,23.638,20.556,20.944,21.618,21.554,20.353,22.307,20.332
TMAX,ONDJFM,4.948,6.787,7.453,6.495,6.502,6.173,6.453,7.829,9.174,10.239,7.333,7.163,7.669,7.723,8.336,7.489,8.243,8.721,6.587,7.329,8.543,9.028,7.932,7.300,7.127,6.483,10.424,7.921,6.428,6.783
TMAX,NDJF,1.983,5.086,5.410,4.454,4.426,2.978,4.389,6.361,6.464,7.995,3.918,5.044,6.655,5.223,7.034,4.496,5.745,6.933,4.005,4.728,6.486,5.563,4.861,6.105,4.119,3.452,8.474,6.370,3.872,4.464
TMIN,year,4.356,5.132,5.006,3.911,3.881,4.381,4.613,5.281,5.400,5.326,4.661,5.529,5.099,6.345,5.106,4.509,5.425,5.026,5.330,5.815,5.361,5.910,5.613,5.268,4.899,5.776,5.690,5.468,5.593,4.686
TMIN,MAMJJASO,8.165,8.106,8.428,6.526,7.546,7.911,7.762,8.412,8.330,8.526,8.186,8.717,8.236,9.285,8.322,7.556,8.390,8.452,9.104,8.935,8.947,8.685,9.428,8.588,8.906,9.282,8.802,8.534,9.217,8.411
TMIN,AMJJAS,9.659,10.033,10.198,8.170,9.272,9.502,9.643,10.060,9.705,9.785,9.634,10.667,10.219,10.792,9.852,9.365,9.886,10.215,10.935,10.585,9.888,10.258,11.841,10.129,10.632,11.148,10.723,10.346,11.380,10.388
TMIN,ONDJFM,-2.708,-0.559,0.217,-1.060,-0.768,-1.229,-0.936,0.954,1.180,1.110,0.069,-0.364,0.344,0.792,0.845,0.113,0.654,0.683,-0.580,-0.049,1.481,0.824,0.367,-0.295,-0.156,-0.939,2.068,0.187,-0.444,-0.342
TMIN,NDJF,-5.229,-1.931,-1.338,-2.350,-2.398,-3.371,-2.300,-0.395,-0.812,-0.457,-2.641,-2.077,-0.554,-1.165,0.193,-1.812,-1.103,-0.581,-2.710,-1.986,-0.330,-1.644,-1.445,-1.148,-2.424,-3.054,0.691,-1.116,-2.346,-1.895
TAVG,year,8.535,9.245,9.354,8.094,8.299,8.603,8.593,9.392,9.826,9.708,8.955,9.715,9.213,10.455,9.285,8.571,9.869,9.425,9.454,10.111,9.480,10.050,10.313,9.417,9.151,10.055,10.098,9.680,9.914,8.730
