Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,15.903,17.119,17.212,15.572,15.402,15.960,15.075,16.765,17.765,17.607,16.504,17.461,16.357,17.719,16.896,14.978,17.127,16.765,17.621,17.877,16.934,17.434,18.169,16.952,17.255,17.921,17.911,17.570,17.447,15.779
TMAX,MAMJJASO,20.992,22.051,22.072,19.768,20.676,20.804,19.833,20.966,22.300,21.953,21.386,22.070,21.057,22.095,21.829,20.021,21.941,21.201,22.591,22.186,21.689,21.863,23.454,21.710,22.350,22.925,22.444,21.745,22.532,21.385
TMAX,AMJJAS,23.242,24.656,24.745,21.801,23.195,23.095,22.499,23.680,24.137,23.641,23.489,25.231,23.704,24.609,24.017,22.541,24.419,23.724,25.192,24.642,23.621,24.405,26.747,24.050,24.591,25.741,24.926,24.388,25.712,23.927
TMAX,ONDJFM,7.687,8.358,10.102,8.947,8.050,7.983,8.139,9.818,10.981,11.950,9.892,9.763,9.337,9.376,10.653,7.716,9.334,10.654,9.149,10.064,10.694,11.178,9.371,9.575,9.538,8.834,12.936,10.323,9.023,8.722
TMAX,NDJF,4.576,5.716,8.051,6.720,5.166,5.058,5.985,8.170,8.379,9.390,6.462,7.521,7.724,6.898,9.368,4.351,6.278,8.828,6.664,7.878,8.758,8.013,6.611,8.125,6.903,5.890,10.664,8.682,6.502,6.257
TMIN,year,7.468,7.842,8.009,7.362,6.625,7.021,6.878,8.297,8.227,8.277,7.203,8.255,7.517,8.678,7.944,6.475,7.721,8.224,8.518,8.947,8.178,8.583,7.753,7.829,7.698,8.298,8.437,8.131,7.737,6.621
TMIN,MAMJJASO,11.136,11.118,11.385,10.127,10.496,10.458,10.146,10.984,11.188,10.934,10.431,11.140,10.656,11.433,11.301,9.923,10.746,11.409,11.733,11.777,11.532,11.556,11.100,10.825,10.841,11.546,11.082,10.785,10.960,10.323
TMIN,AMJJAS,12.555,12.753,13.093,11.668,12.213,12.054,12.259,12.615,12.453,12.183,11.902,13.223,12.567,13.299,12.832,11.693,12.401,13.089,13.531,13.171,12.714,13.496,13.477,12.443,12.486,13.419,12.924,12.484,12.850,12.193
TMIN,ONDJFM,1.247,1.752,3.883,2.224,1.645,1.439,1.384,4.056,4.306,4.220,3.014,3.035,2.652,3.243,3.693,1.402,2.729,3.641,3.066,3.748,4.259,4.034,2.334,2.701,2.874,2.054,5.421,3.464,2.524,2.176
TMIN,NDJF,-1.100,-0.187,2.362,0.864,-0.790,-0.632,0.116,3.157,2.707,2.510,0.900,1.790,1.863,1.486,3.386,-0.977,0.694,2.666,1.188,2.313,2.731,1.952,0.684,2.118,1.390,0.326,4.311,2.566,0.824,0.714
