Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,18.476,19.405,19.415,18.197,18.541,18.590,18.374,19.222,20.635,20.244,19.023,19.234,18.848,20.096,19.814,18.584,20.633,19.500,19.747,20.008,19.587,20.035,21.186,19.600,19.675,20.550,19.914,19.503,20.420,18.705
TMAX,MAMJJASO,22.678,23.399,23.641,21.903,23.367,23.065,22.942,23.069,24.675,24.591,23.631,23.109,22.794,24.070,23.894,22.830,24.948,23.549,24.455,23.959,24.156,23.720,26.392,23.993,24.811,25.262,23.949,23.266,25.135,23.689
TMAX,AMJJAS,24.572,26.121,25.962,24.065,25.663,25.062,25.474,25.238,26.401,26.426,25.895,25.922,25.200,25.938,25.734,25.034,26.772,25.821,26.699,26.342,25.551,25.500,29.314,26.223,26.868,27.582,26.307,25.641,27.599,26.168
TMAX,ONDJFM,11.160,12.690,12.343,12.208,11.746,11.552,11.653,12.962,14.246,15.336,12.433,12.146,12.862,12.750,13.981,13.192,13.460,14.462,12.330,12.963,13.842,14.070,13.682,12.854,12.492,12.231,15.030,13.465,12.235,12.526
TMAX,NDJF,8.517,11.275,10.478,10.375,9.971,8.435,9.328,11.403,11.651,13.187,9.207,10.183,11.752,10.603,12.594,10.463,10.767,12.472,10.058,10.576,11.970,10.824,10.788,11.552,9.643,9.127,13.118,12.057,9.704,10.050
TMIN,year,9.343,9.970,9.574,8.755,8.421,9.036,9.336,9.921,9.779,9.958,9.215,9.815,9.429,10.785,9.999,9.081,10.139,9.622,10.245,10.423,10.044,10.356,10.341,9.837,9.643,10.576,10.045,9.788,10.033,9.089
TMIN,MAMJJASO,12.682,12.631,12.769,11.188,11.855,12.207,12.623,12.793,12.749,12.866,12.578,12.769,12.369,13.449,12.864,11.757,12.980,12.853,13.663,13.168,13.456,12.778,13.799,12.932,13.305,14.049,12.923,12.565,13.238,12.463
TMIN,AMJJAS,13.899,14.468,14.635,12.722,13.588,13.604,14.285,14.264,14.140,14.215,14.038,14.572,14.166,14.942,14.225,13.350,14.485,14.446,15.421,14.838,14.291,14.178,16.009,14.421,14.760,15.536,14.794,14.213,15.154,14.245
TMIN,ONDJFM,3.216,5.115,5.056,4.138,4.061,3.637,4.245,5.872,5.382,5.852,4.909,4.195,5.087,5.576,6.166,5.394,5.216,5.723,4.772,4.941,6.686,5.573,5.533,4.903,4.803,4.663,6.741,4.971,4.335,4.808
TMIN,NDJF,0.979,3.983,3.711,3.067,2.561,1.857,2.497,4.469,3.388,4.648,2.442,2.510,4.281,3.954,5.523,3.691,3.634,4.438,2.941,3.339,5.171,3.204,4.071,4.078,2.814,2.203,5.286,3.680,2.757,3.422
