Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,14.367,14.722,15.488,14.641,13.291,14.355,12.897,14.922,16.011,15.512,15.085,15.499,14.109,14.836,15.343,14.361,14.981,14.442,16.077,15.991,15.399,15.953,14.926,14.814,15.099,15.996,15.732,15.707,14.868,14.781
TMAX,MAMJJASO,19.275,19.265,20.477,19.612,18.961,19.400,17.727,20.057,20.577,19.646,19.565,20.083,18.776,19.873,20.626,19.653,19.723,19.324,21.467,20.426,20.682,21.449,19.838,19.725,19.969,21.164,20.970,20.120,19.721,20.879
TMAX,AMJJAS,22.164,21.990,23.674,22.528,21.719,22.224,20.446,23.359,23.489,21.968,22.289,23.567,21.722,23.269,23.469,22.699,23.013,22.274,24.801,22.983,23.768,25.453,23.134,22.585,23.231,24.611,23.584,22.856,23.258,24.531
TMAX,ONDJFM,4.166,6.585,7.838,6.782,4.994,6.180,5.367,6.962,8.139,8.636,7.640,8.591,6.802,5.484,7.531,5.372,7.677,7.045,6.212,7.698,8.436,7.961,5.131,6.718,6.649,6.350,9.293,7.942,7.506,5.314
TMAX,NDJF,3.288,3.904,6.401,4.904,1.908,3.210,3.320,5.181,6.062,6.635,5.671,6.752,5.841,3.285,5.911,2.340,5.652,5.707,3.431,5.965,6.421,5.382,3.098,5.112,5.308,4.003,6.542,6.292,5.564,3.158
TMIN,year,6.866,6.598,7.556,7.006,5.781,6.484,5.145,7.179,7.980,7.737,7.407,7.379,6.383,6.687,7.197,5.848,6.832,6.871,7.486,7.827,7.403,7.158,6.955,6.953,6.519,7.115,7.427,7.690,6.934,6.953
TMIN,MAMJJASO,10.237,9.553,10.924,10.338,10.234,9.969,8.677,10.788,10.923,10.218,10.325,10.170,9.400,10.018,10.845,9.325,9.835,10.213,10.913,10.401,11.110,10.533,10.098,10.214,9.313,10.121,10.764,10.199,9.857,11.179
TMIN,AMJJAS,12.429,11.414,13.069,12.389,11.976,11.918,11.097,13.299,12.697,11.797,12.187,12.448,11.409,12.259,12.612,11.474,12.047,12.639,12.991,12.071,13.380,13.021,12.522,12.154,11.930,12.395,12.526,11.774,12.077,14.140
TMIN,ONDJFM,-1.471,1.095,2.515,1.463,-0.082,0.864,-0.504,1.759,2.450,3.107,2.554,3.151,1.700,0.421,2.361,-0.664,2.006,1.803,0.712,2.631,2.981,2.181,-0.230,1.752,1.250,0.534,3.288,3.232,2.553,0.396
TMIN,NDJF,-1.383,-0.844,1.764,0.367,-2.811,-1.469,-1.669,0.812,1.075,1.835,1.365,2.146,1.367,-1.150,1.344,-2.576,0.714,1.303,-1.069,1.519,2.143,0.415,-1.465,0.880,0.844,-0.235,1.590,2.442,1.268,-0.830
TAVG,year,10.451,10.549,11.422,10.686,9.306,10.248,8.760,10.897,11.952,11.577,11.144,11.398,10.136,10.638,11.145,9.878,10.840,10.528,11.749,11.806,11.288,11.562,10.843,10.799,10.878,11.683,11.681,11.870,11.001,10.858
TAVG,MAMJJASO,14.559,14.318,15.593,14.875,14.424,14.566,12.921,15.267,15.682,14.872,14.842,15.091,13.955,14.882,15.592,14.286,14.710,14.602,16.210,15.286,15.790,16.009,14.886,14.890,14.800,15.896,16.077,15.399,14.961,16.115
TAVG,AMJJAS,17.140,16.649,18.298,17.391,16.680,17.000,15.599,18.236,18.049,16.848,17.193,18.039,16.484,17.802,17.913,16.946,17.519,17.336,19.003,17.430,18.482,19.345,17.807,17.341,17.904,18.877,18.304,17.637,17.920,19.522
TAVG,ONDJFM,1.057,3.663,5.024,3.954,2.130,3.311,2.107,4.130,5.195,5.835,4.948,5.753,4.110,2.707,4.768,2.092,4.675,4.291,3.260,5.094,5.556,4.998,2.232,4.102,3.781,3.242,6.241,5.651,4.991,2.674
TAVG,NDJF,0.756,1.385,3.963,2.487,-0.859,0.654,0.579,2.832,3.556,4.223,3.427,4.404,3.538,0.829,3.529,-0.352,3.093,3.449,1.012,3.724,4.156,2.870,0.659,2.889,2.972,1.735,3.938,4.434,3.378,0.965
RH,year,79.615,78.007,77.808,78.600,79.238,78.966,78.484,78.487,79.570,79.673,80.514,77.729,77.311,77.525,77.688,76.373,76.571,78.340,76.084,78.031,78.725,74.825,78.509,79.405,78.014,76.534,79.119,78.123,79.374,80.944
