Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,17.206,16.859,17.567,16.822,17.119,17.338,16.856,17.266,17.922,18.479,16.237,17.897,17.791,18.883,17.292,16.652,16.666,17.413,18.201,18.825,18.247,18.235,17.856,18.204,17.268,18.037,19.423,19.063,18.765,18.417
TMAX,MAMJJASO,22.556,21.785,22.659,21.747,22.430,22.844,21.679,22.460,22.501,23.267,21.236,22.920,23.125,24.126,22.241,21.503,20.968,22.604,23.124,23.880,23.844,22.751,23.275,22.903,22.024,23.155,24.446,24.184,23.583,22.867
TMAX,AMJJAS,24.214,24.333,24.874,23.902,25.616,25.844,25.222,25.234,24.470,24.890,23.604,24.969,25.544,26.658,24.592,24.989,23.506,25.338,25.680,26.568,25.446,24.824,26.376,24.894,24.494,25.473,27.251,26.166,26.320,25.906
TMAX,ONDJFM,7.270,9.594,11.185,8.591,8.686,9.760,8.189,10.142,10.178,11.331,10.335,9.463,10.249,11.349,10.647,7.208,10.605,10.129,9.283,10.163,12.513,11.280,9.248,10.411,11.095,9.898,12.868,10.333,11.210,11.032
TMAX,NDJF,3.785,6.456,8.500,6.281,5.133,7.521,6.214,8.392,7.123,8.026,7.650,6.681,7.411,7.783,8.279,4.753,8.920,8.572,5.883,7.238,9.876,7.802,6.388,7.899,8.448,7.014,10.821,6.865,8.532,8.620
TMIN,year,7.050,7.005,6.912,7.179,6.624,6.832,6.674,7.025,7.061,7.419,6.795,7.002,6.655,8.341,7.133,7.174,6.534,7.564,8.344,7.791,7.802,8.042,6.818,7.241,7.220,7.413,8.252,8.036,8.065,8.218
TMIN,MAMJJASO,11.082,11.041,10.890,10.585,10.731,11.030,10.164,11.083,11.057,11.006,10.955,11.016,11.023,12.384,10.963,10.853,9.817,11.717,12.394,11.528,12.193,12.015,10.915,11.145,11.054,11.629,12.080,11.930,11.682,11.931
TMIN,AMJJAS,12.600,13.064,13.188,12.266,13.117,13.189,12.905,13.437,12.844,12.766,12.835,12.781,12.811,14.499,13.136,13.332,12.157,14.151,14.504,13.825,13.777,13.956,13.625,12.882,13.343,13.589,14.100,13.830,13.674,14.398
TMIN,ONDJFM,-0.760,0.901,1.724,0.788,0.287,1.539,-0.694,2.069,0.586,0.989,1.608,0.661,0.472,2.217,1.763,-0.225,1.718,1.164,1.349,1.279,3.479,1.221,0.219,0.650,1.720,0.811,3.057,1.347,2.164,2.310
TMIN,NDJF,-3.039,-1.387,-0.253,-0.683,-2.505,0.182,-2.182,0.809,-1.774,-1.352,-0.268,-1.496,-2.025,-0.215,-0.220,-1.870,0.363,0.406,-1.173,-0.756,1.735,-1.616,-1.606,-1.336,-0.129,-1.424,1.430,-1.317,0.489,0.471
TAVG,year,12.004,11.707,11.976,11.830,11.705,11.916,11.668,11.918,12.273,12.715,11.286,12.185,12.025,13.356,11.871,11.636,11.354,12.290,12.962,13.131,12.804,12.758,12.192,12.443,11.902,12.321,13.544,13.211,13.102,12.952
TAVG,MAMJJASO,16.719,16.221,16.506,16.050,16.463,16.823,15.896,16.589,16.632,16.989,15.932,16.750,16.946,18.050,16.308,15.971,15.219,17.023,17.493,17.605,17.874,17.046,16.975,16.731,16.207,17.032,18.059,17.736,17.349,17.059
TAVG,AMJJAS,18.400,18.560,18.802,18.050,19.347,19.485,19.141,19.241,18.576,18.775,18.181,18.726,19.146,20.460,18.641,19.039,17.743,19.694,19.864,20.217,19.557,19.106,19.918,18.636,18.638,19.243,20.558,19.784,19.768,19.841
TAVG,ONDJFM,3.012,4.987,6.154,4.379,4.172,5.369,3.431,5.749,5.062,5.776,5.538,4.679,4.968,6.413,5.775,3.095,5.638,5.327,4.948,5.368,7.587,5.795,4.408,5.357,5.979,4.867,7.470,5.370,6.284,6.280
TAVG,NDJF,0.179,2.325,3.836,2.537,1.042,3.615,1.724,4.243,2.396,2.944,3.282,2.273,2.316,3.442,3.627,1.061,4.125,4.186,2.016,2.908,5.398,2.642,2.099,3.128,3.767,2.356,5.626,2.341,4.186,4.190
RH,year,68.031,70.138,67.582,70.693,66.706,67.435,68.985,68.656,66.537,66.081,71.668,63.928,63.936,66.076,70.107,70.045,68.897,68.093,70.031,63.449,66.788,69.322,67.262,68.913,71.203,69.307,66.578,68.643,71.003,73.750
RH,MAMJJASO,64.414,67.478,64.555,65.776,61.784,62.968,64.074,64.600,64.966,61.265,69.135,60.951,60.331,61.437,66.066,65.107,65.062,64.201,67.304,58.031,62.924,66.835,61.983,66.349,68.398,66.390,62.363,65.124,67.173,71.553
RH,AMJJAS,62.768,65.360,64.792,63.471,58.351,59.908,60.982,63.012,63.997,61.235,67.762,60.156,57.654,59.291,65.107,61.378,64.250,62.736,66.337,55.482,62.185,66.250,59.528,64.797,67.932,64.680,59.209,63.972,64.837,70.315
RH,ONDJFM,73.973,73.549,70.975,77.709,76.000,75.779,73.962,76.299,69.919,68.523,75.963,71.481,67.506,73.097,73.835,77.994,74.125,72.918,74.684,72.287,73.109,69.008,74.976,73.894,74.452,74.846,71.755,75.026,75.374,77.572
RH,NDJF,76.550,74.668,73.268,79.480,77.536,78.996,75.920,78.203,71.349,72.648,77.691,73.953,67.514,77.562,74.717,80.771,76.301,76.582,76.544,75.226,75.892,71.078,78.580,75.487,75.866,76.736,73.037,77.190,77.452,79.803
RHmin,year,50.472,52.290,48.976,53.421,49.080,49.744,51.335,50.519,48.027,47.721,53.744,45.978,46.106,48.483,51.358,52.727,50.852,50.987,51.970,46.153,48.996,50.851,48.854,49.430,52.239,49.891,47.919,49.241,51.450,53.845
RHmin,MAMJJASO,46.255,49.429,45.622,47.856,44.346,45.286,46.314,46.484,46.754,43.157,51.288,43.060,42.919,43.981,47.176,47.794,46.958,47.081,49.246,41.085,45.085,48.683,43.692,46.850,49.268,47.020,44.020,45.353,47.430,51.674
RHmin,AMJJAS,45.330,47.444,46.210,45.732,41.150,42.210,43.653,45.214,46.124,43.615,50.080,42.492,40.533,42.314,46.605,44.092,46.529,46.115,48.062,39.322,44.991,48.338,41.804,45.695,49.084,45.716,41.107,45.045,45.078,50.160
RHmin,ONDJFM,56.870,55.726,52.694,60.377,57.761,58.539,55.242,58.446,51.404,49.347,57.034,53.443,49.046,54.681,55.086,60.697,55.207,54.943,57.674,54.196,54.861,49.847,56.033,54.462,54.761,55.071,52.019,55.977,55.820,58.326
RHmin,NDJF,60.674,57.732,55.215,62.948,59.741,62.172,57.215,60.551,53.192,53.204,59.250,56.149,49.123,59.417,56.155,63.893,57.334,58.822,60.260,57.359,58.039,51.950,60.131,56.160,56.871,57.326,53.439,58.439,58.937,60.668
PREC,year,458.407,465.891,406.999,421.043,331.187,371.799,483.065,419.444,397.801,342.132,460.321,336.551,350.357,393.660,502.513,438.019,469.622,438.253,445.198,221.363,345.461,585.960,520.416,504.381,745.472,461.986,579.155,393.460,558.371,674.454
PREC,MAMJJASO,254.539,324.184,314.872,277.623,178.296,220.425,296.460,267.483,302.164,215.891,347.334,265.360,223.985,280.921,316.568,249.588,344.543,273.037,306.423,166.463,213.287,471.969,351.894,345.251,553.761,342.223,383.025,304.059,353.766,464.157
PREC,AMJJAS,205.615,260.637,278.877,183.367,157.020,183.286,238.778,168.875,228.545,185.761,279.039,225.913,170.160,208.918,255.491,205.012,247.878,196.960,246.347,132.667,188.673,343.950,269.180,295.456,484.121,253.414,276.404,264.177,240.553,329.663
PREC,ONDJFM,125.291,209.992,175.662,247.133,142.903,231.088,178.226,232.062,186.885,147.090,202.008,154.355,142.094,152.731,254.637,230.262,201.339,254.765,225.033,163.885,117.594,175.666,230.003,252.895,256.073,254.086,167.331,269.384,216.305,356.302
PREC,NDJF,97.491,145.207,136.607,138.543,123.692,213.083,110.224,152.440,114.087,104.295,161.425,79.811,87.202,120.453,152.455,185.771,151.002,174.711,138.159,117.404,80.779,96.250,170.755,147.750,204.502,160.390,98.895,181.093,152.699,232.572
SRAD,year,5350.631,5250.593,5306.395,5052.142,5228.406,5185.787,5085.825,5034.851,5197.184,5326.419,4844.009,5224.751,5192.650,5156.008,5112.749,5193.767,5307.876,5304.627,5325.398,5704.871,5381.545,5130.247,5415.480,5314.129,5204.276,5399.449,5598.601,5500.350,5323.535,5187.414
SRAD,MAMJJASO,4591.407,4447.890,4470.830,4396.142,4482.904,4458.904,4397.978,4273.732,4317.475,4506.212,4099.077,4360.934,4337.186,4407.803,4355.716,4463.311,4469.916,4473.281,4518.556,4842.700,4596.765,4275.490,4653.410,4508.204,4435.246,4554.217,4785.702,4677.620,4570.569,4407.327
SRAD,AMJJAS,3798.534,3729.005,3650.308,3713.703,3822.118,3787.679,3733.975,3585.669,3550.362,3666.513,3472.336,3662.430,3634.022,3688.436,3591.626,3815.693,3703.682,3705.833,3785.827,4024.876,3789.890,3539.483,3888.875,3723.191,3648.106,3806.787,4053.358,3843.964,3885.970,3718.077
SRAD,ONDJFM,833.855,1550.502,1628.493,1363.396,1421.829,1378.254,1444.443,1368.039,1604.930,1726.291,1426.414,1510.986,1565.670,1481.058,1486.784,1388.422,1596.884,1624.238,1502.496,1647.630,1560.791,1689.942,1529.861,1524.755,1572.351,1558.058,1652.647,1558.572,1501.536,1471.045
SRAD,NDJF,404.618,795.676,849.728,680.799,743.787,679.259,751.889,721.214,851.710,875.176,750.240,808.505,902.636,724.367,807.232,673.442,867.450,846.338,768.342,834.545,811.679,886.189,740.694,782.016,792.564,804.880,863.151,819.225,741.951,740.396
WIND,year,2.604,2.483,2.446,2.367,2.426,2.305,2.396,2.389,2.206,2.196,2.264,2.281,2.313,2.378,2.476,2.384,2.532,2.485,2.240,2.403,2.558,2.500,2.560,2.625,2.570,2.406,2.580,2.460,2.464,2.570
WIND,MAMJJASO,2.357,2.561,2.390,2.418,2.377,2.230,2.409,2.338,2.183,2.249,2.273,2.287,2.309,2.346,2.436,2.421,2.632,2.571,2.169,2.430,2.486,2.508,2.544,2.525,2.556,2.452,2.488,2.431,2.465,2.520
WIND,AMJJAS,2.350,2.485,2.348,2.462,2.489,2.301,2.428,2.264,2.185,2.237,2.319,2.193,2.312,2.312,2.410,2.465,2.636,2.507,2.114,2.431,2.493,2.404,2.465,2.530,2.485,2.418,2.478,2.346,2.359,2.449
WIND,ONDJFM,2.970,2.651,2.678,2.306,2.313,2.329,2.307,2.442,2.282,2.277,2.104,2.337,2.326,2.392,2.605,2.350,2.369,2.493,2.341,2.489,2.380,2.623,2.606,2.781,2.699,2.508,2.577,2.549,2.566,2.635
WIND,NDJF,3.164,2.655,2.615,2.333,2.428,2.512,2.320,2.354,2.373,2.250,2.120,2.286,2.256,2.411,2.506,2.464,2.340,2.314,2.313,2.485,2.317,2.670,2.596,2.760,2.725,2.403,2.598,2.463,2.548,2.578
VPD,year,0.609,0.548,0.598,0.577,0.673,0.647,0.633,0.631,0.615,0.686,0.513,0.691,0.733,0.740,0.576,0.618,0.568,0.644,0.603,0.796,0.694,0.613,0.688,0.591,0.525,0.609,0.748,0.675,0.609,0.536
VPD,MAMJJASO,0.803,0.719,0.780,0.776,0.908,0.873,0.856,0.848,0.782,0.907,0.678,0.898,0.974,0.993,0.762,0.832,0.743,0.855,0.788,1.064,0.923,0.783,0.937,0.762,0.684,0.804,0.995,0.887,0.805,0.682
VPD,AMJJAS,0.905,0.842,0.869,0.880,1.084,1.031,1.043,0.998,0.884,1.003,0.778,1.007,1.120,1.162,0.868,1.016,0.851,1.003,0.903,1.262,1.030,0.886,1.119,0.867,0.776,0.926,1.190,1.018,0.951,0.805
VPD,ONDJFM,0.244,0.293,0.325,0.234,0.269,0.278,0.255,0.249,0.323,0.370,0.271,0.296,0.369,0.345,0.301,0.216,0.284,0.302,0.273,0.305,0.346,0.387,0.258,0.289,0.290,0.268,0.345,0.285,0.289,0.267
VPD,NDJF,0.161,0.217,0.245,0.172,0.170,0.194,0.191,0.201,0.241,0.251,0.197,0.211,0.285,0.207,0.240,0.143,0.234,0.228,0.196,0.213,0.259,0.283,0.177,0.218,0.223,0.189,0.285,0.199,0.218,0.199
